case	comparison	SNF: FDA & CGC
66	case-profile	0.4549036554910382
66	ACH-000399	0.9961441790900819
66	ACH-000259	0.9970934521607666
66	ACH-000228	0.997114999574221
66	ACH-000951	0.9971227548966306
66	ACH-000627	0.9971680307883427
66	ACH-000825	0.9971722643917981
66	ACH-000559	0.9972227335487373
66	ACH-000798	0.9974505612009453
66	ACH-000998	0.9974605248198629
66	ACH-000911	0.9974960650893355
66	ACH-000201	0.9975042168722132
66	ACH-000989	0.9975180862794878
66	ACH-000947	0.9975308681534958
66	ACH-000733	0.9975375505873355
66	ACH-000082	0.9975906327654078
66	ACH-000392	0.9976093832121
66	ACH-000188	0.9976098756767168
66	ACH-000138	0.9976101889441145
66	ACH-000108	0.9976532515235965
66	ACH-000099	0.9976580712809935
66	ACH-001125	0.9976698854456973
66	ACH-000655	0.9976740385385856
66	ACH-000514	0.9976749956776166
66	ACH-000040	0.9976795769139002
66	ACH-000087	0.9976917818844698
66	ACH-000149	0.9976950207923021
66	ACH-000966	0.9977075589841884
66	ACH-000115	0.9977171924783428
66	ACH-000971	0.997717621760889
66	ACH-000620	0.9977238421893188
66	ACH-000292	0.9977407663902841
66	ACH-000638	0.9977486726839496
66	ACH-000919	0.997751268325278
66	ACH-000102	0.9977637576227845
66	ACH-000544	0.9977660495488718
66	ACH-000062	0.9977710701956064
66	ACH-000012	0.9977778291724407
66	ACH-000535	0.9977800006204698
66	ACH-000835	0.9977829034750837
66	ACH-000970	0.9977911871739015
66	ACH-000442	0.9977931712609639
66	ACH-000078	0.9978035177289031
66	ACH-000991	0.9978048843390854
66	ACH-000985	0.997811326147124
66	ACH-000341	0.9978119543255315
66	ACH-000443	0.9978130908005014
66	ACH-000713	0.9978220132630188
66	ACH-000631	0.9978238195321073
66	ACH-000962	0.9978322003839988
66	ACH-000847	0.9978355703223927
66	ACH-001049	0.9978431637526202
66	ACH-000949	0.9978435837825553
66	ACH-000235	0.9978438738780097
66	ACH-000749	0.997844857984861
66	ACH-000506	0.9978513151581855
66	ACH-000574	0.9978513376951239
66	ACH-000810	0.9978539776845987
66	ACH-000018	0.9978599258940587
66	ACH-000716	0.9978604896742391
66	ACH-000030	0.9978618080792256
66	ACH-000145	0.997862242420364
66	ACH-000861	0.997864803327607
66	ACH-000670	0.9978658915289077
66	ACH-000668	0.9978705521707041
66	ACH-000147	0.9978721352280593
66	ACH-000225	0.9978726625233226
66	ACH-000463	0.9978748638095579
66	ACH-000161	0.997874994065516
66	ACH-000886	0.9978757477283844
66	ACH-000348	0.9978772422094802
66	ACH-000067	0.9978778364887183
66	ACH-000524	0.9978801806738035
66	ACH-000853	0.9978803735101505
66	ACH-000605	0.9978811105232945
66	ACH-000863	0.9978815168961566
66	ACH-000109	0.9978815256990755
66	ACH-000354	0.9978816835974846
66	ACH-000094	0.9978829254210902
66	ACH-000452	0.9978836721588618
66	ACH-000361	0.9978837579007346
66	ACH-000940	0.9978848522715063
66	ACH-000222	0.9978851746567922
66	ACH-000288	0.9978861092944313
66	ACH-000394	0.9978862396913393
66	ACH-000114	0.9978872744742399
66	ACH-000955	0.9978875753054818
66	ACH-000633	0.9978876572164351
66	ACH-000781	0.997887826840846
66	ACH-000103	0.9978889855718919
66	ACH-000007	0.9978891553083331
66	ACH-000132	0.9978894776938182
66	ACH-000780	0.9978899378593523
66	ACH-000293	0.9978902748569677
66	ACH-000669	0.9978908956529458
66	ACH-000800	0.9978909473444407
66	ACH-000291	0.9978911462267502
66	ACH-000587	0.9978915488165729
66	ACH-001126	0.9978916140011166
66	ACH-000223	0.9978919834534403
66	ACH-000617	0.9978920062621015
66	ACH-001023	0.997892763032434
66	ACH-000924	0.9978929336470022
66	ACH-000484	0.9978934739205203
66	ACH-000429	0.9978944185459045
66	ACH-001233	0.9978945083730975
66	ACH-000178	0.9978946974223948
66	ACH-000231	0.9978950054488548
66	ACH-000457	0.9978950942011925
66	ACH-000857	0.9978956917544697
66	ACH-000698	0.9978958961525191
66	ACH-000743	0.9978959111445915
66	ACH-000311	0.9978967883856601
66	ACH-000747	0.9978969740969065
66	ACH-000803	0.9978970631243677
66	ACH-000129	0.9978971948283
66	ACH-000881	0.9978973752960858
66	ACH-000480	0.9978979868710522
66	ACH-000532	0.997898277258613
66	ACH-000476	0.9978985050814226
66	ACH-000569	0.9978985587369387
66	ACH-000250	0.9978991955791705
66	ACH-000528	0.9978994097293158
66	ACH-000744	0.9978994690630241
66	ACH-000343	0.9978996662964468
66	ACH-000852	0.9979008577134874
66	ACH-000486	0.9979011852299012
66	ACH-000335	0.9979016015580073
66	ACH-000403	0.9979025300532964
66	ACH-000902	0.9979025642642031
66	ACH-000433	0.9979027481785482
66	ACH-001065	0.9979030304254606
66	ACH-000489	0.9979030525200806
66	ACH-000023	0.9979031528624671
66	ACH-000688	0.9979031927313995
66	ACH-000400	0.9979035509662695
66	ACH-000355	0.9979046366603289
66	ACH-000176	0.9979049243022038
66	ACH-000155	0.9979055973888938
66	ACH-000501	0.9979058519826839
66	ACH-000396	0.9979059739240547
66	ACH-000420	0.9979061954506276
66	ACH-000652	0.9979062923751546
66	ACH-000610	0.9979064156322917
66	ACH-000790	0.9979068102982945
66	ACH-000609	0.9979070580710515
66	ACH-000562	0.9979071696670936
66	ACH-000869	0.997907290449185
66	ACH-000772	0.997907313059408
66	ACH-000376	0.9979085703713167
66	ACH-000880	0.9979093068449925
66	ACH-000408	0.9979093191686579
66	ACH-000350	0.9979093418505964
66	ACH-000915	0.9979098429048344
66	ACH-000470	0.9979101913177058
66	ACH-000496	0.9979103080912906
66	ACH-000957	0.9979110472147223
66	ACH-000866	0.9979111821554092
66	ACH-000430	0.9979116837625367
66	ACH-000482	0.997911746038867
66	ACH-000309	0.9979119122394641
66	ACH-000930	0.9979123742613061
66	ACH-000769	0.9979128479935294
66	ACH-000767	0.9979134157556081
66	ACH-000488	0.9979144190912754
66	ACH-000666	0.9979145132806032
66	ACH-000778	0.9979145211880743
66	ACH-000107	0.9979145493214817
66	ACH-000516	0.9979147255336399
66	ACH-000968	0.9979151013192519
66	ACH-000252	0.9979157027959895
66	ACH-000378	0.9979162166051457
66	ACH-000546	0.997916551945163
66	ACH-000055	0.9979172718632608
66	ACH-000117	0.9979175586601572
66	ACH-000681	0.9979176863349491
66	ACH-000824	0.9979178287056046
66	ACH-000192	0.9979180528731169
66	ACH-000858	0.9979181466416619
66	ACH-000841	0.997918582608461
66	ACH-000159	0.9979196972812258
66	ACH-000329	0.997920229003587
66	ACH-000894	0.9979204132189574
66	ACH-000830	0.9979205602814516
66	ACH-000349	0.9979206453992147
66	ACH-000450	0.9979216058671272
66	ACH-000826	0.9979219268345764
66	ACH-000322	0.9979219512935137
66	ACH-000986	0.9979220567269194
66	ACH-000864	0.9979223169444804
66	ACH-000787	0.997922468136045
66	ACH-000353	0.997922793127157
66	ACH-000139	0.9979229600153562
66	ACH-000860	0.997923170158346
66	ACH-000530	0.9979231742991526
66	ACH-000522	0.9979232526342829
66	ACH-000448	0.9979235807489454
66	ACH-000423	0.9979235915461753
66	ACH-000703	0.9979239899131455
66	ACH-000599	0.9979240541951712
66	ACH-000075	0.9979240572052309
66	ACH-000622	0.9979241178944174
66	ACH-000740	0.997924392926652
66	ACH-000417	0.9979248370650964
66	ACH-000153	0.9979251133826702
66	ACH-000775	0.997925180476856
66	ACH-000717	0.9979253817936079
66	ACH-000849	0.9979257201489159
66	ACH-000282	0.9979259561397059
66	ACH-000305	0.9979259668763993
66	ACH-000589	0.9979262181153461
66	ACH-000816	0.9979266064743494
66	ACH-000672	0.9979271583861216
66	ACH-000298	0.9979274343744977
66	ACH-000008	0.9979281317647006
66	ACH-000258	0.9979281954902655
66	ACH-000421	0.9979284838673742
66	ACH-000142	0.9979285363091187
66	ACH-000441	0.9979295740513583
66	ACH-000401	0.9979304824454206
66	ACH-000648	0.9979311636635944
66	ACH-000552	0.9979312363384625
66	ACH-000840	0.9979315911734427
66	ACH-000696	0.9979335044681171
66	ACH-000675	0.997935571387957
66	ACH-000425	0.997936640231853
66	ACH-000504	0.9979370090388526
66	ACH-000483	0.9979383116959654
66	ACH-000570	0.9979419538901786
66	ACH-000383	0.9979420900420101
66	ACH-000042	0.9979431567619548
66	ACH-000719	0.9979433163141197
66	ACH-000384	0.9979440488492818
66	ACH-000722	0.9979452775298338
66	ACH-000637	0.9979475517422937
66	ACH-000663	0.9979487823638278
66	ACH-000729	0.9979501462182601
66	ACH-000873	0.9979505512341152
66	ACH-000555	0.9979506909559026
66	ACH-000867	0.997951397741646
66	ACH-000890	0.9979517619612078
66	ACH-000613	0.997951794068354
66	ACH-000963	0.9979521576713614
66	ACH-000116	0.9979531306643912
66	ACH-000571	0.9979534003278169
66	ACH-000566	0.997953755384064
66	ACH-000001	0.9979538455950229
66	ACH-000264	0.9979539870866128
66	ACH-000900	0.9979542875054291
66	ACH-000047	0.9979554234298161
66	ACH-000290	0.9979563654158943
66	ACH-000916	0.9979569977322728
66	ACH-000823	0.9979570178113919
66	ACH-000979	0.9979575209080522
66	ACH-000111	0.997958387466521
66	ACH-000976	0.997958645237478
66	ACH-000189	0.9979587804696982
66	ACH-000098	0.997958955185175
66	ACH-000584	0.9979593650939642
66	ACH-000724	0.9979594563370433
66	ACH-000319	0.9979597257662304
66	ACH-000277	0.9979599524522983
66	ACH-000711	0.9979607057398358
66	ACH-000581	0.9979609121073736
66	ACH-000332	0.9979614403625576
66	ACH-000211	0.9979615088229833
66	ACH-000424	0.9979619608659887
66	ACH-000871	0.9979620003181446
66	ACH-000679	0.9979620069699632
66	ACH-000447	0.9979622138149322
66	ACH-000601	0.9979623244609133
66	ACH-000318	0.997962500825108
66	ACH-000169	0.9979632058885451
66	ACH-000191	0.9979638890117902
66	ACH-000491	0.9979649186880215
66	ACH-000391	0.9979653726978732
66	ACH-000545	0.9979657039604395
66	ACH-000254	0.9979674004598086
66	ACH-000187	0.9979675191687053
66	ACH-001016	0.9979675355448304
66	ACH-001089	0.99796801530681
66	ACH-000212	0.9979683772982169
66	ACH-000561	0.9979688417694603
66	ACH-000052	0.997968884892462
66	ACH-000351	0.9979698854128687
66	ACH-000475	0.9979703729309687
66	ACH-000238	0.9979710440920319
66	ACH-000171	0.99797155652075
66	ACH-000242	0.9979719891687973
66	ACH-000257	0.9979724754069641
66	ACH-000021	0.9979727486285119
66	ACH-000615	0.9979736252059226
66	ACH-000360	0.9979738238534995
66	ACH-000265	0.9979749891206746
66	ACH-000563	0.9979753962719546
66	ACH-000320	0.9979754321018317
66	ACH-000308	0.9979755182535646
66	ACH-000678	0.997977282772292
66	ACH-000118	0.997977483089164
66	ACH-000381	0.9979781847535801
66	ACH-000518	0.9979787123584389
66	ACH-001189	0.9979798538824457
66	ACH-000718	0.9979804253280687
66	ACH-000628	0.9979809793308211
66	ACH-000359	0.9979809828448666
