case	comparison	SNF: FDA & CGC
A033	case-profile	0.45666321372883845
A033	ACH-000188	0.9975121747053505
A033	ACH-000082	0.997515060508294
A033	ACH-000102	0.9975460959507852
A033	ACH-000535	0.9975562437569888
A033	ACH-001125	0.9975584849224624
A033	ACH-000040	0.9975887238456017
A033	ACH-000138	0.9975933334096472
A033	ACH-000989	0.9976185304643386
A033	ACH-000115	0.9976219803167049
A033	ACH-000201	0.9976364616011484
A033	ACH-000341	0.9976383545296849
A033	ACH-000087	0.9976383786789474
A033	ACH-000145	0.9976542655248533
A033	ACH-000012	0.9976625411721507
A033	ACH-000018	0.9976722614014181
A033	ACH-000361	0.9976840318551065
A033	ACH-000228	0.9976920745962219
A033	ACH-000486	0.9976971833542366
A033	ACH-000991	0.9976974103191238
A033	ACH-000231	0.9977076714162199
A033	ACH-000103	0.9977085683884259
A033	ACH-000147	0.9977187046273135
A033	ACH-000911	0.9977254483335741
A033	ACH-000078	0.9977280828462527
A033	ACH-000571	0.9977281252825522
A033	ACH-000570	0.9977305008048467
A033	ACH-000835	0.9977307873139419
A033	ACH-000713	0.9977338405742374
A033	ACH-000940	0.9977412763756529
A033	ACH-000469	0.9977438200228744
A033	ACH-001126	0.9977494774632273
A033	ACH-000947	0.997775218447107
A033	ACH-000574	0.9977790061882937
A033	ACH-000355	0.9977807699623853
A033	ACH-000219	0.9977927245804237
A033	ACH-000187	0.9978002502384633
A033	ACH-000668	0.9978015783592353
A033	ACH-000062	0.997804596126729
A033	ACH-000250	0.997808734128232
A033	ACH-000428	0.9978184208617307
A033	ACH-000562	0.9978233543741468
A033	ACH-000633	0.9978237147214135
A033	ACH-000132	0.9978257339340334
A033	ACH-000569	0.9978263823430596
A033	ACH-000530	0.9978269498034861
A033	ACH-000484	0.9978286117715195
A033	ACH-000681	0.9978324073887874
A033	ACH-000457	0.9978329432779497
A033	ACH-000335	0.9978352156964511
A033	ACH-000171	0.9978352620500212
A033	ACH-000957	0.9978355743445436
A033	ACH-000781	0.9978358530215892
A033	ACH-000544	0.9978361766064843
A033	ACH-000429	0.9978384844371081
A033	ACH-000966	0.9978395271777654
A033	ACH-000293	0.9978397761815253
A033	ACH-000094	0.9978405739763722
A033	ACH-000433	0.9978410351134406
A033	ACH-000778	0.9978416996372742
A033	ACH-000800	0.9978419098307767
A033	ACH-000476	0.9978419967856574
A033	ACH-000353	0.9978422600324254
A033	ACH-000798	0.9978434179733092
A033	ACH-000155	0.9978434823755052
A033	ACH-000787	0.9978452773107945
A033	ACH-000292	0.9978452943209908
A033	ACH-000223	0.9978470835196092
A033	ACH-000516	0.99784708673478
A033	ACH-000769	0.9978474702041653
A033	ACH-000376	0.9978483401932969
A033	ACH-001049	0.9978483892740514
A033	ACH-000610	0.9978484138843455
A033	ACH-000178	0.9978490973689773
A033	ACH-000506	0.9978491749840909
A033	ACH-000780	0.9978493235527169
A033	ACH-000772	0.9978494207755056
A033	ACH-000496	0.9978497397505762
A033	ACH-000522	0.9978498328892731
A033	ACH-000652	0.9978502328042105
A033	ACH-000430	0.9978503302461016
A033	ACH-000107	0.9978509483202336
A033	ACH-000482	0.9978513124110322
A033	ACH-000222	0.9978520217258523
A033	ACH-000816	0.9978522367041945
A033	ACH-000114	0.9978522686202054
A033	ACH-000861	0.9978523551195783
A033	ACH-000528	0.9978526012019759
A033	ACH-000532	0.9978528154126711
A033	ACH-000716	0.9978532647908321
A033	ACH-000743	0.997854304093281
A033	ACH-000825	0.9978543160659512
A033	ACH-000378	0.9978546685164171
A033	ACH-000159	0.9978548501104701
A033	ACH-000452	0.997855400040973
A033	ACH-000235	0.9978560387410258
A033	ACH-000394	0.9978567967447481
A033	ACH-000067	0.9978580316098985
A033	ACH-000329	0.997858158029139
A033	ACH-000620	0.9978583160945731
A033	ACH-000075	0.9978592525389451
A033	ACH-000717	0.9978603075728132
A033	ACH-000886	0.9978604168926529
A033	ACH-000501	0.9978607936454579
A033	ACH-000609	0.9978611594537806
A033	ACH-000830	0.9978611883499514
A033	ACH-000139	0.9978616580618179
A033	ACH-000599	0.9978617269929932
A033	ACH-000420	0.9978619195311953
A033	ACH-000400	0.9978620820631655
A033	ACH-000841	0.9978623024734052
A033	ACH-000767	0.9978626261097002
A033	ACH-000864	0.9978626888722059
A033	ACH-000309	0.9978629915182647
A033	ACH-000421	0.9978630757796246
A033	ACH-000840	0.9978630961327876
A033	ACH-000638	0.9978633727463387
A033	ACH-000858	0.997863484095728
A033	ACH-000696	0.9978637782174596
A033	ACH-000489	0.99786378212363
