case	comparison	SNF: FDA & CGC
Osteosarcoma-520000000041	case-profile	0.45683984209758344
Osteosarcoma-520000000041	ACH-000188	0.9974875269406037
Osteosarcoma-520000000041	ACH-000082	0.997511527855209
Osteosarcoma-520000000041	ACH-000102	0.997523397390627
Osteosarcoma-520000000041	ACH-000535	0.997531853855991
Osteosarcoma-520000000041	ACH-001125	0.9975322765230296
Osteosarcoma-520000000041	ACH-000138	0.9975907447392024
Osteosarcoma-520000000041	ACH-000115	0.997595078405735
Osteosarcoma-520000000041	ACH-000087	0.9976126440376379
Osteosarcoma-520000000041	ACH-000341	0.997613043447756
Osteosarcoma-520000000041	ACH-000989	0.9976204083513416
Osteosarcoma-520000000041	ACH-000201	0.9976216030859555
Osteosarcoma-520000000041	ACH-000145	0.997630447881171
Osteosarcoma-520000000041	ACH-000040	0.9976324530020709
Osteosarcoma-520000000041	ACH-000018	0.9976458940985392
Osteosarcoma-520000000041	ACH-000012	0.9976556712940029
Osteosarcoma-520000000041	ACH-000231	0.9976730518218819
Osteosarcoma-520000000041	ACH-000361	0.9976813482179586
Osteosarcoma-520000000041	ACH-000103	0.9976820463466687
Osteosarcoma-520000000041	ACH-000228	0.9976826330479075
Osteosarcoma-520000000041	ACH-000991	0.9977007747506141
Osteosarcoma-520000000041	ACH-000571	0.9977039319739621
Osteosarcoma-520000000041	ACH-000147	0.997714886725628
Osteosarcoma-520000000041	ACH-001126	0.9977265632015809
Osteosarcoma-520000000041	ACH-000835	0.9977292251167422
Osteosarcoma-520000000041	ACH-000911	0.9977322632873753
Osteosarcoma-520000000041	ACH-000078	0.9977340217498201
Osteosarcoma-520000000041	ACH-000713	0.9977363338932246
Osteosarcoma-520000000041	ACH-000570	0.9977368414757066
Osteosarcoma-520000000041	ACH-000469	0.9977393771506298
Osteosarcoma-520000000041	ACH-000355	0.9977519020067975
Osteosarcoma-520000000041	ACH-000574	0.9977523371658167
Osteosarcoma-520000000041	ACH-000926	0.9977591040842527
Osteosarcoma-520000000041	ACH-000947	0.9977653536886468
Osteosarcoma-520000000041	ACH-000668	0.9977751021045437
Osteosarcoma-520000000041	ACH-000187	0.9977767481482569
Osteosarcoma-520000000041	ACH-000250	0.9977839626224685
Osteosarcoma-520000000041	ACH-000940	0.9977861168425777
Osteosarcoma-520000000041	ACH-000781	0.997797836893013
Osteosarcoma-520000000041	ACH-000132	0.9977982169818241
Osteosarcoma-520000000041	ACH-000486	0.9977984384606142
Osteosarcoma-520000000041	ACH-000219	0.9977995504254799
Osteosarcoma-520000000041	ACH-000569	0.9977995789858376
Osteosarcoma-520000000041	ACH-000633	0.9978002107506305
Osteosarcoma-520000000041	ACH-000530	0.9978014371201933
Osteosarcoma-520000000041	ACH-000484	0.9978055205025913
Osteosarcoma-520000000041	ACH-000681	0.9978066876462951
Osteosarcoma-520000000041	ACH-000457	0.9978068624485223
Osteosarcoma-520000000041	ACH-000544	0.9978106221283355
Osteosarcoma-520000000041	ACH-000335	0.9978107797197491
Osteosarcoma-520000000041	ACH-000428	0.9978109341964754
Osteosarcoma-520000000041	ACH-000433	0.9978130922430479
Osteosarcoma-520000000041	ACH-000778	0.9978141352614197
Osteosarcoma-520000000041	ACH-000094	0.9978153571217898
Osteosarcoma-520000000041	ACH-000353	0.9978153659795214
Osteosarcoma-520000000041	ACH-000800	0.9978173257366213
Osteosarcoma-520000000041	ACH-000075	0.9978178729825828
Osteosarcoma-520000000041	ACH-000476	0.9978184119451923
Osteosarcoma-520000000041	ACH-000155	0.9978194753666405
Osteosarcoma-520000000041	ACH-000376	0.9978223937242394
Osteosarcoma-520000000041	ACH-000610	0.9978224053077802
Osteosarcoma-520000000041	ACH-000769	0.9978224195288191
Osteosarcoma-520000000041	ACH-000223	0.997823777092765
Osteosarcoma-520000000041	ACH-000772	0.9978239973927627
Osteosarcoma-520000000041	ACH-000107	0.9978249447650842
Osteosarcoma-520000000041	ACH-000562	0.997825022586878
Osteosarcoma-520000000041	ACH-000430	0.9978252386258375
Osteosarcoma-520000000041	ACH-000114	0.9978252976756038
Osteosarcoma-520000000041	ACH-000178	0.9978255571344444
Osteosarcoma-520000000041	ACH-000528	0.9978259184722381
Osteosarcoma-520000000041	ACH-000496	0.9978261280456281
Osteosarcoma-520000000041	ACH-000652	0.9978269834642255
Osteosarcoma-520000000041	ACH-000222	0.9978270100570334
Osteosarcoma-520000000041	ACH-000482	0.9978270873708477
Osteosarcoma-520000000041	ACH-000957	0.9978295400672819
Osteosarcoma-520000000041	ACH-000743	0.9978297177059787
Osteosarcoma-520000000041	ACH-000159	0.9978302457335747
Osteosarcoma-520000000041	ACH-000378	0.9978308380353411
Osteosarcoma-520000000041	ACH-000329	0.9978317306265527
Osteosarcoma-520000000041	ACH-000171	0.9978333624111376
Osteosarcoma-520000000041	ACH-000609	0.9978354565062606
Osteosarcoma-520000000041	ACH-000767	0.99783561423665
Osteosarcoma-520000000041	ACH-000420	0.997836621188292
Osteosarcoma-520000000041	ACH-000501	0.9978370041402965
Osteosarcoma-520000000041	ACH-000599	0.9978371179358675
Osteosarcoma-520000000041	ACH-000864	0.9978374062715281
Osteosarcoma-520000000041	ACH-000830	0.9978382457489998
Osteosarcoma-520000000041	ACH-000489	0.9978384652703992
Osteosarcoma-520000000041	ACH-000252	0.9978384681391339
Osteosarcoma-520000000041	ACH-000966	0.9978389399108172
Osteosarcoma-520000000041	ACH-000589	0.9978397260733899
Osteosarcoma-520000000041	ACH-000480	0.9978398882210889
Osteosarcoma-520000000041	ACH-000153	0.9978398975658437
Osteosarcoma-520000000041	ACH-000309	0.997840351336615
Osteosarcoma-520000000041	ACH-000740	0.9978408662085732
Osteosarcoma-520000000041	ACH-000470	0.9978414836284438
Osteosarcoma-520000000041	ACH-000858	0.9978417140431457
Osteosarcoma-520000000041	ACH-000826	0.9978417173886611
Osteosarcoma-520000000041	ACH-000555	0.9978570414881668
Osteosarcoma-520000000041	ACH-001016	0.9978571043589123
Osteosarcoma-520000000041	ACH-000798	0.9978576207640041
Osteosarcoma-520000000041	ACH-000098	0.9978580994650608
Osteosarcoma-520000000041	ACH-000067	0.9978584969642105
Osteosarcoma-520000000041	ACH-000663	0.9978612689083032
