case	comparison	SNF: FDA & CGC
Osteosarcoma-ACMS751	case-profile	0.45664342707292127
Osteosarcoma-ACMS751	ACH-000012	0.9973696243174734
Osteosarcoma-ACMS751	ACH-000359	0.9974897626630592
Osteosarcoma-ACMS751	ACH-000569	0.997491480475622
Osteosarcoma-ACMS751	ACH-000115	0.9975249575606244
Osteosarcoma-ACMS751	ACH-000355	0.997552626193477
Osteosarcoma-ACMS751	ACH-000749	0.9975613435761859
Osteosarcoma-ACMS751	ACH-000211	0.9975759694988944
Osteosarcoma-ACMS751	ACH-000155	0.9976335697536716
Osteosarcoma-ACMS751	ACH-000161	0.9976359104139947
Osteosarcoma-ACMS751	ACH-000092	0.9976381118214264
Osteosarcoma-ACMS751	ACH-000107	0.9976696386169945
Osteosarcoma-ACMS751	ACH-000989	0.9976762263255025
Osteosarcoma-ACMS751	ACH-000800	0.997692870197233
Osteosarcoma-ACMS751	ACH-000228	0.9976950789623347
Osteosarcoma-ACMS751	ACH-000547	0.9976998685978254
Osteosarcoma-ACMS751	ACH-000668	0.997701152679165
Osteosarcoma-ACMS751	ACH-000217	0.9977187296883033
Osteosarcoma-ACMS751	ACH-000257	0.9977213431558642
Osteosarcoma-ACMS751	ACH-000212	0.9977260680471868
Osteosarcoma-ACMS751	ACH-000572	0.9977302615545551
Osteosarcoma-ACMS751	ACH-000667	0.9977436380979148
Osteosarcoma-ACMS751	ACH-000463	0.9977468711738865
Osteosarcoma-ACMS751	ACH-000139	0.9977657141919388
Osteosarcoma-ACMS751	ACH-000018	0.9977678868781246
Osteosarcoma-ACMS751	ACH-000535	0.9977681512493348
Osteosarcoma-ACMS751	ACH-000153	0.9977686445002889
Osteosarcoma-ACMS751	ACH-000353	0.9977709654610293
Osteosarcoma-ACMS751	ACH-000376	0.9977741748972956
Osteosarcoma-ACMS751	ACH-000484	0.9977809846921645
Osteosarcoma-ACMS751	ACH-000544	0.9977836008998512
Osteosarcoma-ACMS751	ACH-000148	0.9977836289414894
Osteosarcoma-ACMS751	ACH-000552	0.9977844421014871
Osteosarcoma-ACMS751	ACH-000055	0.9977869096308758
Osteosarcoma-ACMS751	ACH-000482	0.9977912270907484
Osteosarcoma-ACMS751	ACH-000389	0.9977915135673172
Osteosarcoma-ACMS751	ACH-000769	0.9977932443936814
Osteosarcoma-ACMS751	ACH-000159	0.9977973486739072
Osteosarcoma-ACMS751	ACH-000457	0.9978005132620409
Osteosarcoma-ACMS751	ACH-000114	0.997800757945988
Osteosarcoma-ACMS751	ACH-000192	0.9978009944616901
Osteosarcoma-ACMS751	ACH-000250	0.99780168689509
Osteosarcoma-ACMS751	ACH-000480	0.9978031382116651
Osteosarcoma-ACMS751	ACH-000132	0.9978041438151319
Osteosarcoma-ACMS751	ACH-000681	0.997805073996267
Osteosarcoma-ACMS751	ACH-000696	0.997806093761098
Osteosarcoma-ACMS751	ACH-000772	0.9978073061469167
Osteosarcoma-ACMS751	ACH-000610	0.9978074143702864
Osteosarcoma-ACMS751	ACH-000574	0.9978074324774441
Osteosarcoma-ACMS751	ACH-000222	0.9978076298929299
Osteosarcoma-ACMS751	ACH-000351	0.997807642231257
Osteosarcoma-ACMS751	ACH-000178	0.997809749486233
Osteosarcoma-ACMS751	ACH-000188	0.9978102764606618
Osteosarcoma-ACMS751	ACH-000778	0.997810767550499
Osteosarcoma-ACMS751	ACH-000781	0.9978110560228519
Osteosarcoma-ACMS751	ACH-000433	0.9978122462969998
Osteosarcoma-ACMS751	ACH-000231	0.997812301675741
Osteosarcoma-ACMS751	ACH-000486	0.9978124901863921
Osteosarcoma-ACMS751	ACH-000530	0.9978127637950549
Osteosarcoma-ACMS751	ACH-000201	0.9978128582378243
Osteosarcoma-ACMS751	ACH-000430	0.9978140976102817
Osteosarcoma-ACMS751	ACH-000864	0.9978145278693005
Osteosarcoma-ACMS751	ACH-000094	0.9978154262832466
Osteosarcoma-ACMS751	ACH-000420	0.9978159314750144
Osteosarcoma-ACMS751	ACH-000075	0.9978162184533425
Osteosarcoma-ACMS751	ACH-000743	0.9978175826943908
Osteosarcoma-ACMS751	ACH-000767	0.9978184076454859
Osteosarcoma-ACMS751	ACH-000329	0.9978201901486171
Osteosarcoma-ACMS751	ACH-000830	0.9978205375547093
Osteosarcoma-ACMS751	ACH-000528	0.997820728215072
Osteosarcoma-ACMS751	ACH-000489	0.9978215666827414
Osteosarcoma-ACMS751	ACH-000102	0.9978226616353063
Osteosarcoma-ACMS751	ACH-000378	0.9978235955982407
Osteosarcoma-ACMS751	ACH-000633	0.9978237753612487
Osteosarcoma-ACMS751	ACH-000103	0.9978242003632897
Osteosarcoma-ACMS751	ACH-000335	0.9978242272813264
Osteosarcoma-ACMS751	ACH-001125	0.9978252915650747
Osteosarcoma-ACMS751	ACH-000652	0.9978254845120268
Osteosarcoma-ACMS751	ACH-000476	0.9978260947793186
Osteosarcoma-ACMS751	ACH-000252	0.9978268610002361
Osteosarcoma-ACMS751	ACH-000589	0.9978273711803326
Osteosarcoma-ACMS751	ACH-000609	0.9978274877172654
Osteosarcoma-ACMS751	ACH-000488	0.9978276038594632
Osteosarcoma-ACMS751	ACH-000740	0.9978288530895228
Osteosarcoma-ACMS751	ACH-000309	0.9978327901354952
Osteosarcoma-ACMS751	ACH-000599	0.9978333409111981
Osteosarcoma-ACMS751	ACH-000052	0.9978335951037407
Osteosarcoma-ACMS751	ACH-000496	0.9978342730056918
Osteosarcoma-ACMS751	ACH-000223	0.9978351089797644
Osteosarcoma-ACMS751	ACH-000470	0.9978384957650028
Osteosarcoma-ACMS751	ACH-000501	0.997838985340841
Osteosarcoma-ACMS751	ACH-000171	0.9978408568982551
Osteosarcoma-ACMS751	ACH-000826	0.9978418948733321
Osteosarcoma-ACMS751	ACH-000117	0.9978429416567717
Osteosarcoma-ACMS751	ACH-000001	0.9978453697301886
Osteosarcoma-ACMS751	ACH-000417	0.9978461423071858
Osteosarcoma-ACMS751	ACH-000858	0.9978464138799032
Osteosarcoma-ACMS751	ACH-000361	0.9978489907877321
Osteosarcoma-ACMS751	ACH-000724	0.9978507518505336
Osteosarcoma-ACMS751	ACH-000812	0.9978533397982656
Osteosarcoma-ACMS751	ACH-000108	0.9978540364729893
Osteosarcoma-ACMS751	ACH-000191	0.9978597094362722
Osteosarcoma-ACMS751	ACH-001090	0.9978604656920633
Osteosarcoma-ACMS751	ACH-000265	0.997861808111778
Osteosarcoma-ACMS751	ACH-000087	0.9978644599705996
Osteosarcoma-ACMS751	ACH-000111	0.9978655604843829
Osteosarcoma-ACMS751	ACH-000341	0.99786594824659
Osteosarcoma-ACMS751	ACH-000451	0.9978695442929297
Osteosarcoma-ACMS751	ACH-000624	0.9978703339335226
Osteosarcoma-ACMS751	ACH-000116	0.9978742900779599
Osteosarcoma-ACMS751	ACH-000756	0.9978747857646443
Osteosarcoma-ACMS751	ACH-000142	0.9978751840923167
Osteosarcoma-ACMS751	ACH-000596	0.9978772122596936
Osteosarcoma-ACMS751	ACH-000030	0.9978781673450208
Osteosarcoma-ACMS751	ACH-000716	0.9978787514419658
Osteosarcoma-ACMS751	ACH-000288	0.9978800376319347
Osteosarcoma-ACMS751	ACH-000291	0.9978803309974785
Osteosarcoma-ACMS751	ACH-000643	0.9978805213330038
Osteosarcoma-ACMS751	ACH-000008	0.9978805652443927
Osteosarcoma-ACMS751	ACH-000067	0.997881629513702
Osteosarcoma-ACMS751	ACH-000098	0.997882401178182
Osteosarcoma-ACMS751	ACH-000571	0.9978849620826545
Osteosarcoma-ACMS751	ACH-000062	0.9978854203561122
Osteosarcoma-ACMS751	ACH-000853	0.9978869694088056
Osteosarcoma-ACMS751	ACH-000391	0.9978874484832303
Osteosarcoma-ACMS751	ACH-000483	0.9978884448202182
Osteosarcoma-ACMS751	ACH-000648	0.9978886089999315
Osteosarcoma-ACMS751	ACH-000322	0.9978891460876088
Osteosarcoma-ACMS751	ACH-000187	0.997890037704676
Osteosarcoma-ACMS751	ACH-000675	0.9978901497240847
Osteosarcoma-ACMS751	ACH-000332	0.9978903601325024
Osteosarcoma-ACMS751	ACH-000394	0.997890458360259
Osteosarcoma-ACMS751	ACH-000174	0.9978906193483777
Osteosarcoma-ACMS751	ACH-000595	0.9978907235643963
Osteosarcoma-ACMS751	ACH-000663	0.997890819015292
Osteosarcoma-ACMS751	ACH-000311	0.9978911968452734
Osteosarcoma-ACMS751	ACH-000510	0.9978912016141961
Osteosarcoma-ACMS751	ACH-000254	0.9978913405260792
Osteosarcoma-ACMS751	ACH-000525	0.997892202374147
Osteosarcoma-ACMS751	ACH-000566	0.9978922272425751
Osteosarcoma-ACMS751	ACH-000258	0.9978925432120608
Osteosarcoma-ACMS751	ACH-000783	0.9978925620901297
Osteosarcoma-ACMS751	ACH-000348	0.9978928440764496
Osteosarcoma-ACMS751	ACH-000100	0.9978930153956005
Osteosarcoma-ACMS751	ACH-000138	0.9978933531131002
Osteosarcoma-ACMS751	ACH-000109	0.9978938589215965
Osteosarcoma-ACMS751	ACH-000442	0.9978939658540021
Osteosarcoma-ACMS751	ACH-000962	0.9978941543310156
Osteosarcoma-ACMS751	ACH-000290	0.9978948764596616
Osteosarcoma-ACMS751	ACH-000374	0.9978950956967173
Osteosarcoma-ACMS751	ACH-000759	0.9978951118099959
Osteosarcoma-ACMS751	ACH-001016	0.9978952559522225
Osteosarcoma-ACMS751	ACH-000145	0.9978961140734144
Osteosarcoma-ACMS751	ACH-000532	0.9978963539582005
Osteosarcoma-ACMS751	ACH-000121	0.9978966603255165
Osteosarcoma-ACMS751	ACH-000181	0.997897772198096
Osteosarcoma-ACMS751	ACH-000565	0.9978983621434175
Osteosarcoma-ACMS751	ACH-000747	0.9978987189356725
Osteosarcoma-ACMS751	ACH-000835	0.9978987236051897
Osteosarcoma-ACMS751	ACH-000863	0.997899180848786
Osteosarcoma-ACMS751	ACH-000810	0.9978994484997253
Osteosarcoma-ACMS751	ACH-000366	0.9979003413879239
Osteosarcoma-ACMS751	ACH-000396	0.9979004308986688
Osteosarcoma-ACMS751	ACH-000349	0.9979005306720031
Osteosarcoma-ACMS751	ACH-000425	0.9979010784847137
Osteosarcoma-ACMS751	ACH-000555	0.9979011859373255
Osteosarcoma-ACMS751	ACH-001065	0.9979011880702425
Osteosarcoma-ACMS751	ACH-000647	0.9979012842363011
Osteosarcoma-ACMS751	ACH-000293	0.9979017297627207
Osteosarcoma-ACMS751	ACH-000798	0.9979018545062421
Osteosarcoma-ACMS751	ACH-000560	0.9979022088260916
Osteosarcoma-ACMS751	ACH-001126	0.9979026568298438
Osteosarcoma-ACMS751	ACH-000292	0.9979030141901221
Osteosarcoma-ACMS751	ACH-000235	0.9979032952899601
Osteosarcoma-ACMS751	ACH-000129	0.997903338146567
Osteosarcoma-ACMS751	ACH-000524	0.9979037538983874
Osteosarcoma-ACMS751	ACH-000441	0.9979039692473798
Osteosarcoma-ACMS751	ACH-000516	0.99790408776223
