case	comparison	SNF: FDA & CGC
Osteosarcoma-BAC325	case-profile	0.45664141643597167
Osteosarcoma-BAC325	ACH-000149	0.997339012190804
Osteosarcoma-BAC325	ACH-000102	0.9974449559642243
Osteosarcoma-BAC325	ACH-000099	0.9975409892019133
Osteosarcoma-BAC325	ACH-000092	0.9975441338043974
Osteosarcoma-BAC325	ACH-000609	0.9975576163852725
Osteosarcoma-BAC325	ACH-000187	0.997577679296746
Osteosarcoma-BAC325	ACH-000555	0.9975885402690189
Osteosarcoma-BAC325	ACH-000293	0.9975889714429705
Osteosarcoma-BAC325	ACH-000396	0.9976373204172122
Osteosarcoma-BAC325	ACH-000663	0.9976397461078275
Osteosarcoma-BAC325	ACH-000989	0.9976531308401222
Osteosarcoma-BAC325	ACH-000572	0.9976616535326487
Osteosarcoma-BAC325	ACH-000191	0.9976819740789105
Osteosarcoma-BAC325	ACH-000544	0.9976856943825417
Osteosarcoma-BAC325	ACH-000335	0.9976859979427618
Osteosarcoma-BAC325	ACH-000420	0.99769637679679
Osteosarcoma-BAC325	ACH-001089	0.9976972663951438
Osteosarcoma-BAC325	ACH-000979	0.9977042606341638
Osteosarcoma-BAC325	ACH-000528	0.9977153305023732
Osteosarcoma-BAC325	ACH-000348	0.9977163542845874
Osteosarcoma-BAC325	ACH-000688	0.9977366341402077
Osteosarcoma-BAC325	ACH-000457	0.997741675632629
Osteosarcoma-BAC325	ACH-000129	0.9977429022509985
Osteosarcoma-BAC325	ACH-000835	0.9977560313812462
Osteosarcoma-BAC325	ACH-000670	0.9977616233523598
Osteosarcoma-BAC325	ACH-000100	0.9977749954693695
Osteosarcoma-BAC325	ACH-000569	0.9977855232457717
Osteosarcoma-BAC325	ACH-000201	0.9977868334868465
Osteosarcoma-BAC325	ACH-000231	0.9977874353930927
Osteosarcoma-BAC325	ACH-000522	0.9977881779836156
Osteosarcoma-BAC325	ACH-000178	0.9977902814898371
Osteosarcoma-BAC325	ACH-000530	0.9977959033022323
Osteosarcoma-BAC325	ACH-000781	0.9977964522746116
Osteosarcoma-BAC325	ACH-000329	0.9977972111719506
Osteosarcoma-BAC325	ACH-000681	0.9977991745649795
Osteosarcoma-BAC325	ACH-000007	0.9978001298003891
Osteosarcoma-BAC325	ACH-000188	0.997800532138606
Osteosarcoma-BAC325	ACH-000482	0.9978007598253354
Osteosarcoma-BAC325	ACH-000223	0.9978011132292293
Osteosarcoma-BAC325	ACH-000433	0.9978012809965048
Osteosarcoma-BAC325	ACH-000018	0.9978016394313991
Osteosarcoma-BAC325	ACH-000769	0.9978024183714043
Osteosarcoma-BAC325	ACH-000353	0.9978032199163258
Osteosarcoma-BAC325	ACH-000282	0.9978044637207989
Osteosarcoma-BAC325	ACH-000355	0.9978064905656274
Osteosarcoma-BAC325	ACH-000361	0.9978073875553897
Osteosarcoma-BAC325	ACH-000009	0.9978074936243879
Osteosarcoma-BAC325	ACH-000480	0.9978076280090726
Osteosarcoma-BAC325	ACH-000484	0.9978078022698307
Osteosarcoma-BAC325	ACH-000259	0.9978099800041484
Osteosarcoma-BAC325	ACH-000376	0.9978114027218313
Osteosarcoma-BAC325	ACH-000580	0.9978133147758372
Osteosarcoma-BAC325	ACH-000222	0.9978145771668311
Osteosarcoma-BAC325	ACH-000486	0.997814629890742
Osteosarcoma-BAC325	ACH-000633	0.9978170097223942
Osteosarcoma-BAC325	ACH-000650	0.9978172981107011
Osteosarcoma-BAC325	ACH-000078	0.9978183521899066
Osteosarcoma-BAC325	ACH-000159	0.9978212094526145
Osteosarcoma-BAC325	ACH-001125	0.9978213077641456
Osteosarcoma-BAC325	ACH-000574	0.9978214005117244
Osteosarcoma-BAC325	ACH-000535	0.9978218776261685
Osteosarcoma-BAC325	ACH-000652	0.9978234961385521
Osteosarcoma-BAC325	ACH-000496	0.9978236187290258
Osteosarcoma-BAC325	ACH-000476	0.9978237790553072
Osteosarcoma-BAC325	ACH-000378	0.9978241605218843
Osteosarcoma-BAC325	ACH-000103	0.997824583700465
Osteosarcoma-BAC325	ACH-000252	0.9978253472943894
Osteosarcoma-BAC325	ACH-000114	0.9978257452567835
Osteosarcoma-BAC325	ACH-000075	0.997826471002547
Osteosarcoma-BAC325	ACH-000772	0.997826558663746
Osteosarcoma-BAC325	ACH-000132	0.9978266728806526
Osteosarcoma-BAC325	ACH-000094	0.9978267438676927
Osteosarcoma-BAC325	ACH-000430	0.9978282548748298
Osteosarcoma-BAC325	ACH-000107	0.9978287309854105
Osteosarcoma-BAC325	ACH-000599	0.9978289891331132
Osteosarcoma-BAC325	ACH-000740	0.99782913606621
Osteosarcoma-BAC325	ACH-000470	0.9978310856734158
Osteosarcoma-BAC325	ACH-000545	0.9978315680839621
Osteosarcoma-BAC325	ACH-000864	0.9978317020506595
