case	comparison	SNF: FDA & CGC
Osteosarcoma-BPG552	case-profile	0.45672601790339273
Osteosarcoma-BPG552	ACH-000129	0.9972723217768074
Osteosarcoma-BPG552	ACH-000210	0.9974265849439626
Osteosarcoma-BPG552	ACH-000148	0.9974406639186513
Osteosarcoma-BPG552	ACH-000335	0.9975168295861919
Osteosarcoma-BPG552	ACH-001125	0.9975238680326663
Osteosarcoma-BPG552	ACH-000018	0.9975256910182436
Osteosarcoma-BPG552	ACH-000488	0.9975573483090704
Osteosarcoma-BPG552	ACH-000103	0.9975627695471558
Osteosarcoma-BPG552	ACH-000864	0.9975818190901621
Osteosarcoma-BPG552	ACH-000121	0.9975882156341119
Osteosarcoma-BPG552	ACH-000349	0.9976031007035017
Osteosarcoma-BPG552	ACH-000359	0.9976054964097052
Osteosarcoma-BPG552	ACH-000589	0.9976084510073602
Osteosarcoma-BPG552	ACH-000442	0.9976173642521464
Osteosarcoma-BPG552	ACH-001065	0.9976240801727234
Osteosarcoma-BPG552	ACH-000860	0.9976253290251914
Osteosarcoma-BPG552	ACH-000679	0.9976267764827569
Osteosarcoma-BPG552	ACH-000288	0.9976331275211918
Osteosarcoma-BPG552	ACH-000871	0.9976526610391614
Osteosarcoma-BPG552	ACH-000304	0.9976657239610749
Osteosarcoma-BPG552	ACH-000930	0.9976738554040736
Osteosarcoma-BPG552	ACH-000510	0.9976824405882939
Osteosarcoma-BPG552	ACH-000102	0.9977115926572804
Osteosarcoma-BPG552	ACH-000527	0.9977124214833795
Osteosarcoma-BPG552	ACH-000704	0.9977185996164578
Osteosarcoma-BPG552	ACH-000548	0.9977301578455061
Osteosarcoma-BPG552	ACH-000153	0.9977379191513847
Osteosarcoma-BPG552	ACH-000756	0.9977420741708084
Osteosarcoma-BPG552	ACH-000109	0.9977567706238669
Osteosarcoma-BPG552	ACH-000562	0.9977575136703964
Osteosarcoma-BPG552	ACH-001016	0.9977633710930155
Osteosarcoma-BPG552	ACH-000792	0.9977748987378913
Osteosarcoma-BPG552	ACH-000716	0.9977825947066458
Osteosarcoma-BPG552	ACH-000117	0.9977858354144994
Osteosarcoma-BPG552	ACH-000400	0.9977859857267761
Osteosarcoma-BPG552	ACH-000743	0.9977879938968682
Osteosarcoma-BPG552	ACH-000376	0.9977925640857304
Osteosarcoma-BPG552	ACH-000569	0.9977926674174297
Osteosarcoma-BPG552	ACH-000430	0.997800404279516
Osteosarcoma-BPG552	ACH-000633	0.9978013149030799
Osteosarcoma-BPG552	ACH-000769	0.9978014501022452
Osteosarcoma-BPG552	ACH-000530	0.9978048342175523
Osteosarcoma-BPG552	ACH-000223	0.9978056753959162
Osteosarcoma-BPG552	ACH-000353	0.9978073818694839
Osteosarcoma-BPG552	ACH-000309	0.9978124999887802
Osteosarcoma-BPG552	ACH-000544	0.9978134817658287
Osteosarcoma-BPG552	ACH-000535	0.9978160062145065
Osteosarcoma-BPG552	ACH-000155	0.9978176892631369
Osteosarcoma-BPG552	ACH-000560	0.9978191829743797
Osteosarcoma-BPG552	ACH-000574	0.997822304300671
Osteosarcoma-BPG552	ACH-000480	0.9978223807615033
Osteosarcoma-BPG552	ACH-000433	0.9978224251812605
Osteosarcoma-BPG552	ACH-000778	0.9978226321759867
Osteosarcoma-BPG552	ACH-000609	0.9978229955528198
Osteosarcoma-BPG552	ACH-000250	0.9978243043792807
Osteosarcoma-BPG552	ACH-000329	0.9978247021155786
Osteosarcoma-BPG552	ACH-000075	0.9978256187500816
Osteosarcoma-BPG552	ACH-000655	0.9978262969354001
Osteosarcoma-BPG552	ACH-000740	0.9978269807087726
Osteosarcoma-BPG552	ACH-000178	0.9978272744202977
Osteosarcoma-BPG552	ACH-000767	0.9978272919959289
Osteosarcoma-BPG552	ACH-000610	0.9978274784613964
Osteosarcoma-BPG552	ACH-000252	0.997828481162467
Osteosarcoma-BPG552	ACH-000681	0.997829460643548
Osteosarcoma-BPG552	ACH-000132	0.9978295451437
Osteosarcoma-BPG552	ACH-000352	0.99782976897485
Osteosarcoma-BPG552	ACH-000201	0.997830405388115
Osteosarcoma-BPG552	ACH-000800	0.9978305143271179
Osteosarcoma-BPG552	ACH-000094	0.9978305598537403
Osteosarcoma-BPG552	ACH-000188	0.9978309019363594
Osteosarcoma-BPG552	ACH-000107	0.9978317534375504
Osteosarcoma-BPG552	ACH-000417	0.9978318390583726
Osteosarcoma-BPG552	ACH-000668	0.9978319897156875
Osteosarcoma-BPG552	ACH-000476	0.9978325927368548
Osteosarcoma-BPG552	ACH-001024	0.997832615951378
Osteosarcoma-BPG552	ACH-000599	0.9978335964345105
Osteosarcoma-BPG552	ACH-000486	0.9978336519453179
Osteosarcoma-BPG552	ACH-000355	0.9978339975771323
Osteosarcoma-BPG552	ACH-000489	0.9978350255978582
Osteosarcoma-BPG552	ACH-000501	0.997836326396089
Osteosarcoma-BPG552	ACH-000528	0.9978378196341412
Osteosarcoma-BPG552	ACH-000781	0.9978381521372631
Osteosarcoma-BPG552	ACH-000114	0.9978382574466443
Osteosarcoma-BPG552	ACH-000159	0.997838412525641
Osteosarcoma-BPG552	ACH-000231	0.9978386284415596
Osteosarcoma-BPG552	ACH-000772	0.997838790884714
Osteosarcoma-BPG552	ACH-000457	0.997838818815712
Osteosarcoma-BPG552	ACH-000482	0.9978388434955847
