case	comparison	SNF: FDA & CGC
Osteosarcoma-BSP391	case-profile	0.45642588202280876
Osteosarcoma-BSP391	ACH-000361	0.9975307134019825
Osteosarcoma-BSP391	ACH-000201	0.9975827028484447
Osteosarcoma-BSP391	ACH-000078	0.9975862482181459
Osteosarcoma-BSP391	ACH-000989	0.9976207763081438
Osteosarcoma-BSP391	ACH-000569	0.9976339722146406
Osteosarcoma-BSP391	ACH-000428	0.9976493792811496
Osteosarcoma-BSP391	ACH-000075	0.9976707953835925
Osteosarcoma-BSP391	ACH-000102	0.9976743369773939
Osteosarcoma-BSP391	ACH-000159	0.9976771909095931
Osteosarcoma-BSP391	ACH-000514	0.9976829229830517
Osteosarcoma-BSP391	ACH-000433	0.9976830487289441
Osteosarcoma-BSP391	ACH-000178	0.9976890230045834
Osteosarcoma-BSP391	ACH-000991	0.997705221362951
Osteosarcoma-BSP391	ACH-000355	0.9977128707154213
Osteosarcoma-BSP391	ACH-000911	0.9977247677738045
Osteosarcoma-BSP391	ACH-000835	0.9977301894378229
Osteosarcoma-BSP391	ACH-000570	0.9977322798471224
Osteosarcoma-BSP391	ACH-000149	0.997737341099933
Osteosarcoma-BSP391	ACH-000129	0.9977422560471123
Osteosarcoma-BSP391	ACH-000571	0.9977459976894424
Osteosarcoma-BSP391	ACH-000099	0.9977500391099067
Osteosarcoma-BSP391	ACH-000625	0.9977506839548097
Osteosarcoma-BSP391	ACH-000442	0.9977547532533113
Osteosarcoma-BSP391	ACH-000322	0.9977595614237916
Osteosarcoma-BSP391	ACH-000558	0.9977728546283692
Osteosarcoma-BSP391	ACH-000609	0.9977777396797053
Osteosarcoma-BSP391	ACH-000457	0.9977780073249132
Osteosarcoma-BSP391	ACH-000219	0.9977878908892953
Osteosarcoma-BSP391	ACH-000265	0.9977894059686236
Osteosarcoma-BSP391	ACH-000947	0.9977896427611278
Osteosarcoma-BSP391	ACH-000018	0.9977922218623146
Osteosarcoma-BSP391	ACH-000486	0.9977957065419943
Osteosarcoma-BSP391	ACH-000544	0.9977960555103954
Osteosarcoma-BSP391	ACH-000681	0.9977974164890658
Osteosarcoma-BSP391	ACH-000535	0.997800226215585
Osteosarcoma-BSP391	ACH-000189	0.9978009373062856
Osteosarcoma-BSP391	ACH-000250	0.9978016350588967
Osteosarcoma-BSP391	ACH-000103	0.9978041995960223
Osteosarcoma-BSP391	ACH-000329	0.9978049088428851
Osteosarcoma-BSP391	ACH-000781	0.9978068836875764
Osteosarcoma-BSP391	ACH-001125	0.9978079136622745
Osteosarcoma-BSP391	ACH-000430	0.9978085503674883
Osteosarcoma-BSP391	ACH-000335	0.9978104576178793
Osteosarcoma-BSP391	ACH-000940	0.9978106196156343
Osteosarcoma-BSP391	ACH-000555	0.9978111444077948
Osteosarcoma-BSP391	ACH-000376	0.9978129336473754
Osteosarcoma-BSP391	ACH-000476	0.99781480319468
Osteosarcoma-BSP391	ACH-000657	0.9978161914592119
Osteosarcoma-BSP391	ACH-000244	0.9978195382248343
