case	comparison	SNF: FDA & CGC
Osteosarcoma-CAA768	case-profile	0.4568361835242598
Osteosarcoma-CAA768	ACH-000571	0.9973179638926312
Osteosarcoma-CAA768	ACH-000668	0.9974732193489154
Osteosarcoma-CAA768	ACH-000389	0.9974994188373192
Osteosarcoma-CAA768	ACH-000376	0.9975096306716664
Osteosarcoma-CAA768	ACH-000075	0.9975111218629168
Osteosarcoma-CAA768	ACH-000145	0.9975761781991642
Osteosarcoma-CAA768	ACH-000425	0.9975842892247633
Osteosarcoma-CAA768	ACH-000115	0.9976013335731102
Osteosarcoma-CAA768	ACH-000849	0.9976217189829502
Osteosarcoma-CAA768	ACH-000394	0.9976295247932369
Osteosarcoma-CAA768	ACH-000298	0.9976481262928846
Osteosarcoma-CAA768	ACH-000522	0.9976683782388073
Osteosarcoma-CAA768	ACH-000420	0.9976696940994665
Osteosarcoma-CAA768	ACH-000433	0.9976721447361012
Osteosarcoma-CAA768	ACH-000244	0.9976746720474036
Osteosarcoma-CAA768	ACH-000562	0.9976765121868971
Osteosarcoma-CAA768	ACH-000570	0.9976867457378009
Osteosarcoma-CAA768	ACH-000040	0.9976889104047596
Osteosarcoma-CAA768	ACH-000947	0.9976966563453215
Osteosarcoma-CAA768	ACH-000866	0.9977349164057788
Osteosarcoma-CAA768	ACH-000547	0.9977381974863894
Osteosarcoma-CAA768	ACH-000955	0.997753040729306
Osteosarcoma-CAA768	ACH-000706	0.9977599535042898
Osteosarcoma-CAA768	ACH-000102	0.9977684504539158
Osteosarcoma-CAA768	ACH-001126	0.9977706562693712
Osteosarcoma-CAA768	ACH-000092	0.9977725624022484
Osteosarcoma-CAA768	ACH-000292	0.9977763386467028
Osteosarcoma-CAA768	ACH-000329	0.9977793739813876
Osteosarcoma-CAA768	ACH-000355	0.9977794937621582
Osteosarcoma-CAA768	ACH-000970	0.9977822328788418
Osteosarcoma-CAA768	ACH-000225	0.9977831079446238
Osteosarcoma-CAA768	ACH-000486	0.997783134459095
Osteosarcoma-CAA768	ACH-000816	0.997789426062815
Osteosarcoma-CAA768	ACH-000012	0.9977947165777776
Osteosarcoma-CAA768	ACH-000231	0.9977956795533405
Osteosarcoma-CAA768	ACH-000530	0.9977963055612613
Osteosarcoma-CAA768	ACH-001125	0.9977967501757419
Osteosarcoma-CAA768	ACH-000335	0.9977975027898554
Osteosarcoma-CAA768	ACH-000767	0.9977984362673448
