case	comparison	SNF: FDA & CGC
Osteosarcoma-CLCM022	case-profile	0.4585428807545543
Osteosarcoma-CLCM022	ACH-000457	0.9972436726475156
Osteosarcoma-CLCM022	ACH-000361	0.9974946239875799
Osteosarcoma-CLCM022	ACH-000341	0.9975214916212094
Osteosarcoma-CLCM022	ACH-000219	0.9975228413975784
Osteosarcoma-CLCM022	ACH-000092	0.9975348263937072
Osteosarcoma-CLCM022	ACH-000389	0.997549056294312
Osteosarcoma-CLCM022	ACH-000625	0.9975508690317508
Osteosarcoma-CLCM022	ACH-000040	0.9975533072588044
Osteosarcoma-CLCM022	ACH-000428	0.9975540927901967
Osteosarcoma-CLCM022	ACH-000078	0.9975729833695459
Osteosarcoma-CLCM022	ACH-000738	0.9975802627523294
Osteosarcoma-CLCM022	ACH-000384	0.9975992942520028
Osteosarcoma-CLCM022	ACH-000570	0.9976108395036387
Osteosarcoma-CLCM022	ACH-000009	0.9976318797687391
Osteosarcoma-CLCM022	ACH-000148	0.99763459661557
Osteosarcoma-CLCM022	ACH-000616	0.9976425184194895
Osteosarcoma-CLCM022	ACH-000243	0.9976541529701259
Osteosarcoma-CLCM022	ACH-001189	0.9976553041102334
Osteosarcoma-CLCM022	ACH-000823	0.9976716787539123
Osteosarcoma-CLCM022	ACH-000665	0.997671822757172
Osteosarcoma-CLCM022	ACH-000827	0.9976722304881598
Osteosarcoma-CLCM022	ACH-000282	0.9976729778931506
Osteosarcoma-CLCM022	ACH-000571	0.9976731977293446
Osteosarcoma-CLCM022	ACH-001023	0.9976823412355309
Osteosarcoma-CLCM022	ACH-000776	0.997686214516464
Osteosarcoma-CLCM022	ACH-000787	0.9976866948679446
Osteosarcoma-CLCM022	ACH-001125	0.997695271576338
Osteosarcoma-CLCM022	ACH-000596	0.9977106962946972
Osteosarcoma-CLCM022	ACH-000098	0.9977109582526611
Osteosarcoma-CLCM022	ACH-000892	0.9977122005197533
Osteosarcoma-CLCM022	ACH-000116	0.9977203121400686
Osteosarcoma-CLCM022	ACH-000264	0.9977391084357511
Osteosarcoma-CLCM022	ACH-000878	0.9977392670178207
Osteosarcoma-CLCM022	ACH-000483	0.9977427664347355
Osteosarcoma-CLCM022	ACH-000569	0.9977465321219476
Osteosarcoma-CLCM022	ACH-000906	0.9977498036291517
Osteosarcoma-CLCM022	ACH-000434	0.9977532955739211
Osteosarcoma-CLCM022	ACH-000015	0.9977543104168005
Osteosarcoma-CLCM022	ACH-000186	0.9977548618158486
Osteosarcoma-CLCM022	ACH-001090	0.9977559386096546
Osteosarcoma-CLCM022	ACH-000352	0.9977581736725051
Osteosarcoma-CLCM022	ACH-000883	0.9977583750083993
Osteosarcoma-CLCM022	ACH-000651	0.9977595112314952
Osteosarcoma-CLCM022	ACH-000759	0.9977596034237041
Osteosarcoma-CLCM022	ACH-000927	0.9977600236391344
Osteosarcoma-CLCM022	ACH-000416	0.9977609861852246
Osteosarcoma-CLCM022	ACH-000572	0.997761533669492
Osteosarcoma-CLCM022	ACH-000381	0.9977633084029173
Osteosarcoma-CLCM022	ACH-000145	0.9977656469790752
Osteosarcoma-CLCM022	ACH-000437	0.9977672308980733
Osteosarcoma-CLCM022	ACH-000475	0.997770615831797
Osteosarcoma-CLCM022	ACH-000778	0.9977709362320412
Osteosarcoma-CLCM022	ACH-000926	0.9977743950143898
Osteosarcoma-CLCM022	ACH-000359	0.9977750936372962
Osteosarcoma-CLCM022	ACH-000783	0.997775722023814
Osteosarcoma-CLCM022	ACH-000663	0.9977758963367646
Osteosarcoma-CLCM022	ACH-000236	0.9977789370836873
Osteosarcoma-CLCM022	ACH-000298	0.9977794854150711
Osteosarcoma-CLCM022	ACH-000756	0.9977800618347782
Osteosarcoma-CLCM022	ACH-000100	0.9977803543951418
Osteosarcoma-CLCM022	ACH-000111	0.9977832993465368
Osteosarcoma-CLCM022	ACH-000374	0.9977837000638873
Osteosarcoma-CLCM022	ACH-000181	0.9977846029889986
Osteosarcoma-CLCM022	ACH-000211	0.9977870303987576
Osteosarcoma-CLCM022	ACH-000108	0.9977870594127991
Osteosarcoma-CLCM022	ACH-000265	0.9977871552689335
Osteosarcoma-CLCM022	ACH-000730	0.9977873468977779
Osteosarcoma-CLCM022	ACH-000489	0.997787904826183
Osteosarcoma-CLCM022	ACH-000115	0.9977907504885277
Osteosarcoma-CLCM022	ACH-000401	0.9977913401048125
Osteosarcoma-CLCM022	ACH-000558	0.9977930933978838
Osteosarcoma-CLCM022	ACH-000555	0.9977939416904172
Osteosarcoma-CLCM022	ACH-000595	0.9977939600033151
Osteosarcoma-CLCM022	ACH-000187	0.9977940123447941
Osteosarcoma-CLCM022	ACH-001016	0.9977943526254772
Osteosarcoma-CLCM022	ACH-000706	0.9977949642937134
Osteosarcoma-CLCM022	ACH-000525	0.9977951016252722
Osteosarcoma-CLCM022	ACH-001190	0.9977955478165399
Osteosarcoma-CLCM022	ACH-000624	0.9977956911407542
Osteosarcoma-CLCM022	ACH-000451	0.9977965034044015
Osteosarcoma-CLCM022	ACH-000257	0.9977979547404522
Osteosarcoma-CLCM022	ACH-000212	0.9978024183554357
Osteosarcoma-CLCM022	ACH-000748	0.9978029021798045
Osteosarcoma-CLCM022	ACH-000087	0.9978038855197937
Osteosarcoma-CLCM022	ACH-001126	0.9978039630240813
Osteosarcoma-CLCM022	ACH-000254	0.9978045928472089
Osteosarcoma-CLCM022	ACH-000217	0.9978071571105203
Osteosarcoma-CLCM022	ACH-000693	0.9978085612498223
Osteosarcoma-CLCM022	ACH-000647	0.9978089510635486
Osteosarcoma-CLCM022	ACH-000200	0.9978097295805276
Osteosarcoma-CLCM022	ACH-000174	0.9978098859653993
Osteosarcoma-CLCM022	ACH-000560	0.9978107873522564
Osteosarcoma-CLCM022	ACH-000364	0.997810883270898
Osteosarcoma-CLCM022	ACH-000585	0.9978115066305925
Osteosarcoma-CLCM022	ACH-000903	0.9978119298069932
Osteosarcoma-CLCM022	ACH-000366	0.9978127555041765
Osteosarcoma-CLCM022	ACH-000621	0.9978129120284902
Osteosarcoma-CLCM022	ACH-000510	0.9978139047527559
Osteosarcoma-CLCM022	ACH-000332	0.9978143382426159
Osteosarcoma-CLCM022	ACH-000438	0.9978150805972731
Osteosarcoma-CLCM022	ACH-000724	0.9978157877824149
Osteosarcoma-CLCM022	ACH-000565	0.9978180317851655
Osteosarcoma-CLCM022	ACH-000431	0.9978183460316494
