case	comparison	SNF: FDA & CGC
Osteosarcoma-IVSS621	case-profile	0.456701067806502
Osteosarcoma-IVSS621	ACH-000570	0.9970330042972023
Osteosarcoma-IVSS621	ACH-000364	0.9970631466852808
Osteosarcoma-IVSS621	ACH-000719	0.9973566814246466
Osteosarcoma-IVSS621	ACH-000238	0.9974761849778506
Osteosarcoma-IVSS621	ACH-000647	0.9974991793819104
Osteosarcoma-IVSS621	ACH-000092	0.9975125168008013
Osteosarcoma-IVSS621	ACH-000545	0.9975450887721694
Osteosarcoma-IVSS621	ACH-000298	0.9975594007310803
Osteosarcoma-IVSS621	ACH-000518	0.9975751022182647
Osteosarcoma-IVSS621	ACH-000078	0.9975829635933632
Osteosarcoma-IVSS621	ACH-000200	0.9975920111725092
Osteosarcoma-IVSS621	ACH-000102	0.9976137181705432
Osteosarcoma-IVSS621	ACH-000129	0.9976578471205124
Osteosarcoma-IVSS621	ACH-001016	0.9976609583665559
Osteosarcoma-IVSS621	ACH-000201	0.9976745780180408
Osteosarcoma-IVSS621	ACH-000706	0.9976840483455344
Osteosarcoma-IVSS621	ACH-000989	0.9976870214162433
Osteosarcoma-IVSS621	ACH-000428	0.9976874073736145
Osteosarcoma-IVSS621	ACH-000625	0.9976913635368176
Osteosarcoma-IVSS621	ACH-000947	0.997705254635935
Osteosarcoma-IVSS621	ACH-000571	0.997712533975692
Osteosarcoma-IVSS621	ACH-000787	0.9977233428669474
Osteosarcoma-IVSS621	ACH-000940	0.9977268405090067
Osteosarcoma-IVSS621	ACH-000149	0.997732544690007
Osteosarcoma-IVSS621	ACH-000569	0.9977327192663137
Osteosarcoma-IVSS621	ACH-000265	0.9977350139970215
Osteosarcoma-IVSS621	ACH-000361	0.9977353612519483
Osteosarcoma-IVSS621	ACH-000633	0.9977371379740532
Osteosarcoma-IVSS621	ACH-000730	0.9977396003841376
Osteosarcoma-IVSS621	ACH-000562	0.9977437127987003
Osteosarcoma-IVSS621	ACH-000219	0.9977556639638643
Osteosarcoma-IVSS621	ACH-000743	0.9977685213692086
Osteosarcoma-IVSS621	ACH-000075	0.9977786566010687
Osteosarcoma-IVSS621	ACH-000358	0.9977797939958624
Osteosarcoma-IVSS621	ACH-000991	0.9977894421195143
Osteosarcoma-IVSS621	ACH-000395	0.9977900721128224
Osteosarcoma-IVSS621	ACH-000663	0.9977927657146108
Osteosarcoma-IVSS621	ACH-000596	0.9977934128211687
Osteosarcoma-IVSS621	ACH-000527	0.9977949630963784
Osteosarcoma-IVSS621	ACH-000871	0.9977968830065219
Osteosarcoma-IVSS621	ACH-000555	0.9977981669243835
Osteosarcoma-IVSS621	ACH-000108	0.9977983624233342
Osteosarcoma-IVSS621	ACH-000863	0.9977998978304888
Osteosarcoma-IVSS621	ACH-000835	0.9978004097250881
Osteosarcoma-IVSS621	ACH-000389	0.997806751226944
Osteosarcoma-IVSS621	ACH-000181	0.9978076665843738
Osteosarcoma-IVSS621	ACH-000355	0.9978101383133476
Osteosarcoma-IVSS621	ACH-000911	0.9978107537582924
Osteosarcoma-IVSS621	ACH-000878	0.9978140302551411
Osteosarcoma-IVSS621	ACH-000099	0.9978167533051532
Osteosarcoma-IVSS621	ACH-000341	0.9978167650879267
Osteosarcoma-IVSS621	ACH-000186	0.997816985599078
Osteosarcoma-IVSS621	ACH-000926	0.9978208056702159
Osteosarcoma-IVSS621	ACH-000254	0.9978215840823041
Osteosarcoma-IVSS621	ACH-000352	0.9978239723201985
Osteosarcoma-IVSS621	ACH-000015	0.9978277200677277
Osteosarcoma-IVSS621	ACH-000437	0.9978278228782668
Osteosarcoma-IVSS621	ACH-000776	0.9978287114578107
Osteosarcoma-IVSS621	ACH-000217	0.9978290760356253
Osteosarcoma-IVSS621	ACH-000483	0.9978290942200818
Osteosarcoma-IVSS621	ACH-000525	0.9978296668024239
Osteosarcoma-IVSS621	ACH-000434	0.9978304587094634
Osteosarcoma-IVSS621	ACH-000783	0.9978312386704321
Osteosarcoma-IVSS621	ACH-000759	0.9978331723867074
Osteosarcoma-IVSS621	ACH-000040	0.9978333582431589
Osteosarcoma-IVSS621	ACH-000738	0.9978339141806124
Osteosarcoma-IVSS621	ACH-000145	0.9978342713099646
Osteosarcoma-IVSS621	ACH-000585	0.9978345385928398
Osteosarcoma-IVSS621	ACH-000883	0.9978352038081305
Osteosarcoma-IVSS621	ACH-000098	0.9978353914735435
Osteosarcoma-IVSS621	ACH-000009	0.9978359576427434
Osteosarcoma-IVSS621	ACH-001090	0.9978360922719559
Osteosarcoma-IVSS621	ACH-000359	0.9978370123026696
Osteosarcoma-IVSS621	ACH-000111	0.9978370916553913
Osteosarcoma-IVSS621	ACH-001189	0.9978384497988363
Osteosarcoma-IVSS621	ACH-000416	0.9978385421832174
Osteosarcoma-IVSS621	ACH-000148	0.9978406595959519
Osteosarcoma-IVSS621	ACH-000560	0.997842035961456
Osteosarcoma-IVSS621	ACH-000475	0.997842582949425
Osteosarcoma-IVSS621	ACH-000643	0.9978426314844681
Osteosarcoma-IVSS621	ACH-000457	0.9978431113380597
Osteosarcoma-IVSS621	ACH-000290	0.9978433330611602
Osteosarcoma-IVSS621	ACH-000116	0.997843580702073
Osteosarcoma-IVSS621	ACH-000788	0.9978446955097311
Osteosarcoma-IVSS621	ACH-000451	0.9978467957321259
Osteosarcoma-IVSS621	ACH-000187	0.9978469595609161
Osteosarcoma-IVSS621	ACH-000115	0.9978475324226453
Osteosarcoma-IVSS621	ACH-001190	0.9978488419538765
Osteosarcoma-IVSS621	ACH-000366	0.9978489406831212
Osteosarcoma-IVSS621	ACH-000322	0.9978492162843806
Osteosarcoma-IVSS621	ACH-000624	0.9978492763433187
Osteosarcoma-IVSS621	ACH-000391	0.9978493700001183
Osteosarcoma-IVSS621	ACH-000100	0.9978494157736195
Osteosarcoma-IVSS621	ACH-000243	0.9978497494486358
Osteosarcoma-IVSS621	ACH-000257	0.9978497874343046
Osteosarcoma-IVSS621	ACH-000752	0.997850341843577
Osteosarcoma-IVSS621	ACH-000374	0.9978508335997767
Osteosarcoma-IVSS621	ACH-000651	0.99785184711628
Osteosarcoma-IVSS621	ACH-000211	0.9978527943903174
Osteosarcoma-IVSS621	ACH-000689	0.9978528169845802
Osteosarcoma-IVSS621	ACH-000558	0.9978528915622562
Osteosarcoma-IVSS621	ACH-000212	0.9978545601246727
Osteosarcoma-IVSS621	ACH-000510	0.9978550192688506
Osteosarcoma-IVSS621	ACH-000431	0.9978552771457183
Osteosarcoma-IVSS621	ACH-000756	0.9978556154615571
