case	comparison	SNF: FDA & CGC
Osteosarcoma-JMS734	case-profile	0.4568081762431824
Osteosarcoma-JMS734	ACH-000504	0.9974735970887709
Osteosarcoma-JMS734	ACH-000919	0.9974970246426796
Osteosarcoma-JMS734	ACH-000863	0.9975040126592597
Osteosarcoma-JMS734	ACH-000476	0.997532976261828
Osteosarcoma-JMS734	ACH-000376	0.9975409529725263
Osteosarcoma-JMS734	ACH-000668	0.9975482659481535
Osteosarcoma-JMS734	ACH-000849	0.9975548002754385
Osteosarcoma-JMS734	ACH-000470	0.9975597849619129
Osteosarcoma-JMS734	ACH-000115	0.9975621578544573
Osteosarcoma-JMS734	ACH-000155	0.9975640641572903
Osteosarcoma-JMS734	ACH-000610	0.9975719266921164
Osteosarcoma-JMS734	ACH-000211	0.9975801665722083
Osteosarcoma-JMS734	ACH-000169	0.9975822064214821
Osteosarcoma-JMS734	ACH-000420	0.9975925277674643
Osteosarcoma-JMS734	ACH-000192	0.9975978662805858
Osteosarcoma-JMS734	ACH-000360	0.9976026711649775
Osteosarcoma-JMS734	ACH-000007	0.9976417586103891
Osteosarcoma-JMS734	ACH-000584	0.9976507130969287
Osteosarcoma-JMS734	ACH-000012	0.9976724718118151
Osteosarcoma-JMS734	ACH-000989	0.9976772278821195
Osteosarcoma-JMS734	ACH-000171	0.997682005371826
Osteosarcoma-JMS734	ACH-000228	0.9976848551627762
Osteosarcoma-JMS734	ACH-001023	0.9976861397071649
Osteosarcoma-JMS734	ACH-000666	0.9976902272473537
Osteosarcoma-JMS734	ACH-000699	0.9976949354378076
Osteosarcoma-JMS734	ACH-000052	0.9977039692391008
Osteosarcoma-JMS734	ACH-000883	0.997704899853689
Osteosarcoma-JMS734	ACH-000293	0.9977096573012061
Osteosarcoma-JMS734	ACH-000082	0.9977129681452841
Osteosarcoma-JMS734	ACH-001039	0.9977213784436132
Osteosarcoma-JMS734	ACH-000725	0.9977331456043779
Osteosarcoma-JMS734	ACH-000866	0.997739894948692
Osteosarcoma-JMS734	ACH-000680	0.9977403964543388
Osteosarcoma-JMS734	ACH-000116	0.9977449094571936
Osteosarcoma-JMS734	ACH-000062	0.9977494319239134
Osteosarcoma-JMS734	ACH-000624	0.9977542664117802
Osteosarcoma-JMS734	ACH-000484	0.9977659611419477
Osteosarcoma-JMS734	ACH-000496	0.9977676170063368
Osteosarcoma-JMS734	ACH-001089	0.9977740671942854
Osteosarcoma-JMS734	ACH-000257	0.9977787799123345
Osteosarcoma-JMS734	ACH-000544	0.9977831210177319
Osteosarcoma-JMS734	ACH-000102	0.9977851894798697
Osteosarcoma-JMS734	ACH-000250	0.9977953508648727
Osteosarcoma-JMS734	ACH-000353	0.9977957883160856
Osteosarcoma-JMS734	ACH-000107	0.997797173669529
Osteosarcoma-JMS734	ACH-000055	0.9977975485160797
Osteosarcoma-JMS734	ACH-000830	0.9977979860600189
Osteosarcoma-JMS734	ACH-000535	0.9978025911027238
Osteosarcoma-JMS734	ACH-000188	0.9978034776010452
Osteosarcoma-JMS734	ACH-000574	0.9978064851303924
Osteosarcoma-JMS734	ACH-000433	0.9978067770566139
Osteosarcoma-JMS734	ACH-000132	0.9978109095234841
Osteosarcoma-JMS734	ACH-000569	0.9978122469062206
Osteosarcoma-JMS734	ACH-000391	0.9978169378326731
Osteosarcoma-JMS734	ACH-000559	0.9978187973506414
Osteosarcoma-JMS734	ACH-001125	0.9978216709828404
Osteosarcoma-JMS734	ACH-000769	0.9978234227832191
