case	comparison	SNF: FDA & CGC
Osteosarcoma-JNS538	case-profile	0.45426973770627566
Osteosarcoma-JNS538	ACH-000867	0.9957392166603236
Osteosarcoma-JNS538	ACH-000803	0.9965121157328415
Osteosarcoma-JNS538	ACH-000722	0.9971363047445181
Osteosarcoma-JNS538	ACH-000384	0.9973288128784942
Osteosarcoma-JNS538	ACH-000062	0.9974310418575982
Osteosarcoma-JNS538	ACH-000559	0.9974548526807118
Osteosarcoma-JNS538	ACH-000023	0.9974887307458871
Osteosarcoma-JNS538	ACH-000991	0.9975450707118413
Osteosarcoma-JNS538	ACH-000361	0.9975451092645218
Osteosarcoma-JNS538	ACH-000620	0.9975469040749255
Osteosarcoma-JNS538	ACH-000452	0.9975511589150784
Osteosarcoma-JNS538	ACH-000863	0.9975548448178413
Osteosarcoma-JNS538	ACH-000001	0.9975592797558309
Osteosarcoma-JNS538	ACH-000989	0.9975640975760691
Osteosarcoma-JNS538	ACH-000506	0.9975723625984936
Osteosarcoma-JNS538	ACH-000670	0.9975738080978259
Osteosarcoma-JNS538	ACH-000396	0.9976050094339133
Osteosarcoma-JNS538	ACH-000355	0.9976085327797101
Osteosarcoma-JNS538	ACH-000911	0.9976108264220365
Osteosarcoma-JNS538	ACH-000669	0.9976190049936756
Osteosarcoma-JNS538	ACH-000225	0.9976271792695812
Osteosarcoma-JNS538	ACH-000335	0.9976305023168347
Osteosarcoma-JNS538	ACH-000951	0.9976355362497045
Osteosarcoma-JNS538	ACH-000329	0.9976396773643056
Osteosarcoma-JNS538	ACH-000047	0.9976477086184943
Osteosarcoma-JNS538	ACH-000570	0.997656652894655
Osteosarcoma-JNS538	ACH-000562	0.9976670217105895
Osteosarcoma-JNS538	ACH-001089	0.9976714451814568
Osteosarcoma-JNS538	ACH-000704	0.9976729123950288
Osteosarcoma-JNS538	ACH-000318	0.997689972441504
Osteosarcoma-JNS538	ACH-000825	0.9977081246667104
Osteosarcoma-JNS538	ACH-000650	0.9977154374659497
Osteosarcoma-JNS538	ACH-000637	0.997722377574527
Osteosarcoma-JNS538	ACH-000631	0.9977265532898576
Osteosarcoma-JNS538	ACH-000893	0.9977281911601253
Osteosarcoma-JNS538	ACH-000906	0.9977340136327153
Osteosarcoma-JNS538	ACH-000348	0.9977444994065358
Osteosarcoma-JNS538	ACH-000698	0.9977633878467935
Osteosarcoma-JNS538	ACH-000351	0.9977723463080228
Osteosarcoma-JNS538	ACH-000514	0.997778156285162
Osteosarcoma-JNS538	ACH-000400	0.9977812362920757
Osteosarcoma-JNS538	ACH-000099	0.9977817398601332
Osteosarcoma-JNS538	ACH-001233	0.9977858189131142
Osteosarcoma-JNS538	ACH-000574	0.9977894312762068
Osteosarcoma-JNS538	ACH-000259	0.9977967857988096
Osteosarcoma-JNS538	ACH-000663	0.9978293339600883
Osteosarcoma-JNS538	ACH-000596	0.9978352854741998
Osteosarcoma-JNS538	ACH-000581	0.9978451526690536
Osteosarcoma-JNS538	ACH-000052	0.9978452689052646
Osteosarcoma-JNS538	ACH-000949	0.9978604874673295
Osteosarcoma-JNS538	ACH-000798	0.9978615210656318
Osteosarcoma-JNS538	ACH-000853	0.9978616651718234
Osteosarcoma-JNS538	ACH-000584	0.9978620070467327
Osteosarcoma-JNS538	ACH-000998	0.9978658425818199
Osteosarcoma-JNS538	ACH-000916	0.9978673945467617
Osteosarcoma-JNS538	ACH-000569	0.9978739127099757
Osteosarcoma-JNS538	ACH-000102	0.9978761169960135
Osteosarcoma-JNS538	ACH-000298	0.9978763581547039
Osteosarcoma-JNS538	ACH-000861	0.9978771942342494
