case	comparison	SNF: FDA & CGC
Osteosarcoma-LA108	case-profile	0.45623734144768346
Osteosarcoma-LA108	ACH-000111	0.9974174284847095
Osteosarcoma-LA108	ACH-000115	0.9974197180672469
Osteosarcoma-LA108	ACH-000108	0.9974484657769476
Osteosarcoma-LA108	ACH-000979	0.9975113060161952
Osteosarcoma-LA108	ACH-000242	0.9975627314558784
Osteosarcoma-LA108	ACH-000277	0.9975709637288904
Osteosarcoma-LA108	ACH-000250	0.9975874736509023
Osteosarcoma-LA108	ACH-000483	0.9975955801594864
Osteosarcoma-LA108	ACH-000207	0.9976350877989763
Osteosarcoma-LA108	ACH-000181	0.9976396683137411
Osteosarcoma-LA108	ACH-001189	0.9976405037662781
Osteosarcoma-LA108	ACH-000625	0.997642501064037
Osteosarcoma-LA108	ACH-000451	0.9976432052653121
Osteosarcoma-LA108	ACH-000161	0.9976478848506828
Osteosarcoma-LA108	ACH-000991	0.9976502511206651
Osteosarcoma-LA108	ACH-000349	0.9976504902880761
Osteosarcoma-LA108	ACH-000008	0.9976533199149649
Osteosarcoma-LA108	ACH-000062	0.9976649236431097
Osteosarcoma-LA108	ACH-000989	0.9976701444933421
Osteosarcoma-LA108	ACH-000970	0.9976707871775597
Osteosarcoma-LA108	ACH-000963	0.9976852999763631
Osteosarcoma-LA108	ACH-000787	0.9976909529207958
Osteosarcoma-LA108	ACH-000663	0.9976975948823513
Osteosarcoma-LA108	ACH-000596	0.9977046623505784
Osteosarcoma-LA108	ACH-000480	0.9977050509831752
Osteosarcoma-LA108	ACH-000347	0.9977100193108694
Osteosarcoma-LA108	ACH-000395	0.9977113319102655
Osteosarcoma-LA108	ACH-000691	0.9977141494808778
Osteosarcoma-LA108	ACH-000481	0.9977226144357283
Osteosarcoma-LA108	ACH-000153	0.9977226704895671
Osteosarcoma-LA108	ACH-000759	0.997729662976929
Osteosarcoma-LA108	ACH-000352	0.9977341387763529
Osteosarcoma-LA108	ACH-000298	0.9977361445993076
Osteosarcoma-LA108	ACH-000926	0.9977362174043938
Osteosarcoma-LA108	ACH-000681	0.9977490311532765
Osteosarcoma-LA108	ACH-000047	0.997750159587519
Osteosarcoma-LA108	ACH-000783	0.9977548383167143
Osteosarcoma-LA108	ACH-000878	0.9977563460614943
Osteosarcoma-LA108	ACH-000145	0.9977572147649345
Osteosarcoma-LA108	ACH-000389	0.9977577147515264
Osteosarcoma-LA108	ACH-000102	0.9977581625659977
Osteosarcoma-LA108	ACH-000416	0.997759562513719
Osteosarcoma-LA108	ACH-001126	0.9977609091072104
Osteosarcoma-LA108	ACH-000100	0.9977612552537976
