case	comparison	SNF: FDA & CGC
Osteosarcoma-LMC436	case-profile	0.45820858455885527
Osteosarcoma-LMC436	ACH-001016	0.9974234970723191
Osteosarcoma-LMC436	ACH-000087	0.9974556775826218
Osteosarcoma-LMC436	ACH-000361	0.9975062486066893
Osteosarcoma-LMC436	ACH-000116	0.9975232054799004
Osteosarcoma-LMC436	ACH-000719	0.9975376755980593
Osteosarcoma-LMC436	ACH-000570	0.9975418351838783
Osteosarcoma-LMC436	ACH-000052	0.9975543494222442
Osteosarcoma-LMC436	ACH-000424	0.9975574427916639
Osteosarcoma-LMC436	ACH-000219	0.9975776733068883
Osteosarcoma-LMC436	ACH-000434	0.9976033816917937
Osteosarcoma-LMC436	ACH-000596	0.9976187071198404
Osteosarcoma-LMC436	ACH-000078	0.997630517305729
Osteosarcoma-LMC436	ACH-000102	0.9976504105310168
Osteosarcoma-LMC436	ACH-000510	0.9976651188166819
Osteosarcoma-LMC436	ACH-000040	0.9976655841160297
Osteosarcoma-LMC436	ACH-000265	0.9976686082856943
Osteosarcoma-LMC436	ACH-000525	0.9976699616369722
Osteosarcoma-LMC436	ACH-000625	0.9976706860192838
Osteosarcoma-LMC436	ACH-000238	0.9976919194619946
Osteosarcoma-LMC436	ACH-000115	0.9976934726930164
Osteosarcoma-LMC436	ACH-000359	0.9977007863400372
Osteosarcoma-LMC436	ACH-000391	0.9977045044983783
Osteosarcoma-LMC436	ACH-000475	0.9977109680590851
Osteosarcoma-LMC436	ACH-000910	0.9977267117137311
Osteosarcoma-LMC436	ACH-000569	0.9977278686878444
Osteosarcoma-LMC436	ACH-000991	0.9977364830091432
Osteosarcoma-LMC436	ACH-000878	0.9977431757226582
Osteosarcoma-LMC436	ACH-000819	0.9977447130291524
Osteosarcoma-LMC436	ACH-000356	0.9977469977729995
Osteosarcoma-LMC436	ACH-000352	0.9977483744780326
Osteosarcoma-LMC436	ACH-000144	0.9977511811012734
Osteosarcoma-LMC436	ACH-000009	0.9977544286493903
Osteosarcoma-LMC436	ACH-000389	0.9977562568274168
Osteosarcoma-LMC436	ACH-000882	0.9977568988338094
Osteosarcoma-LMC436	ACH-000270	0.9977579047971237
Osteosarcoma-LMC436	ACH-000308	0.9977582295381033
Osteosarcoma-LMC436	ACH-000145	0.9977589294559979
Osteosarcoma-LMC436	ACH-000793	0.9977595754877954
Osteosarcoma-LMC436	ACH-000186	0.9977605330097092
Osteosarcoma-LMC436	ACH-000926	0.9977609015982148
Osteosarcoma-LMC436	ACH-000416	0.9977627740922876
Osteosarcoma-LMC436	ACH-000738	0.9977633666956829
Osteosarcoma-LMC436	ACH-000483	0.9977635402732054
Osteosarcoma-LMC436	ACH-000015	0.9977651847884067
Osteosarcoma-LMC436	ACH-000353	0.9977667582863408
Osteosarcoma-LMC436	ACH-000783	0.99776758148729
Osteosarcoma-LMC436	ACH-000759	0.9977709539429663
Osteosarcoma-LMC436	ACH-000181	0.9977734577823245
Osteosarcoma-LMC436	ACH-000883	0.9977750096597986
Osteosarcoma-LMC436	ACH-000298	0.9977760729064029
Osteosarcoma-LMC436	ACH-000236	0.9977779487514241
Osteosarcoma-LMC436	ACH-000706	0.9977788970447103
Osteosarcoma-LMC436	ACH-000277	0.9977793464506074
Osteosarcoma-LMC436	ACH-000428	0.9977799331304447
Osteosarcoma-LMC436	ACH-000092	0.9977810908066945
Osteosarcoma-LMC436	ACH-000111	0.9977836212480521
Osteosarcoma-LMC436	ACH-000730	0.9977845118630353
Osteosarcoma-LMC436	ACH-000075	0.9977848532942925
Osteosarcoma-LMC436	ACH-000663	0.9977873617158124
Osteosarcoma-LMC436	ACH-000558	0.9977880808335448
Osteosarcoma-LMC436	ACH-000290	0.997788723938272
Osteosarcoma-LMC436	ACH-000108	0.997789907460258
Osteosarcoma-LMC436	ACH-000217	0.9977908712063895
Osteosarcoma-LMC436	ACH-001090	0.9977918871998578
Osteosarcoma-LMC436	ACH-000100	0.997792110922039
Osteosarcoma-LMC436	ACH-000621	0.997792491954369
Osteosarcoma-LMC436	ACH-000243	0.9977932019899602
Osteosarcoma-LMC436	ACH-000643	0.9977942193487318
Osteosarcoma-LMC436	ACH-000155	0.9977942532091468
Osteosarcoma-LMC436	ACH-000451	0.9977946554607703
Osteosarcoma-LMC436	ACH-000148	0.9977958389790095
Osteosarcoma-LMC436	ACH-000187	0.9977960984083649
Osteosarcoma-LMC436	ACH-000555	0.997797603740932
Osteosarcoma-LMC436	ACH-000571	0.997797967055932
Osteosarcoma-LMC436	ACH-000211	0.9977982723710832
Osteosarcoma-LMC436	ACH-000565	0.9977989697175099
Osteosarcoma-LMC436	ACH-000257	0.9978001550461406
Osteosarcoma-LMC436	ACH-001189	0.9978002278048966
Osteosarcoma-LMC436	ACH-000437	0.9978003562569241
Osteosarcoma-LMC436	ACH-000788	0.9978018512467558
Osteosarcoma-LMC436	ACH-001190	0.997802196686018
Osteosarcoma-LMC436	ACH-000860	0.9978031329753172
Osteosarcoma-LMC436	ACH-000752	0.997804003506758
Osteosarcoma-LMC436	ACH-001126	0.9978042790312691
Osteosarcoma-LMC436	ACH-000724	0.9978046997180734
Osteosarcoma-LMC436	ACH-000624	0.9978049559584875
Osteosarcoma-LMC436	ACH-000212	0.9978052429642895
Osteosarcoma-LMC436	ACH-000174	0.9978062067886213
Osteosarcoma-LMC436	ACH-000374	0.9978062551178284
Osteosarcoma-LMC436	ACH-000693	0.9978072590300524
Osteosarcoma-LMC436	ACH-000651	0.9978074254677154
Osteosarcoma-LMC436	ACH-000756	0.9978081510271664
Osteosarcoma-LMC436	ACH-000561	0.9978089179785631
Osteosarcoma-LMC436	ACH-000776	0.9978091135744079
Osteosarcoma-LMC436	ACH-000098	0.9978097829203242
Osteosarcoma-LMC436	ACH-000585	0.9978112420207809
Osteosarcoma-LMC436	ACH-000117	0.9978116390713923
Osteosarcoma-LMC436	ACH-000254	0.9978127802036428
Osteosarcoma-LMC436	ACH-000566	0.9978140737565011
Osteosarcoma-LMC436	ACH-000366	0.9978165426403655
Osteosarcoma-LMC436	ACH-000689	0.9978166202464716
Osteosarcoma-LMC436	ACH-000595	0.9978171370832336
Osteosarcoma-LMC436	ACH-000560	0.9978183959448093
Osteosarcoma-LMC436	ACH-000379	0.9978186780241683
Osteosarcoma-LMC436	ACH-000562	0.9978190719831973
Osteosarcoma-LMC436	ACH-000355	0.9978197696790312
Osteosarcoma-LMC436	ACH-000748	0.997820558928857
Osteosarcoma-LMC436	ACH-000121	0.9978208562146532
Osteosarcoma-LMC436	ACH-000332	0.9978223350248889
