case	comparison	SNF: FDA & CGC
Osteosarcoma-MNTF071	case-profile	0.4568696617971194
Osteosarcoma-MNTF071	ACH-000470	0.997113505634487
Osteosarcoma-MNTF071	ACH-000476	0.9971421214407332
Osteosarcoma-MNTF071	ACH-000680	0.9972672994965205
Osteosarcoma-MNTF071	ACH-000007	0.9972740797857914
Osteosarcoma-MNTF071	ACH-000420	0.9973972153240096
Osteosarcoma-MNTF071	ACH-001039	0.9974381236046779
Osteosarcoma-MNTF071	ACH-000293	0.9974405490481878
Osteosarcoma-MNTF071	ACH-000504	0.997482469343098
Osteosarcoma-MNTF071	ACH-000919	0.9974847698977302
Osteosarcoma-MNTF071	ACH-000666	0.9975254285256597
Osteosarcoma-MNTF071	ACH-000360	0.9975480336059145
Osteosarcoma-MNTF071	ACH-000863	0.9975719864812972
Osteosarcoma-MNTF071	ACH-000718	0.9975885072687497
Osteosarcoma-MNTF071	ACH-000391	0.9976175906833135
Osteosarcoma-MNTF071	ACH-000866	0.9976227514073581
Osteosarcoma-MNTF071	ACH-000722	0.9976345039320522
Osteosarcoma-MNTF071	ACH-000401	0.9976392185262803
Osteosarcoma-MNTF071	ACH-000569	0.9976648139029244
Osteosarcoma-MNTF071	ACH-000484	0.9976698344986713
Osteosarcoma-MNTF071	ACH-000883	0.997676234809561
Osteosarcoma-MNTF071	ACH-000075	0.9976774662303268
Osteosarcoma-MNTF071	ACH-000830	0.9976782301766688
Osteosarcoma-MNTF071	ACH-000178	0.9976956819714247
Osteosarcoma-MNTF071	ACH-000496	0.997709495557972
Osteosarcoma-MNTF071	ACH-000361	0.9977426811559817
Osteosarcoma-MNTF071	ACH-000129	0.9977427231495921
Osteosarcoma-MNTF071	ACH-000442	0.9977437926717534
Osteosarcoma-MNTF071	ACH-000225	0.9977476759966315
Osteosarcoma-MNTF071	ACH-000625	0.9977527203005722
Osteosarcoma-MNTF071	ACH-000322	0.9977576424689719
Osteosarcoma-MNTF071	ACH-000169	0.9977697515196059
Osteosarcoma-MNTF071	ACH-000099	0.9977721210345638
Osteosarcoma-MNTF071	ACH-000457	0.9977774987946615
Osteosarcoma-MNTF071	ACH-000861	0.9977844595937222
Osteosarcoma-MNTF071	ACH-000329	0.9977874296480137
Osteosarcoma-MNTF071	ACH-000189	0.9977876053804255
Osteosarcoma-MNTF071	ACH-000609	0.9977885807218719
Osteosarcoma-MNTF071	ACH-000201	0.9977896205823852
Osteosarcoma-MNTF071	ACH-000693	0.9977915543782554
Osteosarcoma-MNTF071	ACH-000250	0.9977916375112722
Osteosarcoma-MNTF071	ACH-000265	0.9977977595977381
Osteosarcoma-MNTF071	ACH-000558	0.9977989825520994
Osteosarcoma-MNTF071	ACH-000574	0.9978007241729175
Osteosarcoma-MNTF071	ACH-000094	0.997805991720308
Osteosarcoma-MNTF071	ACH-000535	0.9978080898201909
Osteosarcoma-MNTF071	ACH-000433	0.9978081657873805
Osteosarcoma-MNTF071	ACH-001089	0.9978083406434428
Osteosarcoma-MNTF071	ACH-000102	0.9978086038662043
Osteosarcoma-MNTF071	ACH-000681	0.9978101048610207
Osteosarcoma-MNTF071	ACH-000149	0.997810541827717
Osteosarcoma-MNTF071	ACH-000355	0.9978127916564463
Osteosarcoma-MNTF071	ACH-000544	0.9978129684175542
Osteosarcoma-MNTF071	ACH-000378	0.9978162369018354
Osteosarcoma-MNTF071	ACH-000599	0.99781645792945
Osteosarcoma-MNTF071	ACH-001125	0.9978178293464318
Osteosarcoma-MNTF071	ACH-000018	0.9978189722958439
Osteosarcoma-MNTF071	ACH-000743	0.9978193791583717
Osteosarcoma-MNTF071	ACH-000501	0.9978212692721652
Osteosarcoma-MNTF071	ACH-000159	0.9978213569634181
Osteosarcoma-MNTF071	ACH-000480	0.9978215726272434
Osteosarcoma-MNTF071	ACH-000489	0.9978224514060764
Osteosarcoma-MNTF071	ACH-000800	0.9978227006344499
Osteosarcoma-MNTF071	ACH-000114	0.9978248978321831
Osteosarcoma-MNTF071	ACH-000769	0.9978253650088174
Osteosarcoma-MNTF071	ACH-000772	0.9978265013813794
Osteosarcoma-MNTF071	ACH-000078	0.9978276219761897
Osteosarcoma-MNTF071	ACH-000486	0.997828870569138
Osteosarcoma-MNTF071	ACH-000335	0.9978291796742476
Osteosarcoma-MNTF071	ACH-000309	0.9978297620499238
Osteosarcoma-MNTF071	ACH-000132	0.9978301592385429
Osteosarcoma-MNTF071	ACH-000719	0.9978308037798099
Osteosarcoma-MNTF071	ACH-000222	0.9978309723921596
Osteosarcoma-MNTF071	ACH-000826	0.9978310687374481
Osteosarcoma-MNTF071	ACH-000767	0.9978312407775519
Osteosarcoma-MNTF071	ACH-000778	0.9978317789867577
Osteosarcoma-MNTF071	ACH-000864	0.9978320110339776
Osteosarcoma-MNTF071	ACH-000188	0.9978336240476493
Osteosarcoma-MNTF071	ACH-000376	0.9978344986981298
Osteosarcoma-MNTF071	ACH-000244	0.9978349029062813
Osteosarcoma-MNTF071	ACH-000740	0.9978354480025973
Osteosarcoma-MNTF071	ACH-000155	0.9978360788823956
Osteosarcoma-MNTF071	ACH-000610	0.9978361262322293
