case	comparison	SNF: FDA & CGC
Osteosarcoma-MS214	case-profile	0.45667812254834783
Osteosarcoma-MS214	ACH-000075	0.9974732886722912
Osteosarcoma-MS214	ACH-000719	0.9975116400571882
Osteosarcoma-MS214	ACH-000355	0.9975388251773576
Osteosarcoma-MS214	ACH-000329	0.9975417271437456
Osteosarcoma-MS214	ACH-000159	0.9975599434121619
Osteosarcoma-MS214	ACH-000555	0.9975780793518547
Osteosarcoma-MS214	ACH-000425	0.9975784405842971
Osteosarcoma-MS214	ACH-000078	0.9976033413171809
Osteosarcoma-MS214	ACH-000483	0.9976088307281266
Osteosarcoma-MS214	ACH-000970	0.9976122315924274
Osteosarcoma-MS214	ACH-000062	0.9976236163280067
Osteosarcoma-MS214	ACH-001189	0.9976298032176383
Osteosarcoma-MS214	ACH-000102	0.9976322558487235
Osteosarcoma-MS214	ACH-000989	0.9976406508771296
Osteosarcoma-MS214	ACH-000187	0.9976416534134213
Osteosarcoma-MS214	ACH-000979	0.9976435956908577
Osteosarcoma-MS214	ACH-000570	0.9976453373021533
Osteosarcoma-MS214	ACH-000201	0.9976496713467093
Osteosarcoma-MS214	ACH-000040	0.9976639473396932
Osteosarcoma-MS214	ACH-000609	0.997671457307491
Osteosarcoma-MS214	ACH-000244	0.9976755846798139
Osteosarcoma-MS214	ACH-000530	0.99769066519754
Osteosarcoma-MS214	ACH-000788	0.997692337996714
Osteosarcoma-MS214	ACH-000544	0.9976943709864518
Osteosarcoma-MS214	ACH-000376	0.9976945637763278
Osteosarcoma-MS214	ACH-000668	0.997695610121213
Osteosarcoma-MS214	ACH-000963	0.9977079227993289
Osteosarcoma-MS214	ACH-000389	0.9977390243106767
Osteosarcoma-MS214	ACH-000688	0.9977555825686771
Osteosarcoma-MS214	ACH-000117	0.9977656279008132
Osteosarcoma-MS214	ACH-000716	0.9977699477016346
Osteosarcoma-MS214	ACH-000486	0.9977713484416532
Osteosarcoma-MS214	ACH-000055	0.9977716086008772
Osteosarcoma-MS214	ACH-000231	0.9977916957698697
Osteosarcoma-MS214	ACH-000457	0.9977930784610023
Osteosarcoma-MS214	ACH-000433	0.9977986013583898
Osteosarcoma-MS214	ACH-000353	0.9977992582404974
Osteosarcoma-MS214	ACH-000114	0.997800532765834
Osteosarcoma-MS214	ACH-000574	0.99780066494378
Osteosarcoma-MS214	ACH-000250	0.997801303700453
Osteosarcoma-MS214	ACH-000569	0.9978021507789226
Osteosarcoma-MS214	ACH-000482	0.9978040043908522
Osteosarcoma-MS214	ACH-000358	0.9978041152658781
Osteosarcoma-MS214	ACH-000772	0.9978043759106539
Osteosarcoma-MS214	ACH-000335	0.9978053966562025
Osteosarcoma-MS214	ACH-000535	0.997808559921073
Osteosarcoma-MS214	ACH-000178	0.9978097106818827
Osteosarcoma-MS214	ACH-000489	0.9978099697293252
Osteosarcoma-MS214	ACH-000781	0.9978104439660125
Osteosarcoma-MS214	ACH-000103	0.9978109184144617
Osteosarcoma-MS214	ACH-000378	0.9978109528548676
Osteosarcoma-MS214	ACH-000132	0.9978111261572187
Osteosarcoma-MS214	ACH-001125	0.9978117766428828
Osteosarcoma-MS214	ACH-000864	0.997812489412144
Osteosarcoma-MS214	ACH-000633	0.9978140141860491
Osteosarcoma-MS214	ACH-000018	0.9978145380773983
Osteosarcoma-MS214	ACH-000188	0.9978153095105109
Osteosarcoma-MS214	ACH-000252	0.9978155688937349
Osteosarcoma-MS214	ACH-000767	0.9978157020835299
Osteosarcoma-MS214	ACH-000222	0.9978177347404344
Osteosarcoma-MS214	ACH-000383	0.9978183878575937
Osteosarcoma-MS214	ACH-000650	0.9978202801550962
Osteosarcoma-MS214	ACH-000800	0.9978204306128478
Osteosarcoma-MS214	ACH-000778	0.9978231758476842
Osteosarcoma-MS214	ACH-000480	0.9978240841950057
Osteosarcoma-MS214	ACH-000107	0.9978253525608586
Osteosarcoma-MS214	ACH-000153	0.997825493190453
Osteosarcoma-MS214	ACH-000610	0.9978255458580473
Osteosarcoma-MS214	ACH-000223	0.9978267859403965
Osteosarcoma-MS214	ACH-000430	0.9978268629816203
Osteosarcoma-MS214	ACH-000476	0.9978271125895496
Osteosarcoma-MS214	ACH-000501	0.9978271499268202
Osteosarcoma-MS214	ACH-000743	0.9978280794906051
Osteosarcoma-MS214	ACH-000282	0.9978281043628024
Osteosarcoma-MS214	ACH-000681	0.9978282222387018
Osteosarcoma-MS214	ACH-000496	0.9978284772928492
Osteosarcoma-MS214	ACH-000599	0.997829616629325
Osteosarcoma-MS214	ACH-000484	0.9978297396993672
Osteosarcoma-MS214	ACH-000740	0.9978306820928889
Osteosarcoma-MS214	ACH-000652	0.9978345570061887
Osteosarcoma-MS214	ACH-000830	0.9978355136369624
Osteosarcoma-MS214	ACH-000528	0.9978363820872869
Osteosarcoma-MS214	ACH-000769	0.9978365566057771
Osteosarcoma-MS214	ACH-000155	0.9978369468718813
Osteosarcoma-MS214	ACH-000094	0.9978380688774315
