case	comparison	SNF: FDA & CGC
Osteosarcoma-MSF790	case-profile	0.4572792016126529
Osteosarcoma-MSF790	ACH-000148	0.9970137222153774
Osteosarcoma-MSF790	ACH-000210	0.9971679659424432
Osteosarcoma-MSF790	ACH-000864	0.9971999438754137
Osteosarcoma-MSF790	ACH-000288	0.9973230598826837
Osteosarcoma-MSF790	ACH-000589	0.99743397076133
Osteosarcoma-MSF790	ACH-000930	0.9974472619915864
Osteosarcoma-MSF790	ACH-000527	0.9975164346502304
Osteosarcoma-MSF790	ACH-000457	0.9975171400989505
Osteosarcoma-MSF790	ACH-000433	0.9975302008593645
Osteosarcoma-MSF790	ACH-000352	0.9975658254245751
Osteosarcoma-MSF790	ACH-000129	0.9975669571255633
Osteosarcoma-MSF790	ACH-000860	0.9975742753176825
Osteosarcoma-MSF790	ACH-000117	0.9975781479817358
Osteosarcoma-MSF790	ACH-000691	0.9975826818256189
Osteosarcoma-MSF790	ACH-000488	0.9975904017376738
Osteosarcoma-MSF790	ACH-000341	0.9975930184772549
Osteosarcoma-MSF790	ACH-000679	0.997600523515089
Osteosarcoma-MSF790	ACH-000560	0.9976039358137124
Osteosarcoma-MSF790	ACH-000082	0.9976154984129538
Osteosarcoma-MSF790	ACH-000756	0.9976249226610283
Osteosarcoma-MSF790	ACH-000349	0.9976292225983838
Osteosarcoma-MSF790	ACH-000689	0.997631186143189
Osteosarcoma-MSF790	ACH-000792	0.9976319803346552
Osteosarcoma-MSF790	ACH-000857	0.997632518171654
Osteosarcoma-MSF790	ACH-000161	0.9976348049039612
Osteosarcoma-MSF790	ACH-000008	0.9976444230355793
Osteosarcoma-MSF790	ACH-000510	0.9976462574416859
Osteosarcoma-MSF790	ACH-000452	0.9976494219150545
Osteosarcoma-MSF790	ACH-001065	0.9976534879703876
Osteosarcoma-MSF790	ACH-000871	0.9976619013816607
Osteosarcoma-MSF790	ACH-000719	0.9976775368448624
Osteosarcoma-MSF790	ACH-000149	0.9976819402187985
Osteosarcoma-MSF790	ACH-000153	0.9976855137313573
Osteosarcoma-MSF790	ACH-000424	0.9976916942002994
Osteosarcoma-MSF790	ACH-000704	0.9977217780918094
Osteosarcoma-MSF790	ACH-000555	0.9977269322241351
Osteosarcoma-MSF790	ACH-000677	0.9977317434067675
Osteosarcoma-MSF790	ACH-000319	0.9977321040389657
Osteosarcoma-MSF790	ACH-000827	0.9977345724674742
Osteosarcoma-MSF790	ACH-000569	0.9977477602249507
Osteosarcoma-MSF790	ACH-000696	0.997755784543263
Osteosarcoma-MSF790	ACH-000417	0.997792079426445
Osteosarcoma-MSF790	ACH-000335	0.9977929451379565
Osteosarcoma-MSF790	ACH-000201	0.9977932502521778
Osteosarcoma-MSF790	ACH-000223	0.9977950774323875
Osteosarcoma-MSF790	ACH-000102	0.9977963209244005
Osteosarcoma-MSF790	ACH-000480	0.9978024366734892
Osteosarcoma-MSF790	ACH-001125	0.9978099178220498
Osteosarcoma-MSF790	ACH-000309	0.9978109066200396
Osteosarcoma-MSF790	ACH-000800	0.9978177958347363
Osteosarcoma-MSF790	ACH-000329	0.9978194003273806
Osteosarcoma-MSF790	ACH-000609	0.9978205944975443
Osteosarcoma-MSF790	ACH-000574	0.9978213560639331
Osteosarcoma-MSF790	ACH-000353	0.9978227596021247
Osteosarcoma-MSF790	ACH-000544	0.9978250358156904
Osteosarcoma-MSF790	ACH-000376	0.9978256781125789
Osteosarcoma-MSF790	ACH-000633	0.9978257284313653
Osteosarcoma-MSF790	ACH-000772	0.9978260108431203
Osteosarcoma-MSF790	ACH-000778	0.9978261328165494
Osteosarcoma-MSF790	ACH-000355	0.9978266326510921
Osteosarcoma-MSF790	ACH-000528	0.997828764543619
Osteosarcoma-MSF790	ACH-000681	0.99782912470865
Osteosarcoma-MSF790	ACH-000379	0.9978294025659646
Osteosarcoma-MSF790	ACH-000075	0.9978307237367268
Osteosarcoma-MSF790	ACH-000103	0.9978313106068069
Osteosarcoma-MSF790	ACH-000159	0.9978340178576794
Osteosarcoma-MSF790	ACH-000535	0.9978342001428442
Osteosarcoma-MSF790	ACH-000830	0.9978343692286945
Osteosarcoma-MSF790	ACH-000231	0.997834559717055
Osteosarcoma-MSF790	ACH-000430	0.9978346119583231
Osteosarcoma-MSF790	ACH-000132	0.9978348776823026
Osteosarcoma-MSF790	ACH-000178	0.997835335143494
Osteosarcoma-MSF790	ACH-000250	0.9978355155302815
Osteosarcoma-MSF790	ACH-000188	0.9978356321762516
Osteosarcoma-MSF790	ACH-000496	0.9978366270206586
Osteosarcoma-MSF790	ACH-000484	0.9978369216925628
Osteosarcoma-MSF790	ACH-000359	0.9978370846081731
Osteosarcoma-MSF790	ACH-000769	0.9978375825343976
Osteosarcoma-MSF790	ACH-000107	0.9978376154807773
Osteosarcoma-MSF790	ACH-000501	0.9978376687422202
Osteosarcoma-MSF790	ACH-000018	0.9978387597125027
Osteosarcoma-MSF790	ACH-000743	0.9978390842109939
Osteosarcoma-MSF790	ACH-000610	0.9978391767030793
Osteosarcoma-MSF790	ACH-000470	0.99783981956729
Osteosarcoma-MSF790	ACH-000486	0.9978406824028659
Osteosarcoma-MSF790	ACH-000668	0.9978415047670514
Osteosarcoma-MSF790	ACH-000252	0.9978432294938178
Osteosarcoma-MSF790	ACH-000599	0.9978433322915112
Osteosarcoma-MSF790	ACH-000781	0.9978434175080584
Osteosarcoma-MSF790	ACH-000489	0.9978437994662674
Osteosarcoma-MSF790	ACH-000114	0.9978439201253292
Osteosarcoma-MSF790	ACH-000530	0.9978440611177027
Osteosarcoma-MSF790	ACH-000482	0.9978442035748527
Osteosarcoma-MSF790	ACH-000858	0.9978451016288139
Osteosarcoma-MSF790	ACH-000420	0.9978454021452068
Osteosarcoma-MSF790	ACH-000155	0.997845430334799
Osteosarcoma-MSF790	ACH-000767	0.9978456542732801
Osteosarcoma-MSF790	ACH-000652	0.9978458590317127
Osteosarcoma-MSF790	ACH-000378	0.9978458906018568
Osteosarcoma-MSF790	ACH-000094	0.9978460290543396
