case	comparison	SNF: FDA & CGC
Osteosarcoma-NAN358	case-profile	0.4568076823721777
Osteosarcoma-NAN358	ACH-000222	0.9975107723287246
Osteosarcoma-NAN358	ACH-000188	0.9975247171827515
Osteosarcoma-NAN358	ACH-000535	0.9975258348501085
Osteosarcoma-NAN358	ACH-000012	0.9975314451613552
Osteosarcoma-NAN358	ACH-000355	0.9975539714261559
Osteosarcoma-NAN358	ACH-000082	0.9975716491808136
Osteosarcoma-NAN358	ACH-001125	0.9975734628014883
Osteosarcoma-NAN358	ACH-000116	0.9975844570264919
Osteosarcoma-NAN358	ACH-000138	0.9975846458718195
Osteosarcoma-NAN358	ACH-000087	0.9975903632903902
Osteosarcoma-NAN358	ACH-000115	0.9976258317001645
Osteosarcoma-NAN358	ACH-000596	0.9976292657073517
Osteosarcoma-NAN358	ACH-000696	0.9976379198137254
Osteosarcoma-NAN358	ACH-000319	0.9976420468147803
Osteosarcoma-NAN358	ACH-000145	0.9976441946210844
Osteosarcoma-NAN358	ACH-000749	0.9976464820937028
Osteosarcoma-NAN358	ACH-000569	0.9976624467100597
Osteosarcoma-NAN358	ACH-000864	0.9976675042403971
Osteosarcoma-NAN358	ACH-000191	0.9976942534877742
Osteosarcoma-NAN358	ACH-000711	0.997699004120264
Osteosarcoma-NAN358	ACH-000117	0.997702823038427
Osteosarcoma-NAN358	ACH-000148	0.9977084782953974
Osteosarcoma-NAN358	ACH-001016	0.9977159140506497
Osteosarcoma-NAN358	ACH-000040	0.997723127642497
Osteosarcoma-NAN358	ACH-000359	0.9977241671640119
Osteosarcoma-NAN358	ACH-000756	0.9977371526638741
Osteosarcoma-NAN358	ACH-000706	0.9977473996389863
Osteosarcoma-NAN358	ACH-000930	0.9977538695727324
Osteosarcoma-NAN358	ACH-000235	0.9977568093849455
Osteosarcoma-NAN358	ACH-000463	0.997760762941629
Osteosarcoma-NAN358	ACH-000574	0.9977616140440394
Osteosarcoma-NAN358	ACH-000018	0.9977632518713448
Osteosarcoma-NAN358	ACH-000589	0.9977677229624192
Osteosarcoma-NAN358	ACH-000341	0.9977702714655665
Osteosarcoma-NAN358	ACH-000527	0.9977720842712279
Osteosarcoma-NAN358	ACH-000668	0.9977789136545251
Osteosarcoma-NAN358	ACH-000187	0.9977789271993188
Osteosarcoma-NAN358	ACH-000094	0.9977807725538378
Osteosarcoma-NAN358	ACH-000132	0.9977859354044214
Osteosarcoma-NAN358	ACH-000210	0.9977882079598293
Osteosarcoma-NAN358	ACH-000155	0.9977895794041147
Osteosarcoma-NAN358	ACH-000800	0.9977955630878967
Osteosarcoma-NAN358	ACH-000633	0.9977965705590011
Osteosarcoma-NAN358	ACH-000530	0.9977969161191673
Osteosarcoma-NAN358	ACH-000544	0.997797351619061
Osteosarcoma-NAN358	ACH-000228	0.9977974416019618
Osteosarcoma-NAN358	ACH-000178	0.9977977252106821
Osteosarcoma-NAN358	ACH-000250	0.997798361763823
Osteosarcoma-NAN358	ACH-000103	0.997801763363389
Osteosarcoma-NAN358	ACH-000153	0.9978043467432179
Osteosarcoma-NAN358	ACH-000433	0.9978064092037398
Osteosarcoma-NAN358	ACH-000457	0.9978066028702783
Osteosarcoma-NAN358	ACH-000989	0.997807249680472
Osteosarcoma-NAN358	ACH-000769	0.9978104011687596
Osteosarcoma-NAN358	ACH-000335	0.9978105390548195
Osteosarcoma-NAN358	ACH-000114	0.9978108845480458
Osteosarcoma-NAN358	ACH-000107	0.9978119316775789
Osteosarcoma-NAN358	ACH-000781	0.9978128370386417
Osteosarcoma-NAN358	ACH-000482	0.9978132952479924
Osteosarcoma-NAN358	ACH-000288	0.9978141360217065
Osteosarcoma-NAN358	ACH-000484	0.9978155031273369
Osteosarcoma-NAN358	ACH-000430	0.9978157748748788
Osteosarcoma-NAN358	ACH-000858	0.997817334234057
Osteosarcoma-NAN358	ACH-000486	0.9978173603352248
Osteosarcoma-NAN358	ACH-000201	0.997818079319856
Osteosarcoma-NAN358	ACH-000599	0.997818757127762
Osteosarcoma-NAN358	ACH-000610	0.9978190326311217
Osteosarcoma-NAN358	ACH-000353	0.9978213746401958
Osteosarcoma-NAN358	ACH-000102	0.9978216515338636
Osteosarcoma-NAN358	ACH-000681	0.9978220716931677
Osteosarcoma-NAN358	ACH-000528	0.9978234527992709
Osteosarcoma-NAN358	ACH-000223	0.9978236414900907
Osteosarcoma-NAN358	ACH-000489	0.9978240041344921
Osteosarcoma-NAN358	ACH-000376	0.9978240634151537
Osteosarcoma-NAN358	ACH-000778	0.9978245767888879
Osteosarcoma-NAN358	ACH-000767	0.9978246740177755
Osteosarcoma-NAN358	ACH-000652	0.9978254194157419
Osteosarcoma-NAN358	ACH-000772	0.997825470320732
Osteosarcoma-NAN358	ACH-000496	0.9978257495243952
Osteosarcoma-NAN358	ACH-000231	0.9978274940952919
Osteosarcoma-NAN358	ACH-000159	0.997827905363589
Osteosarcoma-NAN358	ACH-000470	0.9978284276530823
Osteosarcoma-NAN358	ACH-000743	0.9978286080399534
Osteosarcoma-NAN358	ACH-000480	0.9978290791961967
Osteosarcoma-NAN358	ACH-000309	0.9978299957492175
Osteosarcoma-NAN358	ACH-000476	0.9978308152618537
Osteosarcoma-NAN358	ACH-000510	0.9978314091344009
Osteosarcoma-NAN358	ACH-000378	0.9978324796343421
Osteosarcoma-NAN358	ACH-000609	0.9978341350008703
Osteosarcoma-NAN358	ACH-000075	0.9978343097239957
Osteosarcoma-NAN358	ACH-000329	0.9978349668207396
Osteosarcoma-NAN358	ACH-000252	0.9978364681266283
Osteosarcoma-NAN358	ACH-000830	0.9978371947224766
Osteosarcoma-NAN358	ACH-000501	0.9978373780858558
Osteosarcoma-NAN358	ACH-000740	0.997839526429459
Osteosarcoma-NAN358	ACH-000420	0.997841488393926
Osteosarcoma-NAN358	ACH-000826	0.9978419869193567
Osteosarcoma-NAN358	ACH-000424	0.9978440315392622
Osteosarcoma-NAN358	ACH-000111	0.9978455649175468
Osteosarcoma-NAN358	ACH-000108	0.9978487134311267
Osteosarcoma-NAN358	ACH-001126	0.9978506011896521
Osteosarcoma-NAN358	ACH-000352	0.9978514755337917
Osteosarcoma-NAN358	ACH-000688	0.9978516015253359
Osteosarcoma-NAN358	ACH-000147	0.9978526854632455
Osteosarcoma-NAN358	ACH-000361	0.9978563689653893
Osteosarcoma-NAN358	ACH-000724	0.9978625041111666
Osteosarcoma-NAN358	ACH-000098	0.9978626934607358
Osteosarcoma-NAN358	ACH-000311	0.9978646649721957
Osteosarcoma-NAN358	ACH-000067	0.997865590472496
Osteosarcoma-NAN358	ACH-000379	0.9978657137355096
Osteosarcoma-NAN358	ACH-000525	0.9978665753886306
Osteosarcoma-NAN358	ACH-000212	0.9978698427002695
Osteosarcoma-NAN358	ACH-000560	0.9978701164074455
Osteosarcoma-NAN358	ACH-000129	0.9978704373776992
Osteosarcoma-NAN358	ACH-000571	0.9978707656734129
Osteosarcoma-NAN358	ACH-000391	0.9978713816693497
Osteosarcoma-NAN358	ACH-000211	0.9978725196641858
Osteosarcoma-NAN358	ACH-000298	0.9978730737618459
Osteosarcoma-NAN358	ACH-000291	0.9978742078848142
Osteosarcoma-NAN358	ACH-000265	0.9978765237415224
Osteosarcoma-NAN358	ACH-000565	0.9978765681741059
Osteosarcoma-NAN358	ACH-000555	0.9978767236080609
Osteosarcoma-NAN358	ACH-000343	0.9978770970657146
Osteosarcoma-NAN358	ACH-000417	0.9978778977418677
Osteosarcoma-NAN358	ACH-000332	0.9978803298998438
Osteosarcoma-NAN358	ACH-001090	0.9978815871572377
Osteosarcoma-NAN358	ACH-000290	0.9978827841855495
Osteosarcoma-NAN358	ACH-001189	0.9978849010638783
Osteosarcoma-NAN358	ACH-000798	0.9978852855542899
Osteosarcoma-NAN358	ACH-000483	0.9978854990061871
Osteosarcoma-NAN358	ACH-000292	0.9978868398653115
Osteosarcoma-NAN358	ACH-000670	0.9978868872329204
Osteosarcoma-NAN358	ACH-000062	0.9978869356642863
Osteosarcoma-NAN358	ACH-000566	0.9978869566294182
Osteosarcoma-NAN358	ACH-000643	0.9978872409579148
Osteosarcoma-NAN358	ACH-000258	0.9978872645750027
Osteosarcoma-NAN358	ACH-000651	0.9978895003208499
Osteosarcoma-NAN358	ACH-000293	0.9978898443377723
Osteosarcoma-NAN358	ACH-000672	0.997890611587149
Osteosarcoma-NAN358	ACH-000392	0.9978910528596217
Osteosarcoma-NAN358	ACH-000192	0.9978911209797203
Osteosarcoma-NAN358	ACH-000552	0.9978914776359491
Osteosarcoma-NAN358	ACH-000161	0.9978918891210621
Osteosarcoma-NAN358	ACH-000254	0.9978920296371756
Osteosarcoma-NAN358	ACH-000451	0.9978921024229888
Osteosarcoma-NAN358	ACH-000100	0.9978940987304906
Osteosarcoma-NAN358	ACH-000857	0.9978943313722222
Osteosarcoma-NAN358	ACH-000249	0.9978946961091623
Osteosarcoma-NAN358	ACH-000366	0.9978953017182783
Osteosarcoma-NAN358	ACH-000663	0.9978953231646334
Osteosarcoma-NAN358	ACH-000109	0.9978974499313764
Osteosarcoma-NAN358	ACH-000174	0.9978974666493525
Osteosarcoma-NAN358	ACH-000679	0.9978977434545309
Osteosarcoma-NAN358	ACH-000488	0.9978979810366202
Osteosarcoma-NAN358	ACH-000524	0.9978980017423801
Osteosarcoma-NAN358	ACH-000561	0.9978984386896773
Osteosarcoma-NAN358	ACH-000354	0.9978986120177434
Osteosarcoma-NAN358	ACH-000624	0.9978987304993863
Osteosarcoma-NAN358	ACH-000621	0.9978991280605679
Osteosarcoma-NAN358	ACH-000015	0.9979008227607696
Osteosarcoma-NAN358	ACH-000055	0.9979012474797705
Osteosarcoma-NAN358	ACH-000747	0.9979015573843739
Osteosarcoma-NAN358	ACH-000243	0.9979017464089999
Osteosarcoma-NAN358	ACH-000835	0.9979019604473982
Osteosarcoma-NAN358	ACH-000429	0.997902103538416
Osteosarcoma-NAN358	ACH-000030	0.9979024350080171
Osteosarcoma-NAN358	ACH-000394	0.9979026449773024
Osteosarcoma-NAN358	ACH-000605	0.9979027211330149
Osteosarcoma-NAN358	ACH-000121	0.9979027396079848
Osteosarcoma-NAN358	ACH-000558	0.997903026275891
Osteosarcoma-NAN358	ACH-000546	0.997903083489427
Osteosarcoma-NAN358	ACH-000257	0.9979035304916903
Osteosarcoma-NAN358	ACH-000693	0.9979038438192906
Osteosarcoma-NAN358	ACH-000092	0.9979041469519196
Osteosarcoma-NAN358	ACH-000915	0.997904614603919
Osteosarcoma-NAN358	ACH-000667	0.9979046160240324
Osteosarcoma-NAN358	ACH-000475	0.9979047678902995
Osteosarcoma-NAN358	ACH-000408	0.9979048588963001
Osteosarcoma-NAN358	ACH-000217	0.9979050608569117
Osteosarcoma-NAN358	ACH-000374	0.9979053207617167
Osteosarcoma-NAN358	ACH-001049	0.9979056300061685
Osteosarcoma-NAN358	ACH-000403	0.9979063393293199
Osteosarcoma-NAN358	ACH-000783	0.9979063886585762
Osteosarcoma-NAN358	ACH-000689	0.997906987594354
Osteosarcoma-NAN358	ACH-000516	0.997907074157859
Osteosarcoma-NAN358	ACH-000866	0.9979070825905149
Osteosarcoma-NAN358	ACH-000364	0.9979080167120915
Osteosarcoma-NAN358	ACH-000421	0.9979081441758572
Osteosarcoma-NAN358	ACH-000675	0.9979086308981199
Osteosarcoma-NAN358	ACH-000434	0.9979087272568911
Osteosarcoma-NAN358	ACH-000861	0.9979087563792286
Osteosarcoma-NAN358	ACH-000748	0.9979087922714444
Osteosarcoma-NAN358	ACH-000776	0.9979092626770344
Osteosarcoma-NAN358	ACH-000225	0.9979092732148508
Osteosarcoma-NAN358	ACH-000894	0.9979093095012898
Osteosarcoma-NAN358	ACH-000585	0.9979097580370818
Osteosarcoma-NAN358	ACH-000955	0.9979104165937511
Osteosarcoma-NAN358	ACH-000595	0.9979107315441944
Osteosarcoma-NAN358	ACH-000962	0.9979112482480363
Osteosarcoma-NAN358	ACH-000883	0.9979114427083878
Osteosarcoma-NAN358	ACH-000744	0.997911510406345
Osteosarcoma-NAN358	ACH-000775	0.9979116995554462
Osteosarcoma-NAN358	ACH-000350	0.9979117685209209
Osteosarcoma-NAN358	ACH-000142	0.9979120154153577
Osteosarcoma-NAN358	ACH-000691	0.9979120784565313
Osteosarcoma-NAN358	ACH-000971	0.9979120971589458
Osteosarcoma-NAN358	ACH-000586	0.9979124754628408
Osteosarcoma-NAN358	ACH-000052	0.9979129189163463
Osteosarcoma-NAN358	ACH-000647	0.9979130011965376
Osteosarcoma-NAN358	ACH-000780	0.9979131478410255
Osteosarcoma-NAN358	ACH-000810	0.9979135661840292
Osteosarcoma-NAN358	ACH-000625	0.9979138347917419
Osteosarcoma-NAN358	ACH-000902	0.9979140447748958
Osteosarcoma-NAN358	ACH-000238	0.9979143366746696
Osteosarcoma-NAN358	ACH-000305	0.997914379174911
Osteosarcoma-NAN358	ACH-000396	0.9979148941871141
Osteosarcoma-NAN358	ACH-000532	0.9979149500154042
Osteosarcoma-NAN358	ACH-000423	0.9979150666376568
Osteosarcoma-NAN358	ACH-000181	0.997915142897169
Osteosarcoma-NAN358	ACH-000186	0.9979160414038397
Osteosarcoma-NAN358	ACH-000442	0.9979161306871729
Osteosarcoma-NAN358	ACH-000416	0.9979161921108491
Osteosarcoma-NAN358	ACH-000431	0.9979166451064894
Osteosarcoma-NAN358	ACH-000506	0.9979166724879995
