case	comparison	SNF: FDA & CGC
Osteosarcoma-NCF101	case-profile	0.4565212426023023
Osteosarcoma-NCF101	ACH-000457	0.9974144098938333
Osteosarcoma-NCF101	ACH-000463	0.9974540534660933
Osteosarcoma-NCF101	ACH-000376	0.997474389863554
Osteosarcoma-NCF101	ACH-000544	0.9975216738610324
Osteosarcoma-NCF101	ACH-000098	0.9975311154609435
Osteosarcoma-NCF101	ACH-000625	0.9975546120144981
Osteosarcoma-NCF101	ACH-001125	0.9975991774957543
Osteosarcoma-NCF101	ACH-000991	0.9976111296974178
Osteosarcoma-NCF101	ACH-000012	0.9976256099247729
Osteosarcoma-NCF101	ACH-000569	0.9976312950990343
Osteosarcoma-NCF101	ACH-000849	0.9976645016965728
Osteosarcoma-NCF101	ACH-000075	0.9976699690242503
Osteosarcoma-NCF101	ACH-000159	0.9976761046856379
Osteosarcoma-NCF101	ACH-000433	0.9976832028917318
Osteosarcoma-NCF101	ACH-000178	0.9976861833972287
Osteosarcoma-NCF101	ACH-000361	0.9976873818604258
Osteosarcoma-NCF101	ACH-000562	0.9976985541464504
Osteosarcoma-NCF101	ACH-000389	0.9977003694080971
Osteosarcoma-NCF101	ACH-000264	0.9977229180456164
Osteosarcoma-NCF101	ACH-000401	0.9977267909703724
Osteosarcoma-NCF101	ACH-000129	0.9977319713674361
Osteosarcoma-NCF101	ACH-001090	0.9977495158911441
Osteosarcoma-NCF101	ACH-000442	0.997756346365217
Osteosarcoma-NCF101	ACH-000322	0.9977623194886286
Osteosarcoma-NCF101	ACH-000609	0.9977631040401932
Osteosarcoma-NCF101	ACH-000099	0.9977646990324981
Osteosarcoma-NCF101	ACH-000067	0.9977669908203006
Osteosarcoma-NCF101	ACH-000078	0.9977697522158198
Osteosarcoma-NCF101	ACH-000149	0.99777112110935
Osteosarcoma-NCF101	ACH-000265	0.9977718391416935
Osteosarcoma-NCF101	ACH-000558	0.9977718643618781
Osteosarcoma-NCF101	ACH-000201	0.9977728827398206
Osteosarcoma-NCF101	ACH-000535	0.9977802395679983
Osteosarcoma-NCF101	ACH-000355	0.9977873974523014
Osteosarcoma-NCF101	ACH-000018	0.9977897998908345
Osteosarcoma-NCF101	ACH-000250	0.997797876784136
Osteosarcoma-NCF101	ACH-000827	0.9978023034100614
Osteosarcoma-NCF101	ACH-000189	0.9978037541692726
Osteosarcoma-NCF101	ACH-000488	0.9978060366277088
Osteosarcoma-NCF101	ACH-000476	0.9978065397674317
Osteosarcoma-NCF101	ACH-000329	0.997807982497029
Osteosarcoma-NCF101	ACH-000610	0.9978108952299897
Osteosarcoma-NCF101	ACH-000800	0.9978110443501026
Osteosarcoma-NCF101	ACH-000132	0.9978139520843364
Osteosarcoma-NCF101	ACH-000681	0.9978170588395939
Osteosarcoma-NCF101	ACH-000428	0.9978183181414826
Osteosarcoma-NCF101	ACH-000244	0.9978185067666867
Osteosarcoma-NCF101	ACH-000781	0.997819278671464
Osteosarcoma-NCF101	ACH-000486	0.9978199024396599
Osteosarcoma-NCF101	ACH-000555	0.9978200445122587
Osteosarcoma-NCF101	ACH-000719	0.9978204052539319
Osteosarcoma-NCF101	ACH-000574	0.997820890235728
Osteosarcoma-NCF101	ACH-000114	0.997821574546911
Osteosarcoma-NCF101	ACH-000420	0.9978268073062617
Osteosarcoma-NCF101	ACH-000743	0.9978268319936635
Osteosarcoma-NCF101	ACH-000102	0.9978272990819337
Osteosarcoma-NCF101	ACH-000222	0.9978281013301897
Osteosarcoma-NCF101	ACH-000501	0.9978281541965006
Osteosarcoma-NCF101	ACH-000153	0.9978286126020022
Osteosarcoma-NCF101	ACH-000864	0.9978289074368969
Osteosarcoma-NCF101	ACH-000335	0.9978291106595176
Osteosarcoma-NCF101	ACH-000668	0.9978300376724515
Osteosarcoma-NCF101	ACH-000530	0.9978303707684895
Osteosarcoma-NCF101	ACH-000430	0.9978303869271784
Osteosarcoma-NCF101	ACH-000484	0.9978313163206869
Osteosarcoma-NCF101	ACH-000633	0.9978313708980701
Osteosarcoma-NCF101	ACH-000470	0.997831589312116
Osteosarcoma-NCF101	ACH-000353	0.9978319992053811
Osteosarcoma-NCF101	ACH-000155	0.9978322659894052
