case	comparison	SNF: FDA & CGC
Osteosarcoma-OBM067	case-profile	0.4578698320536474
Osteosarcoma-OBM067	ACH-000115	0.9974509754161428
Osteosarcoma-OBM067	ACH-000212	0.9974980723359632
Osteosarcoma-OBM067	ACH-000616	0.9975359857126028
Osteosarcoma-OBM067	ACH-000514	0.9975563544315056
Osteosarcoma-OBM067	ACH-000012	0.9975874945929917
Osteosarcoma-OBM067	ACH-000243	0.997588241368237
Osteosarcoma-OBM067	ACH-000100	0.9976054230500199
Osteosarcoma-OBM067	ACH-001189	0.9976112111263131
Osteosarcoma-OBM067	ACH-000706	0.9976246056404426
Osteosarcoma-OBM067	ACH-000257	0.9976267798650821
Osteosarcoma-OBM067	ACH-000433	0.9976282708792272
Osteosarcoma-OBM067	ACH-000947	0.9976307233495769
Osteosarcoma-OBM067	ACH-000211	0.9976412466152841
Osteosarcoma-OBM067	ACH-000178	0.9976652812752219
Osteosarcoma-OBM067	ACH-000596	0.9976668920695937
Osteosarcoma-OBM067	ACH-000347	0.9976730278888484
Osteosarcoma-OBM067	ACH-000332	0.9976731159478495
Osteosarcoma-OBM067	ACH-000819	0.997677809813687
Osteosarcoma-OBM067	ACH-000878	0.9976815841845112
Osteosarcoma-OBM067	ACH-000389	0.9976829555906855
Osteosarcoma-OBM067	ACH-000883	0.9976842324211608
Osteosarcoma-OBM067	ACH-000009	0.9976895892497817
Osteosarcoma-OBM067	ACH-000783	0.9976928178221837
Osteosarcoma-OBM067	ACH-000926	0.9976956020990181
Osteosarcoma-OBM067	ACH-000759	0.9977056291897
Osteosarcoma-OBM067	ACH-000111	0.9977065825525879
Osteosarcoma-OBM067	ACH-000108	0.9977069747526843
Osteosarcoma-OBM067	ACH-000161	0.9977075378323687
Osteosarcoma-OBM067	ACH-000483	0.9977088792628696
Osteosarcoma-OBM067	ACH-000434	0.99770947812047
Osteosarcoma-OBM067	ACH-000015	0.9977125611024915
Osteosarcoma-OBM067	ACH-000078	0.9977134580841818
Osteosarcoma-OBM067	ACH-000276	0.9977149978254123
Osteosarcoma-OBM067	ACH-000145	0.997715324442774
Osteosarcoma-OBM067	ACH-000738	0.9977169910228252
Osteosarcoma-OBM067	ACH-000631	0.9977177845582397
Osteosarcoma-OBM067	ACH-000219	0.9977178774836515
Osteosarcoma-OBM067	ACH-000352	0.9977193647803599
Osteosarcoma-OBM067	ACH-000416	0.9977199434853096
Osteosarcoma-OBM067	ACH-000603	0.9977228386256088
Osteosarcoma-OBM067	ACH-000186	0.9977238703125996
Osteosarcoma-OBM067	ACH-000989	0.9977335485354814
Osteosarcoma-OBM067	ACH-000525	0.997736238935299
Osteosarcoma-OBM067	ACH-000788	0.9977369505848313
