case	comparison	SNF: FDA & CGC
Osteosarcoma-RCP466	case-profile	0.4579566276260263
Osteosarcoma-RCP466	ACH-000244	0.9975168625044065
Osteosarcoma-RCP466	ACH-000078	0.9975173808669761
Osteosarcoma-RCP466	ACH-000486	0.9976033394864992
Osteosarcoma-RCP466	ACH-000947	0.9976059818454189
Osteosarcoma-RCP466	ACH-000428	0.9976233466613524
Osteosarcoma-RCP466	ACH-000102	0.9976238040546966
Osteosarcoma-RCP466	ACH-000940	0.9976262382010331
Osteosarcoma-RCP466	ACH-000361	0.997629177239717
Osteosarcoma-RCP466	ACH-000625	0.9976389294900055
Osteosarcoma-RCP466	ACH-000201	0.9976550677137209
Osteosarcoma-RCP466	ACH-000570	0.997660132616916
Osteosarcoma-RCP466	ACH-001126	0.9976614137547746
Osteosarcoma-RCP466	ACH-000957	0.9976622772504866
Osteosarcoma-RCP466	ACH-000562	0.997662502471392
Osteosarcoma-RCP466	ACH-000571	0.9976638534297065
Osteosarcoma-RCP466	ACH-000265	0.9976687916404157
Osteosarcoma-RCP466	ACH-000558	0.9976699065213962
Osteosarcoma-RCP466	ACH-000219	0.9976896738809101
Osteosarcoma-RCP466	ACH-000878	0.9976989383651498
Osteosarcoma-RCP466	ACH-000389	0.99770030824115
Osteosarcoma-RCP466	ACH-000449	0.9977012724438046
Osteosarcoma-RCP466	ACH-000989	0.9977042185446418
Osteosarcoma-RCP466	ACH-000596	0.9977044585238799
Osteosarcoma-RCP466	ACH-000149	0.9977068849014421
Osteosarcoma-RCP466	ACH-000569	0.9977205461161234
Osteosarcoma-RCP466	ACH-000040	0.9977250178596418
Osteosarcoma-RCP466	ACH-000759	0.9977291961717637
Osteosarcoma-RCP466	ACH-000926	0.997729275497036
Osteosarcoma-RCP466	ACH-000189	0.9977350275391856
Osteosarcoma-RCP466	ACH-000555	0.9977362750194806
Osteosarcoma-RCP466	ACH-000186	0.9977419238591791
Osteosarcoma-RCP466	ACH-000483	0.9977436093636
Osteosarcoma-RCP466	ACH-000719	0.9977474671730563
Osteosarcoma-RCP466	ACH-000015	0.9977482306877062
Osteosarcoma-RCP466	ACH-000663	0.9977494977142677
Osteosarcoma-RCP466	ACH-000783	0.997750000438387
Osteosarcoma-RCP466	ACH-000108	0.9977536443035022
Osteosarcoma-RCP466	ACH-000145	0.9977543950124519
Osteosarcoma-RCP466	ACH-000352	0.9977555479780381
Osteosarcoma-RCP466	ACH-000075	0.9977557844172661
Osteosarcoma-RCP466	ACH-000434	0.9977563242647931
Osteosarcoma-RCP466	ACH-000738	0.997756424030224
Osteosarcoma-RCP466	ACH-000883	0.99775663566735
Osteosarcoma-RCP466	ACH-000416	0.9977566720943926
Osteosarcoma-RCP466	ACH-000009	0.9977635160920645
Osteosarcoma-RCP466	ACH-000788	0.997763766599588
Osteosarcoma-RCP466	ACH-001090	0.9977673352225849
Osteosarcoma-RCP466	ACH-000111	0.9977727387571388
Osteosarcoma-RCP466	ACH-000231	0.9977732805863897
Osteosarcoma-RCP466	ACH-000706	0.9977750242890591
Osteosarcoma-RCP466	ACH-000437	0.9977756591344619
Osteosarcoma-RCP466	ACH-000530	0.9977775612614295
Osteosarcoma-RCP466	ACH-000181	0.9977787452420297
Osteosarcoma-RCP466	ACH-000991	0.9977806238892081
Osteosarcoma-RCP466	ACH-000178	0.9977819796823956
Osteosarcoma-RCP466	ACH-000092	0.9977821612605893
Osteosarcoma-RCP466	ACH-000298	0.9977832167377144
Osteosarcoma-RCP466	ACH-000211	0.9977832585527917
Osteosarcoma-RCP466	ACH-000100	0.9977850037426194
Osteosarcoma-RCP466	ACH-000525	0.9977877965076087
Osteosarcoma-RCP466	ACH-000217	0.9977891826531734
Osteosarcoma-RCP466	ACH-000341	0.9977895009856698
Osteosarcoma-RCP466	ACH-000374	0.9977897194125686
Osteosarcoma-RCP466	ACH-000643	0.997789932362126
Osteosarcoma-RCP466	ACH-000776	0.9977905488923212
Osteosarcoma-RCP466	ACH-001189	0.9977918701700755
Osteosarcoma-RCP466	ACH-000148	0.9977920745233719
Osteosarcoma-RCP466	ACH-000366	0.9977931156103458
Osteosarcoma-RCP466	ACH-000451	0.9977943785500961
Osteosarcoma-RCP466	ACH-000187	0.9977961717974988
Osteosarcoma-RCP466	ACH-000475	0.9977964031625073
Osteosarcoma-RCP466	ACH-000254	0.9977981629898922
Osteosarcoma-RCP466	ACH-000115	0.9977984352817245
Osteosarcoma-RCP466	ACH-001190	0.9978015509488182
Osteosarcoma-RCP466	ACH-000651	0.9978021964364918
Osteosarcoma-RCP466	ACH-001016	0.9978025011636958
Osteosarcoma-RCP466	ACH-000979	0.9978033452939833
Osteosarcoma-RCP466	ACH-000963	0.997803601180348
Osteosarcoma-RCP466	ACH-000355	0.997803637326235
Osteosarcoma-RCP466	ACH-000748	0.9978045366602197
Osteosarcoma-RCP466	ACH-000730	0.9978047040667997
Osteosarcoma-RCP466	ACH-000621	0.9978050844367834
Osteosarcoma-RCP466	ACH-000693	0.997805615322872
Osteosarcoma-RCP466	ACH-000595	0.9978060389653209
Osteosarcoma-RCP466	ACH-000835	0.9978067418550363
Osteosarcoma-RCP466	ACH-000724	0.9978076094500556
Osteosarcoma-RCP466	ACH-000243	0.9978080804015452
Osteosarcoma-RCP466	ACH-000510	0.9978083156565798
Osteosarcoma-RCP466	ACH-000257	0.997808890514936
Osteosarcoma-RCP466	ACH-000116	0.9978100002907042
Osteosarcoma-RCP466	ACH-000359	0.9978101090450994
Osteosarcoma-RCP466	ACH-000238	0.9978114808954093
Osteosarcoma-RCP466	ACH-000566	0.9978131278253547
Osteosarcoma-RCP466	ACH-000586	0.9978131863844233
Osteosarcoma-RCP466	ACH-000624	0.9978153756876932
Osteosarcoma-RCP466	ACH-000911	0.9978154970293324
Osteosarcoma-RCP466	ACH-000647	0.9978159230295702
Osteosarcoma-RCP466	ACH-000561	0.997817076364694
Osteosarcoma-RCP466	ACH-000282	0.9978175536580882
Osteosarcoma-RCP466	ACH-000689	0.9978176213263019
Osteosarcoma-RCP466	ACH-000756	0.9978184674587847
Osteosarcoma-RCP466	ACH-000098	0.9978186355528498
Osteosarcoma-RCP466	ACH-000892	0.9978194654864707
Osteosarcoma-RCP466	ACH-000882	0.9978199070460895
Osteosarcoma-RCP466	ACH-000469	0.9978199267587339
Osteosarcoma-RCP466	ACH-000704	0.9978200513453327
Osteosarcoma-RCP466	ACH-000212	0.997820637790149
Osteosarcoma-RCP466	ACH-000601	0.9978206669029002
Osteosarcoma-RCP466	ACH-000572	0.9978213700826578
Osteosarcoma-RCP466	ACH-000818	0.9978220754066173
Osteosarcoma-RCP466	ACH-000174	0.997822383299223
Osteosarcoma-RCP466	ACH-000755	0.997823504146071
Osteosarcoma-RCP466	ACH-000560	0.9978238349723544
Osteosarcoma-RCP466	ACH-000536	0.9978243523248799
Osteosarcoma-RCP466	ACH-000121	0.9978252225759753
Osteosarcoma-RCP466	ACH-000639	0.9978252244296295
Osteosarcoma-RCP466	ACH-000615	0.9978252946919864
Osteosarcoma-RCP466	ACH-001023	0.9978269634049448
Osteosarcoma-RCP466	ACH-000196	0.9978270341115992
Osteosarcoma-RCP466	ACH-000364	0.997827415423872
Osteosarcoma-RCP466	ACH-000442	0.9978284847259792
Osteosarcoma-RCP466	ACH-000720	0.9978290871946588
Osteosarcoma-RCP466	ACH-000332	0.9978299679230085
Osteosarcoma-RCP466	ACH-000917	0.9978305538168419
Osteosarcoma-RCP466	ACH-000431	0.9978314237121615
Osteosarcoma-RCP466	ACH-000784	0.9978332821341878
Osteosarcoma-RCP466	ACH-000129	0.9978333083122651
Osteosarcoma-RCP466	ACH-000699	0.9978349828268913
Osteosarcoma-RCP466	ACH-000585	0.997835310032082
Osteosarcoma-RCP466	ACH-000249	0.9978359091433008
Osteosarcoma-RCP466	ACH-000903	0.9978373688736404
Osteosarcoma-RCP466	ACH-000819	0.997838705316379
Osteosarcoma-RCP466	ACH-000399	0.9978392078887736
Osteosarcoma-RCP466	ACH-000766	0.99784006844588
Osteosarcoma-RCP466	ACH-000565	0.9978408171506721
Osteosarcoma-RCP466	ACH-000379	0.9978411883209743
Osteosarcoma-RCP466	ACH-000680	0.9978416089700914
Osteosarcoma-RCP466	ACH-000843	0.9978432218401526
Osteosarcoma-RCP466	ACH-000752	0.9978436044838921
Osteosarcoma-RCP466	ACH-000677	0.9978437911415082
Osteosarcoma-RCP466	ACH-000789	0.9978437937685175
Osteosarcoma-RCP466	ACH-000650	0.9978439275432266
Osteosarcoma-RCP466	ACH-000264	0.9978439957567555
Osteosarcoma-RCP466	ACH-000290	0.9978443290117923
Osteosarcoma-RCP466	ACH-000087	0.997844709110891
Osteosarcoma-RCP466	ACH-000304	0.9978450236945574
Osteosarcoma-RCP466	ACH-000207	0.9978466763493163
Osteosarcoma-RCP466	ACH-001021	0.9978466977251935
Osteosarcoma-RCP466	ACH-000725	0.9978467555433916
Osteosarcoma-RCP466	ACH-000580	0.9978477003880865
Osteosarcoma-RCP466	ACH-000667	0.9978486302470517
