case	comparison	SNF: FDA & CGC
Osteosarcoma-RRYO724	case-profile	0.45815372098416274
Osteosarcoma-RRYO724	ACH-000145	0.9974490674895967
Osteosarcoma-RRYO724	ACH-000976	0.9975204296380181
Osteosarcoma-RRYO724	ACH-000508	0.997545395488226
Osteosarcoma-RRYO724	ACH-000098	0.9975531708273723
Osteosarcoma-RRYO724	ACH-000561	0.9975555175115552
Osteosarcoma-RRYO724	ACH-000639	0.9975738394058499
Osteosarcoma-RRYO724	ACH-000244	0.9975932611682568
Osteosarcoma-RRYO724	ACH-000849	0.997599747891544
Osteosarcoma-RRYO724	ACH-000257	0.9976059111621226
Osteosarcoma-RRYO724	ACH-001151	0.9976059883252298
Osteosarcoma-RRYO724	ACH-000667	0.9976103728002259
Osteosarcoma-RRYO724	ACH-000178	0.9976280325968423
Osteosarcoma-RRYO724	ACH-001089	0.9976335779486603
Osteosarcoma-RRYO724	ACH-000108	0.9976374796029694
Osteosarcoma-RRYO724	ACH-000359	0.9976389073185035
Osteosarcoma-RRYO724	ACH-000860	0.9976587437786983
Osteosarcoma-RRYO724	ACH-000138	0.9976618855361188
Osteosarcoma-RRYO724	ACH-000720	0.9976781224879641
Osteosarcoma-RRYO724	ACH-000351	0.9976906034610493
Osteosarcoma-RRYO724	ACH-000650	0.9977066615525839
Osteosarcoma-RRYO724	ACH-000627	0.9977071094658031
Osteosarcoma-RRYO724	ACH-001021	0.9977098465148417
Osteosarcoma-RRYO724	ACH-000766	0.997716936355435
Osteosarcoma-RRYO724	ACH-000788	0.9977178141186134
Osteosarcoma-RRYO724	ACH-000873	0.9977279902857559
Osteosarcoma-RRYO724	ACH-000347	0.9977330615461261
Osteosarcoma-RRYO724	ACH-000563	0.9977331175658043
Osteosarcoma-RRYO724	ACH-000298	0.9977352356641755
Osteosarcoma-RRYO724	ACH-000504	0.9977427325247819
Osteosarcoma-RRYO724	ACH-000883	0.9977439380908204
Osteosarcoma-RRYO724	ACH-000217	0.9977465489283911
Osteosarcoma-RRYO724	ACH-000878	0.9977467871289413
Osteosarcoma-RRYO724	ACH-000926	0.9977488236385089
Osteosarcoma-RRYO724	ACH-000752	0.9977513885138046
Osteosarcoma-RRYO724	ACH-000389	0.9977530345626834
Osteosarcoma-RRYO724	ACH-000186	0.9977545606165589
Osteosarcoma-RRYO724	ACH-000706	0.9977549071764719
Osteosarcoma-RRYO724	ACH-000738	0.9977551981662047
Osteosarcoma-RRYO724	ACH-000434	0.9977554624451366
Osteosarcoma-RRYO724	ACH-000015	0.9977556847091842
Osteosarcoma-RRYO724	ACH-000352	0.9977565017037235
Osteosarcoma-RRYO724	ACH-000483	0.9977597049269885
Osteosarcoma-RRYO724	ACH-000906	0.9977599743331038
Osteosarcoma-RRYO724	ACH-000147	0.9977600113624255
Osteosarcoma-RRYO724	ACH-000451	0.9977616799687643
Osteosarcoma-RRYO724	ACH-000111	0.9977617693539349
Osteosarcoma-RRYO724	ACH-000009	0.9977625575294944
Osteosarcoma-RRYO724	ACH-000783	0.9977635217108692
Osteosarcoma-RRYO724	ACH-000212	0.9977651501423295
Osteosarcoma-RRYO724	ACH-000663	0.9977673728155793
Osteosarcoma-RRYO724	ACH-000759	0.9977676024293999
Osteosarcoma-RRYO724	ACH-000772	0.9977676719007869
Osteosarcoma-RRYO724	ACH-000416	0.9977682311389648
Osteosarcoma-RRYO724	ACH-000681	0.9977692105815258
Osteosarcoma-RRYO724	ACH-000525	0.9977708439658864
Osteosarcoma-RRYO724	ACH-000100	0.9977727362741318
Osteosarcoma-RRYO724	ACH-000181	0.9977734142586192
Osteosarcoma-RRYO724	ACH-000596	0.9977737751120543
Osteosarcoma-RRYO724	ACH-000475	0.9977745097546549
Osteosarcoma-RRYO724	ACH-000174	0.997774899229543
Osteosarcoma-RRYO724	ACH-000187	0.9977751602827652
Osteosarcoma-RRYO724	ACH-000374	0.9977780018650589
Osteosarcoma-RRYO724	ACH-001090	0.9977804774641896
Osteosarcoma-RRYO724	ACH-001126	0.9977807515181474
Osteosarcoma-RRYO724	ACH-000265	0.9977826520398255
Osteosarcoma-RRYO724	ACH-000115	0.9977852508022056
Osteosarcoma-RRYO724	ACH-000431	0.9977865328007016
Osteosarcoma-RRYO724	ACH-000571	0.9977866376425357
Osteosarcoma-RRYO724	ACH-000651	0.9977887771700154
Osteosarcoma-RRYO724	ACH-000282	0.997788984884831
Osteosarcoma-RRYO724	ACH-000528	0.9977913901628236
Osteosarcoma-RRYO724	ACH-000243	0.9977927778209528
Osteosarcoma-RRYO724	ACH-000332	0.9977947802283357
Osteosarcoma-RRYO724	ACH-000092	0.9977957074106095
Osteosarcoma-RRYO724	ACH-000643	0.9977957447527785
Osteosarcoma-RRYO724	ACH-000625	0.9977957629268027
