case	comparison	SNF: FDA & CGC
Osteosarcoma-RRZ637	case-profile	0.4581285270614729
Osteosarcoma-RRZ637	ACH-000504	0.997417223472385
Osteosarcoma-RRZ637	ACH-000364	0.9975040954445227
Osteosarcoma-RRZ637	ACH-000366	0.9975073166987847
Osteosarcoma-RRZ637	ACH-000849	0.9975140959986293
Osteosarcoma-RRZ637	ACH-000863	0.9975719563422706
Osteosarcoma-RRZ637	ACH-000883	0.9975768431766582
Osteosarcoma-RRZ637	ACH-000919	0.9976004824314881
Osteosarcoma-RRZ637	ACH-000680	0.9976218996195061
Osteosarcoma-RRZ637	ACH-000201	0.9976350609158922
Osteosarcoma-RRZ637	ACH-000601	0.9976488486716464
Osteosarcoma-RRZ637	ACH-000476	0.9976677529769373
Osteosarcoma-RRZ637	ACH-000470	0.9976730461633391
Osteosarcoma-RRZ637	ACH-000525	0.9976754654762805
Osteosarcoma-RRZ637	ACH-000788	0.9976837255902545
Osteosarcoma-RRZ637	ACH-000257	0.9976869099795276
Osteosarcoma-RRZ637	ACH-001089	0.9976875656974434
Osteosarcoma-RRZ637	ACH-000706	0.9976877386875261
Osteosarcoma-RRZ637	ACH-000420	0.9976896201144707
Osteosarcoma-RRZ637	ACH-000349	0.9976973283826497
Osteosarcoma-RRZ637	ACH-000161	0.9977028346823077
Osteosarcoma-RRZ637	ACH-000979	0.9977054671398435
Osteosarcoma-RRZ637	ACH-000359	0.9977072423571851
Osteosarcoma-RRZ637	ACH-000580	0.9977167133980791
Osteosarcoma-RRZ637	ACH-000855	0.997722850121174
Osteosarcoma-RRZ637	ACH-000828	0.9977251149134218
Osteosarcoma-RRZ637	ACH-000559	0.9977278731135347
Osteosarcoma-RRZ637	ACH-000926	0.9977307367781736
Osteosarcoma-RRZ637	ACH-000759	0.9977333693368984
Osteosarcoma-RRZ637	ACH-000906	0.9977340913224744
Osteosarcoma-RRZ637	ACH-000614	0.9977395680256824
Osteosarcoma-RRZ637	ACH-000596	0.9977456063974104
Osteosarcoma-RRZ637	ACH-000007	0.9977481329767302
Osteosarcoma-RRZ637	ACH-000480	0.9977486783050796
Osteosarcoma-RRZ637	ACH-000640	0.9977494769767707
Osteosarcoma-RRZ637	ACH-000298	0.997752878008367
Osteosarcoma-RRZ637	ACH-000181	0.9977552651934525
Osteosarcoma-RRZ637	ACH-000738	0.9977559410955869
Osteosarcoma-RRZ637	ACH-000783	0.9977567222474446
Osteosarcoma-RRZ637	ACH-000871	0.9977598113294076
Osteosarcoma-RRZ637	ACH-000681	0.9977608033864797
Osteosarcoma-RRZ637	ACH-000483	0.9977615501706046
Osteosarcoma-RRZ637	ACH-001039	0.9977655514506111
Osteosarcoma-RRZ637	ACH-000555	0.9977659608956041
Osteosarcoma-RRZ637	ACH-000352	0.9977664696900232
Osteosarcoma-RRZ637	ACH-000015	0.9977704559821368
Osteosarcoma-RRZ637	ACH-000389	0.9977712588467481
Osteosarcoma-RRZ637	ACH-000111	0.9977721554810436
Osteosarcoma-RRZ637	ACH-000186	0.9977732864444739
Osteosarcoma-RRZ637	ACH-000145	0.9977746337006822
Osteosarcoma-RRZ637	ACH-000878	0.9977748113474858
Osteosarcoma-RRZ637	ACH-000009	0.9977753669188525
Osteosarcoma-RRZ637	ACH-000416	0.9977756332345696
Osteosarcoma-RRZ637	ACH-000663	0.997779695740789
