case	comparison	SNF: FDA & CGC
Osteosarcoma-SJDOSTEOS013	case-profile	0.456756149586224
Osteosarcoma-SJDOSTEOS013	ACH-000075	0.9974573724324686
Osteosarcoma-SJDOSTEOS013	ACH-000292	0.9974796017810779
Osteosarcoma-SJDOSTEOS013	ACH-000359	0.9975943311724144
Osteosarcoma-SJDOSTEOS013	ACH-000181	0.9976033223968828
Osteosarcoma-SJDOSTEOS013	ACH-000161	0.9976243186589293
Osteosarcoma-SJDOSTEOS013	ACH-000231	0.9976513493550611
Osteosarcoma-SJDOSTEOS013	ACH-000527	0.9976609131548632
Osteosarcoma-SJDOSTEOS013	ACH-000078	0.9976702340435232
Osteosarcoma-SJDOSTEOS013	ACH-000501	0.9976835895934416
Osteosarcoma-SJDOSTEOS013	ACH-000562	0.9976889239621026
Osteosarcoma-SJDOSTEOS013	ACH-000681	0.9976900222422662
Osteosarcoma-SJDOSTEOS013	ACH-000906	0.9977025619309569
Osteosarcoma-SJDOSTEOS013	ACH-000584	0.997705198828365
Osteosarcoma-SJDOSTEOS013	ACH-000828	0.9977071554932151
Osteosarcoma-SJDOSTEOS013	ACH-000970	0.9977252378295525
Osteosarcoma-SJDOSTEOS013	ACH-000427	0.9977258899442566
Osteosarcoma-SJDOSTEOS013	ACH-000640	0.9977261399688947
Osteosarcoma-SJDOSTEOS013	ACH-000108	0.9977288238650248
Osteosarcoma-SJDOSTEOS013	ACH-000483	0.9977389324114943
Osteosarcoma-SJDOSTEOS013	ACH-000915	0.9977480279405772
Osteosarcoma-SJDOSTEOS013	ACH-000394	0.9977601322355443
Osteosarcoma-SJDOSTEOS013	ACH-000688	0.9977674870634462
Osteosarcoma-SJDOSTEOS013	ACH-000861	0.9977775393637645
Osteosarcoma-SJDOSTEOS013	ACH-000217	0.997778658551784
Osteosarcoma-SJDOSTEOS013	ACH-000329	0.9977834222971741
Osteosarcoma-SJDOSTEOS013	ACH-000971	0.997787175612188
Osteosarcoma-SJDOSTEOS013	ACH-000610	0.9977872095532695
Osteosarcoma-SJDOSTEOS013	ACH-000816	0.997788476359793
Osteosarcoma-SJDOSTEOS013	ACH-000778	0.9977896559317712
Osteosarcoma-SJDOSTEOS013	ACH-000800	0.9977896695788818
Osteosarcoma-SJDOSTEOS013	ACH-000355	0.9977949796955715
Osteosarcoma-SJDOSTEOS013	ACH-000650	0.9977951389099015
Osteosarcoma-SJDOSTEOS013	ACH-000569	0.9977951639528926
Osteosarcoma-SJDOSTEOS013	ACH-000989	0.99779625474128
Osteosarcoma-SJDOSTEOS013	ACH-000670	0.997796824705091
Osteosarcoma-SJDOSTEOS013	ACH-000358	0.9978001347374952
Osteosarcoma-SJDOSTEOS013	ACH-000102	0.9978008909723189
Osteosarcoma-SJDOSTEOS013	ACH-000489	0.9978012726176525
Osteosarcoma-SJDOSTEOS013	ACH-000153	0.9978014579219302
Osteosarcoma-SJDOSTEOS013	ACH-000476	0.9978024242546968
Osteosarcoma-SJDOSTEOS013	ACH-000528	0.9978040686340109
Osteosarcoma-SJDOSTEOS013	ACH-000480	0.9978046671606167
Osteosarcoma-SJDOSTEOS013	ACH-000599	0.9978053582490541
Osteosarcoma-SJDOSTEOS013	ACH-000496	0.997805616854031
Osteosarcoma-SJDOSTEOS013	ACH-000252	0.9978058997964085
Osteosarcoma-SJDOSTEOS013	ACH-000335	0.9978064413572039
Osteosarcoma-SJDOSTEOS013	ACH-000633	0.9978086830916137
Osteosarcoma-SJDOSTEOS013	ACH-000457	0.9978107807620707
Osteosarcoma-SJDOSTEOS013	ACH-000979	0.9978115768222647
Osteosarcoma-SJDOSTEOS013	ACH-000482	0.9978129953880167
Osteosarcoma-SJDOSTEOS013	ACH-000107	0.9978131471192201
Osteosarcoma-SJDOSTEOS013	ACH-000430	0.9978133183945435
Osteosarcoma-SJDOSTEOS013	ACH-000486	0.9978136339228093
Osteosarcoma-SJDOSTEOS013	ACH-000201	0.9978155087252667
Osteosarcoma-SJDOSTEOS013	ACH-000222	0.9978166212321236
Osteosarcoma-SJDOSTEOS013	ACH-000114	0.9978168958458556
Osteosarcoma-SJDOSTEOS013	ACH-000250	0.9978173836382924
Osteosarcoma-SJDOSTEOS013	ACH-000433	0.9978177781148373
Osteosarcoma-SJDOSTEOS013	ACH-000282	0.9978190113075637
Osteosarcoma-SJDOSTEOS013	ACH-000574	0.9978197760713906
Osteosarcoma-SJDOSTEOS013	ACH-000609	0.9978197771021762
Osteosarcoma-SJDOSTEOS013	ACH-000103	0.9978219211330238
Osteosarcoma-SJDOSTEOS013	ACH-000353	0.9978226850287508
Osteosarcoma-SJDOSTEOS013	ACH-000376	0.9978235745728832
Osteosarcoma-SJDOSTEOS013	ACH-000781	0.9978245133178917
Osteosarcoma-SJDOSTEOS013	ACH-000378	0.9978248023166667
Osteosarcoma-SJDOSTEOS013	ACH-000159	0.9978263389504832
Osteosarcoma-SJDOSTEOS013	ACH-000668	0.997826361286398
Osteosarcoma-SJDOSTEOS013	ACH-000589	0.9978264460547186
Osteosarcoma-SJDOSTEOS013	ACH-000699	0.9978265423328835
Osteosarcoma-SJDOSTEOS013	ACH-000178	0.9978266348802143
Osteosarcoma-SJDOSTEOS013	ACH-000535	0.9978270715165017
Osteosarcoma-SJDOSTEOS013	ACH-000420	0.9978277772804217
Osteosarcoma-SJDOSTEOS013	ACH-000858	0.9978281890177718
Osteosarcoma-SJDOSTEOS013	ACH-000530	0.9978281946993859
Osteosarcoma-SJDOSTEOS013	ACH-000826	0.9978287325837096
