case	comparison	SNF: FDA & CGC
Osteosarcoma-TOS090	case-profile	0.4579914232994796
Osteosarcoma-TOS090	ACH-000957	0.9974562854914001
Osteosarcoma-TOS090	ACH-000332	0.9974796379057016
Osteosarcoma-TOS090	ACH-000504	0.9975528556434168
Osteosarcoma-TOS090	ACH-000304	0.9976048622620476
Osteosarcoma-TOS090	ACH-000706	0.99760746773481
Osteosarcoma-TOS090	ACH-000352	0.9976132885242422
Osteosarcoma-TOS090	ACH-000798	0.997622289103706
Osteosarcoma-TOS090	ACH-000078	0.9976265671201853
Osteosarcoma-TOS090	ACH-000181	0.9976296966916429
Osteosarcoma-TOS090	ACH-000269	0.9976545487990011
Osteosarcoma-TOS090	ACH-000843	0.9976572260168415
Osteosarcoma-TOS090	ACH-000129	0.9976715218354179
Osteosarcoma-TOS090	ACH-000555	0.997674997864878
Osteosarcoma-TOS090	ACH-000322	0.9976781863438813
Osteosarcoma-TOS090	ACH-000631	0.9976792191189457
Osteosarcoma-TOS090	ACH-000596	0.9976817486576124
Osteosarcoma-TOS090	ACH-000926	0.9976819478659925
Osteosarcoma-TOS090	ACH-000614	0.9976867647887085
Osteosarcoma-TOS090	ACH-000298	0.9976897850450239
Osteosarcoma-TOS090	ACH-000878	0.9976920862650885
Osteosarcoma-TOS090	ACH-000108	0.9976930981961594
Osteosarcoma-TOS090	ACH-000434	0.9976980544992671
Osteosarcoma-TOS090	ACH-000783	0.997698346161322
Osteosarcoma-TOS090	ACH-000663	0.9977000417866551
Osteosarcoma-TOS090	ACH-000009	0.9977039222284924
Osteosarcoma-TOS090	ACH-000647	0.9977079657106224
Osteosarcoma-TOS090	ACH-000989	0.9977087372312121
Osteosarcoma-TOS090	ACH-000483	0.9977087569773055
Osteosarcoma-TOS090	ACH-000417	0.9977096818626257
Osteosarcoma-TOS090	ACH-000883	0.9977104447266172
Osteosarcoma-TOS090	ACH-000100	0.9977134184568964
Osteosarcoma-TOS090	ACH-000395	0.9977136762122804
Osteosarcoma-TOS090	ACH-000389	0.9977169679319554
Osteosarcoma-TOS090	ACH-000911	0.9977182052885492
Osteosarcoma-TOS090	ACH-000416	0.9977189326118944
Osteosarcoma-TOS090	ACH-000620	0.9977218543837492
Osteosarcoma-TOS090	ACH-000187	0.9977237586926135
Osteosarcoma-TOS090	ACH-000625	0.9977241374317893
Osteosarcoma-TOS090	ACH-000759	0.9977246371535556
Osteosarcoma-TOS090	ACH-000349	0.9977259564664966
Osteosarcoma-TOS090	ACH-000738	0.9977292720739483
Osteosarcoma-TOS090	ACH-001126	0.997729505389087
Osteosarcoma-TOS090	ACH-000186	0.9977300214144246
Osteosarcoma-TOS090	ACH-000015	0.9977314522404614
Osteosarcoma-TOS090	ACH-000291	0.9977342579235016
Osteosarcoma-TOS090	ACH-000145	0.997735740837846
Osteosarcoma-TOS090	ACH-000149	0.9977370191230589
Osteosarcoma-TOS090	ACH-000243	0.9977418485290416
Osteosarcoma-TOS090	ACH-000525	0.9977435973710311
Osteosarcoma-TOS090	ACH-000354	0.9977441440310287
Osteosarcoma-TOS090	ACH-000776	0.9977452660984218
Osteosarcoma-TOS090	ACH-000366	0.9977468807935682
Osteosarcoma-TOS090	ACH-000559	0.9977487355142026
Osteosarcoma-TOS090	ACH-000979	0.9977517585449457
Osteosarcoma-TOS090	ACH-000437	0.997753573140282
Osteosarcoma-TOS090	ACH-000472	0.9977540429412397
Osteosarcoma-TOS090	ACH-000756	0.997754923946527
Osteosarcoma-TOS090	ACH-000940	0.9977585855038478
Osteosarcoma-TOS090	ACH-000174	0.9977604595684485
Osteosarcoma-TOS090	ACH-000265	0.9977605613630028
Osteosarcoma-TOS090	ACH-001190	0.9977615364463781
Osteosarcoma-TOS090	ACH-000374	0.9977652113833909
Osteosarcoma-TOS090	ACH-000111	0.9977661820188212
Osteosarcoma-TOS090	ACH-000704	0.9977675887289122
Osteosarcoma-TOS090	ACH-000565	0.9977682993941038
Osteosarcoma-TOS090	ACH-000257	0.9977687571801562
Osteosarcoma-TOS090	ACH-001090	0.9977688968261098
Osteosarcoma-TOS090	ACH-000359	0.9977690915053852
Osteosarcoma-TOS090	ACH-001024	0.9977691966261324
Osteosarcoma-TOS090	ACH-001189	0.9977695571775309
Osteosarcoma-TOS090	ACH-000789	0.9977699895152989
Osteosarcoma-TOS090	ACH-000451	0.997769998999454
Osteosarcoma-TOS090	ACH-000748	0.9977712127827841
Osteosarcoma-TOS090	ACH-000217	0.9977721266427153
Osteosarcoma-TOS090	ACH-000092	0.9977725685347141
Osteosarcoma-TOS090	ACH-000947	0.9977725778120596
Osteosarcoma-TOS090	ACH-000615	0.9977731163767816
Osteosarcoma-TOS090	ACH-000752	0.9977731342439908
Osteosarcoma-TOS090	ACH-000475	0.997773239948266
Osteosarcoma-TOS090	ACH-000148	0.9977734224185056
Osteosarcoma-TOS090	ACH-000639	0.9977735997414364
Osteosarcoma-TOS090	ACH-000788	0.9977736951011457
Osteosarcoma-TOS090	ACH-000115	0.9977758609652033
Osteosarcoma-TOS090	ACH-000621	0.9977770559839629
Osteosarcoma-TOS090	ACH-000892	0.9977781190713075
Osteosarcoma-TOS090	ACH-001023	0.9977786052603814
Osteosarcoma-TOS090	ACH-000693	0.997778763305525
Osteosarcoma-TOS090	ACH-000428	0.9977806885295931
Osteosarcoma-TOS090	ACH-001021	0.9977806891332524
Osteosarcoma-TOS090	ACH-000469	0.9977814333785894
Osteosarcoma-TOS090	ACH-000431	0.9977814633921112
Osteosarcoma-TOS090	ACH-000667	0.997781935050785
Osteosarcoma-TOS090	ACH-000917	0.9977823183492616
Osteosarcoma-TOS090	ACH-000651	0.997782322347872
Osteosarcoma-TOS090	ACH-000212	0.9977823686817899
Osteosarcoma-TOS090	ACH-000624	0.9977831729139695
Osteosarcoma-TOS090	ACH-000558	0.9977849443189984
Osteosarcoma-TOS090	ACH-000121	0.9977849829562649
Osteosarcoma-TOS090	ACH-000730	0.9977852836161112
Osteosarcoma-TOS090	ACH-000231	0.9977855991666977
Osteosarcoma-TOS090	ACH-000347	0.9977869727337287
Osteosarcoma-TOS090	ACH-000882	0.9977872913955302
Osteosarcoma-TOS090	ACH-000116	0.997788128470631
Osteosarcoma-TOS090	ACH-000652	0.9977885513385331
Osteosarcoma-TOS090	ACH-000254	0.997788859011027
Osteosarcoma-TOS090	ACH-000784	0.9977890000122615
Osteosarcoma-TOS090	ACH-000040	0.9977893958546042
Osteosarcoma-TOS090	ACH-000290	0.997789980245025
Osteosarcoma-TOS090	ACH-000282	0.9977921282754986
Osteosarcoma-TOS090	ACH-000561	0.9977921438419127
Osteosarcoma-TOS090	ACH-000510	0.9977925453643673
Osteosarcoma-TOS090	ACH-000211	0.9977934884735415
Osteosarcoma-TOS090	ACH-000818	0.9977941721911235
Osteosarcoma-TOS090	ACH-000562	0.9977944988554777
Osteosarcoma-TOS090	ACH-000098	0.997794537497201
Osteosarcoma-TOS090	ACH-000903	0.9977954628914212
Osteosarcoma-TOS090	ACH-001125	0.9977955789210691
Osteosarcoma-TOS090	ACH-000643	0.9977959997982597
Osteosarcoma-TOS090	ACH-000062	0.9977974363899554
Osteosarcoma-TOS090	ACH-000536	0.9977980443742499
Osteosarcoma-TOS090	ACH-000699	0.9977992238376178
Osteosarcoma-TOS090	ACH-000196	0.9978000239790867
Osteosarcoma-TOS090	ACH-000560	0.9978006400318407
Osteosarcoma-TOS090	ACH-000680	0.9978019319353548
Osteosarcoma-TOS090	ACH-000963	0.9978027626817938
Osteosarcoma-TOS090	ACH-000566	0.9978032944290189
Osteosarcoma-TOS090	ACH-000586	0.9978036518074288
Osteosarcoma-TOS090	ACH-001016	0.9978044717416179
Osteosarcoma-TOS090	ACH-000585	0.9978061738410597
Osteosarcoma-TOS090	ACH-000720	0.9978062108491857
Osteosarcoma-TOS090	ACH-000572	0.9978063162807479
Osteosarcoma-TOS090	ACH-000238	0.9978080364889411
Osteosarcoma-TOS090	ACH-000399	0.9978083631730429
Osteosarcoma-TOS090	ACH-000244	0.9978094663388509
Osteosarcoma-TOS090	ACH-000563	0.9978100181641428
Osteosarcoma-TOS090	ACH-000364	0.997810935558284
Osteosarcoma-TOS090	ACH-000341	0.9978115956175365
Osteosarcoma-TOS090	ACH-000766	0.9978120353014767
Osteosarcoma-TOS090	ACH-000228	0.9978140934881329
Osteosarcoma-TOS090	ACH-000242	0.9978141557738951
Osteosarcoma-TOS090	ACH-000514	0.9978146166183852
Osteosarcoma-TOS090	ACH-000082	0.9978147578692339
Osteosarcoma-TOS090	ACH-000650	0.9978165271304691
Osteosarcoma-TOS090	ACH-000319	0.9978184405292553
Osteosarcoma-TOS090	ACH-000691	0.9978191392837716
Osteosarcoma-TOS090	ACH-000379	0.9978215724257539
Osteosarcoma-TOS090	ACH-000595	0.9978225659819556
Osteosarcoma-TOS090	ACH-000655	0.9978226282555168
Osteosarcoma-TOS090	ACH-000320	0.9978230106919912
Osteosarcoma-TOS090	ACH-000724	0.9978241582924832
Osteosarcoma-TOS090	ACH-000601	0.9978257467680505
Osteosarcoma-TOS090	ACH-000249	0.997826016821663
Osteosarcoma-TOS090	ACH-000755	0.9978260582436979
Osteosarcoma-TOS090	ACH-000665	0.9978261717047641
Osteosarcoma-TOS090	ACH-000481	0.9978263779189895
Osteosarcoma-TOS090	ACH-000087	0.9978264024708651
Osteosarcoma-TOS090	ACH-000893	0.9978269664898318
Osteosarcoma-TOS090	ACH-000548	0.9978279869869376
Osteosarcoma-TOS090	ACH-000819	0.9978285302151065
Osteosarcoma-TOS090	ACH-000865	0.9978285744042228
Osteosarcoma-TOS090	ACH-000571	0.9978286672902635
Osteosarcoma-TOS090	ACH-000580	0.9978301653471935
Osteosarcoma-TOS090	ACH-000906	0.9978320192774561
Osteosarcoma-TOS090	ACH-000264	0.9978333674667961
Osteosarcoma-TOS090	ACH-000508	0.9978348378134383
Osteosarcoma-TOS090	ACH-000438	0.9978364650571003
Osteosarcoma-TOS090	ACH-000725	0.9978365824620231
Osteosarcoma-TOS090	ACH-000351	0.9978369110151663
Osteosarcoma-TOS090	ACH-000855	0.9978372821876318
Osteosarcoma-TOS090	ACH-000916	0.9978372957549884
Osteosarcoma-TOS090	ACH-000846	0.9978373557844107
Osteosarcoma-TOS090	ACH-000360	0.9978374439655869
Osteosarcoma-TOS090	ACH-000259	0.9978378880493687
Osteosarcoma-TOS090	ACH-000679	0.9978383527422191
Osteosarcoma-TOS090	ACH-001151	0.997838394223274
Osteosarcoma-TOS090	ACH-000689	0.997839340249507
Osteosarcoma-TOS090	ACH-000628	0.9978397566763713
Osteosarcoma-TOS090	ACH-000792	0.9978401847630063
Osteosarcoma-TOS090	ACH-000270	0.9978406402247154
Osteosarcoma-TOS090	ACH-000622	0.9978415228641307
Osteosarcoma-TOS090	ACH-000521	0.9978420557339763
Osteosarcoma-TOS090	ACH-000207	0.9978422741121751
Osteosarcoma-TOS090	ACH-000847	0.997842534572695
Osteosarcoma-TOS090	ACH-000640	0.9978429502370316
Osteosarcoma-TOS090	ACH-000449	0.9978430571886947
Osteosarcoma-TOS090	ACH-000308	0.9978432537492793
Osteosarcoma-TOS090	ACH-000035	0.997843737531194
Osteosarcoma-TOS090	ACH-000311	0.9978440416184746
Osteosarcoma-TOS090	ACH-000811	0.9978454683144989
Osteosarcoma-TOS090	ACH-000802	0.9978464610583849
Osteosarcoma-TOS090	ACH-000248	0.9978470585946827
Osteosarcoma-TOS090	ACH-000677	0.9978474690159999
Osteosarcoma-TOS090	ACH-000384	0.9978481033166623
Osteosarcoma-TOS090	ACH-000703	0.9978484360386662
Osteosarcoma-TOS090	ACH-000890	0.9978486482150339
Osteosarcoma-TOS090	ACH-000465	0.9978487137794403
Osteosarcoma-TOS090	ACH-000276	0.9978488646757697
Osteosarcoma-TOS090	ACH-000348	0.9978499029025509
Osteosarcoma-TOS090	ACH-001138	0.9978507121709678
Osteosarcoma-TOS090	ACH-000447	0.9978514597602232
Osteosarcoma-TOS090	ACH-000729	0.997852635248709
Osteosarcoma-TOS090	ACH-000358	0.9978526557713806
Osteosarcoma-TOS090	ACH-000443	0.9978526766098326
Osteosarcoma-TOS090	ACH-000809	0.997852734793961
Osteosarcoma-TOS090	ACH-000584	0.9978540970144172
Osteosarcoma-TOS090	ACH-000191	0.997854284040995
Osteosarcoma-TOS090	ACH-000627	0.997854400688452
Osteosarcoma-TOS090	ACH-000985	0.9978547957981871
Osteosarcoma-TOS090	ACH-000810	0.9978551626555678
Osteosarcoma-TOS090	ACH-000867	0.997855303760958
Osteosarcoma-TOS090	ACH-000577	0.997855409809683
Osteosarcoma-TOS090	ACH-000848	0.9978559013678627
Osteosarcoma-TOS090	ACH-000545	0.9978568034913463
Osteosarcoma-TOS090	ACH-000849	0.9978575275475449
Osteosarcoma-TOS090	ACH-000277	0.9978582864362259
Osteosarcoma-TOS090	ACH-000945	0.9978583373860066
Osteosarcoma-TOS090	ACH-000396	0.997858395166435
Osteosarcoma-TOS090	ACH-000678	0.9978585818415189
Osteosarcoma-TOS090	ACH-000637	0.9978588560720398
Osteosarcoma-TOS090	ACH-000169	0.9978597841518845
Osteosarcoma-TOS090	ACH-000527	0.9978607089563596
Osteosarcoma-TOS090	ACH-000491	0.9978616012562038
Osteosarcoma-TOS090	ACH-000859	0.9978618013769679
Osteosarcoma-TOS090	ACH-000603	0.9978623694895186
Osteosarcoma-TOS090	ACH-000662	0.9978629922550672
Osteosarcoma-TOS090	ACH-000515	0.9978637110708067
Osteosarcoma-TOS090	ACH-000713	0.997863782250398
Osteosarcoma-TOS090	ACH-000803	0.9978638278001686
Osteosarcoma-TOS090	ACH-000219	0.9978641862860976
Osteosarcoma-TOS090	ACH-000888	0.997864301260595
Osteosarcoma-TOS090	ACH-000391	0.9978646291713783
Osteosarcoma-TOS090	ACH-000178	0.9978646619764899
Osteosarcoma-TOS090	ACH-000976	0.9978648994116915
Osteosarcoma-TOS090	ACH-000147	0.9978650257627771
Osteosarcoma-TOS090	ACH-000018	0.9978655754032112
Osteosarcoma-TOS090	ACH-000828	0.9978657075664772
Osteosarcoma-TOS090	ACH-000910	0.9978658256635242
Osteosarcoma-TOS090	ACH-000381	0.9978664412693621
Osteosarcoma-TOS090	ACH-000823	0.9978664503687392
Osteosarcoma-TOS090	ACH-000873	0.9978670253114053
Osteosarcoma-TOS090	ACH-000616	0.9978671235717985
Osteosarcoma-TOS090	ACH-000793	0.997868063835638
Osteosarcoma-TOS090	ACH-000144	0.9978685218074248
Osteosarcoma-TOS090	ACH-000871	0.9978686546652111
Osteosarcoma-TOS090	ACH-000118	0.9978687399502096
Osteosarcoma-TOS090	ACH-000383	0.9978694128685153
Osteosarcoma-TOS090	ACH-001039	0.9978715201009171
Osteosarcoma-TOS090	ACH-000102	0.9978716307549674
Osteosarcoma-TOS090	ACH-000900	0.9978720256264302
Osteosarcoma-TOS090	ACH-000427	0.9978722470835474
Osteosarcoma-TOS090	ACH-000718	0.9978734521754348
Osteosarcoma-TOS090	ACH-000159	0.9978737994524748
Osteosarcoma-TOS090	ACH-000303	0.9978745821504726
Osteosarcoma-TOS090	ACH-000547	0.9978747326164098
Osteosarcoma-TOS090	ACH-000722	0.9978749338423339
Osteosarcoma-TOS090	ACH-000860	0.997875200495385
Osteosarcoma-TOS090	ACH-000021	0.997875363797937
Osteosarcoma-TOS090	ACH-000613	0.9978757092556056
Osteosarcoma-TOS090	ACH-000200	0.9978758477641124
Osteosarcoma-TOS090	ACH-000518	0.9978765758531141
Osteosarcoma-TOS090	ACH-000047	0.9978782492848038
Osteosarcoma-TOS090	ACH-000812	0.9978788103398456
Osteosarcoma-TOS090	ACH-000356	0.9978806310400328
Osteosarcoma-TOS090	ACH-000719	0.9978806714241483
Osteosarcoma-TOS090	ACH-000927	0.9978815005557317
Osteosarcoma-TOS090	ACH-000711	0.9978818819931782
Osteosarcoma-TOS090	ACH-000657	0.9978837479888163
Osteosarcoma-TOS090	ACH-000330	0.9978850802491391
Osteosarcoma-TOS090	ACH-000318	0.9978856776125532
Osteosarcoma-TOS090	ACH-000023	0.9978876024474748
Osteosarcoma-TOS090	ACH-000155	0.9978878969471772
Osteosarcoma-TOS090	ACH-000042	0.9978879166531741
Osteosarcoma-TOS090	ACH-000781	0.9978880004602232
Osteosarcoma-TOS090	ACH-000012	0.9978901353373542
Osteosarcoma-TOS090	ACH-000189	0.9978914284767503
Osteosarcoma-TOS090	ACH-000674	0.997892448284574
Osteosarcoma-TOS090	ACH-000827	0.997893716433364
Osteosarcoma-TOS090	ACH-000433	0.9978952595962401
Osteosarcoma-TOS090	ACH-000201	0.9978963552574346
Osteosarcoma-TOS090	ACH-000740	0.997897750791633
Osteosarcoma-TOS090	ACH-000107	0.9978987666834872
Osteosarcoma-TOS090	ACH-000252	0.9979022716394067
Osteosarcoma-TOS090	ACH-000052	0.9979031043466204
Osteosarcoma-TOS090	ACH-000769	0.9979031358012086
Osteosarcoma-TOS090	ACH-000114	0.9979035174792562
Osteosarcoma-TOS090	ACH-000743	0.9979037810367767
Osteosarcoma-TOS090	ACH-000153	0.9979045840387318
Osteosarcoma-TOS090	ACH-000355	0.9979046870322533
Osteosarcoma-TOS090	ACH-000075	0.9979050005371356
Osteosarcoma-TOS090	ACH-000727	0.9979052252467484
Osteosarcoma-TOS090	ACH-000480	0.9979054660655154
Osteosarcoma-TOS090	ACH-000570	0.9979056782592127
Osteosarcoma-TOS090	ACH-000581	0.997906184288458
Osteosarcoma-TOS090	ACH-000929	0.9979075596411651
Osteosarcoma-TOS090	ACH-000210	0.9979080933731441
Osteosarcoma-TOS090	ACH-000986	0.997908556187429
Osteosarcoma-TOS090	ACH-000633	0.9979089799997191
Osteosarcoma-TOS090	ACH-000569	0.9979094300951636
Osteosarcoma-TOS090	ACH-000335	0.9979095827174301
Osteosarcoma-TOS090	ACH-000772	0.9979100873122474
Osteosarcoma-TOS090	ACH-000420	0.9979104185602551
Osteosarcoma-TOS090	ACH-000501	0.9979105303141472
Osteosarcoma-TOS090	ACH-000574	0.9979105930623415
Osteosarcoma-TOS090	ACH-000488	0.997910624067842
Osteosarcoma-TOS090	ACH-000681	0.9979118026399315
Osteosarcoma-TOS090	ACH-000530	0.9979129004033525
