case	comparison	SNF: FDA & CGC
Osteosarcoma-VMO265	case-profile	0.45605305538929797
Osteosarcoma-VMO265	ACH-000755	0.996670434635507
Osteosarcoma-VMO265	ACH-000616	0.9969547086147703
Osteosarcoma-VMO265	ACH-000628	0.9973593413156077
Osteosarcoma-VMO265	ACH-000704	0.9974981252433773
Osteosarcoma-VMO265	ACH-000860	0.9975015006312423
Osteosarcoma-VMO265	ACH-001023	0.9975251682954462
Osteosarcoma-VMO265	ACH-001021	0.9975534748566274
Osteosarcoma-VMO265	ACH-000087	0.9975708847106844
Osteosarcoma-VMO265	ACH-001016	0.9975862326472074
Osteosarcoma-VMO265	ACH-000235	0.9975966885302188
Osteosarcoma-VMO265	ACH-000200	0.9975967624803201
Osteosarcoma-VMO265	ACH-000282	0.997611962835859
Osteosarcoma-VMO265	ACH-000703	0.9976131181672243
Osteosarcoma-VMO265	ACH-001189	0.9976217314376241
Osteosarcoma-VMO265	ACH-000149	0.9976263933675898
Osteosarcoma-VMO265	ACH-000906	0.9976293336214
Osteosarcoma-VMO265	ACH-000571	0.9976353779943242
Osteosarcoma-VMO265	ACH-000078	0.9976395508891696
Osteosarcoma-VMO265	ACH-000452	0.9976445588722255
Osteosarcoma-VMO265	ACH-000562	0.9976457191369357
Osteosarcoma-VMO265	ACH-000863	0.997650811355437
Osteosarcoma-VMO265	ACH-000581	0.9976520373552572
Osteosarcoma-VMO265	ACH-000729	0.9976562558873615
Osteosarcoma-VMO265	ACH-000007	0.9976591297325342
Osteosarcoma-VMO265	ACH-000749	0.9976591572264841
Osteosarcoma-VMO265	ACH-000810	0.9976624955649267
Osteosarcoma-VMO265	ACH-000188	0.9976660266155015
Osteosarcoma-VMO265	ACH-000847	0.9976692205342922
Osteosarcoma-VMO265	ACH-000062	0.9976804880436614
Osteosarcoma-VMO265	ACH-000102	0.9976870402527792
Osteosarcoma-VMO265	ACH-000949	0.9976943049037759
Osteosarcoma-VMO265	ACH-000926	0.9976985366444082
Osteosarcoma-VMO265	ACH-000171	0.9977069671658929
Osteosarcoma-VMO265	ACH-000236	0.9977123483655317
Osteosarcoma-VMO265	ACH-000433	0.9977141758468357
Osteosarcoma-VMO265	ACH-000812	0.9977152914382758
Osteosarcoma-VMO265	ACH-000465	0.9977228583048471
Osteosarcoma-VMO265	ACH-001039	0.9977321296888765
Osteosarcoma-VMO265	ACH-000115	0.9977427929723773
Osteosarcoma-VMO265	ACH-000383	0.9977456262688743
Osteosarcoma-VMO265	ACH-000348	0.9977475090051966
Osteosarcoma-VMO265	ACH-001049	0.9977486195158848
Osteosarcoma-VMO265	ACH-000548	0.9977516001773099
Osteosarcoma-VMO265	ACH-000399	0.997756239101025
Osteosarcoma-VMO265	ACH-000927	0.997756552163516
Osteosarcoma-VMO265	ACH-000809	0.9977604351236152
Osteosarcoma-VMO265	ACH-000212	0.9977624044215748
Osteosarcoma-VMO265	ACH-000678	0.9977674113095638
Osteosarcoma-VMO265	ACH-000360	0.9977744367646691
Osteosarcoma-VMO265	ACH-000730	0.997777832620352
Osteosarcoma-VMO265	ACH-000601	0.997781218485041
Osteosarcoma-VMO265	ACH-000699	0.9977847539566793
Osteosarcoma-VMO265	ACH-000886	0.9977861538913655
Osteosarcoma-VMO265	ACH-000242	0.997786641669928
Osteosarcoma-VMO265	ACH-000322	0.9977883638659595
Osteosarcoma-VMO265	ACH-000472	0.9977889401376498
Osteosarcoma-VMO265	ACH-000428	0.9977903542173276
Osteosarcoma-VMO265	ACH-000957	0.997795141635303
Osteosarcoma-VMO265	ACH-000811	0.9977961006314091
Osteosarcoma-VMO265	ACH-000637	0.9977998414294696
Osteosarcoma-VMO265	ACH-000738	0.997800460898682
Osteosarcoma-VMO265	ACH-000986	0.9978014537104588
Osteosarcoma-VMO265	ACH-000155	0.9978023704901237
Osteosarcoma-VMO265	ACH-000711	0.9978025041884295
Osteosarcoma-VMO265	ACH-000615	0.9978030163251546
Osteosarcoma-VMO265	ACH-000351	0.9978059555758508
Osteosarcoma-VMO265	ACH-000159	0.9978074814608929
Osteosarcoma-VMO265	ACH-000100	0.9978084859010774
Osteosarcoma-VMO265	ACH-000979	0.9978120615010232
Osteosarcoma-VMO265	ACH-000040	0.9978131910150789
Osteosarcoma-VMO265	ACH-000614	0.9978156777444811
Osteosarcoma-VMO265	ACH-000196	0.9978167942293202
Osteosarcoma-VMO265	ACH-000111	0.9978170623483906
Osteosarcoma-VMO265	ACH-000613	0.9978172516035886
Osteosarcoma-VMO265	ACH-000359	0.9978183421192237
Osteosarcoma-VMO265	ACH-000118	0.9978194619625493
Osteosarcoma-VMO265	ACH-000878	0.9978195400329736
Osteosarcoma-VMO265	ACH-000818	0.9978209088594698
Osteosarcoma-VMO265	ACH-000042	0.9978209572856479
Osteosarcoma-VMO265	ACH-000427	0.9978210609236079
Osteosarcoma-VMO265	ACH-000249	0.9978212662879404
Osteosarcoma-VMO265	ACH-000320	0.9978221429732228
Osteosarcoma-VMO265	ACH-000595	0.9978226677764436
Osteosarcoma-VMO265	ACH-000882	0.9978227765573177
Osteosarcoma-VMO265	ACH-000940	0.9978245898039539
Osteosarcoma-VMO265	ACH-000187	0.9978247083266927
Osteosarcoma-VMO265	ACH-000012	0.9978253165468576
Osteosarcoma-VMO265	ACH-000584	0.9978269979326353
Osteosarcoma-VMO265	ACH-000788	0.9978275256130368
Osteosarcoma-VMO265	ACH-000802	0.997828767398505
Osteosarcoma-VMO265	ACH-000174	0.9978307383712043
Osteosarcoma-VMO265	ACH-000691	0.9978332363723093
Osteosarcoma-VMO265	ACH-000565	0.9978333976414955
Osteosarcoma-VMO265	ACH-000228	0.997834150306311
Osteosarcoma-VMO265	ACH-000469	0.9978341950846924
Osteosarcoma-VMO265	ACH-000892	0.9978350219365393
Osteosarcoma-VMO265	ACH-000504	0.9978351213444312
Osteosarcoma-VMO265	ACH-000947	0.997835834107015
Osteosarcoma-VMO265	ACH-000449	0.9978388490580858
Osteosarcoma-VMO265	ACH-000145	0.9978398622248431
Osteosarcoma-VMO265	ACH-000434	0.9978399953525077
Osteosarcoma-VMO265	ACH-000596	0.9978404116379511
Osteosarcoma-VMO265	ACH-000259	0.997841070619465
Osteosarcoma-VMO265	ACH-000384	0.9978415576900895
Osteosarcoma-VMO265	ACH-000572	0.9978417254393304
Osteosarcoma-VMO265	ACH-000783	0.9978420272430822
Osteosarcoma-VMO265	ACH-000720	0.9978432556667759
Osteosarcoma-VMO265	ACH-000009	0.9978444315337945
Osteosarcoma-VMO265	ACH-000917	0.9978453483604851
