case	comparison	SNF: FDA & CGC
PROS10448-1115153	case-profile	0.4580321642503663
PROS10448-1115153	ACH-000504	0.9974159991767796
PROS10448-1115153	ACH-000596	0.9974610714065308
PROS10448-1115153	ACH-000572	0.9975294001077937
PROS10448-1115153	ACH-000846	0.9975347625254553
PROS10448-1115153	ACH-000631	0.9975472804458337
PROS10448-1115153	ACH-000926	0.9975492935203492
PROS10448-1115153	ACH-000449	0.9975700343349191
PROS10448-1115153	ACH-000243	0.9975979253950306
PROS10448-1115153	ACH-000102	0.9976066775380303
PROS10448-1115153	ACH-000078	0.9976090705644194
PROS10448-1115153	ACH-000319	0.9976185505849334
PROS10448-1115153	ACH-000211	0.9976549880835939
PROS10448-1115153	ACH-000555	0.9976645207007945
PROS10448-1115153	ACH-001039	0.9976735981660745
PROS10448-1115153	ACH-000849	0.9976803733012163
PROS10448-1115153	ACH-000389	0.9976813138378836
PROS10448-1115153	ACH-000878	0.9976911052330999
PROS10448-1115153	ACH-000855	0.997694505336816
PROS10448-1115153	ACH-000352	0.9976949702174415
PROS10448-1115153	ACH-000186	0.9976989313112111
PROS10448-1115153	ACH-000465	0.9976996236114609
PROS10448-1115153	ACH-000883	0.9977021439348709
PROS10448-1115153	ACH-000677	0.9977027166009343
PROS10448-1115153	ACH-000434	0.9977031736463663
PROS10448-1115153	ACH-000722	0.9977087580560939
PROS10448-1115153	ACH-000483	0.9977098679195214
PROS10448-1115153	ACH-000783	0.9977105319458933
PROS10448-1115153	ACH-000009	0.9977110968217046
PROS10448-1115153	ACH-000759	0.9977113798616112
PROS10448-1115153	ACH-000819	0.9977116846517378
PROS10448-1115153	ACH-000015	0.9977134163540436
PROS10448-1115153	ACH-001151	0.9977179230448656
PROS10448-1115153	ACH-000655	0.9977183363916641
PROS10448-1115153	ACH-000145	0.9977186910653664
PROS10448-1115153	ACH-000738	0.9977190712703187
PROS10448-1115153	ACH-000212	0.9977196054759693
PROS10448-1115153	ACH-000663	0.9977196875084683
PROS10448-1115153	ACH-000859	0.9977206001125299
PROS10448-1115153	ACH-000416	0.997721820579595
PROS10448-1115153	ACH-000298	0.997726691456803
PROS10448-1115153	ACH-000713	0.9977271544841965
PROS10448-1115153	ACH-000111	0.9977362495812178
PROS10448-1115153	ACH-000756	0.9977366503707886
PROS10448-1115153	ACH-000484	0.9977381680500725
PROS10448-1115153	ACH-000347	0.9977393422475697
PROS10448-1115153	ACH-000100	0.99774005291535
PROS10448-1115153	ACH-000475	0.9977416194533477
PROS10448-1115153	ACH-000108	0.9977426331384036
PROS10448-1115153	ACH-000558	0.9977431330103006
PROS10448-1115153	ACH-000625	0.9977434539792102
PROS10448-1115153	ACH-000374	0.9977446279725077
PROS10448-1115153	ACH-000706	0.997745328865251
PROS10448-1115153	ACH-001023	0.9977456115271955
PROS10448-1115153	ACH-000092	0.9977469920061004
PROS10448-1115153	ACH-000680	0.9977491842119336
PROS10448-1115153	ACH-001189	0.9977502969473241
PROS10448-1115153	ACH-001190	0.9977503366217574
PROS10448-1115153	ACH-000420	0.9977519328656576
PROS10448-1115153	ACH-000257	0.9977531129728684
PROS10448-1115153	ACH-000115	0.9977535769028697
PROS10448-1115153	ACH-001090	0.9977536677179089
PROS10448-1115153	ACH-000332	0.9977550470548682
PROS10448-1115153	ACH-000566	0.9977554305607579
PROS10448-1115153	ACH-000366	0.9977555025614068
PROS10448-1115153	ACH-000892	0.9977570771397253
PROS10448-1115153	ACH-000979	0.9977597279050122
PROS10448-1115153	ACH-000882	0.9977615770233398
PROS10448-1115153	ACH-000437	0.9977617584042864
PROS10448-1115153	ACH-000917	0.9977621816046185
PROS10448-1115153	ACH-000181	0.9977626682870679
PROS10448-1115153	ACH-000359	0.997762966744446
PROS10448-1115153	ACH-000265	0.9977640011221811
PROS10448-1115153	ACH-000451	0.9977662025949293
PROS10448-1115153	ACH-000217	0.99776670676399
PROS10448-1115153	ACH-000018	0.9977675138913964
PROS10448-1115153	ACH-000525	0.997768215680246
PROS10448-1115153	ACH-000651	0.9977694796514582
PROS10448-1115153	ACH-000148	0.9977712935175214
PROS10448-1115153	ACH-000601	0.9977716183395035
PROS10448-1115153	ACH-000624	0.9977716403649695
PROS10448-1115153	ACH-000615	0.9977719888913427
PROS10448-1115153	ACH-001126	0.9977723602112265
PROS10448-1115153	ACH-000254	0.997773751496466
PROS10448-1115153	ACH-000788	0.9977744391714259
PROS10448-1115153	ACH-000643	0.9977745084611237
PROS10448-1115153	ACH-000784	0.9977745171786595
PROS10448-1115153	ACH-000187	0.9977759164315404
PROS10448-1115153	ACH-001021	0.9977759815067382
PROS10448-1115153	ACH-000282	0.9977760610492203
PROS10448-1115153	ACH-000174	0.9977761762370545
PROS10448-1115153	ACH-000040	0.9977766001545465
PROS10448-1115153	ACH-000957	0.9977766600772208
PROS10448-1115153	ACH-000196	0.9977780616355884
PROS10448-1115153	ACH-000238	0.997778821796308
PROS10448-1115153	ACH-000469	0.9977788299263565
PROS10448-1115153	ACH-000428	0.9977791810624018
PROS10448-1115153	ACH-000621	0.9977793972174412
PROS10448-1115153	ACH-000693	0.9977808719145165
PROS10448-1115153	ACH-000818	0.9977823897154597
PROS10448-1115153	ACH-000580	0.9977824269798264
PROS10448-1115153	ACH-000776	0.9977824287049982
PROS10448-1115153	ACH-000364	0.9977824987345022
PROS10448-1115153	ACH-000781	0.9977828511026208
PROS10448-1115153	ACH-000379	0.9977841643374017
PROS10448-1115153	ACH-000595	0.9977851584858294
PROS10448-1115153	ACH-000431	0.9977866563203389
PROS10448-1115153	ACH-000730	0.9977872643461483
PROS10448-1115153	ACH-000560	0.9977879362514254
PROS10448-1115153	ACH-000098	0.9977885664084273
PROS10448-1115153	ACH-000903	0.9977886955084528
PROS10448-1115153	ACH-000704	0.9977894645648536
PROS10448-1115153	ACH-000035	0.9977900881079589
PROS10448-1115153	ACH-000116	0.997790238579993
PROS10448-1115153	ACH-000290	0.9977917742670042
PROS10448-1115153	ACH-000639	0.9977919108433552
PROS10448-1115153	ACH-000752	0.9977926213435562
PROS10448-1115153	ACH-000940	0.9977943347066827
PROS10448-1115153	ACH-000571	0.9977955018593645
PROS10448-1115153	ACH-000121	0.9977962728756207
PROS10448-1115153	ACH-000562	0.9977963725762958
PROS10448-1115153	ACH-000724	0.9977967237202185
PROS10448-1115153	ACH-000843	0.9977988178385415
PROS10448-1115153	ACH-000244	0.9977991359628408
PROS10448-1115153	ACH-000748	0.9977992764662876
PROS10448-1115153	ACH-000650	0.9977995251958985
PROS10448-1115153	ACH-000565	0.9977997621744721
PROS10448-1115153	ACH-000699	0.9978001344519559
PROS10448-1115153	ACH-000720	0.9978005885137959
PROS10448-1115153	ACH-000789	0.997801712589624
PROS10448-1115153	ACH-000947	0.9978017431704446
PROS10448-1115153	ACH-000963	0.9978019469511272
PROS10448-1115153	ACH-000510	0.9978036760434196
PROS10448-1115153	ACH-000662	0.9978042598162926
PROS10448-1115153	ACH-000536	0.9978048220422755
PROS10448-1115153	ACH-000667	0.9978050561506594
PROS10448-1115153	ACH-000614	0.997805462038599
PROS10448-1115153	ACH-000399	0.9978055961064566
PROS10448-1115153	ACH-000586	0.9978059777179704
PROS10448-1115153	ACH-000577	0.9978065562474946
PROS10448-1115153	ACH-001016	0.9978095862764226
PROS10448-1115153	ACH-000766	0.9978097851450971
PROS10448-1115153	ACH-000191	0.9978105093099736
PROS10448-1115153	ACH-000481	0.997810983677067
PROS10448-1115153	ACH-000561	0.9978128888417781
PROS10448-1115153	ACH-000515	0.9978159924221598
PROS10448-1115153	ACH-000755	0.9978168982644099
PROS10448-1115153	ACH-000169	0.9978175693266939
PROS10448-1115153	ACH-000087	0.9978183052524995
PROS10448-1115153	ACH-000264	0.9978186610633355
PROS10448-1115153	ACH-000522	0.9978193121655675
PROS10448-1115153	ACH-000514	0.9978195212407923
PROS10448-1115153	ACH-000725	0.9978201573367838
PROS10448-1115153	ACH-000616	0.9978218545636652
PROS10448-1115153	ACH-000228	0.9978229989725808
PROS10448-1115153	ACH-000689	0.997823200005548
PROS10448-1115153	ACH-000242	0.9978236091175743
PROS10448-1115153	ACH-000269	0.9978241961140812
PROS10448-1115153	ACH-000249	0.9978249820526867
PROS10448-1115153	ACH-000890	0.9978253571781076
PROS10448-1115153	ACH-000082	0.9978287351130676
