case	comparison	SNF: FDA & CGC
PROS12319B-SU2C-06115118	case-profile	0.4583356254594736
PROS12319B-SU2C-06115118	ACH-000181	0.9974593636148646
PROS12319B-SU2C-06115118	ACH-000082	0.9975125150521137
PROS12319B-SU2C-06115118	ACH-000238	0.997513661446689
PROS12319B-SU2C-06115118	ACH-000217	0.9975203328652902
PROS12319B-SU2C-06115118	ACH-000555	0.9975227323763667
PROS12319B-SU2C-06115118	ACH-000257	0.9975268760604468
PROS12319B-SU2C-06115118	ACH-000212	0.9975302762119495
PROS12319B-SU2C-06115118	ACH-000504	0.9975339675837693
PROS12319B-SU2C-06115118	ACH-000957	0.9975357806839457
PROS12319B-SU2C-06115118	ACH-000561	0.9975437341523101
PROS12319B-SU2C-06115118	ACH-000207	0.9975485396353462
PROS12319B-SU2C-06115118	ACH-000713	0.9975507724507249
PROS12319B-SU2C-06115118	ACH-000098	0.9975554535471619
PROS12319B-SU2C-06115118	ACH-000047	0.9975861976183614
PROS12319B-SU2C-06115118	ACH-000627	0.997601419125887
PROS12319B-SU2C-06115118	ACH-000138	0.9976176688554432
PROS12319B-SU2C-06115118	ACH-000298	0.997625890566641
PROS12319B-SU2C-06115118	ACH-000186	0.9976269163199936
PROS12319B-SU2C-06115118	ACH-000223	0.9976360168914
PROS12319B-SU2C-06115118	ACH-000201	0.9976567671787128
PROS12319B-SU2C-06115118	ACH-000115	0.9976749730798841
PROS12319B-SU2C-06115118	ACH-000169	0.9976775500760909
PROS12319B-SU2C-06115118	ACH-000142	0.9976808378071456
PROS12319B-SU2C-06115118	ACH-000364	0.9976845583160862
PROS12319B-SU2C-06115118	ACH-000343	0.9976874988054174
PROS12319B-SU2C-06115118	ACH-000192	0.9976987526080293
PROS12319B-SU2C-06115118	ACH-000883	0.9977070704961682
PROS12319B-SU2C-06115118	ACH-001039	0.9977075192092433
PROS12319B-SU2C-06115118	ACH-000738	0.9977121670731367
PROS12319B-SU2C-06115118	ACH-000009	0.9977175701301388
PROS12319B-SU2C-06115118	ACH-000434	0.9977181826917387
PROS12319B-SU2C-06115118	ACH-000420	0.9977203750322698
PROS12319B-SU2C-06115118	ACH-000483	0.9977228592187252
PROS12319B-SU2C-06115118	ACH-000145	0.9977238823860624
PROS12319B-SU2C-06115118	ACH-000015	0.9977267191349914
PROS12319B-SU2C-06115118	ACH-000389	0.9977336046528398
PROS12319B-SU2C-06115118	ACH-000470	0.9977364612102319
PROS12319B-SU2C-06115118	ACH-000663	0.997737032385287
PROS12319B-SU2C-06115118	ACH-000680	0.9977427898168382
PROS12319B-SU2C-06115118	ACH-000476	0.9977463406574012
PROS12319B-SU2C-06115118	ACH-000111	0.9977464614246246
PROS12319B-SU2C-06115118	ACH-000352	0.997746843132245
PROS12319B-SU2C-06115118	ACH-000989	0.9977493191006321
PROS12319B-SU2C-06115118	ACH-000596	0.9977497475483622
PROS12319B-SU2C-06115118	ACH-000783	0.9977518147512924
PROS12319B-SU2C-06115118	ACH-000108	0.9977550534709644
PROS12319B-SU2C-06115118	ACH-000759	0.9977564020754505
PROS12319B-SU2C-06115118	ACH-000443	0.9977603756062259
PROS12319B-SU2C-06115118	ACH-000926	0.9977610087976858
PROS12319B-SU2C-06115118	ACH-000451	0.9977622286655097
PROS12319B-SU2C-06115118	ACH-001090	0.9977626703637632
PROS12319B-SU2C-06115118	ACH-000878	0.9977632362439598
PROS12319B-SU2C-06115118	ACH-000625	0.9977632656915307
PROS12319B-SU2C-06115118	ACH-000566	0.9977648016460813
PROS12319B-SU2C-06115118	ACH-000416	0.9977654628094703
PROS12319B-SU2C-06115118	ACH-000100	0.9977664788488498
PROS12319B-SU2C-06115118	ACH-000437	0.9977682218968493
PROS12319B-SU2C-06115118	ACH-001126	0.9977703414075102
PROS12319B-SU2C-06115118	ACH-000187	0.9977713851009471
PROS12319B-SU2C-06115118	ACH-000484	0.9977724972079828
PROS12319B-SU2C-06115118	ACH-000706	0.9977743551647914
PROS12319B-SU2C-06115118	ACH-000188	0.9977780180340418
PROS12319B-SU2C-06115118	ACH-000621	0.9977784518591017
PROS12319B-SU2C-06115118	ACH-000525	0.9977813644487302
PROS12319B-SU2C-06115118	ACH-000374	0.9977814639319799
PROS12319B-SU2C-06115118	ACH-000391	0.9977815955633023
PROS12319B-SU2C-06115118	ACH-001189	0.9977818216207074
PROS12319B-SU2C-06115118	ACH-000730	0.9977819936382313
PROS12319B-SU2C-06115118	ACH-000265	0.9977830040165548
PROS12319B-SU2C-06115118	ACH-000347	0.9977853038367915
PROS12319B-SU2C-06115118	ACH-000585	0.9977857007472462
PROS12319B-SU2C-06115118	ACH-000643	0.9977872321004203
PROS12319B-SU2C-06115118	ACH-000254	0.9977874013028075
PROS12319B-SU2C-06115118	ACH-000475	0.997789711753935
PROS12319B-SU2C-06115118	ACH-000562	0.9977905989999775
PROS12319B-SU2C-06115118	ACH-000720	0.9977906056042036
PROS12319B-SU2C-06115118	ACH-001190	0.9977913908226911
PROS12319B-SU2C-06115118	ACH-000366	0.9977915039159739
PROS12319B-SU2C-06115118	ACH-000558	0.9977916896533813
PROS12319B-SU2C-06115118	ACH-001023	0.9977923168350553
PROS12319B-SU2C-06115118	ACH-000211	0.9977924953755362
PROS12319B-SU2C-06115118	ACH-000624	0.9977931389306558
PROS12319B-SU2C-06115118	ACH-000940	0.9977940378299901
PROS12319B-SU2C-06115118	ACH-000243	0.9977943365795171
PROS12319B-SU2C-06115118	ACH-000510	0.9977956979910646
PROS12319B-SU2C-06115118	ACH-000332	0.9977964863835421
PROS12319B-SU2C-06115118	ACH-000651	0.9977965310176796
PROS12319B-SU2C-06115118	ACH-000087	0.9977971371523501
PROS12319B-SU2C-06115118	ACH-000595	0.9977972630706152
PROS12319B-SU2C-06115118	ACH-001125	0.9977983143077539
PROS12319B-SU2C-06115118	ACH-000359	0.9977993048513008
PROS12319B-SU2C-06115118	ACH-000379	0.9977999162132052
