case	comparison	SNF: FDA & CGC
SC_9036	case-profile	0.4550470474102668
SC_9036	ACH-000669	0.9962839360414456
SC_9036	ACH-000055	0.9962841635459577
SC_9036	ACH-000639	0.9963869735378181
SC_9036	ACH-000438	0.9964268307342098
SC_9036	ACH-000269	0.9970416012823665
SC_9036	ACH-001089	0.9973737711180737
SC_9036	ACH-000916	0.9974128584549669
SC_9036	ACH-000361	0.997454245257429
SC_9036	ACH-000865	0.9975054978920799
SC_9036	ACH-000998	0.997557922050845
SC_9036	ACH-000322	0.9975762932339307
SC_9036	ACH-000225	0.997582369558903
SC_9036	ACH-000989	0.9975917492711385
SC_9036	ACH-000341	0.9975974874569161
SC_9036	ACH-000360	0.9976326010429828
SC_9036	ACH-000610	0.9976432689449772
SC_9036	ACH-000448	0.9976529918218263
SC_9036	ACH-000580	0.9976539886706174
SC_9036	ACH-000248	0.9976556775697168
SC_9036	ACH-000772	0.9976566004273479
SC_9036	ACH-000200	0.9976661326228616
SC_9036	ACH-000835	0.9977074660806678
SC_9036	ACH-000823	0.9977110204561969
SC_9036	ACH-000433	0.9977131459783386
SC_9036	ACH-000145	0.9977220812264108
SC_9036	ACH-001024	0.9977241322233196
SC_9036	ACH-000201	0.9977259734305746
SC_9036	ACH-000955	0.9977273176111464
SC_9036	ACH-000558	0.9977283777969533
SC_9036	ACH-000991	0.9977295781012842
SC_9036	ACH-000704	0.9977329607212487
SC_9036	ACH-000798	0.9977397770552353
SC_9036	ACH-000265	0.9977443329033202
SC_9036	ACH-000535	0.9977516149649716
SC_9036	ACH-000866	0.9977517666645804
SC_9036	ACH-000329	0.997756905137666
SC_9036	ACH-000102	0.9977752584678109
SC_9036	ACH-000800	0.997783556008585
SC_9036	ACH-000103	0.9977873341938102
SC_9036	ACH-000945	0.9977926157788312
SC_9036	ACH-000258	0.9978060504559143
SC_9036	ACH-000572	0.9978101702963708
SC_9036	ACH-000078	0.9978123007219434
SC_9036	ACH-000911	0.9978233806724749
SC_9036	ACH-000947	0.9978239518001419
SC_9036	ACH-000219	0.9978258036516935
SC_9036	ACH-000966	0.9978318821970239
SC_9036	ACH-000970	0.9978349739707348
SC_9036	ACH-000236	0.997836176288603
SC_9036	ACH-000616	0.9978365763284212
SC_9036	ACH-000824	0.9978413369621865
SC_9036	ACH-000355	0.9978421281152964
SC_9036	ACH-000217	0.997842938663381
SC_9036	ACH-000863	0.9978429572691982
SC_9036	ACH-000971	0.997843565591936
SC_9036	ACH-000793	0.9978452081927726
SC_9036	ACH-000548	0.9978470621570515
SC_9036	ACH-000008	0.9978546677366962
SC_9036	ACH-000450	0.9978551808187711
SC_9036	ACH-000400	0.9978594436529995
SC_9036	ACH-000425	0.9978601193147384
SC_9036	ACH-000441	0.9978687963568098
SC_9036	ACH-000767	0.9978696385394973
SC_9036	ACH-000348	0.9978710166557021
SC_9036	ACH-000962	0.9978732738656025
SC_9036	ACH-000423	0.9978741303730359
SC_9036	ACH-000235	0.9978745335423023
SC_9036	ACH-000569	0.9978758934789622
SC_9036	ACH-000018	0.9978765459927633
