case	comparison	SNF: FDA & CGC
TP_2061	case-profile	0.45824299188315554
TP_2061	ACH-000601	0.997329978788584
TP_2061	ACH-000662	0.997346368955847
TP_2061	ACH-000483	0.9974479341851904
TP_2061	ACH-000847	0.9974612801961086
TP_2061	ACH-000522	0.9974748265571398
TP_2061	ACH-000364	0.9974753064854187
TP_2061	ACH-000196	0.9974929726686907
TP_2061	ACH-000428	0.9975276336519194
TP_2061	ACH-000480	0.9975276488442059
TP_2061	ACH-000722	0.9975479742503798
TP_2061	ACH-000021	0.9975610775538923
TP_2061	ACH-000465	0.9975660661030435
TP_2061	ACH-000243	0.9975752995100847
TP_2061	ACH-000740	0.9975894742032508
TP_2061	ACH-000569	0.997597516798421
TP_2061	ACH-000149	0.9975980303956813
TP_2061	ACH-000352	0.997610093196708
TP_2061	ACH-000210	0.9976123387901777
TP_2061	ACH-000530	0.9976130124035009
TP_2061	ACH-000111	0.9976289556051884
TP_2061	ACH-000361	0.9976337179035135
TP_2061	ACH-000457	0.9976352234930277
TP_2061	ACH-001125	0.9976522432884622
TP_2061	ACH-000030	0.9976654786701948
TP_2061	ACH-000613	0.9976788346235518
TP_2061	ACH-000442	0.9976828524946408
TP_2061	ACH-000341	0.9976942627505035
TP_2061	ACH-000878	0.9976948125716746
TP_2061	ACH-000759	0.9976959183392701
TP_2061	ACH-000585	0.9976989710302517
TP_2061	ACH-000434	0.9977005070033736
TP_2061	ACH-000129	0.9977018214223164
TP_2061	ACH-000596	0.9977036244286129
TP_2061	ACH-000145	0.9977109119693917
TP_2061	ACH-000783	0.9977163164777464
TP_2061	ACH-000015	0.9977189917569614
TP_2061	ACH-000738	0.9977201024219159
TP_2061	ACH-000883	0.9977204655950382
TP_2061	ACH-000108	0.9977207286215324
TP_2061	ACH-000926	0.9977242792553229
TP_2061	ACH-000389	0.9977243774380196
TP_2061	ACH-000555	0.9977269096674839
TP_2061	ACH-000009	0.9977273667808421
TP_2061	ACH-000416	0.9977299986824841
TP_2061	ACH-000298	0.9977302078255953
TP_2061	ACH-000475	0.9977309853188233
TP_2061	ACH-001090	0.9977318189942783
TP_2061	ACH-000186	0.9977327592372539
TP_2061	ACH-000625	0.9977357540759598
TP_2061	ACH-000217	0.9977360747913494
TP_2061	ACH-000706	0.9977360835492673
TP_2061	ACH-000358	0.9977369441301656
TP_2061	ACH-000187	0.9977380481534783
TP_2061	ACH-000374	0.9977407803783974
TP_2061	ACH-000840	0.9977437057192342
TP_2061	ACH-000437	0.9977487897961654
TP_2061	ACH-000525	0.9977507120412964
TP_2061	ACH-000100	0.9977507963762522
TP_2061	ACH-000349	0.9977508347519972
TP_2061	ACH-000092	0.997751071194939
TP_2061	ACH-000451	0.9977519183471523
TP_2061	ACH-000115	0.997752398758412
TP_2061	ACH-000663	0.9977549401747126
TP_2061	ACH-001023	0.9977552036691788
TP_2061	ACH-000212	0.9977588238233056
TP_2061	ACH-000265	0.997759925382101
TP_2061	ACH-000335	0.9977605711995949
TP_2061	ACH-000624	0.9977609354874434
TP_2061	ACH-000148	0.9977639503699712
TP_2061	ACH-000563	0.9977649689450574
TP_2061	ACH-000979	0.9977652275035802
TP_2061	ACH-001189	0.9977663649667794
TP_2061	ACH-000257	0.9977664026620854
TP_2061	ACH-001190	0.997767499865911
TP_2061	ACH-000254	0.9977682182248374
TP_2061	ACH-000018	0.9977697943667595
TP_2061	ACH-000693	0.9977698863521588
TP_2061	ACH-000651	0.9977725430434031
TP_2061	ACH-000359	0.9977743153586905
TP_2061	ACH-000366	0.99777452039305
TP_2061	ACH-000282	0.9977749201739455
TP_2061	ACH-000882	0.9977751068038723
TP_2061	ACH-000238	0.9977781836012051
TP_2061	ACH-000776	0.9977789005953269
TP_2061	ACH-000788	0.997781687817733
TP_2061	ACH-000818	0.9977836142884082
TP_2061	ACH-000643	0.9977836680352565
TP_2061	ACH-000244	0.9977837939461979
TP_2061	ACH-000621	0.9977863026760281
TP_2061	ACH-000756	0.9977863244540278
TP_2061	ACH-000181	0.997786635052802
TP_2061	ACH-000680	0.9977866393236193
TP_2061	ACH-000566	0.997787514318978
TP_2061	ACH-001126	0.9977880409246275
TP_2061	ACH-000558	0.997788699365926
TP_2061	ACH-000121	0.9977893794016998
TP_2061	ACH-000784	0.9977900886995572
TP_2061	ACH-000843	0.9977912738667373
TP_2061	ACH-000917	0.9977923007152999
TP_2061	ACH-000116	0.9977924973922159
TP_2061	ACH-000211	0.9977925641363602
TP_2061	ACH-000560	0.9977927547402925
TP_2061	ACH-000947	0.9977931525752467
TP_2061	ACH-000704	0.9977932794242104
TP_2061	ACH-000650	0.9977938205421791
TP_2061	ACH-000766	0.997794233690747
TP_2061	ACH-000431	0.9977947838300726
TP_2061	ACH-000720	0.9977949557572877
TP_2061	ACH-000963	0.9977953282155706
TP_2061	ACH-000469	0.9977954374127732
TP_2061	ACH-000347	0.9977954581682382
TP_2061	ACH-000098	0.9977957675902
TP_2061	ACH-000174	0.9977958113228679
TP_2061	ACH-000040	0.9977965530515663
TP_2061	ACH-000699	0.9977977612081953
TP_2061	ACH-000789	0.9977982312836553
TP_2061	ACH-000730	0.997798866572511
TP_2061	ACH-000290	0.9977992821464557
TP_2061	ACH-000869	0.9977995798645319
TP_2061	ACH-000903	0.9977998760126915
TP_2061	ACH-000846	0.9977999928306686
TP_2061	ACH-001021	0.9978000433475305
TP_2061	ACH-000561	0.9978002881968091
TP_2061	ACH-000510	0.9978009935616091
TP_2061	ACH-000755	0.997801279794308
TP_2061	ACH-001016	0.9978013966081564
TP_2061	ACH-000615	0.9978020555742517
TP_2061	ACH-000562	0.9978020945827324
TP_2061	ACH-000957	0.9978024602341093
TP_2061	ACH-000572	0.9978031957614134
TP_2061	ACH-000536	0.99780328992468
TP_2061	ACH-000616	0.9978034888801631
TP_2061	ACH-000892	0.9978034917002429
TP_2061	ACH-000639	0.9978045102443277
TP_2061	ACH-000748	0.9978056169142376
TP_2061	ACH-000752	0.9978080986854744
TP_2061	ACH-000332	0.9978087291605702
TP_2061	ACH-000940	0.9978093684153059
TP_2061	ACH-000586	0.9978095444142713
TP_2061	ACH-000819	0.9978100984195717
TP_2061	ACH-000399	0.9978103439417495
TP_2061	ACH-000571	0.9978111514072094
TP_2061	ACH-000308	0.9978119640107548
TP_2061	ACH-000449	0.9978122042040641
TP_2061	ACH-000893	0.997813214204328
TP_2061	ACH-000577	0.9978133861998714
TP_2061	ACH-000724	0.9978134846458514
TP_2061	ACH-000667	0.9978136566296172
TP_2061	ACH-000242	0.9978154182608606
TP_2061	ACH-000379	0.997815721037287
TP_2061	ACH-000855	0.9978158172049264
TP_2061	ACH-000725	0.9978170018871753
TP_2061	ACH-000565	0.9978177827760999
TP_2061	ACH-000595	0.9978180243872427
TP_2061	ACH-000865	0.9978181009032284
TP_2061	ACH-000035	0.9978187973471755
TP_2061	ACH-000655	0.9978189946313196
TP_2061	ACH-000270	0.997821298612138
TP_2061	ACH-000228	0.997822118334335
TP_2061	ACH-000614	0.9978230150571292
TP_2061	ACH-000580	0.9978252820560065
TP_2061	ACH-000647	0.9978257532635995
TP_2061	ACH-000747	0.9978261909974314
TP_2061	ACH-000691	0.9978264566640825
TP_2061	ACH-000207	0.9978264580204099
TP_2061	ACH-000264	0.9978291798171545
TP_2061	ACH-000508	0.9978296626958896
TP_2061	ACH-000438	0.9978312123253715
TP_2061	ACH-000945	0.9978338820101375
TP_2061	ACH-000802	0.9978340907201118
TP_2061	ACH-000395	0.9978341570860598
TP_2061	ACH-000082	0.9978344616589679
TP_2061	ACH-000689	0.9978345108468577
TP_2061	ACH-000665	0.997834583631873
TP_2061	ACH-000087	0.9978347152624913
TP_2061	ACH-000276	0.997836202957877
TP_2061	ACH-000249	0.9978363221484223
TP_2061	ACH-000677	0.997837157725384
TP_2061	ACH-000515	0.9978378898051411
TP_2061	ACH-000890	0.9978396930101846
TP_2061	ACH-000259	0.9978404073785245
TP_2061	ACH-000248	0.9978406805488731
TP_2061	ACH-000547	0.9978410683193562
TP_2061	ACH-000481	0.9978419945996387
TP_2061	ACH-000717	0.9978433034650993
TP_2061	ACH-000191	0.9978448882927766
TP_2061	ACH-000823	0.9978457930596155
TP_2061	ACH-000269	0.997846259976514
TP_2061	ACH-000631	0.9978464235841639
TP_2061	ACH-000504	0.9978464532243878
TP_2061	ACH-000793	0.9978468419093126
TP_2061	ACH-000627	0.9978478244775146
TP_2061	ACH-000219	0.9978479530234352
TP_2061	ACH-000729	0.9978480077804692
TP_2061	ACH-000668	0.9978481181812748
TP_2061	ACH-001138	0.9978486696254827
TP_2061	ACH-000200	0.9978491031674519
TP_2061	ACH-000811	0.9978496639767503
TP_2061	ACH-000713	0.9978499189719551
TP_2061	ACH-000584	0.997850426262784
TP_2061	ACH-000628	0.9978514522782552
TP_2061	ACH-000403	0.9978514535123968
TP_2061	ACH-000828	0.997853168009341
TP_2061	ACH-001039	0.9978535795879936
TP_2061	ACH-000447	0.9978536545045348
TP_2061	ACH-000527	0.9978536939740505
TP_2061	ACH-000514	0.9978541106447564
TP_2061	ACH-000743	0.9978547780287057
TP_2061	ACH-000609	0.9978549701786426
TP_2061	ACH-000144	0.9978551923609942
TP_2061	ACH-000521	0.9978554495948923
TP_2061	ACH-000169	0.9978559948708123
TP_2061	ACH-000873	0.9978567264874074
TP_2061	ACH-000383	0.9978573005012786
