case	comparison	SNF: FDA & CGC
KIRP-2Z-A9J5	case-profile	0.4568820555896156
KIRP-2Z-A9J5	ACH-000866	0.9972239945004542
KIRP-2Z-A9J5	ACH-000212	0.9973215743029862
KIRP-2Z-A9J5	ACH-000115	0.9974487839041016
KIRP-2Z-A9J5	ACH-000335	0.9974887208461432
KIRP-2Z-A9J5	ACH-000178	0.9974986458036796
KIRP-2Z-A9J5	ACH-000599	0.9974997450066913
KIRP-2Z-A9J5	ACH-000609	0.9975255477097582
KIRP-2Z-A9J5	ACH-000688	0.9975409562511808
KIRP-2Z-A9J5	ACH-000075	0.99756178572838
KIRP-2Z-A9J5	ACH-000129	0.9975623966040605
KIRP-2Z-A9J5	ACH-000704	0.9975803936713012
KIRP-2Z-A9J5	ACH-000716	0.9975876603419179
KIRP-2Z-A9J5	ACH-000651	0.9975978068772167
KIRP-2Z-A9J5	ACH-000078	0.9976264103906926
KIRP-2Z-A9J5	ACH-000015	0.9976338284705086
KIRP-2Z-A9J5	ACH-000265	0.9976378845098356
KIRP-2Z-A9J5	ACH-000902	0.9976574824849177
KIRP-2Z-A9J5	ACH-000319	0.9976575764584719
KIRP-2Z-A9J5	ACH-000188	0.9976692732421529
KIRP-2Z-A9J5	ACH-000430	0.997691061335699
KIRP-2Z-A9J5	ACH-000527	0.9977025498031166
KIRP-2Z-A9J5	ACH-001039	0.9977046715553588
KIRP-2Z-A9J5	ACH-000986	0.9977178654543312
KIRP-2Z-A9J5	ACH-001089	0.9977266125213295
KIRP-2Z-A9J5	ACH-000888	0.997729200063163
KIRP-2Z-A9J5	ACH-000819	0.9977321831640368
KIRP-2Z-A9J5	ACH-000818	0.9977336693040194
KIRP-2Z-A9J5	ACH-000145	0.9977471946356073
KIRP-2Z-A9J5	ACH-000138	0.9977516754926318
KIRP-2Z-A9J5	ACH-000724	0.997770232808361
KIRP-2Z-A9J5	ACH-000968	0.9977732525404163
KIRP-2Z-A9J5	ACH-000769	0.9977778076136375
KIRP-2Z-A9J5	ACH-000470	0.9977821355049025
KIRP-2Z-A9J5	ACH-000114	0.9977823437200273
KIRP-2Z-A9J5	ACH-000574	0.9977883364115823
KIRP-2Z-A9J5	ACH-000355	0.9977931526041179
KIRP-2Z-A9J5	ACH-000252	0.9977937391021143
KIRP-2Z-A9J5	ACH-000416	0.9977937860648801
KIRP-2Z-A9J5	ACH-000103	0.9977965806825808
KIRP-2Z-A9J5	ACH-000353	0.9977966399238102
KIRP-2Z-A9J5	ACH-000433	0.9977980051419643
KIRP-2Z-A9J5	ACH-000496	0.9977990140991301
KIRP-2Z-A9J5	ACH-000420	0.9977990401828356
KIRP-2Z-A9J5	ACH-000231	0.9978006209886321
KIRP-2Z-A9J5	ACH-000309	0.9978019017133402
KIRP-2Z-A9J5	ACH-000547	0.9978022643760438
KIRP-2Z-A9J5	ACH-000102	0.9978025020430419
KIRP-2Z-A9J5	ACH-000633	0.9978041567160908
KIRP-2Z-A9J5	ACH-000155	0.9978044804039493
KIRP-2Z-A9J5	ACH-000329	0.99780465451563
KIRP-2Z-A9J5	ACH-000668	0.9978057051729707
KIRP-2Z-A9J5	ACH-000222	0.9978058369768762
KIRP-2Z-A9J5	ACH-000223	0.9978067213494847
KIRP-2Z-A9J5	ACH-000159	0.9978090684584356
KIRP-2Z-A9J5	ACH-000489	0.997809211666723
KIRP-2Z-A9J5	ACH-000486	0.9978100423003825
KIRP-2Z-A9J5	ACH-000610	0.9978101158346463
KIRP-2Z-A9J5	ACH-000094	0.9978129435451919
KIRP-2Z-A9J5	ACH-000652	0.9978138424877838
KIRP-2Z-A9J5	ACH-000681	0.9978138619971458
KIRP-2Z-A9J5	ACH-000018	0.9978153546962243
KIRP-2Z-A9J5	ACH-000476	0.9978196408754317
KIRP-2Z-A9J5	ACH-000569	0.9978223790613724
KIRP-2Z-A9J5	ACH-000743	0.9978230919122791
KIRP-2Z-A9J5	ACH-000530	0.9978236524187571
KIRP-2Z-A9J5	ACH-000544	0.9978246532006525
KIRP-2Z-A9J5	ACH-000501	0.9978255695745547
KIRP-2Z-A9J5	ACH-000201	0.9978257105991055
KIRP-2Z-A9J5	ACH-000107	0.9978266010624349
KIRP-2Z-A9J5	ACH-000378	0.997827059334495
KIRP-2Z-A9J5	ACH-000740	0.997827657493943
KIRP-2Z-A9J5	ACH-000778	0.9978278262918263
KIRP-2Z-A9J5	ACH-000528	0.9978279472397578
KIRP-2Z-A9J5	ACH-000132	0.9978284988930616
KIRP-2Z-A9J5	ACH-000482	0.9978285814136341
KIRP-2Z-A9J5	ACH-000826	0.9978287975154235
KIRP-2Z-A9J5	ACH-001125	0.9978293441580317
KIRP-2Z-A9J5	ACH-000535	0.9978295801287742
KIRP-2Z-A9J5	ACH-000767	0.9978302326224306
KIRP-2Z-A9J5	ACH-000781	0.9978341964868395
KIRP-2Z-A9J5	ACH-000589	0.9978344147535487
KIRP-2Z-A9J5	ACH-000250	0.9978369160642878
KIRP-2Z-A9J5	ACH-000800	0.9978377170055247
KIRP-2Z-A9J5	ACH-000457	0.9978382284761119
KIRP-2Z-A9J5	ACH-000153	0.9978382609579856
KIRP-2Z-A9J5	ACH-000376	0.9978385581956964
KIRP-2Z-A9J5	ACH-000864	0.9978391781625997
KIRP-2Z-A9J5	ACH-000480	0.9978392964736518
KIRP-2Z-A9J5	ACH-000772	0.9978393192984966
KIRP-2Z-A9J5	ACH-000830	0.9978408910728948
KIRP-2Z-A9J5	ACH-000484	0.9978421838482254
KIRP-2Z-A9J5	ACH-000858	0.9978426065059827
KIRP-2Z-A9J5	ACH-000100	0.9978512484226274
KIRP-2Z-A9J5	ACH-000463	0.9978566448966439
KIRP-2Z-A9J5	ACH-000258	0.9978567532839244
KIRP-2Z-A9J5	ACH-000650	0.9978584974379175
KIRP-2Z-A9J5	ACH-000067	0.9978658108445184
KIRP-2Z-A9J5	ACH-000680	0.9978660492171171
KIRP-2Z-A9J5	ACH-000001	0.9978694402686596
KIRP-2Z-A9J5	ACH-000562	0.997869841822856
