case	comparison	SNF: FDA & CGC
KIRP-2Z-A9JE	case-profile	0.4566485191015315
KIRP-2Z-A9JE	ACH-000201	0.9974609627560053
KIRP-2Z-A9JE	ACH-000569	0.9975005025253235
KIRP-2Z-A9JE	ACH-000102	0.9975310360957794
KIRP-2Z-A9JE	ACH-000364	0.9976097821863709
KIRP-2Z-A9JE	ACH-000989	0.9976126372015496
KIRP-2Z-A9JE	ACH-000861	0.9976314105938225
KIRP-2Z-A9JE	ACH-000617	0.9976391859657147
KIRP-2Z-A9JE	ACH-000486	0.9976543797900765
KIRP-2Z-A9JE	ACH-000231	0.9976914125210801
KIRP-2Z-A9JE	ACH-000991	0.9976927327637084
KIRP-2Z-A9JE	ACH-000361	0.997694177299604
KIRP-2Z-A9JE	ACH-000250	0.9977036084370793
KIRP-2Z-A9JE	ACH-001125	0.9977071454386353
KIRP-2Z-A9JE	ACH-000691	0.9977109815023475
KIRP-2Z-A9JE	ACH-000911	0.9977141179786381
KIRP-2Z-A9JE	ACH-000570	0.9977152660900127
KIRP-2Z-A9JE	ACH-000035	0.9977210922898673
KIRP-2Z-A9JE	ACH-000835	0.9977255194142053
KIRP-2Z-A9JE	ACH-000571	0.997728189193068
KIRP-2Z-A9JE	ACH-001126	0.9977377129397315
KIRP-2Z-A9JE	ACH-000355	0.9977378669672512
KIRP-2Z-A9JE	ACH-000078	0.9977378670372212
KIRP-2Z-A9JE	ACH-000704	0.997737899630235
KIRP-2Z-A9JE	ACH-000111	0.9977596365266052
KIRP-2Z-A9JE	ACH-000352	0.9977611974559839
KIRP-2Z-A9JE	ACH-000359	0.9977624038121327
KIRP-2Z-A9JE	ACH-000219	0.9977634584628163
KIRP-2Z-A9JE	ACH-000947	0.9977661437117114
KIRP-2Z-A9JE	ACH-000018	0.9977728345674103
KIRP-2Z-A9JE	ACH-000648	0.9977763664251661
KIRP-2Z-A9JE	ACH-000437	0.9977785274742395
KIRP-2Z-A9JE	ACH-000940	0.9977809192398909
KIRP-2Z-A9JE	ACH-000087	0.9977836530919764
KIRP-2Z-A9JE	ACH-000480	0.99779263561379
KIRP-2Z-A9JE	ACH-000681	0.9977939522949213
KIRP-2Z-A9JE	ACH-000428	0.9977951460174974
KIRP-2Z-A9JE	ACH-000376	0.997795947544941
KIRP-2Z-A9JE	ACH-000159	0.9977976205062572
KIRP-2Z-A9JE	ACH-000772	0.99780078385154
KIRP-2Z-A9JE	ACH-000430	0.9978052318982059
KIRP-2Z-A9JE	ACH-000781	0.9978070919508008
KIRP-2Z-A9JE	ACH-000132	0.9978095630715833
KIRP-2Z-A9JE	ACH-000633	0.997810772077639
KIRP-2Z-A9JE	ACH-000778	0.9978108506706401
KIRP-2Z-A9JE	ACH-000103	0.9978108802030804
KIRP-2Z-A9JE	ACH-000484	0.9978111000500217
KIRP-2Z-A9JE	ACH-000335	0.997811894129325
KIRP-2Z-A9JE	ACH-000743	0.9978134168336538
KIRP-2Z-A9JE	ACH-000535	0.997815766601555
KIRP-2Z-A9JE	ACH-000188	0.9978163801553267
KIRP-2Z-A9JE	ACH-000668	0.997816959307531
KIRP-2Z-A9JE	ACH-000433	0.9978174503807282
KIRP-2Z-A9JE	ACH-000153	0.9978175923923246
KIRP-2Z-A9JE	ACH-000610	0.9978204336158497
KIRP-2Z-A9JE	ACH-000574	0.9978207755643234
KIRP-2Z-A9JE	ACH-000223	0.997821236109645
KIRP-2Z-A9JE	ACH-000476	0.9978217895595716
KIRP-2Z-A9JE	ACH-000544	0.9978226736109739
KIRP-2Z-A9JE	ACH-000589	0.9978245498079464
KIRP-2Z-A9JE	ACH-000178	0.9978254420834073
KIRP-2Z-A9JE	ACH-000562	0.9978262240302429
KIRP-2Z-A9JE	ACH-000767	0.9978266287596461
KIRP-2Z-A9JE	ACH-000957	0.9978269168969636
KIRP-2Z-A9JE	ACH-000309	0.9978269703310455
KIRP-2Z-A9JE	ACH-001039	0.9978271755616744
KIRP-2Z-A9JE	ACH-000457	0.9978275036000369
KIRP-2Z-A9JE	ACH-000075	0.9978290704296496
KIRP-2Z-A9JE	ACH-000114	0.9978294213990093
KIRP-2Z-A9JE	ACH-000501	0.9978297434589595
KIRP-2Z-A9JE	ACH-000094	0.9978301514649179
KIRP-2Z-A9JE	ACH-000489	0.997830331837335
KIRP-2Z-A9JE	ACH-000864	0.9978303387771338
KIRP-2Z-A9JE	ACH-000609	0.9978305790615222
KIRP-2Z-A9JE	ACH-000530	0.9978309309036003
KIRP-2Z-A9JE	ACH-000378	0.997831581539361
KIRP-2Z-A9JE	ACH-000800	0.9978316074884408
KIRP-2Z-A9JE	ACH-000420	0.9978316305343252
KIRP-2Z-A9JE	ACH-000329	0.9978319674971666
KIRP-2Z-A9JE	ACH-000966	0.9978326276575207
KIRP-2Z-A9JE	ACH-000470	0.9978340932061764
KIRP-2Z-A9JE	ACH-000740	0.9978342036930233
KIRP-2Z-A9JE	ACH-000496	0.9978343616480665
KIRP-2Z-A9JE	ACH-000826	0.9978354150585395
KIRP-2Z-A9JE	ACH-000482	0.9978357683247951
KIRP-2Z-A9JE	ACH-000769	0.9978361037661259
KIRP-2Z-A9JE	ACH-000830	0.9978364289732985
KIRP-2Z-A9JE	ACH-000353	0.9978365127164768
KIRP-2Z-A9JE	ACH-000599	0.9978365500700337
KIRP-2Z-A9JE	ACH-000528	0.9978371477351453
KIRP-2Z-A9JE	ACH-000107	0.9978373717062837
KIRP-2Z-A9JE	ACH-000652	0.9978387240754844
KIRP-2Z-A9JE	ACH-000222	0.9978395771363987
KIRP-2Z-A9JE	ACH-000252	0.9978412514456216
KIRP-2Z-A9JE	ACH-000155	0.9978412520389436
KIRP-2Z-A9JE	ACH-000858	0.9978436405339696
KIRP-2Z-A9JE	ACH-000341	0.9978464007544247
KIRP-2Z-A9JE	ACH-000718	0.9978496680017116
KIRP-2Z-A9JE	ACH-000798	0.9978564784073106
KIRP-2Z-A9JE	ACH-000555	0.9978597461003573
KIRP-2Z-A9JE	ACH-000596	0.9978609234909648
KIRP-2Z-A9JE	ACH-000878	0.9978641952813216
KIRP-2Z-A9JE	ACH-000663	0.9978659416744928
KIRP-2Z-A9JE	ACH-000670	0.9978668830465826
KIRP-2Z-A9JE	ACH-000998	0.9978678350124804
KIRP-2Z-A9JE	ACH-001016	0.9978696637341207
KIRP-2Z-A9JE	ACH-000396	0.9978701341119635
KIRP-2Z-A9JE	ACH-000067	0.9978722223766922
KIRP-2Z-A9JE	ACH-000949	0.9978725843461788
KIRP-2Z-A9JE	ACH-000962	0.997874555629535
KIRP-2Z-A9JE	ACH-000689	0.9978756679008526
KIRP-2Z-A9JE	ACH-000015	0.997879725830713
KIRP-2Z-A9JE	ACH-000008	0.9978802807642125
KIRP-2Z-A9JE	ACH-000917	0.9978810376333401
KIRP-2Z-A9JE	ACH-000062	0.9978826589545916
KIRP-2Z-A9JE	ACH-000643	0.9978856258546694
KIRP-2Z-A9JE	ACH-000108	0.9978860055849951
KIRP-2Z-A9JE	ACH-000040	0.9978864552340667
KIRP-2Z-A9JE	ACH-000803	0.9978866628734552
KIRP-2Z-A9JE	ACH-000311	0.997887545541164
KIRP-2Z-A9JE	ACH-000366	0.997887683588936
KIRP-2Z-A9JE	ACH-001189	0.9978878288854415
KIRP-2Z-A9JE	ACH-000971	0.9978878535556706
KIRP-2Z-A9JE	ACH-000148	0.9978883858887153
KIRP-2Z-A9JE	ACH-000212	0.9978893208755151
