case	comparison	SNF: FDA & CGC
KIRP-2Z-A9JI	case-profile	0.4571969913851621
KIRP-2Z-A9JI	ACH-000078	0.9973443471748213
KIRP-2Z-A9JI	ACH-000596	0.9974443581535305
KIRP-2Z-A9JI	ACH-000776	0.9975266827313651
KIRP-2Z-A9JI	ACH-001189	0.9976083018064582
KIRP-2Z-A9JI	ACH-000181	0.9976149634039642
KIRP-2Z-A9JI	ACH-000947	0.9976207632823694
KIRP-2Z-A9JI	ACH-000009	0.997622438651373
KIRP-2Z-A9JI	ACH-000428	0.9976274776816993
KIRP-2Z-A9JI	ACH-000102	0.9976353521823371
KIRP-2Z-A9JI	ACH-000940	0.9976434605785185
KIRP-2Z-A9JI	ACH-000625	0.9976448355217548
KIRP-2Z-A9JI	ACH-000571	0.997661809767538
KIRP-2Z-A9JI	ACH-000755	0.9976641834200254
KIRP-2Z-A9JI	ACH-000562	0.9976685157380661
KIRP-2Z-A9JI	ACH-000265	0.9976703483717074
KIRP-2Z-A9JI	ACH-000892	0.9976776573070973
KIRP-2Z-A9JI	ACH-000219	0.9976904751252409
KIRP-2Z-A9JI	ACH-000264	0.9976927745300349
KIRP-2Z-A9JI	ACH-000570	0.9977012238656793
KIRP-2Z-A9JI	ACH-000201	0.9977098128313477
KIRP-2Z-A9JI	ACH-000989	0.9977116662524355
KIRP-2Z-A9JI	ACH-000926	0.9977161324930803
KIRP-2Z-A9JI	ACH-000099	0.9977164920870859
KIRP-2Z-A9JI	ACH-000389	0.9977195931769537
KIRP-2Z-A9JI	ACH-000730	0.9977324713216842
KIRP-2Z-A9JI	ACH-000878	0.9977330567017938
KIRP-2Z-A9JI	ACH-000663	0.9977353671308092
KIRP-2Z-A9JI	ACH-000783	0.9977364480587629
KIRP-2Z-A9JI	ACH-000433	0.9977387225117034
KIRP-2Z-A9JI	ACH-000483	0.9977409520665023
KIRP-2Z-A9JI	ACH-000416	0.9977410043774255
KIRP-2Z-A9JI	ACH-000906	0.9977415563860834
KIRP-2Z-A9JI	ACH-000015	0.9977423963652416
KIRP-2Z-A9JI	ACH-000040	0.9977425690507615
KIRP-2Z-A9JI	ACH-000434	0.9977430266895027
KIRP-2Z-A9JI	ACH-000186	0.9977439244975114
KIRP-2Z-A9JI	ACH-000361	0.9977440280732215
KIRP-2Z-A9JI	ACH-000145	0.9977440817766701
KIRP-2Z-A9JI	ACH-000759	0.997744523926266
KIRP-2Z-A9JI	ACH-000883	0.9977447157960346
KIRP-2Z-A9JI	ACH-000352	0.9977506259532694
KIRP-2Z-A9JI	ACH-000706	0.9977509011786422
KIRP-2Z-A9JI	ACH-000108	0.9977543382802999
KIRP-2Z-A9JI	ACH-000738	0.9977554772779929
KIRP-2Z-A9JI	ACH-000236	0.9977587470463329
KIRP-2Z-A9JI	ACH-000788	0.9977594848024834
KIRP-2Z-A9JI	ACH-000569	0.9977623190528627
KIRP-2Z-A9JI	ACH-000298	0.997767223969488
KIRP-2Z-A9JI	ACH-000100	0.9977688301295569
KIRP-2Z-A9JI	ACH-000148	0.997769771656114
KIRP-2Z-A9JI	ACH-000651	0.9977758572354246
KIRP-2Z-A9JI	ACH-001090	0.9977766823935091
KIRP-2Z-A9JI	ACH-000111	0.9977771502464735
KIRP-2Z-A9JI	ACH-000558	0.99777776915347
KIRP-2Z-A9JI	ACH-000243	0.9977782402403514
KIRP-2Z-A9JI	ACH-001190	0.9977796214611763
KIRP-2Z-A9JI	ACH-000115	0.9977799094742068
KIRP-2Z-A9JI	ACH-000257	0.9977806177486788
KIRP-2Z-A9JI	ACH-000355	0.9977813472964179
KIRP-2Z-A9JI	ACH-000075	0.9977834679244653
KIRP-2Z-A9JI	ACH-000092	0.9977847215962805
KIRP-2Z-A9JI	ACH-000560	0.9977853671923037
KIRP-2Z-A9JI	ACH-000525	0.9977864879664472
KIRP-2Z-A9JI	ACH-000451	0.9977867644278728
KIRP-2Z-A9JI	ACH-000489	0.9977877224940285
KIRP-2Z-A9JI	ACH-000374	0.9977884183521581
KIRP-2Z-A9JI	ACH-000437	0.9977889925118008
KIRP-2Z-A9JI	ACH-000217	0.9977896155420837
KIRP-2Z-A9JI	ACH-001016	0.9977907113967844
KIRP-2Z-A9JI	ACH-000748	0.9977909795946269
KIRP-2Z-A9JI	ACH-000727	0.9977916218544483
KIRP-2Z-A9JI	ACH-000991	0.997791719117767
KIRP-2Z-A9JI	ACH-000187	0.9977931578078031
KIRP-2Z-A9JI	ACH-000475	0.9977947593207122
KIRP-2Z-A9JI	ACH-000957	0.9977956571181951
KIRP-2Z-A9JI	ACH-000254	0.9977974841262591
KIRP-2Z-A9JI	ACH-000366	0.9977981334612193
KIRP-2Z-A9JI	ACH-000818	0.9977990865427516
KIRP-2Z-A9JI	ACH-000116	0.9977998073761679
KIRP-2Z-A9JI	ACH-000212	0.9978005870766781
KIRP-2Z-A9JI	ACH-000341	0.9978011755184238
KIRP-2Z-A9JI	ACH-000595	0.997801198009694
KIRP-2Z-A9JI	ACH-000174	0.9978014913112343
KIRP-2Z-A9JI	ACH-000211	0.9978014953698511
KIRP-2Z-A9JI	ACH-000693	0.9978027328666121
KIRP-2Z-A9JI	ACH-000621	0.9978038551057467
KIRP-2Z-A9JI	ACH-000647	0.9978044012222028
KIRP-2Z-A9JI	ACH-000756	0.9978051614960343
KIRP-2Z-A9JI	ACH-000979	0.9978060296345856
KIRP-2Z-A9JI	ACH-000565	0.9978060817449955
KIRP-2Z-A9JI	ACH-000835	0.9978089871831521
KIRP-2Z-A9JI	ACH-000098	0.9978099758307806
KIRP-2Z-A9JI	ACH-000689	0.9978101218916078
KIRP-2Z-A9JI	ACH-000572	0.9978112479708414
KIRP-2Z-A9JI	ACH-000244	0.9978112804812992
KIRP-2Z-A9JI	ACH-000431	0.9978113970363629
KIRP-2Z-A9JI	ACH-000238	0.9978114645588387
KIRP-2Z-A9JI	ACH-000911	0.9978121558767975
KIRP-2Z-A9JI	ACH-000087	0.997812384399023
KIRP-2Z-A9JI	ACH-000586	0.9978142717997143
KIRP-2Z-A9JI	ACH-000566	0.9978149395166466
KIRP-2Z-A9JI	ACH-000784	0.9978170606885236
KIRP-2Z-A9JI	ACH-000882	0.9978193232150766
KIRP-2Z-A9JI	ACH-001023	0.9978195138125363
KIRP-2Z-A9JI	ACH-000379	0.9978196773947595
KIRP-2Z-A9JI	ACH-000704	0.997820720439372
KIRP-2Z-A9JI	ACH-000615	0.9978215717359646
KIRP-2Z-A9JI	ACH-000639	0.9978216288732348
KIRP-2Z-A9JI	ACH-000903	0.9978219372362743
KIRP-2Z-A9JI	ACH-000752	0.9978229092243613
KIRP-2Z-A9JI	ACH-000667	0.9978229334254337
KIRP-2Z-A9JI	ACH-000121	0.9978233838069374
KIRP-2Z-A9JI	ACH-001021	0.9978254233242082
KIRP-2Z-A9JI	ACH-000399	0.9978269051430226
KIRP-2Z-A9JI	ACH-000282	0.9978281312334661
KIRP-2Z-A9JI	ACH-000469	0.997828309725814
KIRP-2Z-A9JI	ACH-000249	0.9978291138207945
KIRP-2Z-A9JI	ACH-000536	0.9978297791715041
KIRP-2Z-A9JI	ACH-000196	0.9978302992421085
KIRP-2Z-A9JI	ACH-000963	0.9978311325407899
KIRP-2Z-A9JI	ACH-000976	0.9978319608869914
KIRP-2Z-A9JI	ACH-000917	0.9978321236514843
KIRP-2Z-A9JI	ACH-000699	0.9978329833322315
KIRP-2Z-A9JI	ACH-000555	0.9978331720333722
KIRP-2Z-A9JI	ACH-000720	0.9978335373736622
KIRP-2Z-A9JI	ACH-000789	0.9978355093882914
KIRP-2Z-A9JI	ACH-000601	0.9978356047793779
KIRP-2Z-A9JI	ACH-000624	0.9978358523294255
KIRP-2Z-A9JI	ACH-000863	0.9978368929239637
KIRP-2Z-A9JI	ACH-000391	0.9978373692883402
KIRP-2Z-A9JI	ACH-001233	0.9978379018645072
KIRP-2Z-A9JI	ACH-000200	0.9978383280144982
KIRP-2Z-A9JI	ACH-000035	0.9978396380932145
KIRP-2Z-A9JI	ACH-000680	0.997840157075464
KIRP-2Z-A9JI	ACH-000843	0.9978404257929578
KIRP-2Z-A9JI	ACH-000637	0.9978411603624654
KIRP-2Z-A9JI	ACH-000766	0.9978412190751967
KIRP-2Z-A9JI	ACH-000347	0.9978433667968241
KIRP-2Z-A9JI	ACH-000359	0.9978433821395479
KIRP-2Z-A9JI	ACH-001089	0.9978438094811459
KIRP-2Z-A9JI	ACH-000559	0.9978471398996926
KIRP-2Z-A9JI	ACH-000819	0.9978472814931847
KIRP-2Z-A9JI	ACH-000242	0.9978475268214263
KIRP-2Z-A9JI	ACH-000580	0.9978478127524545
KIRP-2Z-A9JI	ACH-001126	0.9978480200123107
KIRP-2Z-A9JI	ACH-000191	0.9978507740296495
KIRP-2Z-A9JI	ACH-001039	0.9978509288356597
KIRP-2Z-A9JI	ACH-000846	0.9978510743538297
KIRP-2Z-A9JI	ACH-000614	0.9978512073403535
KIRP-2Z-A9JI	ACH-000290	0.9978516214162888
KIRP-2Z-A9JI	ACH-000465	0.9978518804309365
KIRP-2Z-A9JI	ACH-000865	0.9978525345936667
KIRP-2Z-A9JI	ACH-000725	0.9978527401166265
KIRP-2Z-A9JI	ACH-000508	0.9978531516752399
KIRP-2Z-A9JI	ACH-000304	0.9978532873565898
KIRP-2Z-A9JI	ACH-000322	0.9978534114311617
KIRP-2Z-A9JI	ACH-000481	0.9978541520073766
KIRP-2Z-A9JI	ACH-000650	0.9978542226828265
KIRP-2Z-A9JI	ACH-000447	0.9978547591396939
KIRP-2Z-A9JI	ACH-000514	0.9978555232077835
KIRP-2Z-A9JI	ACH-000449	0.9978555585440089
KIRP-2Z-A9JI	ACH-000781	0.9978565955654484
KIRP-2Z-A9JI	ACH-000802	0.9978575814622712
KIRP-2Z-A9JI	ACH-000332	0.9978576805224317
KIRP-2Z-A9JI	ACH-000643	0.9978581639673666
KIRP-2Z-A9JI	ACH-000319	0.9978582184920639
KIRP-2Z-A9JI	ACH-000269	0.9978585248262644
KIRP-2Z-A9JI	ACH-000548	0.9978590233292788
KIRP-2Z-A9JI	ACH-000395	0.9978594591402009
KIRP-2Z-A9JI	ACH-000677	0.9978596439104895
KIRP-2Z-A9JI	ACH-000655	0.9978601771980481
KIRP-2Z-A9JI	ACH-000082	0.9978602427702665
KIRP-2Z-A9JI	ACH-000665	0.997860927528656
KIRP-2Z-A9JI	ACH-000855	0.9978613803854138
KIRP-2Z-A9JI	ACH-000510	0.9978618400917314
KIRP-2Z-A9JI	ACH-000360	0.9978620471487988
KIRP-2Z-A9JI	ACH-000871	0.9978628775925826
KIRP-2Z-A9JI	ACH-000486	0.997863858158466
KIRP-2Z-A9JI	ACH-000504	0.9978640364328413
KIRP-2Z-A9JI	ACH-000438	0.997864221451073
KIRP-2Z-A9JI	ACH-000248	0.997864696913984
KIRP-2Z-A9JI	ACH-000118	0.9978650961221377
KIRP-2Z-A9JI	ACH-000207	0.9978656403141906
KIRP-2Z-A9JI	ACH-000259	0.9978662528050227
KIRP-2Z-A9JI	ACH-000616	0.9978663133344698
