case	comparison	SNF: FDA & CGC
KIRP-2Z-A9JJ	case-profile	0.4560921753977263
KIRP-2Z-A9JJ	ACH-000447	0.9966490043052431
KIRP-2Z-A9JJ	ACH-000259	0.9971650351637066
KIRP-2Z-A9JJ	ACH-000149	0.9973751858205875
KIRP-2Z-A9JJ	ACH-001023	0.997450467426695
KIRP-2Z-A9JJ	ACH-000562	0.9974934182189997
KIRP-2Z-A9JJ	ACH-000860	0.9974992241294497
KIRP-2Z-A9JJ	ACH-000428	0.9975163964125056
KIRP-2Z-A9JJ	ACH-000319	0.997539862589802
KIRP-2Z-A9JJ	ACH-000078	0.9975506496286297
KIRP-2Z-A9JJ	ACH-000947	0.9975541840370065
KIRP-2Z-A9JJ	ACH-000703	0.9975589353082185
KIRP-2Z-A9JJ	ACH-000282	0.9975628563866341
KIRP-2Z-A9JJ	ACH-000810	0.9975777159915589
KIRP-2Z-A9JJ	ACH-000235	0.9975913113033645
KIRP-2Z-A9JJ	ACH-000581	0.9975928024989794
KIRP-2Z-A9JJ	ACH-000399	0.9976030024956193
KIRP-2Z-A9JJ	ACH-000601	0.9976127989843115
KIRP-2Z-A9JJ	ACH-000729	0.9976132502374344
KIRP-2Z-A9JJ	ACH-000940	0.9976330212918574
KIRP-2Z-A9JJ	ACH-000244	0.9976595087375628
KIRP-2Z-A9JJ	ACH-000720	0.997662064168201
KIRP-2Z-A9JJ	ACH-000989	0.9976658784574571
KIRP-2Z-A9JJ	ACH-000242	0.9976697804780378
KIRP-2Z-A9JJ	ACH-000270	0.9976824770406294
KIRP-2Z-A9JJ	ACH-000217	0.9976943169530026
KIRP-2Z-A9JJ	ACH-000257	0.9976989019921713
KIRP-2Z-A9JJ	ACH-000625	0.9977101546487748
KIRP-2Z-A9JJ	ACH-001049	0.9977127716319109
KIRP-2Z-A9JJ	ACH-000986	0.9977150737384183
KIRP-2Z-A9JJ	ACH-000040	0.9977193243871099
KIRP-2Z-A9JJ	ACH-000483	0.997719982684671
KIRP-2Z-A9JJ	ACH-000886	0.9977239553766132
KIRP-2Z-A9JJ	ACH-000189	0.9977350979079741
KIRP-2Z-A9JJ	ACH-000558	0.997737443480463
KIRP-2Z-A9JJ	ACH-000638	0.9977397729458212
KIRP-2Z-A9JJ	ACH-000219	0.9977405203670869
KIRP-2Z-A9JJ	ACH-000265	0.9977422282267459
KIRP-2Z-A9JJ	ACH-000361	0.9977439526014464
KIRP-2Z-A9JJ	ACH-000394	0.9977462855173534
KIRP-2Z-A9JJ	ACH-000288	0.9977592810125094
KIRP-2Z-A9JJ	ACH-000719	0.9977690060044444
KIRP-2Z-A9JJ	ACH-000882	0.997772971304238
KIRP-2Z-A9JJ	ACH-000201	0.9977745028264375
KIRP-2Z-A9JJ	ACH-000957	0.9977787773670512
KIRP-2Z-A9JJ	ACH-000559	0.9977835076075873
KIRP-2Z-A9JJ	ACH-000389	0.9977845457005872
KIRP-2Z-A9JJ	ACH-000613	0.9977897658509944
KIRP-2Z-A9JJ	ACH-000818	0.9977923390385238
KIRP-2Z-A9JJ	ACH-000615	0.9977978712063363
KIRP-2Z-A9JJ	ACH-000042	0.9977980930745466
KIRP-2Z-A9JJ	ACH-000569	0.9977990229709824
KIRP-2Z-A9JJ	ACH-000788	0.9978005316646837
KIRP-2Z-A9JJ	ACH-000835	0.997801259757458
KIRP-2Z-A9JJ	ACH-000547	0.9978036912260059
KIRP-2Z-A9JJ	ACH-000627	0.9978046090418601
KIRP-2Z-A9JJ	ACH-000991	0.9978062335981616
KIRP-2Z-A9JJ	ACH-000979	0.9978062616505062
KIRP-2Z-A9JJ	ACH-000704	0.9978082881128479
KIRP-2Z-A9JJ	ACH-000570	0.9978090381298846
KIRP-2Z-A9JJ	ACH-000442	0.997809210583048
KIRP-2Z-A9JJ	ACH-000555	0.9978098755266607
KIRP-2Z-A9JJ	ACH-000755	0.997813139338734
KIRP-2Z-A9JJ	ACH-000596	0.9978157280558376
KIRP-2Z-A9JJ	ACH-000129	0.9978161671884603
KIRP-2Z-A9JJ	ACH-000360	0.9978165631058966
KIRP-2Z-A9JJ	ACH-000449	0.9978171242356855
KIRP-2Z-A9JJ	ACH-000759	0.9978188925864108
KIRP-2Z-A9JJ	ACH-000662	0.9978189938315954
KIRP-2Z-A9JJ	ACH-000911	0.9978226614805342
KIRP-2Z-A9JJ	ACH-000351	0.9978231018870549
KIRP-2Z-A9JJ	ACH-000730	0.9978238385143888
KIRP-2Z-A9JJ	ACH-000536	0.9978247479249751
KIRP-2Z-A9JJ	ACH-000846	0.9978248156620562
KIRP-2Z-A9JJ	ACH-000548	0.9978249995162107
KIRP-2Z-A9JJ	ACH-000196	0.9978257031105451
KIRP-2Z-A9JJ	ACH-000207	0.9978258314542461
KIRP-2Z-A9JJ	ACH-000610	0.9978259472930352
KIRP-2Z-A9JJ	ACH-000580	0.9978277499030602
KIRP-2Z-A9JJ	ACH-000639	0.9978278877693758
KIRP-2Z-A9JJ	ACH-000890	0.9978280028415906
KIRP-2Z-A9JJ	ACH-000469	0.997828260857367
KIRP-2Z-A9JJ	ACH-000616	0.9978287483459598
KIRP-2Z-A9JJ	ACH-000926	0.9978289534755618
KIRP-2Z-A9JJ	ACH-000976	0.9978295295412852
KIRP-2Z-A9JJ	ACH-000843	0.9978299017105942
KIRP-2Z-A9JJ	ACH-000892	0.9978299631130161
KIRP-2Z-A9JJ	ACH-000917	0.9978302170075631
KIRP-2Z-A9JJ	ACH-000963	0.9978313265596187
KIRP-2Z-A9JJ	ACH-000308	0.9978330151090521
KIRP-2Z-A9JJ	ACH-000075	0.9978331443668852
KIRP-2Z-A9JJ	ACH-000572	0.9978334614462672
KIRP-2Z-A9JJ	ACH-000320	0.9978336190482789
KIRP-2Z-A9JJ	ACH-000722	0.9978336305026053
KIRP-2Z-A9JJ	ACH-000871	0.9978336935824682
KIRP-2Z-A9JJ	ACH-000677	0.9978338379509482
KIRP-2Z-A9JJ	ACH-000015	0.997834431464966
KIRP-2Z-A9JJ	ACH-001151	0.9978347461222526
KIRP-2Z-A9JJ	ACH-000878	0.9978351684205389
KIRP-2Z-A9JJ	ACH-000699	0.9978355268280078
KIRP-2Z-A9JJ	ACH-000108	0.9978359859116323
KIRP-2Z-A9JJ	ACH-000186	0.9978367469162495
KIRP-2Z-A9JJ	ACH-000352	0.9978369751760765
KIRP-2Z-A9JJ	ACH-000212	0.9978376017250626
KIRP-2Z-A9JJ	ACH-000159	0.9978377668970317
KIRP-2Z-A9JJ	ACH-000706	0.9978384488396451
KIRP-2Z-A9JJ	ACH-000322	0.9978386251007032
KIRP-2Z-A9JJ	ACH-000102	0.9978389877384453
KIRP-2Z-A9JJ	ACH-000504	0.997839096172579
KIRP-2Z-A9JJ	ACH-000099	0.9978393557199102
KIRP-2Z-A9JJ	ACH-000228	0.9978397797008881
KIRP-2Z-A9JJ	ACH-000514	0.997840183053845
KIRP-2Z-A9JJ	ACH-000789	0.9978402430979828
KIRP-2Z-A9JJ	ACH-000784	0.9978408079096531
KIRP-2Z-A9JJ	ACH-000663	0.997841114094829
KIRP-2Z-A9JJ	ACH-000465	0.9978413161964799
KIRP-2Z-A9JJ	ACH-000563	0.997842268523445
KIRP-2Z-A9JJ	ACH-000433	0.9978424788779395
KIRP-2Z-A9JJ	ACH-000738	0.9978426958610582
KIRP-2Z-A9JJ	ACH-000200	0.9978430350096268
KIRP-2Z-A9JJ	ACH-000384	0.997843180030882
KIRP-2Z-A9JJ	ACH-000092	0.9978434785209706
KIRP-2Z-A9JJ	ACH-000434	0.9978440299954272
KIRP-2Z-A9JJ	ACH-000783	0.9978442822860604
KIRP-2Z-A9JJ	ACH-000416	0.9978445113476404
KIRP-2Z-A9JJ	ACH-000508	0.997844697215444
KIRP-2Z-A9JJ	ACH-000665	0.997844925465195
KIRP-2Z-A9JJ	ACH-000145	0.9978452405082127
KIRP-2Z-A9JJ	ACH-000178	0.9978460399815086
