case	comparison	SNF: FDA & CGC
KIRP-2Z-A9JM	case-profile	0.4570472372464618
KIRP-2Z-A9JM	ACH-001125	0.9971128986341659
KIRP-2Z-A9JM	ACH-000572	0.9973653366758346
KIRP-2Z-A9JM	ACH-000200	0.9973876632640267
KIRP-2Z-A9JM	ACH-000457	0.9974099142059307
KIRP-2Z-A9JM	ACH-000389	0.9974167553796092
KIRP-2Z-A9JM	ACH-000176	0.9974416874338401
KIRP-2Z-A9JM	ACH-000625	0.9974436072521421
KIRP-2Z-A9JM	ACH-000827	0.997454051087144
KIRP-2Z-A9JM	ACH-000437	0.9974862245915718
KIRP-2Z-A9JM	ACH-000640	0.9975020986555578
KIRP-2Z-A9JM	ACH-000401	0.9975282316564086
KIRP-2Z-A9JM	ACH-000186	0.9975553714284104
KIRP-2Z-A9JM	ACH-000055	0.9975704470052242
KIRP-2Z-A9JM	ACH-000738	0.997572807114205
KIRP-2Z-A9JM	ACH-000376	0.9975814303497843
KIRP-2Z-A9JM	ACH-000441	0.9976038277758118
KIRP-2Z-A9JM	ACH-000585	0.9976136916226047
KIRP-2Z-A9JM	ACH-000823	0.9976191160961347
KIRP-2Z-A9JM	ACH-000778	0.9976390671021533
KIRP-2Z-A9JM	ACH-000628	0.9976395567946698
KIRP-2Z-A9JM	ACH-000544	0.9976621953887563
KIRP-2Z-A9JM	ACH-000098	0.9976695448365313
KIRP-2Z-A9JM	ACH-000211	0.9976768572624313
KIRP-2Z-A9JM	ACH-001151	0.9976819904798283
KIRP-2Z-A9JM	ACH-000449	0.9976841573694505
KIRP-2Z-A9JM	ACH-000383	0.9976958248562071
KIRP-2Z-A9JM	ACH-000569	0.9976979970924189
KIRP-2Z-A9JM	ACH-000740	0.9977031852885047
KIRP-2Z-A9JM	ACH-000231	0.9977094524388365
KIRP-2Z-A9JM	ACH-000587	0.9977139166377171
KIRP-2Z-A9JM	ACH-000252	0.9977140177225597
