case	comparison	SNF: FDA & CGC
KIRP-2Z-A9JP	case-profile	0.45728064245613786
KIRP-2Z-A9JP	ACH-000864	0.9966297537266169
KIRP-2Z-A9JP	ACH-000288	0.9968816051508362
KIRP-2Z-A9JP	ACH-000148	0.9973374518859689
KIRP-2Z-A9JP	ACH-000210	0.9973894502074167
KIRP-2Z-A9JP	ACH-000756	0.9973949106299242
KIRP-2Z-A9JP	ACH-000589	0.9973994528883773
KIRP-2Z-A9JP	ACH-000527	0.9974584950533967
KIRP-2Z-A9JP	ACH-000552	0.9975042281110411
KIRP-2Z-A9JP	ACH-000930	0.997512312947477
KIRP-2Z-A9JP	ACH-000417	0.9975420388759672
KIRP-2Z-A9JP	ACH-000528	0.9975522596226053
KIRP-2Z-A9JP	ACH-000560	0.9975564792401238
KIRP-2Z-A9JP	ACH-000379	0.997558258624207
KIRP-2Z-A9JP	ACH-000352	0.9975911276902784
KIRP-2Z-A9JP	ACH-000859	0.997612389886912
KIRP-2Z-A9JP	ACH-000099	0.9976230751618214
KIRP-2Z-A9JP	ACH-000558	0.9976281815604963
KIRP-2Z-A9JP	ACH-000145	0.9976436407363728
KIRP-2Z-A9JP	ACH-000189	0.9976496977117827
KIRP-2Z-A9JP	ACH-000510	0.9976497901298892
KIRP-2Z-A9JP	ACH-000679	0.9976526740413051
KIRP-2Z-A9JP	ACH-000132	0.9976564296034283
KIRP-2Z-A9JP	ACH-000792	0.9976564303570327
KIRP-2Z-A9JP	ACH-000330	0.9976683645527784
KIRP-2Z-A9JP	ACH-000574	0.9976794776922898
KIRP-2Z-A9JP	ACH-000201	0.9976823859355579
KIRP-2Z-A9JP	ACH-000515	0.9976826880582468
KIRP-2Z-A9JP	ACH-000360	0.9977051036830211
KIRP-2Z-A9JP	ACH-000691	0.9977119444421587
KIRP-2Z-A9JP	ACH-000117	0.9977132800074154
KIRP-2Z-A9JP	ACH-000159	0.9977158563457539
KIRP-2Z-A9JP	ACH-000129	0.9977183883702446
KIRP-2Z-A9JP	ACH-000892	0.9977188634505186
KIRP-2Z-A9JP	ACH-000147	0.9977245445607371
KIRP-2Z-A9JP	ACH-001021	0.9977316682008557
KIRP-2Z-A9JP	ACH-000860	0.9977414645004755
KIRP-2Z-A9JP	ACH-000580	0.9977419008562126
KIRP-2Z-A9JP	ACH-000555	0.9977452859057113
KIRP-2Z-A9JP	ACH-000484	0.9977726893635935
KIRP-2Z-A9JP	ACH-000366	0.9977740426844918
KIRP-2Z-A9JP	ACH-000759	0.9977779007624705
KIRP-2Z-A9JP	ACH-000153	0.9977801933924052
KIRP-2Z-A9JP	ACH-000433	0.9977814290549135
KIRP-2Z-A9JP	ACH-000569	0.9977891057961185
KIRP-2Z-A9JP	ACH-000075	0.9977919116787292
KIRP-2Z-A9JP	ACH-000488	0.9977924366074964
KIRP-2Z-A9JP	ACH-000231	0.9977957941515256
KIRP-2Z-A9JP	ACH-000668	0.997796719848227
KIRP-2Z-A9JP	ACH-000755	0.9977968939504646
KIRP-2Z-A9JP	ACH-000355	0.9978044430569367
KIRP-2Z-A9JP	ACH-000015	0.9978077996538239
KIRP-2Z-A9JP	ACH-000223	0.9978088254368984
KIRP-2Z-A9JP	ACH-000778	0.9978119295121262
KIRP-2Z-A9JP	ACH-000107	0.9978119763095401
KIRP-2Z-A9JP	ACH-000329	0.9978119783363846
KIRP-2Z-A9JP	ACH-000476	0.997813740428054
KIRP-2Z-A9JP	ACH-000501	0.9978149314500848
KIRP-2Z-A9JP	ACH-000609	0.9978154339290419
KIRP-2Z-A9JP	ACH-000772	0.9978182105054103
KIRP-2Z-A9JP	ACH-000250	0.997818220928146
KIRP-2Z-A9JP	ACH-000535	0.9978192080722071
KIRP-2Z-A9JP	ACH-000376	0.9978192889238284
KIRP-2Z-A9JP	ACH-000610	0.9978231814895149
KIRP-2Z-A9JP	ACH-000457	0.9978238810963979
KIRP-2Z-A9JP	ACH-000489	0.9978248077316192
KIRP-2Z-A9JP	ACH-000480	0.9978249646101643
KIRP-2Z-A9JP	ACH-000858	0.9978254227973851
KIRP-2Z-A9JP	ACH-000420	0.9978260977998495
KIRP-2Z-A9JP	ACH-000018	0.9978270990852149
KIRP-2Z-A9JP	ACH-000530	0.9978273086917431
KIRP-2Z-A9JP	ACH-000681	0.9978275768073493
KIRP-2Z-A9JP	ACH-000470	0.9978277052677259
KIRP-2Z-A9JP	ACH-000544	0.9978283853074432
KIRP-2Z-A9JP	ACH-000103	0.9978293204999286
KIRP-2Z-A9JP	ACH-000482	0.9978299505659901
KIRP-2Z-A9JP	ACH-000188	0.9978303339968104
KIRP-2Z-A9JP	ACH-000496	0.9978321390946037
KIRP-2Z-A9JP	ACH-000826	0.997832168951185
KIRP-2Z-A9JP	ACH-000252	0.9978323808722738
KIRP-2Z-A9JP	ACH-000102	0.9978326722244539
KIRP-2Z-A9JP	ACH-000767	0.9978337133841229
KIRP-2Z-A9JP	ACH-000769	0.9978340623983258
KIRP-2Z-A9JP	ACH-000639	0.9978343147154785
KIRP-2Z-A9JP	ACH-000353	0.9978345187073663
KIRP-2Z-A9JP	ACH-000309	0.997835446139214
KIRP-2Z-A9JP	ACH-000486	0.9978358438456836
KIRP-2Z-A9JP	ACH-000001	0.99783588401694
KIRP-2Z-A9JP	ACH-000743	0.9978380066146846
KIRP-2Z-A9JP	ACH-000830	0.9978385367537963
KIRP-2Z-A9JP	ACH-000335	0.9978392772475936
KIRP-2Z-A9JP	ACH-000633	0.9978399375673074
KIRP-2Z-A9JP	ACH-000155	0.9978400283107571
KIRP-2Z-A9JP	ACH-000430	0.9978401434569109
KIRP-2Z-A9JP	ACH-000178	0.9978407160042552
KIRP-2Z-A9JP	ACH-000378	0.9978408183204467
KIRP-2Z-A9JP	ACH-000599	0.9978419947548446
KIRP-2Z-A9JP	ACH-000652	0.997842396710291
KIRP-2Z-A9JP	ACH-000800	0.9978427862873813
KIRP-2Z-A9JP	ACH-000114	0.9978430193932459
KIRP-2Z-A9JP	ACH-000740	0.997843274788112
KIRP-2Z-A9JP	ACH-000094	0.9978449747211448
KIRP-2Z-A9JP	ACH-000781	0.9978462062241908
KIRP-2Z-A9JP	ACH-001125	0.997846298738879
KIRP-2Z-A9JP	ACH-000784	0.99784893407174
KIRP-2Z-A9JP	ACH-000222	0.9978489811305685
KIRP-2Z-A9JP	ACH-000566	0.9978502377766925
KIRP-2Z-A9JP	ACH-000211	0.9978660103406253
KIRP-2Z-A9JP	ACH-000675	0.9978755451694136
KIRP-2Z-A9JP	ACH-000364	0.9978761896623116
KIRP-2Z-A9JP	ACH-000689	0.9978784860418723
KIRP-2Z-A9JP	ACH-000374	0.9978785143032335
KIRP-2Z-A9JP	ACH-000696	0.9978787383935188
KIRP-2Z-A9JP	ACH-000672	0.9978799297707683
KIRP-2Z-A9JP	ACH-000546	0.997880376081905
KIRP-2Z-A9JP	ACH-000442	0.9978828767177584
KIRP-2Z-A9JP	ACH-000217	0.9978855414740622
KIRP-2Z-A9JP	ACH-000212	0.9978864187575817
KIRP-2Z-A9JP	ACH-000359	0.9978867781842392
KIRP-2Z-A9JP	ACH-000394	0.997888908200332
KIRP-2Z-A9JP	ACH-000752	0.9978906134959554
KIRP-2Z-A9JP	ACH-000181	0.9978916145690194
KIRP-2Z-A9JP	ACH-000174	0.997891693291664
KIRP-2Z-A9JP	ACH-000595	0.9978920620204608
KIRP-2Z-A9JP	ACH-000092	0.9978921268520446
KIRP-2Z-A9JP	ACH-000840	0.9978926191370276
KIRP-2Z-A9JP	ACH-001065	0.9978936873100545
KIRP-2Z-A9JP	ACH-000450	0.9978940473249264
KIRP-2Z-A9JP	ACH-000857	0.997894713453695
KIRP-2Z-A9JP	ACH-000187	0.997896179458842
KIRP-2Z-A9JP	ACH-000647	0.9978967630782105
KIRP-2Z-A9JP	ACH-000332	0.9978968155943424
KIRP-2Z-A9JP	ACH-000638	0.997897002604552
KIRP-2Z-A9JP	ACH-000835	0.9978983593442629
KIRP-2Z-A9JP	ACH-000265	0.9978984562282363
KIRP-2Z-A9JP	ACH-000322	0.9978985765448694
KIRP-2Z-A9JP	ACH-000617	0.9978990311551222
KIRP-2Z-A9JP	ACH-000341	0.997899083406428
KIRP-2Z-A9JP	ACH-000087	0.997899094234291
KIRP-2Z-A9JP	ACH-000525	0.9978992102288589
KIRP-2Z-A9JP	ACH-000643	0.9978992624029578
KIRP-2Z-A9JP	ACH-000238	0.997899635588914
KIRP-2Z-A9JP	ACH-000886	0.997899755422448
KIRP-2Z-A9JP	ACH-000605	0.9978998800005939
KIRP-2Z-A9JP	ACH-001090	0.9979000764601998
KIRP-2Z-A9JP	ACH-000305	0.9979001595187809
KIRP-2Z-A9JP	ACH-000243	0.9979004607430021
KIRP-2Z-A9JP	ACH-001016	0.9979008638298537
KIRP-2Z-A9JP	ACH-000111	0.9979008876248062
KIRP-2Z-A9JP	ACH-000871	0.9979010419364107
KIRP-2Z-A9JP	ACH-000571	0.9979010893585488
KIRP-2Z-A9JP	ACH-000748	0.9979011892239334
KIRP-2Z-A9JP	ACH-000866	0.9979015267787892
KIRP-2Z-A9JP	ACH-000392	0.9979015478860244
KIRP-2Z-A9JP	ACH-000343	0.99790165328732
KIRP-2Z-A9JP	ACH-000625	0.9979020767815083
KIRP-2Z-A9JP	ACH-001126	0.9979031897877588
KIRP-2Z-A9JP	ACH-000290	0.9979031942443809
KIRP-2Z-A9JP	ACH-000055	0.997903387806121
KIRP-2Z-A9JP	ACH-000192	0.9979040839093801
KIRP-2Z-A9JP	ACH-000902	0.9979041035493165
