case	comparison	SNF: FDA & CGC
KIRP-2Z-A9JT	case-profile	0.45677759139458707
KIRP-2Z-A9JT	ACH-001125	0.9971445261723947
KIRP-2Z-A9JT	ACH-000625	0.9974090840605164
KIRP-2Z-A9JT	ACH-000075	0.9974795921574041
KIRP-2Z-A9JT	ACH-000827	0.9974825534116202
KIRP-2Z-A9JT	ACH-000389	0.9974882441338673
KIRP-2Z-A9JT	ACH-000401	0.9975128850620888
KIRP-2Z-A9JT	ACH-000665	0.9975253739651279
KIRP-2Z-A9JT	ACH-000738	0.9975270634986989
KIRP-2Z-A9JT	ACH-000823	0.9975448908327004
KIRP-2Z-A9JT	ACH-000201	0.9975603506982587
KIRP-2Z-A9JT	ACH-000881	0.9975647755771989
KIRP-2Z-A9JT	ACH-000145	0.9975998219574868
KIRP-2Z-A9JT	ACH-000756	0.9976078087822428
KIRP-2Z-A9JT	ACH-000442	0.9976485538424957
KIRP-2Z-A9JT	ACH-000491	0.9976510714297848
KIRP-2Z-A9JT	ACH-000355	0.9976777623273105
KIRP-2Z-A9JT	ACH-000613	0.99768318993317
KIRP-2Z-A9JT	ACH-000847	0.9976937999409008
KIRP-2Z-A9JT	ACH-000631	0.9976964825824048
KIRP-2Z-A9JT	ACH-000132	0.9976985987690512
KIRP-2Z-A9JT	ACH-001090	0.9977014039527494
KIRP-2Z-A9JT	ACH-000052	0.9977102990131342
KIRP-2Z-A9JT	ACH-000457	0.9977126119039657
KIRP-2Z-A9JT	ACH-000181	0.9977151594378114
KIRP-2Z-A9JT	ACH-000787	0.9977317511929918
KIRP-2Z-A9JT	ACH-000437	0.9977396791919161
KIRP-2Z-A9JT	ACH-000391	0.9977439722583885
KIRP-2Z-A9JT	ACH-000376	0.9977491856064438
KIRP-2Z-A9JT	ACH-000217	0.9977522504014791
KIRP-2Z-A9JT	ACH-000674	0.9977586186105065
KIRP-2Z-A9JT	ACH-000585	0.9977621514705538
KIRP-2Z-A9JT	ACH-000759	0.9977648619733859
KIRP-2Z-A9JT	ACH-000587	0.9977674627481063
KIRP-2Z-A9JT	ACH-000030	0.9977681914297786
KIRP-2Z-A9JT	ACH-000169	0.9977699025448524
KIRP-2Z-A9JT	ACH-000628	0.9977733124186458
KIRP-2Z-A9JT	ACH-000438	0.9977761238309896
KIRP-2Z-A9JT	ACH-000433	0.9977768245908935
KIRP-2Z-A9JT	ACH-000640	0.997790553757524
KIRP-2Z-A9JT	ACH-000528	0.9977911956862482
KIRP-2Z-A9JT	ACH-000103	0.9977959248698054
KIRP-2Z-A9JT	ACH-000098	0.9977971456660218
KIRP-2Z-A9JT	ACH-000778	0.9977995560373228
KIRP-2Z-A9JT	ACH-000544	0.9978037276602643
KIRP-2Z-A9JT	ACH-000668	0.9978055218100512
KIRP-2Z-A9JT	ACH-000117	0.997806133141398
KIRP-2Z-A9JT	ACH-000569	0.9978075574879811
KIRP-2Z-A9JT	ACH-000681	0.9978136241436506
KIRP-2Z-A9JT	ACH-000329	0.9978139102240295
KIRP-2Z-A9JT	ACH-000595	0.9978141505499108
KIRP-2Z-A9JT	ACH-000430	0.9978148376052046
KIRP-2Z-A9JT	ACH-000309	0.9978161642973786
KIRP-2Z-A9JT	ACH-000535	0.9978167444111751
KIRP-2Z-A9JT	ACH-000018	0.9978176748777461
KIRP-2Z-A9JT	ACH-000610	0.9978188582796321
KIRP-2Z-A9JT	ACH-000211	0.9978193814532941
KIRP-2Z-A9JT	ACH-000772	0.9978195532386864
KIRP-2Z-A9JT	ACH-000449	0.997819978540126
KIRP-2Z-A9JT	ACH-000102	0.997820227799277
KIRP-2Z-A9JT	ACH-000476	0.9978207987807227
KIRP-2Z-A9JT	ACH-000743	0.9978208816225737
KIRP-2Z-A9JT	ACH-000231	0.9978210101354291
KIRP-2Z-A9JT	ACH-000353	0.9978215094352135
KIRP-2Z-A9JT	ACH-000482	0.9978218330986378
KIRP-2Z-A9JT	ACH-000489	0.9978225106922974
KIRP-2Z-A9JT	ACH-000574	0.9978229521568031
KIRP-2Z-A9JT	ACH-000480	0.9978233001027791
KIRP-2Z-A9JT	ACH-000740	0.9978234477083384
KIRP-2Z-A9JT	ACH-000633	0.9978240061478088
KIRP-2Z-A9JT	ACH-000107	0.9978254647589584
KIRP-2Z-A9JT	ACH-000420	0.9978259037771384
KIRP-2Z-A9JT	ACH-000188	0.9978294145987676
KIRP-2Z-A9JT	ACH-000486	0.9978296707888169
KIRP-2Z-A9JT	ACH-000155	0.9978298733195528
KIRP-2Z-A9JT	ACH-000153	0.9978299457797972
KIRP-2Z-A9JT	ACH-000830	0.997831460830411
KIRP-2Z-A9JT	ACH-000496	0.9978317530091956
KIRP-2Z-A9JT	ACH-000530	0.9978328739511326
KIRP-2Z-A9JT	ACH-000589	0.9978328848260464
KIRP-2Z-A9JT	ACH-000767	0.9978332788410431
KIRP-2Z-A9JT	ACH-000470	0.9978336223278816
KIRP-2Z-A9JT	ACH-000223	0.9978338538016777
KIRP-2Z-A9JT	ACH-000864	0.9978343300527944
KIRP-2Z-A9JT	ACH-000114	0.9978346994435954
KIRP-2Z-A9JT	ACH-000159	0.9978355602943314
KIRP-2Z-A9JT	ACH-000599	0.9978358120267898
KIRP-2Z-A9JT	ACH-000335	0.9978366026503542
KIRP-2Z-A9JT	ACH-000744	0.9978375514198219
KIRP-2Z-A9JT	ACH-000781	0.9978376109288944
KIRP-2Z-A9JT	ACH-000800	0.9978377496842107
KIRP-2Z-A9JT	ACH-000769	0.9978378289098202
KIRP-2Z-A9JT	ACH-000178	0.9978381751901224
KIRP-2Z-A9JT	ACH-000609	0.9978389758970152
KIRP-2Z-A9JT	ACH-000826	0.9978392082725939
KIRP-2Z-A9JT	ACH-000572	0.9978397596965142
KIRP-2Z-A9JT	ACH-000501	0.9978402841680514
KIRP-2Z-A9JT	ACH-000378	0.9978408807178754
KIRP-2Z-A9JT	ACH-000250	0.9978409305797792
KIRP-2Z-A9JT	ACH-000222	0.9978423247918317
KIRP-2Z-A9JT	ACH-000252	0.9978424992785764
KIRP-2Z-A9JT	ACH-000484	0.9978427070003525
KIRP-2Z-A9JT	ACH-000652	0.9978429133579927
KIRP-2Z-A9JT	ACH-000094	0.9978434218764514
KIRP-2Z-A9JT	ACH-000858	0.997846371222399
KIRP-2Z-A9JT	ACH-000647	0.9978474835078025
KIRP-2Z-A9JT	ACH-000186	0.9978601281657756
KIRP-2Z-A9JT	ACH-000238	0.9978602444155935
KIRP-2Z-A9JT	ACH-000522	0.9978606046091069
KIRP-2Z-A9JT	ACH-000008	0.9978633521614827
KIRP-2Z-A9JT	ACH-000689	0.9978672427403078
KIRP-2Z-A9JT	ACH-000555	0.9978695092862665
KIRP-2Z-A9JT	ACH-000366	0.9978718529545727
KIRP-2Z-A9JT	ACH-000450	0.9978719614016542
KIRP-2Z-A9JT	ACH-000364	0.9978730249111762
KIRP-2Z-A9JT	ACH-000571	0.9978750773928003
KIRP-2Z-A9JT	ACH-000116	0.9978756443244865
KIRP-2Z-A9JT	ACH-000055	0.9978779495744273
KIRP-2Z-A9JT	ACH-000516	0.9978798376749148
KIRP-2Z-A9JT	ACH-000121	0.997883240491431
KIRP-2Z-A9JT	ACH-000087	0.9978833530509401
KIRP-2Z-A9JT	ACH-000148	0.9978834630850127
KIRP-2Z-A9JT	ACH-000463	0.9978844325175547
KIRP-2Z-A9JT	ACH-000200	0.9978860805861045
KIRP-2Z-A9JT	ACH-000558	0.9978873447607038
KIRP-2Z-A9JT	ACH-001189	0.9978885354215211
KIRP-2Z-A9JT	ACH-000441	0.9978889698939448
KIRP-2Z-A9JT	ACH-000361	0.9978893874339526
KIRP-2Z-A9JT	ACH-000249	0.9978895074307066
KIRP-2Z-A9JT	ACH-000174	0.9978900844097485
KIRP-2Z-A9JT	ACH-000733	0.9978903481079477
KIRP-2Z-A9JT	ACH-000693	0.9978912104861034
