case	comparison	SNF: FDA & CGC
KIRP-4A-A93X	case-profile	0.45647112609720697
KIRP-4A-A93X	ACH-000320	0.9969690400590672
KIRP-4A-A93X	ACH-000282	0.9970636255562643
KIRP-4A-A93X	ACH-000729	0.9970844927367575
KIRP-4A-A93X	ACH-000812	0.9971154890438864
KIRP-4A-A93X	ACH-000159	0.9971305749669309
KIRP-4A-A93X	ACH-000548	0.9971613760339348
KIRP-4A-A93X	ACH-000322	0.997163818065177
KIRP-4A-A93X	ACH-000308	0.9971680891610435
KIRP-4A-A93X	ACH-001089	0.9971764660373161
KIRP-4A-A93X	ACH-000305	0.9971898166145241
KIRP-4A-A93X	ACH-000449	0.997190704760658
KIRP-4A-A93X	ACH-000428	0.9971948199182826
KIRP-4A-A93X	ACH-000142	0.9972030295646094
KIRP-4A-A93X	ACH-000235	0.9972143503990849
KIRP-4A-A93X	ACH-000311	0.9972288522493272
KIRP-4A-A93X	ACH-000178	0.997254523613968
KIRP-4A-A93X	ACH-000242	0.9972732309028761
KIRP-4A-A93X	ACH-000348	0.9973314987783864
KIRP-4A-A93X	ACH-000615	0.9973661350987297
KIRP-4A-A93X	ACH-000448	0.9973993011988935
KIRP-4A-A93X	ACH-001021	0.9974000098736509
KIRP-4A-A93X	ACH-000187	0.9974080702008895
KIRP-4A-A93X	ACH-000472	0.9974123086074297
KIRP-4A-A93X	ACH-000888	0.9974344337866516
KIRP-4A-A93X	ACH-000565	0.9974823075772995
KIRP-4A-A93X	ACH-000100	0.9974896240707049
KIRP-4A-A93X	ACH-000155	0.9975123802003092
KIRP-4A-A93X	ACH-000174	0.9975133271224681
KIRP-4A-A93X	ACH-000957	0.997516362896139
KIRP-4A-A93X	ACH-000614	0.9975175439007902
KIRP-4A-A93X	ACH-000755	0.9975285333265189
KIRP-4A-A93X	ACH-000196	0.9975377535220195
KIRP-4A-A93X	ACH-000236	0.997541012321987
KIRP-4A-A93X	ACH-000667	0.9975516078139709
KIRP-4A-A93X	ACH-000580	0.9975723501100818
KIRP-4A-A93X	ACH-000622	0.9976154733859723
KIRP-4A-A93X	ACH-000555	0.9976204951216057
KIRP-4A-A93X	ACH-000625	0.9976259698511705
KIRP-4A-A93X	ACH-000919	0.9976669964985874
KIRP-4A-A93X	ACH-000433	0.9976792706366071
KIRP-4A-A93X	ACH-000099	0.9976824969547967
KIRP-4A-A93X	ACH-000926	0.9976960991372078
KIRP-4A-A93X	ACH-000596	0.997705828039197
KIRP-4A-A93X	ACH-000250	0.9977083214634721
KIRP-4A-A93X	ACH-000252	0.9977331960978957
KIRP-4A-A93X	ACH-000979	0.9977426948227432
KIRP-4A-A93X	ACH-000118	0.9977527763129532
KIRP-4A-A93X	ACH-000725	0.9977541459604415
KIRP-4A-A93X	ACH-000257	0.9977591304307492
KIRP-4A-A93X	ACH-001023	0.9977790522139901
KIRP-4A-A93X	ACH-000776	0.9977795783826666
KIRP-4A-A93X	ACH-000986	0.9977873034498337
KIRP-4A-A93X	ACH-000078	0.9977907062870621
KIRP-4A-A93X	ACH-000210	0.9977966604930767
KIRP-4A-A93X	ACH-000009	0.9978005517466967
KIRP-4A-A93X	ACH-000704	0.9978042109383555
KIRP-4A-A93X	ACH-000882	0.9978046464713726
KIRP-4A-A93X	ACH-000465	0.9978114230404476
KIRP-4A-A93X	ACH-000018	0.9978120045460995
KIRP-4A-A93X	ACH-000720	0.9978121476548936
KIRP-4A-A93X	ACH-000416	0.9978176979539682
KIRP-4A-A93X	ACH-000536	0.9978209465306488
KIRP-4A-A93X	ACH-000802	0.9978242320172778
KIRP-4A-A93X	ACH-000699	0.9978264420484628
KIRP-4A-A93X	ACH-000730	0.9978271148037411
KIRP-4A-A93X	ACH-000191	0.9978278714922982
KIRP-4A-A93X	ACH-000544	0.9978301614003819
KIRP-4A-A93X	ACH-000963	0.99783498200222
KIRP-4A-A93X	ACH-000691	0.9978355135603998
KIRP-4A-A93X	ACH-000985	0.9978367478426576
KIRP-4A-A93X	ACH-000389	0.9978406713839644
KIRP-4A-A93X	ACH-000917	0.9978417547121455
KIRP-4A-A93X	ACH-000766	0.9978422347411381
KIRP-4A-A93X	ACH-000843	0.9978424119919863
KIRP-4A-A93X	ACH-000149	0.9978431112082856
KIRP-4A-A93X	ACH-000040	0.9978441329097196
KIRP-4A-A93X	ACH-000637	0.9978466496883704
KIRP-4A-A93X	ACH-000639	0.9978466780323312
KIRP-4A-A93X	ACH-000947	0.99784720485429
KIRP-4A-A93X	ACH-000818	0.9978473603574011
KIRP-4A-A93X	ACH-000451	0.9978483207757836
KIRP-4A-A93X	ACH-000819	0.9978487286470796
KIRP-4A-A93X	ACH-000352	0.9978489540033993
KIRP-4A-A93X	ACH-000186	0.9978499066601643
KIRP-4A-A93X	ACH-000940	0.9978519727608725
KIRP-4A-A93X	ACH-000399	0.9978521963229692
KIRP-4A-A93X	ACH-000892	0.9978523033247851
KIRP-4A-A93X	ACH-000514	0.9978523878640638
KIRP-4A-A93X	ACH-000903	0.9978527231765854
KIRP-4A-A93X	ACH-000562	0.9978529103324663
KIRP-4A-A93X	ACH-000145	0.9978530444387
KIRP-4A-A93X	ACH-000738	0.9978536531982471
KIRP-4A-A93X	ACH-000616	0.99785400825315
KIRP-4A-A93X	ACH-000483	0.9978543793776151
KIRP-4A-A93X	ACH-000360	0.99785489320128
KIRP-4A-A93X	ACH-000244	0.9978552360610852
KIRP-4A-A93X	ACH-000572	0.9978556793536892
KIRP-4A-A93X	ACH-000783	0.9978558792559384
KIRP-4A-A93X	ACH-000846	0.9978564718885314
KIRP-4A-A93X	ACH-000759	0.9978567180447762
KIRP-4A-A93X	ACH-000469	0.9978573547923951
KIRP-4A-A93X	ACH-000015	0.9978573864436336
KIRP-4A-A93X	ACH-000628	0.9978587512800579
KIRP-4A-A93X	ACH-000784	0.9978598430325731
KIRP-4A-A93X	ACH-000115	0.9978602263608718
KIRP-4A-A93X	ACH-000788	0.9978603229222098
KIRP-4A-A93X	ACH-000789	0.9978604749494254
KIRP-4A-A93X	ACH-000657	0.997860722277729
KIRP-4A-A93X	ACH-000021	0.9978616500281491
KIRP-4A-A93X	ACH-000264	0.9978616580151681
KIRP-4A-A93X	ACH-000434	0.9978617380762138
KIRP-4A-A93X	ACH-000228	0.9978618022574528
KIRP-4A-A93X	ACH-000558	0.9978626194940955
KIRP-4A-A93X	ACH-000211	0.9978636815225034
KIRP-4A-A93X	ACH-000890	0.9978640058776858
KIRP-4A-A93X	ACH-000706	0.9978640763596706
KIRP-4A-A93X	ACH-000680	0.9978644790045893
KIRP-4A-A93X	ACH-001189	0.9978649525501632
KIRP-4A-A93X	ACH-000823	0.9978653879805274
KIRP-4A-A93X	ACH-000976	0.9978657902145706
KIRP-4A-A93X	ACH-000878	0.997866010679202
KIRP-4A-A93X	ACH-000207	0.9978664661371571
KIRP-4A-A93X	ACH-000248	0.9978664800693103
KIRP-4A-A93X	ACH-000883	0.997867385253431
KIRP-4A-A93X	ACH-000865	0.997867708034445
KIRP-4A-A93X	ACH-001090	0.9978678945628838
KIRP-4A-A93X	ACH-000652	0.9978691269762722
KIRP-4A-A93X	ACH-000219	0.9978697103362327
KIRP-4A-A93X	ACH-000581	0.9978699483012643
KIRP-4A-A93X	ACH-000351	0.9978701204767595
KIRP-4A-A93X	ACH-000304	0.9978702516739917
KIRP-4A-A93X	ACH-000277	0.997870304654391
KIRP-4A-A93X	ACH-000475	0.9978710094323137
KIRP-4A-A93X	ACH-000677	0.9978714113261626
