case	comparison	SNF: FDA & CGC
KIRP-5P-A9JV	case-profile	0.45673677177600147
KIRP-5P-A9JV	ACH-000571	0.9974393232843184
KIRP-5P-A9JV	ACH-000115	0.9974488420289757
KIRP-5P-A9JV	ACH-000107	0.997510183313723
KIRP-5P-A9JV	ACH-000441	0.9975919219208466
KIRP-5P-A9JV	ACH-000254	0.997613133459111
KIRP-5P-A9JV	ACH-000724	0.9976159154018496
KIRP-5P-A9JV	ACH-000201	0.9976182323796486
KIRP-5P-A9JV	ACH-000181	0.9976215649477985
KIRP-5P-A9JV	ACH-000989	0.9976224807372762
KIRP-5P-A9JV	ACH-000425	0.9976257698596085
KIRP-5P-A9JV	ACH-000560	0.9976373714812318
KIRP-5P-A9JV	ACH-000483	0.9976461976359209
KIRP-5P-A9JV	ACH-001189	0.9976485146885458
KIRP-5P-A9JV	ACH-000486	0.9976495234707466
KIRP-5P-A9JV	ACH-000102	0.9976661107124655
KIRP-5P-A9JV	ACH-000577	0.9976755457486274
KIRP-5P-A9JV	ACH-000231	0.9976913477052244
KIRP-5P-A9JV	ACH-000465	0.9976995166423471
KIRP-5P-A9JV	ACH-000640	0.9977011683381133
KIRP-5P-A9JV	ACH-000991	0.9977082488448635
KIRP-5P-A9JV	ACH-000118	0.9977152326543515
KIRP-5P-A9JV	ACH-000361	0.9977153895513595
KIRP-5P-A9JV	ACH-000835	0.9977316002064688
KIRP-5P-A9JV	ACH-000078	0.9977357669341643
KIRP-5P-A9JV	ACH-000911	0.9977405488487694
KIRP-5P-A9JV	ACH-000678	0.9977417548272254
KIRP-5P-A9JV	ACH-000355	0.9977428297505572
KIRP-5P-A9JV	ACH-000570	0.9977439615797155
KIRP-5P-A9JV	ACH-000219	0.9977510694496357
KIRP-5P-A9JV	ACH-001126	0.9977712798931284
KIRP-5P-A9JV	ACH-000947	0.9977779004084211
KIRP-5P-A9JV	ACH-000155	0.9977827465685347
KIRP-5P-A9JV	ACH-000420	0.9977894940095278
KIRP-5P-A9JV	ACH-000609	0.9977971190491558
KIRP-5P-A9JV	ACH-000668	0.9977977465956535
KIRP-5P-A9JV	ACH-000290	0.9977979252256898
KIRP-5P-A9JV	ACH-000940	0.9977981573643334
KIRP-5P-A9JV	ACH-000681	0.9977991848794693
KIRP-5P-A9JV	ACH-000781	0.9978012121248052
KIRP-5P-A9JV	ACH-000018	0.997801404119649
KIRP-5P-A9JV	ACH-000544	0.9978042271901619
KIRP-5P-A9JV	ACH-000329	0.9978053553739614
KIRP-5P-A9JV	ACH-000335	0.9978055918175547
KIRP-5P-A9JV	ACH-000652	0.9978063286506407
KIRP-5P-A9JV	ACH-000569	0.9978066213978954
KIRP-5P-A9JV	ACH-000250	0.9978094155208883
KIRP-5P-A9JV	ACH-000672	0.9978102269568095
KIRP-5P-A9JV	ACH-001125	0.9978116887782312
KIRP-5P-A9JV	ACH-000353	0.9978140574869605
KIRP-5P-A9JV	ACH-000428	0.9978140584460192
KIRP-5P-A9JV	ACH-000075	0.9978160377159954
KIRP-5P-A9JV	ACH-000252	0.9978175018649276
KIRP-5P-A9JV	ACH-000094	0.9978180054211084
KIRP-5P-A9JV	ACH-000103	0.997818359701152
KIRP-5P-A9JV	ACH-000743	0.9978200767408655
KIRP-5P-A9JV	ACH-000610	0.997820225030908
KIRP-5P-A9JV	ACH-000378	0.9978208469675253
KIRP-5P-A9JV	ACH-000562	0.9978208675341101
KIRP-5P-A9JV	ACH-000530	0.9978213370528191
KIRP-5P-A9JV	ACH-000535	0.9978219437583449
KIRP-5P-A9JV	ACH-000430	0.9978221381707393
KIRP-5P-A9JV	ACH-000376	0.9978222820734394
KIRP-5P-A9JV	ACH-000309	0.9978231952172877
KIRP-5P-A9JV	ACH-000574	0.9978242156636333
KIRP-5P-A9JV	ACH-000433	0.9978243172672104
KIRP-5P-A9JV	ACH-000864	0.9978253385926137
KIRP-5P-A9JV	ACH-000489	0.9978253618352256
KIRP-5P-A9JV	ACH-000767	0.9978256260127413
KIRP-5P-A9JV	ACH-000153	0.9978257286428627
KIRP-5P-A9JV	ACH-000114	0.997826087797931
KIRP-5P-A9JV	ACH-000778	0.9978269203967167
KIRP-5P-A9JV	ACH-000480	0.9978270384884456
KIRP-5P-A9JV	ACH-000528	0.9978271930512566
KIRP-5P-A9JV	ACH-000178	0.9978280729072658
KIRP-5P-A9JV	ACH-000501	0.9978295036421894
KIRP-5P-A9JV	ACH-000222	0.9978295981792253
KIRP-5P-A9JV	ACH-000663	0.9978304612446506
KIRP-5P-A9JV	ACH-000457	0.9978326985369536
KIRP-5P-A9JV	ACH-000769	0.997832755186385
KIRP-5P-A9JV	ACH-000159	0.9978343069322868
KIRP-5P-A9JV	ACH-000957	0.9978346982965629
KIRP-5P-A9JV	ACH-000482	0.99783470617411
KIRP-5P-A9JV	ACH-000132	0.9978353123398306
KIRP-5P-A9JV	ACH-000633	0.9978356773740013
KIRP-5P-A9JV	ACH-000800	0.9978372009455188
KIRP-5P-A9JV	ACH-000596	0.9978385354702226
KIRP-5P-A9JV	ACH-000830	0.9978388080676182
KIRP-5P-A9JV	ACH-000223	0.9978390247234967
KIRP-5P-A9JV	ACH-000772	0.99783948452289
KIRP-5P-A9JV	ACH-000188	0.9978406462518847
KIRP-5P-A9JV	ACH-000496	0.9978410266387758
KIRP-5P-A9JV	ACH-000589	0.9978411296051481
KIRP-5P-A9JV	ACH-000740	0.9978414596425066
KIRP-5P-A9JV	ACH-000826	0.9978415270755171
KIRP-5P-A9JV	ACH-000470	0.9978415603837639
KIRP-5P-A9JV	ACH-000476	0.9978433205928066
KIRP-5P-A9JV	ACH-000599	0.997843330564512
KIRP-5P-A9JV	ACH-000484	0.9978433921744152
KIRP-5P-A9JV	ACH-000858	0.9978451232757787
KIRP-5P-A9JV	ACH-000966	0.9978476712994045
KIRP-5P-A9JV	ACH-000547	0.99785250219924
KIRP-5P-A9JV	ACH-000894	0.997856081747441
KIRP-5P-A9JV	ACH-000062	0.997857961003992
KIRP-5P-A9JV	ACH-000798	0.9978610799550469
KIRP-5P-A9JV	ACH-000624	0.997864081276469
KIRP-5P-A9JV	ACH-000878	0.9978650546331973
KIRP-5P-A9JV	ACH-000211	0.997867814652707
KIRP-5P-A9JV	ACH-000111	0.9978704020611466
KIRP-5P-A9JV	ACH-000008	0.9978709465433745
KIRP-5P-A9JV	ACH-000341	0.9978719527319997
KIRP-5P-A9JV	ACH-001016	0.9978776089331148
KIRP-5P-A9JV	ACH-000998	0.9978776759147385
KIRP-5P-A9JV	ACH-000311	0.997878972160798
KIRP-5P-A9JV	ACH-000555	0.9978801249410286
KIRP-5P-A9JV	ACH-000689	0.9978807410096925
KIRP-5P-A9JV	ACH-000389	0.9978810823278221
KIRP-5P-A9JV	ACH-000161	0.997882368928187
KIRP-5P-A9JV	ACH-000238	0.9978828425981038
KIRP-5P-A9JV	ACH-000949	0.9978830582703365
KIRP-5P-A9JV	ACH-000401	0.9978838737241524
KIRP-5P-A9JV	ACH-000962	0.997884638151885
KIRP-5P-A9JV	ACH-000716	0.9978861716118307
KIRP-5P-A9JV	ACH-000759	0.9978864278347408
KIRP-5P-A9JV	ACH-000747	0.9978872206463721
KIRP-5P-A9JV	ACH-000366	0.997887266772747
KIRP-5P-A9JV	ACH-000775	0.9978893753167333
KIRP-5P-A9JV	ACH-000693	0.9978894050701385
KIRP-5P-A9JV	ACH-000394	0.997889963970006
KIRP-5P-A9JV	ACH-000738	0.997890052886465
KIRP-5P-A9JV	ACH-000099	0.9978901108983035
KIRP-5P-A9JV	ACH-000525	0.9978902232542897
KIRP-5P-A9JV	ACH-000348	0.9978902727847437
KIRP-5P-A9JV	ACH-000298	0.997891733346772
KIRP-5P-A9JV	ACH-000451	0.9978919972457893
KIRP-5P-A9JV	ACH-000364	0.9978924440103677
KIRP-5P-A9JV	ACH-000450	0.9978928738226378
KIRP-5P-A9JV	ACH-000510	0.9978929962980844
KIRP-5P-A9JV	ACH-000926	0.9978932356383838
KIRP-5P-A9JV	ACH-000625	0.9978936892317976
KIRP-5P-A9JV	ACH-000669	0.997893834286591
KIRP-5P-A9JV	ACH-000265	0.9978943091945045
KIRP-5P-A9JV	ACH-000857	0.9978948758530602
KIRP-5P-A9JV	ACH-000595	0.9978949249229822
KIRP-5P-A9JV	ACH-000971	0.9978952789326604
KIRP-5P-A9JV	ACH-000391	0.9978955358318844
KIRP-5P-A9JV	ACH-000585	0.9978955500965307
KIRP-5P-A9JV	ACH-000145	0.9978958789285616
KIRP-5P-A9JV	ACH-000970	0.9978966701368754
KIRP-5P-A9JV	ACH-000098	0.9978974159385104
KIRP-5P-A9JV	ACH-000121	0.997897446578505
KIRP-5P-A9JV	ACH-000776	0.9978977796981389
KIRP-5P-A9JV	ACH-000087	0.9978977828191019
KIRP-5P-A9JV	ACH-000605	0.9978978950693665
KIRP-5P-A9JV	ACH-000638	0.9978988641429366
KIRP-5P-A9JV	ACH-000374	0.9978989069885208
KIRP-5P-A9JV	ACH-000749	0.997899024224958
KIRP-5P-A9JV	ACH-000752	0.9978993590022803
KIRP-5P-A9JV	ACH-000688	0.9978993753297349
KIRP-5P-A9JV	ACH-000067	0.9978994069496622
KIRP-5P-A9JV	ACH-000621	0.997899567825304
KIRP-5P-A9JV	ACH-000139	0.9978996422544034
