case	comparison	SNF: FDA & CGC
KIRP-5P-A9KA	case-profile	0.4566382223420462
KIRP-5P-A9KA	ACH-000433	0.9974924607854191
KIRP-5P-A9KA	ACH-000102	0.9975316775511451
KIRP-5P-A9KA	ACH-000555	0.9975361138160082
KIRP-5P-A9KA	ACH-000689	0.9975756832627413
KIRP-5P-A9KA	ACH-000201	0.9975845268353404
KIRP-5P-A9KA	ACH-000353	0.997589055037512
KIRP-5P-A9KA	ACH-001016	0.9976011549437183
KIRP-5P-A9KA	ACH-000442	0.9976027066409554
KIRP-5P-A9KA	ACH-000894	0.9976139286857298
KIRP-5P-A9KA	ACH-000989	0.9976186744707968
KIRP-5P-A9KA	ACH-000149	0.9976294793667446
KIRP-5P-A9KA	ACH-000463	0.9976413413726629
KIRP-5P-A9KA	ACH-000349	0.9976544012538698
KIRP-5P-A9KA	ACH-000361	0.9976583418171022
KIRP-5P-A9KA	ACH-000457	0.9976709813073014
KIRP-5P-A9KA	ACH-000719	0.997699803604493
KIRP-5P-A9KA	ACH-000991	0.9977017954205963
KIRP-5P-A9KA	ACH-000755	0.9977040052434101
KIRP-5P-A9KA	ACH-000571	0.9977191361099659
KIRP-5P-A9KA	ACH-000835	0.9977245705746045
KIRP-5P-A9KA	ACH-000911	0.9977333018635447
KIRP-5P-A9KA	ACH-000704	0.9977419016443866
KIRP-5P-A9KA	ACH-000570	0.9977462293195362
KIRP-5P-A9KA	ACH-000355	0.9977484884206462
KIRP-5P-A9KA	ACH-000078	0.9977528325774778
KIRP-5P-A9KA	ACH-001021	0.9977591883822812
KIRP-5P-A9KA	ACH-000087	0.9977624845827513
KIRP-5P-A9KA	ACH-000322	0.9977682092534644
KIRP-5P-A9KA	ACH-000569	0.9977710156011179
KIRP-5P-A9KA	ACH-001126	0.9977753097388042
KIRP-5P-A9KA	ACH-000235	0.9977846305845366
KIRP-5P-A9KA	ACH-000217	0.9977852637086062
KIRP-5P-A9KA	ACH-000947	0.9977867162514441
KIRP-5P-A9KA	ACH-000335	0.997792284703912
KIRP-5P-A9KA	ACH-000428	0.9977925764595583
KIRP-5P-A9KA	ACH-000452	0.9977934699246217
KIRP-5P-A9KA	ACH-000816	0.9977937455150795
KIRP-5P-A9KA	ACH-000940	0.997795101818506
KIRP-5P-A9KA	ACH-000018	0.9977979881747858
KIRP-5P-A9KA	ACH-000486	0.9978001301585188
KIRP-5P-A9KA	ACH-000681	0.9978015886641143
KIRP-5P-A9KA	ACH-000535	0.9978057038225081
KIRP-5P-A9KA	ACH-000219	0.9978069062733032
KIRP-5P-A9KA	ACH-000103	0.9978071550156883
KIRP-5P-A9KA	ACH-000781	0.9978076468315487
