case	comparison	SNF: FDA & CGC
KIRP-5P-A9KC	case-profile	0.4555489441394195
KIRP-5P-A9KC	ACH-000428	0.9960598593809076
KIRP-5P-A9KC	ACH-000802	0.9962163224067705
KIRP-5P-A9KC	ACH-000775	0.9962166090728048
KIRP-5P-A9KC	ACH-000425	0.9969580429679545
KIRP-5P-A9KC	ACH-000693	0.9972616103786867
KIRP-5P-A9KC	ACH-000616	0.9973634791095365
KIRP-5P-A9KC	ACH-000506	0.9973710866254086
KIRP-5P-A9KC	ACH-000674	0.9973718089741651
KIRP-5P-A9KC	ACH-000394	0.9973763135974352
KIRP-5P-A9KC	ACH-000392	0.9973863702787709
KIRP-5P-A9KC	ACH-000147	0.997406553079501
KIRP-5P-A9KC	ACH-000772	0.9974293374241336
KIRP-5P-A9KC	ACH-000691	0.9974295849752385
KIRP-5P-A9KC	ACH-000548	0.9974486214103556
KIRP-5P-A9KC	ACH-000873	0.9974597021978446
KIRP-5P-A9KC	ACH-000171	0.9974643336148761
KIRP-5P-A9KC	ACH-001233	0.997464581144924
KIRP-5P-A9KC	ACH-000780	0.9974829147560287
KIRP-5P-A9KC	ACH-000857	0.9975398908103855
KIRP-5P-A9KC	ACH-000408	0.9975436780340563
KIRP-5P-A9KC	ACH-000356	0.9975446230012562
KIRP-5P-A9KC	ACH-000713	0.997575513965084
KIRP-5P-A9KC	ACH-000883	0.9975764573507302
KIRP-5P-A9KC	ACH-000699	0.9975972991454876
KIRP-5P-A9KC	ACH-000784	0.9975989947522691
KIRP-5P-A9KC	ACH-000858	0.997601248213077
KIRP-5P-A9KC	ACH-000569	0.9976149635668771
KIRP-5P-A9KC	ACH-000395	0.9976201973977655
KIRP-5P-A9KC	ACH-000403	0.9976206160299614
KIRP-5P-A9KC	ACH-000189	0.9976276159170936
KIRP-5P-A9KC	ACH-000322	0.9976307812613752
KIRP-5P-A9KC	ACH-000749	0.9976319683003829
KIRP-5P-A9KC	ACH-000890	0.9976401216905997
KIRP-5P-A9KC	ACH-000766	0.9976437921504476
KIRP-5P-A9KC	ACH-000747	0.9976466541797482
KIRP-5P-A9KC	ACH-000399	0.9976481304126297
KIRP-5P-A9KC	ACH-000496	0.9976523460430843
KIRP-5P-A9KC	ACH-000452	0.9976552315910484
KIRP-5P-A9KC	ACH-000848	0.9976657299932076
KIRP-5P-A9KC	ACH-000360	0.9976726808973737
KIRP-5P-A9KC	ACH-000192	0.9976781000377193
KIRP-5P-A9KC	ACH-000584	0.9976801807470967
KIRP-5P-A9KC	ACH-000396	0.9976977190786033
