case	comparison	SNF: FDA & CGC
KIRP-5P-A9KE	case-profile	0.457477064108065
KIRP-5P-A9KE	ACH-000572	0.9967982388075508
KIRP-5P-A9KE	ACH-000200	0.9969307614586117
KIRP-5P-A9KE	ACH-000437	0.9970695817479781
KIRP-5P-A9KE	ACH-000640	0.9972445044677966
KIRP-5P-A9KE	ACH-000457	0.9973298844941326
KIRP-5P-A9KE	ACH-000055	0.9973686892372278
KIRP-5P-A9KE	ACH-000186	0.9973797639375702
KIRP-5P-A9KE	ACH-000689	0.9973835478851719
KIRP-5P-A9KE	ACH-001125	0.9974155714448483
KIRP-5P-A9KE	ACH-000450	0.9974160976471379
KIRP-5P-A9KE	ACH-000176	0.9974189273252236
KIRP-5P-A9KE	ACH-000903	0.9974536884393723
KIRP-5P-A9KE	ACH-000211	0.9974907866768113
KIRP-5P-A9KE	ACH-000625	0.9975010446414565
KIRP-5P-A9KE	ACH-001151	0.9975083542293885
KIRP-5P-A9KE	ACH-000825	0.9975201645554942
KIRP-5P-A9KE	ACH-000376	0.9975251541260143
KIRP-5P-A9KE	ACH-000423	0.9975485782526752
KIRP-5P-A9KE	ACH-000389	0.9975519750099834
KIRP-5P-A9KE	ACH-000231	0.9975732567669903
KIRP-5P-A9KE	ACH-000075	0.9975875004200873
KIRP-5P-A9KE	ACH-000566	0.9976175895294006
KIRP-5P-A9KE	ACH-000008	0.997626168728464
KIRP-5P-A9KE	ACH-000811	0.9976287697626183
KIRP-5P-A9KE	ACH-000109	0.997634161698632
KIRP-5P-A9KE	ACH-000469	0.9976448425061865
KIRP-5P-A9KE	ACH-000129	0.997651128664249
KIRP-5P-A9KE	ACH-000067	0.9976627428078804
KIRP-5P-A9KE	ACH-000319	0.9976664245161753
KIRP-5P-A9KE	ACH-000522	0.9976734003550968
KIRP-5P-A9KE	ACH-000249	0.9976862426160579
KIRP-5P-A9KE	ACH-000082	0.997692135987315
KIRP-5P-A9KE	ACH-000496	0.9977171723271763
KIRP-5P-A9KE	ACH-000001	0.9977217927809664
KIRP-5P-A9KE	ACH-000827	0.9977416906116987
KIRP-5P-A9KE	ACH-001021	0.9977444839576117
KIRP-5P-A9KE	ACH-000571	0.9977481380726703
KIRP-5P-A9KE	ACH-000544	0.997772936374564
KIRP-5P-A9KE	ACH-001016	0.997776249168642
KIRP-5P-A9KE	ACH-001126	0.9977853565494472
KIRP-5P-A9KE	ACH-000449	0.9977868628347077
KIRP-5P-A9KE	ACH-000475	0.9977984315906585
KIRP-5P-A9KE	ACH-000585	0.9978027267312128
KIRP-5P-A9KE	ACH-000738	0.997803248363768
KIRP-5P-A9KE	ACH-000420	0.9978036092530083
KIRP-5P-A9KE	ACH-000353	0.9978037440019204
KIRP-5P-A9KE	ACH-000354	0.9978058780468058
KIRP-5P-A9KE	ACH-000322	0.997808745141447
KIRP-5P-A9KE	ACH-000114	0.9978090522160973
KIRP-5P-A9KE	ACH-000668	0.9978122530065712
KIRP-5P-A9KE	ACH-000484	0.9978133332961826
KIRP-5P-A9KE	ACH-000132	0.997813998817708
KIRP-5P-A9KE	ACH-000430	0.9978146218240883
KIRP-5P-A9KE	ACH-000355	0.9978158157115657
KIRP-5P-A9KE	ACH-000574	0.9978176265544424
KIRP-5P-A9KE	ACH-000103	0.9978180973990776
KIRP-5P-A9KE	ACH-000480	0.997819535716593
KIRP-5P-A9KE	ACH-000329	0.9978200449174791
KIRP-5P-A9KE	ACH-000159	0.9978217418649352
KIRP-5P-A9KE	ACH-000018	0.9978224405608479
KIRP-5P-A9KE	ACH-000102	0.9978236040133391
KIRP-5P-A9KE	ACH-000433	0.9978239310400633
KIRP-5P-A9KE	ACH-000378	0.9978249787809547
KIRP-5P-A9KE	ACH-000201	0.9978263567508272
KIRP-5P-A9KE	ACH-000250	0.9978266424210976
KIRP-5P-A9KE	ACH-000530	0.9978271999519971
KIRP-5P-A9KE	ACH-000094	0.99782802168277
KIRP-5P-A9KE	ACH-000633	0.9978309019743715
KIRP-5P-A9KE	ACH-000767	0.9978310586305916
KIRP-5P-A9KE	ACH-000569	0.9978312417494879
KIRP-5P-A9KE	ACH-000610	0.9978320660951323
KIRP-5P-A9KE	ACH-000309	0.997833845326086
KIRP-5P-A9KE	ACH-000188	0.9978345068965621
KIRP-5P-A9KE	ACH-000528	0.997834609544668
KIRP-5P-A9KE	ACH-000830	0.9978351711775899
KIRP-5P-A9KE	ACH-000476	0.9978358204581933
KIRP-5P-A9KE	ACH-000778	0.997836218285378
KIRP-5P-A9KE	ACH-000470	0.9978370147309532
KIRP-5P-A9KE	ACH-000335	0.9978373599263184
KIRP-5P-A9KE	ACH-000599	0.9978376401413215
KIRP-5P-A9KE	ACH-000535	0.9978383289543251
KIRP-5P-A9KE	ACH-000743	0.9978386628362323
KIRP-5P-A9KE	ACH-000486	0.9978395848534639
KIRP-5P-A9KE	ACH-000489	0.9978400592494767
