case	comparison	SNF: FDA & CGC
KIRP-5P-A9KH	case-profile	0.4567715797956945
KIRP-5P-A9KH	ACH-000716	0.9974736117764299
KIRP-5P-A9KH	ACH-000772	0.9975202021346621
KIRP-5P-A9KH	ACH-000355	0.9975230596657562
KIRP-5P-A9KH	ACH-000480	0.9975280709297673
KIRP-5P-A9KH	ACH-000223	0.9975396826240538
KIRP-5P-A9KH	ACH-000361	0.9975540641938199
KIRP-5P-A9KH	ACH-000991	0.9975601166496048
KIRP-5P-A9KH	ACH-000188	0.9975759529599315
KIRP-5P-A9KH	ACH-000570	0.9975997972083901
KIRP-5P-A9KH	ACH-000655	0.9976211917376099
KIRP-5P-A9KH	ACH-000082	0.9976240973756005
KIRP-5P-A9KH	ACH-000396	0.9976257146281428
KIRP-5P-A9KH	ACH-000115	0.9976371356827074
KIRP-5P-A9KH	ACH-000989	0.9976378909817208
KIRP-5P-A9KH	ACH-000483	0.9976512520965881
KIRP-5P-A9KH	ACH-000561	0.9976527525170353
KIRP-5P-A9KH	ACH-000030	0.9976534967012951
KIRP-5P-A9KH	ACH-000574	0.9976564389147106
KIRP-5P-A9KH	ACH-001089	0.9976585781832837
KIRP-5P-A9KH	ACH-001125	0.9976810496542422
KIRP-5P-A9KH	ACH-000047	0.9976868227491217
KIRP-5P-A9KH	ACH-000102	0.9976926298752377
KIRP-5P-A9KH	ACH-000035	0.9977077865043003
KIRP-5P-A9KH	ACH-000427	0.9977105704146222
KIRP-5P-A9KH	ACH-000562	0.9977121264363362
KIRP-5P-A9KH	ACH-000457	0.9977222954735718
KIRP-5P-A9KH	ACH-001016	0.9977321916003542
KIRP-5P-A9KH	ACH-000290	0.9977425312149708
KIRP-5P-A9KH	ACH-000596	0.9977537885686293
KIRP-5P-A9KH	ACH-000138	0.9977620861599794
KIRP-5P-A9KH	ACH-000433	0.9977766793554739
KIRP-5P-A9KH	ACH-000633	0.9977786386912708
KIRP-5P-A9KH	ACH-000569	0.997779613733274
KIRP-5P-A9KH	ACH-000780	0.9977815403948126
KIRP-5P-A9KH	ACH-000201	0.9977857207960946
KIRP-5P-A9KH	ACH-000866	0.997786812464831
KIRP-5P-A9KH	ACH-000668	0.9977886445486088
KIRP-5P-A9KH	ACH-000743	0.9977961345723867
KIRP-5P-A9KH	ACH-000242	0.9977963148919399
KIRP-5P-A9KH	ACH-000335	0.9977967540305246
KIRP-5P-A9KH	ACH-000610	0.9977997180554043
KIRP-5P-A9KH	ACH-000103	0.9978015184993677
KIRP-5P-A9KH	ACH-000395	0.9978063735218676
KIRP-5P-A9KH	ACH-000486	0.997806934194763
KIRP-5P-A9KH	ACH-000018	0.9978082567696621
KIRP-5P-A9KH	ACH-000155	0.9978097279599396
KIRP-5P-A9KH	ACH-000231	0.9978097833549738
KIRP-5P-A9KH	ACH-000778	0.9978131679999244
KIRP-5P-A9KH	ACH-000691	0.9978147873231029
KIRP-5P-A9KH	ACH-000589	0.9978151156322769
KIRP-5P-A9KH	ACH-000769	0.9978152795537597
KIRP-5P-A9KH	ACH-000858	0.997815424228862
KIRP-5P-A9KH	ACH-000309	0.9978154438033975
KIRP-5P-A9KH	ACH-000094	0.9978156854483935
KIRP-5P-A9KH	ACH-000222	0.9978158601520544
KIRP-5P-A9KH	ACH-000544	0.9978159016734253
KIRP-5P-A9KH	ACH-000252	0.997817915151874
KIRP-5P-A9KH	ACH-000430	0.9978185276467924
KIRP-5P-A9KH	ACH-000153	0.9978191376174844
KIRP-5P-A9KH	ACH-000530	0.9978192815186098
KIRP-5P-A9KH	ACH-000681	0.9978193622989816
KIRP-5P-A9KH	ACH-000250	0.9978213401710532
KIRP-5P-A9KH	ACH-000376	0.997821588878001
KIRP-5P-A9KH	ACH-000132	0.9978221939193097
KIRP-5P-A9KH	ACH-000075	0.9978226467609049
KIRP-5P-A9KH	ACH-000528	0.9978246522906176
KIRP-5P-A9KH	ACH-000159	0.9978250052790436
KIRP-5P-A9KH	ACH-000740	0.9978250679063144
KIRP-5P-A9KH	ACH-000114	0.9978251128259723
KIRP-5P-A9KH	ACH-000781	0.9978252954781169
KIRP-5P-A9KH	ACH-000489	0.9978262200172429
KIRP-5P-A9KH	ACH-000496	0.9978280750155896
KIRP-5P-A9KH	ACH-000652	0.9978296536146187
KIRP-5P-A9KH	ACH-000178	0.997829705641903
KIRP-5P-A9KH	ACH-000147	0.9978307660343381
KIRP-5P-A9KH	ACH-000378	0.9978308061062535
KIRP-5P-A9KH	ACH-000107	0.9978309142749927
KIRP-5P-A9KH	ACH-000329	0.9978313741519133
KIRP-5P-A9KH	ACH-000470	0.997831631997327
KIRP-5P-A9KH	ACH-000420	0.9978320422513436
KIRP-5P-A9KH	ACH-000535	0.99783265776486
KIRP-5P-A9KH	ACH-000800	0.9978337416809736
KIRP-5P-A9KH	ACH-000353	0.9978349646603795
KIRP-5P-A9KH	ACH-000476	0.9978360369859801
KIRP-5P-A9KH	ACH-000609	0.9978361117744995
KIRP-5P-A9KH	ACH-000767	0.9978365180825823
KIRP-5P-A9KH	ACH-000501	0.9978368361522816
KIRP-5P-A9KH	ACH-000482	0.9978370290599067
KIRP-5P-A9KH	ACH-000830	0.9978385203098352
KIRP-5P-A9KH	ACH-000599	0.9978386534602992
KIRP-5P-A9KH	ACH-000484	0.9978391643260663
