case	comparison	SNF: FDA & CGC
KIRP-A4-7286	case-profile	0.45672904822440297
KIRP-A4-7286	ACH-000433	0.9969438958888606
KIRP-A4-7286	ACH-000099	0.9970973387200771
KIRP-A4-7286	ACH-000181	0.9972760362158614
KIRP-A4-7286	ACH-000730	0.997318031935873
KIRP-A4-7286	ACH-000353	0.9975307000639272
KIRP-A4-7286	ACH-000769	0.9975435398785206
KIRP-A4-7286	ACH-001089	0.9975600096088968
KIRP-A4-7286	ACH-000881	0.9976258752515434
KIRP-A4-7286	ACH-000343	0.9976492659293855
KIRP-A4-7286	ACH-000530	0.9976708379407141
KIRP-A4-7286	ACH-000569	0.997674742147428
KIRP-A4-7286	ACH-000178	0.9976772693103972
KIRP-A4-7286	ACH-000361	0.9976775822659334
KIRP-A4-7286	ACH-000075	0.9976898929897431
KIRP-A4-7286	ACH-000816	0.9977028992168218
KIRP-A4-7286	ACH-000719	0.9977066450067176
KIRP-A4-7286	ACH-000665	0.9977092654541968
KIRP-A4-7286	ACH-000625	0.9977441147765505
KIRP-A4-7286	ACH-000585	0.997753626627942
KIRP-A4-7286	ACH-000129	0.99775437694543
KIRP-A4-7286	ACH-000322	0.9977711346655221
KIRP-A4-7286	ACH-000609	0.9977727819838972
KIRP-A4-7286	ACH-000457	0.9977755012875577
KIRP-A4-7286	ACH-000349	0.9977755058287225
KIRP-A4-7286	ACH-000355	0.9977800601150394
KIRP-A4-7286	ACH-000756	0.9977817936680441
KIRP-A4-7286	ACH-000201	0.997788718981655
KIRP-A4-7286	ACH-000265	0.9977891737838592
KIRP-A4-7286	ACH-000476	0.9977952003522149
KIRP-A4-7286	ACH-001125	0.9977969569696565
KIRP-A4-7286	ACH-000329	0.9978002625504147
KIRP-A4-7286	ACH-000018	0.9978014858763966
KIRP-A4-7286	ACH-000223	0.9978040439929722
KIRP-A4-7286	ACH-000335	0.9978076404317401
KIRP-A4-7286	ACH-000910	0.9978077466747759
KIRP-A4-7286	ACH-000132	0.9978090816398102
KIRP-A4-7286	ACH-000596	0.9978093303239687
KIRP-A4-7286	ACH-000610	0.9978097467551478
KIRP-A4-7286	ACH-000250	0.9978109752603121
KIRP-A4-7286	ACH-000528	0.9978116187280358
KIRP-A4-7286	ACH-000424	0.997813238803309
KIRP-A4-7286	ACH-000153	0.9978142937400126
KIRP-A4-7286	ACH-000149	0.997815168283374
KIRP-A4-7286	ACH-000501	0.9978153719294067
KIRP-A4-7286	ACH-000535	0.9978181637725955
KIRP-A4-7286	ACH-000189	0.9978185100884258
KIRP-A4-7286	ACH-000681	0.997819034472396
KIRP-A4-7286	ACH-000352	0.9978195577326072
KIRP-A4-7286	ACH-000633	0.9978206155470813
KIRP-A4-7286	ACH-000159	0.9978209569252771
KIRP-A4-7286	ACH-000103	0.9978214687824982
KIRP-A4-7286	ACH-000102	0.9978227435014807
KIRP-A4-7286	ACH-000544	0.9978229227692357
KIRP-A4-7286	ACH-000772	0.9978231536550353
KIRP-A4-7286	ACH-000480	0.9978232488885231
KIRP-A4-7286	ACH-000078	0.997823475362412
KIRP-A4-7286	ACH-000830	0.9978236181006863
KIRP-A4-7286	ACH-000800	0.9978241262306856
KIRP-A4-7286	ACH-000378	0.9978242513329038
KIRP-A4-7286	ACH-000482	0.9978245794401596
KIRP-A4-7286	ACH-000430	0.9978263899395594
KIRP-A4-7286	ACH-000309	0.9978268317675669
