case	comparison	SNF: FDA & CGC
KIRP-A4-A48D	case-profile	0.456556709870496
KIRP-A4-A48D	ACH-000018	0.9975222081679287
KIRP-A4-A48D	ACH-000075	0.9975304884255426
KIRP-A4-A48D	ACH-000486	0.9975340779674252
KIRP-A4-A48D	ACH-000102	0.997536311227487
KIRP-A4-A48D	ACH-000103	0.9975660432409834
KIRP-A4-A48D	ACH-000129	0.9975989844653127
KIRP-A4-A48D	ACH-000201	0.997605820617109
KIRP-A4-A48D	ACH-000989	0.9976134032962787
KIRP-A4-A48D	ACH-000643	0.9976391828809784
KIRP-A4-A48D	ACH-000319	0.9976579861194342
KIRP-A4-A48D	ACH-000353	0.9976836000564726
KIRP-A4-A48D	ACH-000496	0.997684608680026
KIRP-A4-A48D	ACH-000231	0.9976901535104431
KIRP-A4-A48D	ACH-000991	0.9976964435899873
KIRP-A4-A48D	ACH-000361	0.9976978308178035
KIRP-A4-A48D	ACH-000778	0.9977061845273703
KIRP-A4-A48D	ACH-000704	0.9977066181600734
KIRP-A4-A48D	ACH-000570	0.9977086002699592
KIRP-A4-A48D	ACH-000355	0.9977114945072567
KIRP-A4-A48D	ACH-000835	0.9977252238095926
KIRP-A4-A48D	ACH-000571	0.9977264550086709
KIRP-A4-A48D	ACH-000911	0.9977298206930809
KIRP-A4-A48D	ACH-000663	0.997734297390969
KIRP-A4-A48D	ACH-000078	0.997737444883454
KIRP-A4-A48D	ACH-001021	0.9977417584705928
KIRP-A4-A48D	ACH-000212	0.9977493274326366
KIRP-A4-A48D	ACH-000441	0.9977597183242695
KIRP-A4-A48D	ACH-000219	0.9977613886616985
KIRP-A4-A48D	ACH-000311	0.9977644167830898
KIRP-A4-A48D	ACH-000142	0.9977663224448913
KIRP-A4-A48D	ACH-000947	0.9977693045046361
KIRP-A4-A48D	ACH-001126	0.9977705738730873
KIRP-A4-A48D	ACH-000569	0.9977893972470864
KIRP-A4-A48D	ACH-000940	0.9977918399664475
KIRP-A4-A48D	ACH-001125	0.9977985977317394
KIRP-A4-A48D	ACH-000561	0.9978012178370385
KIRP-A4-A48D	ACH-000535	0.9978035238927858
KIRP-A4-A48D	ACH-000562	0.9978036622912598
KIRP-A4-A48D	ACH-000188	0.9978051117230456
KIRP-A4-A48D	ACH-000781	0.9978052635972253
KIRP-A4-A48D	ACH-000681	0.99780687652246
KIRP-A4-A48D	ACH-000335	0.9978087909074722
KIRP-A4-A48D	ACH-000530	0.9978089215866816
KIRP-A4-A48D	ACH-000309	0.9978102080529343
KIRP-A4-A48D	ACH-000420	0.9978128255002578
KIRP-A4-A48D	ACH-000159	0.9978137430318639
KIRP-A4-A48D	ACH-000428	0.9978140986584402
KIRP-A4-A48D	ACH-000610	0.9978144169272142
KIRP-A4-A48D	ACH-000589	0.9978155020247427
KIRP-A4-A48D	ACH-000668	0.9978165295434638
KIRP-A4-A48D	ACH-000769	0.9978180161085697
KIRP-A4-A48D	ACH-000329	0.9978190402907919
KIRP-A4-A48D	ACH-000114	0.997819231704309
KIRP-A4-A48D	ACH-000574	0.9978206933554005
KIRP-A4-A48D	ACH-000376	0.997821135599561
KIRP-A4-A48D	ACH-000544	0.9978213624773838
KIRP-A4-A48D	ACH-000652	0.9978214821836703
KIRP-A4-A48D	ACH-000378	0.9978216767132089
KIRP-A4-A48D	ACH-000107	0.997821812969701
KIRP-A4-A48D	ACH-000153	0.9978219311900162
KIRP-A4-A48D	ACH-000457	0.9978219527519157
KIRP-A4-A48D	ACH-000743	0.9978234416942042
KIRP-A4-A48D	ACH-000223	0.9978237658236475
KIRP-A4-A48D	ACH-000864	0.9978238522576914
KIRP-A4-A48D	ACH-000480	0.9978238739523672
KIRP-A4-A48D	ACH-000633	0.9978242390422618
KIRP-A4-A48D	ACH-000599	0.9978243783899275
KIRP-A4-A48D	ACH-000476	0.9978252759930487
KIRP-A4-A48D	ACH-000470	0.9978253516018978
KIRP-A4-A48D	ACH-000250	0.9978255218311763
KIRP-A4-A48D	ACH-000528	0.9978257114709892
KIRP-A4-A48D	ACH-000501	0.9978260730485982
KIRP-A4-A48D	ACH-000433	0.9978261121948162
KIRP-A4-A48D	ACH-000740	0.9978261466161292
KIRP-A4-A48D	ACH-000957	0.9978270246958445
KIRP-A4-A48D	ACH-000178	0.9978286562112242
KIRP-A4-A48D	ACH-000609	0.9978290420781216
KIRP-A4-A48D	ACH-000430	0.997829065967124
KIRP-A4-A48D	ACH-000489	0.9978318087109357
KIRP-A4-A48D	ACH-000800	0.9978323753621725
KIRP-A4-A48D	ACH-000222	0.9978335709786336
KIRP-A4-A48D	ACH-000155	0.9978340576255321
KIRP-A4-A48D	ACH-000482	0.9978343230666212
KIRP-A4-A48D	ACH-000132	0.997834544344823
KIRP-A4-A48D	ACH-000767	0.9978350505826
KIRP-A4-A48D	ACH-000830	0.9978361936906622
KIRP-A4-A48D	ACH-000252	0.9978366306351532
KIRP-A4-A48D	ACH-000966	0.997837575949459
KIRP-A4-A48D	ACH-000484	0.9978375816782769
KIRP-A4-A48D	ACH-000169	0.9978376389150145
KIRP-A4-A48D	ACH-000772	0.9978377434900753
KIRP-A4-A48D	ACH-000826	0.9978379491525375
KIRP-A4-A48D	ACH-000094	0.9978386693380604
KIRP-A4-A48D	ACH-000858	0.997842481907706
KIRP-A4-A48D	ACH-000798	0.9978573918485243
KIRP-A4-A48D	ACH-000596	0.9978626139867415
KIRP-A4-A48D	ACH-000878	0.9978666835429284
