case	comparison	SNF: FDA & CGC
KIRP-A4-A4ZT	case-profile	0.4570298582118665
KIRP-A4-A4ZT	ACH-001125	0.9965277706527297
KIRP-A4-A4ZT	ACH-000625	0.9970858081514568
KIRP-A4-A4ZT	ACH-000827	0.9972644547531843
KIRP-A4-A4ZT	ACH-000457	0.9973333049909272
KIRP-A4-A4ZT	ACH-000389	0.9973621955622769
KIRP-A4-A4ZT	ACH-000401	0.9973929174091526
KIRP-A4-A4ZT	ACH-000823	0.9974756661027179
KIRP-A4-A4ZT	ACH-000738	0.9974770706149783
KIRP-A4-A4ZT	ACH-000665	0.9975645005780991
KIRP-A4-A4ZT	ACH-000881	0.9975684165971841
KIRP-A4-A4ZT	ACH-000587	0.9975890425461076
KIRP-A4-A4ZT	ACH-000628	0.997611484549684
KIRP-A4-A4ZT	ACH-000098	0.9976217641030488
KIRP-A4-A4ZT	ACH-000491	0.9976394635441994
KIRP-A4-A4ZT	ACH-000438	0.9976492611441481
KIRP-A4-A4ZT	ACH-000595	0.9976551351755149
KIRP-A4-A4ZT	ACH-000449	0.9976626780695985
KIRP-A4-A4ZT	ACH-000569	0.9976645653693899
KIRP-A4-A4ZT	ACH-000075	0.9976743966178718
KIRP-A4-A4ZT	ACH-000178	0.9976969858717061
KIRP-A4-A4ZT	ACH-000756	0.9977104512474932
KIRP-A4-A4ZT	ACH-000361	0.9977107441789479
KIRP-A4-A4ZT	ACH-000572	0.9977158875881186
KIRP-A4-A4ZT	ACH-000376	0.9977185996218312
KIRP-A4-A4ZT	ACH-000129	0.9977421305228419
KIRP-A4-A4ZT	ACH-000200	0.9977499809666154
KIRP-A4-A4ZT	ACH-000463	0.997756949930727
KIRP-A4-A4ZT	ACH-000442	0.997763166666087
KIRP-A4-A4ZT	ACH-001090	0.9977655014890632
KIRP-A4-A4ZT	ACH-000099	0.9977688635358576
KIRP-A4-A4ZT	ACH-000787	0.9977690033722705
KIRP-A4-A4ZT	ACH-000322	0.9977725805492017
KIRP-A4-A4ZT	ACH-000609	0.9977738703675254
KIRP-A4-A4ZT	ACH-000585	0.9977769749811878
KIRP-A4-A4ZT	ACH-000558	0.9977863482307391
KIRP-A4-A4ZT	ACH-000244	0.9977868740517987
KIRP-A4-A4ZT	ACH-000437	0.9977869509307886
KIRP-A4-A4ZT	ACH-000265	0.9977899553184898
KIRP-A4-A4ZT	ACH-000433	0.997790309567394
KIRP-A4-A4ZT	ACH-000201	0.997792143976511
KIRP-A4-A4ZT	ACH-000149	0.9977967342672419
KIRP-A4-A4ZT	ACH-000544	0.9977970887591642
KIRP-A4-A4ZT	ACH-000430	0.9977984089051118
KIRP-A4-A4ZT	ACH-000018	0.9977991652928372
KIRP-A4-A4ZT	ACH-000103	0.997806069934068
KIRP-A4-A4ZT	ACH-000329	0.9978061696934234
KIRP-A4-A4ZT	ACH-000355	0.9978069179259433
KIRP-A4-A4ZT	ACH-000159	0.997808388366449
KIRP-A4-A4ZT	ACH-000743	0.9978084016404035
KIRP-A4-A4ZT	ACH-000744	0.9978089253391341
KIRP-A4-A4ZT	ACH-000476	0.9978103113002994
KIRP-A4-A4ZT	ACH-000189	0.9978120449859947
KIRP-A4-A4ZT	ACH-000078	0.9978121075109649
KIRP-A4-A4ZT	ACH-000250	0.9978171707182332
KIRP-A4-A4ZT	ACH-000480	0.9978180165090865
KIRP-A4-A4ZT	ACH-000309	0.9978186819252426
KIRP-A4-A4ZT	ACH-000535	0.9978209279358038
KIRP-A4-A4ZT	ACH-000132	0.997822590166832
KIRP-A4-A4ZT	ACH-000681	0.9978237065546883
KIRP-A4-A4ZT	ACH-000211	0.9978243942768328
KIRP-A4-A4ZT	ACH-000114	0.997824812123784
KIRP-A4-A4ZT	ACH-000640	0.9978259345982525
KIRP-A4-A4ZT	ACH-000555	0.9978283506163361
KIRP-A4-A4ZT	ACH-000719	0.9978284960511187
KIRP-A4-A4ZT	ACH-000153	0.9978302443703237
KIRP-A4-A4ZT	ACH-000420	0.9978305088165338
KIRP-A4-A4ZT	ACH-000778	0.9978308688683682
KIRP-A4-A4ZT	ACH-000496	0.9978319592661614
KIRP-A4-A4ZT	ACH-000501	0.9978320642012043
KIRP-A4-A4ZT	ACH-000486	0.9978327329486986
KIRP-A4-A4ZT	ACH-000633	0.99783279384408
KIRP-A4-A4ZT	ACH-000335	0.9978337002696436
KIRP-A4-A4ZT	ACH-000864	0.9978340906561172
KIRP-A4-A4ZT	ACH-000767	0.997834224016057
KIRP-A4-A4ZT	ACH-000668	0.9978342275865724
KIRP-A4-A4ZT	ACH-000489	0.9978345288539496
KIRP-A4-A4ZT	ACH-000102	0.9978347139779723
KIRP-A4-A4ZT	ACH-000378	0.9978357135421301
KIRP-A4-A4ZT	ACH-000222	0.9978358863525542
KIRP-A4-A4ZT	ACH-000830	0.9978361449858284
KIRP-A4-A4ZT	ACH-000610	0.9978364209229779
KIRP-A4-A4ZT	ACH-000781	0.9978365440127691
KIRP-A4-A4ZT	ACH-000470	0.9978366857698716
KIRP-A4-A4ZT	ACH-000826	0.9978368939774624
KIRP-A4-A4ZT	ACH-000223	0.9978372676825767
KIRP-A4-A4ZT	ACH-000530	0.997837337838897
KIRP-A4-A4ZT	ACH-000107	0.9978377618418108
KIRP-A4-A4ZT	ACH-000574	0.997838167252147
KIRP-A4-A4ZT	ACH-000599	0.9978382077548424
KIRP-A4-A4ZT	ACH-000353	0.9978386233222081
KIRP-A4-A4ZT	ACH-000231	0.997838647240341
KIRP-A4-A4ZT	ACH-000155	0.9978392243690992
KIRP-A4-A4ZT	ACH-000482	0.997839324970207
