case	comparison	SNF: FDA & CGC
KIRP-A4-A5XZ	case-profile	0.45735650347633017
KIRP-A4-A5XZ	ACH-000572	0.9967786376978132
KIRP-A4-A5XZ	ACH-000200	0.9969129856527474
KIRP-A4-A5XZ	ACH-000437	0.9970533990909517
KIRP-A4-A5XZ	ACH-000640	0.9972340630704369
KIRP-A4-A5XZ	ACH-000008	0.9973091799175686
KIRP-A4-A5XZ	ACH-000457	0.9973252071701081
KIRP-A4-A5XZ	ACH-000055	0.997338311036139
KIRP-A4-A5XZ	ACH-000450	0.9973792493725634
KIRP-A4-A5XZ	ACH-000186	0.997400575732996
KIRP-A4-A5XZ	ACH-001125	0.9974087045606146
KIRP-A4-A5XZ	ACH-000103	0.9974196295277371
KIRP-A4-A5XZ	ACH-000176	0.9974320449631724
KIRP-A4-A5XZ	ACH-000903	0.9974456630098976
KIRP-A4-A5XZ	ACH-000211	0.9974730219606097
KIRP-A4-A5XZ	ACH-001151	0.9975065688643917
KIRP-A4-A5XZ	ACH-000825	0.9975273518914455
KIRP-A4-A5XZ	ACH-000376	0.9975342563888766
KIRP-A4-A5XZ	ACH-000423	0.9975379238175948
KIRP-A4-A5XZ	ACH-000389	0.9975593325547307
KIRP-A4-A5XZ	ACH-000155	0.9975749073264893
KIRP-A4-A5XZ	ACH-000364	0.997593625456887
KIRP-A4-A5XZ	ACH-000109	0.9976251544497171
KIRP-A4-A5XZ	ACH-000811	0.9976357304017545
KIRP-A4-A5XZ	ACH-000469	0.9976474415285665
KIRP-A4-A5XZ	ACH-000663	0.9976615364637664
KIRP-A4-A5XZ	ACH-000689	0.9976684613319956
KIRP-A4-A5XZ	ACH-000353	0.9976711025000766
KIRP-A4-A5XZ	ACH-000249	0.9976776912599794
KIRP-A4-A5XZ	ACH-000827	0.9977196424827887
KIRP-A4-A5XZ	ACH-000361	0.9977281806786944
KIRP-A4-A5XZ	ACH-000217	0.9977357339076933
KIRP-A4-A5XZ	ACH-000425	0.9977439525916262
KIRP-A4-A5XZ	ACH-000625	0.9977441188119182
KIRP-A4-A5XZ	ACH-000595	0.9977458964263397
KIRP-A4-A5XZ	ACH-000449	0.9977561323425059
KIRP-A4-A5XZ	ACH-000121	0.997760561154332
KIRP-A4-A5XZ	ACH-000463	0.9977638463824229
KIRP-A4-A5XZ	ACH-000738	0.9977644336535824
KIRP-A4-A5XZ	ACH-000544	0.9977670723993614
KIRP-A4-A5XZ	ACH-000290	0.9977735209607913
KIRP-A4-A5XZ	ACH-000192	0.9977763783258115
KIRP-A4-A5XZ	ACH-000288	0.9977852345499615
KIRP-A4-A5XZ	ACH-000350	0.9977924875437209
KIRP-A4-A5XZ	ACH-000329	0.9977933525650098
KIRP-A4-A5XZ	ACH-000480	0.9977999497998896
KIRP-A4-A5XZ	ACH-000585	0.9978032907717641
KIRP-A4-A5XZ	ACH-000430	0.9978037930119834
KIRP-A4-A5XZ	ACH-000102	0.9978108805132225
KIRP-A4-A5XZ	ACH-000769	0.99781164589955
KIRP-A4-A5XZ	ACH-000132	0.9978141614313558
KIRP-A4-A5XZ	ACH-000018	0.997815734779671
KIRP-A4-A5XZ	ACH-000309	0.9978163758353056
KIRP-A4-A5XZ	ACH-000569	0.9978169673454829
KIRP-A4-A5XZ	ACH-000681	0.9978194328045075
KIRP-A4-A5XZ	ACH-000535	0.9978199614384449
KIRP-A4-A5XZ	ACH-000609	0.9978214991022879
KIRP-A4-A5XZ	ACH-000501	0.9978224451885293
KIRP-A4-A5XZ	ACH-000201	0.9978227672818828
KIRP-A4-A5XZ	ACH-000530	0.9978232821971993
KIRP-A4-A5XZ	ACH-000486	0.9978236701825728
KIRP-A4-A5XZ	ACH-000075	0.997824544265505
KIRP-A4-A5XZ	ACH-000482	0.9978269900306412
KIRP-A4-A5XZ	ACH-000355	0.9978274704477639
KIRP-A4-A5XZ	ACH-000496	0.9978279714018139
KIRP-A4-A5XZ	ACH-000107	0.9978279822499988
KIRP-A4-A5XZ	ACH-000711	0.9978283155331904
KIRP-A4-A5XZ	ACH-000420	0.9978289034605248
KIRP-A4-A5XZ	ACH-000250	0.9978293392102358
KIRP-A4-A5XZ	ACH-000610	0.9978294368606717
KIRP-A4-A5XZ	ACH-000335	0.9978298619223223
KIRP-A4-A5XZ	ACH-000188	0.9978299899824772
KIRP-A4-A5XZ	ACH-000767	0.997830783165908
KIRP-A4-A5XZ	ACH-000433	0.9978319859474876
KIRP-A4-A5XZ	ACH-000153	0.9978323065303875
KIRP-A4-A5XZ	ACH-000528	0.9978346570962197
KIRP-A4-A5XZ	ACH-000094	0.9978349209457278
KIRP-A4-A5XZ	ACH-000223	0.9978354337525447
KIRP-A4-A5XZ	ACH-000788	0.9978355389783611
KIRP-A4-A5XZ	ACH-000476	0.997835991412269
KIRP-A4-A5XZ	ACH-000599	0.997836681129578
KIRP-A4-A5XZ	ACH-000740	0.9978369177987604
