case	comparison	SNF: FDA & CGC
KIRP-A4-A6HP	case-profile	0.4567009606963047
KIRP-A4-A6HP	ACH-000428	0.997465330876848
KIRP-A4-A6HP	ACH-000569	0.9975131255253574
KIRP-A4-A6HP	ACH-000102	0.997539229073583
KIRP-A4-A6HP	ACH-000201	0.997559604866172
KIRP-A4-A6HP	ACH-000258	0.9976158414989748
KIRP-A4-A6HP	ACH-000989	0.9976200562080858
KIRP-A4-A6HP	ACH-000689	0.9976275220213588
KIRP-A4-A6HP	ACH-000138	0.9976458620444675
KIRP-A4-A6HP	ACH-000452	0.9976558279993318
KIRP-A4-A6HP	ACH-000361	0.9976634055543379
KIRP-A4-A6HP	ACH-000486	0.9976730647382367
KIRP-A4-A6HP	ACH-000189	0.997676043370907
KIRP-A4-A6HP	ACH-000200	0.9976800693295009
KIRP-A4-A6HP	ACH-000244	0.9976859758926191
KIRP-A4-A6HP	ACH-000574	0.9976898296465048
KIRP-A4-A6HP	ACH-000231	0.9976930444984763
KIRP-A4-A6HP	ACH-000147	0.9976945497992904
KIRP-A4-A6HP	ACH-000991	0.9977000632441717
KIRP-A4-A6HP	ACH-000631	0.9977019728960225
KIRP-A4-A6HP	ACH-000719	0.9977044312288105
KIRP-A4-A6HP	ACH-000713	0.9977132150784229
KIRP-A4-A6HP	ACH-000252	0.9977161807795213
KIRP-A4-A6HP	ACH-000078	0.9977253322328273
KIRP-A4-A6HP	ACH-000571	0.9977255089596108
KIRP-A4-A6HP	ACH-000469	0.9977255293454245
KIRP-A4-A6HP	ACH-000835	0.9977262017330265
KIRP-A4-A6HP	ACH-001021	0.9977307835658122
KIRP-A4-A6HP	ACH-000570	0.9977315990021272
KIRP-A4-A6HP	ACH-000911	0.9977319873658026
KIRP-A4-A6HP	ACH-000355	0.9977398209032425
KIRP-A4-A6HP	ACH-001126	0.9977588612665497
KIRP-A4-A6HP	ACH-000947	0.997771752314762
KIRP-A4-A6HP	ACH-000219	0.9977802460675916
KIRP-A4-A6HP	ACH-000100	0.9977888082748426
KIRP-A4-A6HP	ACH-000535	0.9977942789672617
KIRP-A4-A6HP	ACH-000940	0.9977946586326152
KIRP-A4-A6HP	ACH-000075	0.997795193717565
KIRP-A4-A6HP	ACH-000018	0.9977963428187451
KIRP-A4-A6HP	ACH-000159	0.9978048563792566
KIRP-A4-A6HP	ACH-000681	0.9978059138179733
KIRP-A4-A6HP	ACH-000781	0.9978084796619997
KIRP-A4-A6HP	ACH-000772	0.9978093846971872
KIRP-A4-A6HP	ACH-000250	0.9978110545177179
KIRP-A4-A6HP	ACH-000480	0.9978124658042049
KIRP-A4-A6HP	ACH-000335	0.9978132314258098
