case	comparison	SNF: FDA & CGC
KIRP-A4-A772	case-profile	0.4564908750445946
KIRP-A4-A772	ACH-000361	0.9975261723611196
KIRP-A4-A772	ACH-000102	0.9975358251728957
KIRP-A4-A772	ACH-000201	0.997562283603317
KIRP-A4-A772	ACH-000078	0.9975711517280608
KIRP-A4-A772	ACH-000989	0.997613583700319
KIRP-A4-A772	ACH-000400	0.9976300377350839
KIRP-A4-A772	ACH-000569	0.9976325067109919
KIRP-A4-A772	ACH-000428	0.9976557054428639
KIRP-A4-A772	ACH-000486	0.9976571051314801
KIRP-A4-A772	ACH-000075	0.9976739440168004
KIRP-A4-A772	ACH-000991	0.9976918011512573
KIRP-A4-A772	ACH-000231	0.9976926376869963
KIRP-A4-A772	ACH-000178	0.997693581100146
KIRP-A4-A772	ACH-000830	0.9977121330622547
KIRP-A4-A772	ACH-000570	0.9977125707617186
KIRP-A4-A772	ACH-000911	0.9977153930607524
KIRP-A4-A772	ACH-000835	0.9977214075559595
KIRP-A4-A772	ACH-000355	0.9977246896086589
KIRP-A4-A772	ACH-000571	0.9977378573281108
KIRP-A4-A772	ACH-000149	0.9977381672499792
KIRP-A4-A772	ACH-000129	0.9977454483995866
KIRP-A4-A772	ACH-000625	0.9977537821821207
KIRP-A4-A772	ACH-000442	0.9977568984140648
KIRP-A4-A772	ACH-000322	0.9977645869237246
KIRP-A4-A772	ACH-000947	0.9977674610370084
KIRP-A4-A772	ACH-001126	0.9977698370339979
KIRP-A4-A772	ACH-000099	0.9977720204336957
KIRP-A4-A772	ACH-000558	0.9977761813686468
KIRP-A4-A772	ACH-000609	0.9977763721233698
KIRP-A4-A772	ACH-000265	0.9977773129134916
KIRP-A4-A772	ACH-000457	0.9977779292408138
KIRP-A4-A772	ACH-000219	0.9977799516829697
KIRP-A4-A772	ACH-000940	0.9977884885342533
KIRP-A4-A772	ACH-000018	0.9977905781282146
KIRP-A4-A772	ACH-000159	0.9977929039208359
KIRP-A4-A772	ACH-000681	0.9977950818680066
KIRP-A4-A772	ACH-000335	0.9977959792746792
KIRP-A4-A772	ACH-000535	0.9977975402215532
KIRP-A4-A772	ACH-000189	0.9978020421119266
KIRP-A4-A772	ACH-000329	0.9978026444546607
KIRP-A4-A772	ACH-000781	0.9978046838204111
KIRP-A4-A772	ACH-000544	0.9978086853939144
KIRP-A4-A772	ACH-000433	0.9978090191493977
KIRP-A4-A772	ACH-000250	0.9978094328774997
KIRP-A4-A772	ACH-000555	0.9978104641582992
KIRP-A4-A772	ACH-000476	0.9978135420843618
KIRP-A4-A772	ACH-001125	0.9978179375177657
KIRP-A4-A772	ACH-000610	0.9978186585006652
KIRP-A4-A772	ACH-000769	0.997820397158939
KIRP-A4-A772	ACH-000132	0.9978205452032698
KIRP-A4-A772	ACH-000376	0.9978206011523021
KIRP-A4-A772	ACH-000864	0.9978218506015964
KIRP-A4-A772	ACH-000562	0.9978234564489151
KIRP-A4-A772	ACH-000652	0.9978236659168551
KIRP-A4-A772	ACH-000778	0.9978238442637624
KIRP-A4-A772	ACH-000114	0.9978238453738557
KIRP-A4-A772	ACH-000244	0.9978240568349308
KIRP-A4-A772	ACH-000501	0.9978245931218097
KIRP-A4-A772	ACH-000719	0.9978254025256027
KIRP-A4-A772	ACH-000957	0.9978265276439339
KIRP-A4-A772	ACH-000222	0.9978283025229702
KIRP-A4-A772	ACH-000743	0.9978286391358078
KIRP-A4-A772	ACH-000378	0.9978289963283592
KIRP-A4-A772	ACH-000530	0.9978314482548014
KIRP-A4-A772	ACH-000574	0.9978315615414644
