case	comparison	SNF: FDA & CGC
KIRP-AL-3466	case-profile	0.45607728582091633
KIRP-AL-3466	ACH-000277	0.9969567317869545
KIRP-AL-3466	ACH-000392	0.9971023547933049
KIRP-AL-3466	ACH-000138	0.9971760424385573
KIRP-AL-3466	ACH-000350	0.9972047727461821
KIRP-AL-3466	ACH-000605	0.9972111620711228
KIRP-AL-3466	ACH-000291	0.9972207453796504
KIRP-AL-3466	ACH-000744	0.9972241305011132
KIRP-AL-3466	ACH-000383	0.9972568293852829
KIRP-AL-3466	ACH-000521	0.9972575660669769
KIRP-AL-3466	ACH-000078	0.997275164134417
KIRP-AL-3466	ACH-000427	0.9972754180860312
KIRP-AL-3466	ACH-000082	0.9972781805858617
KIRP-AL-3466	ACH-000679	0.9972827736093143
KIRP-AL-3466	ACH-000481	0.9972926465034341
KIRP-AL-3466	ACH-000319	0.9972966266416843
KIRP-AL-3466	ACH-001138	0.9973044610096959
KIRP-AL-3466	ACH-000052	0.9975326544323128
KIRP-AL-3466	ACH-000349	0.9975611407258964
KIRP-AL-3466	ACH-000087	0.9975622791008416
KIRP-AL-3466	ACH-000433	0.9975624523223496
KIRP-AL-3466	ACH-000161	0.9975668531171508
KIRP-AL-3466	ACH-000719	0.9975671521682875
KIRP-AL-3466	ACH-000117	0.9975705587933372
KIRP-AL-3466	ACH-000250	0.9975748931427993
KIRP-AL-3466	ACH-000424	0.9975789155288305
KIRP-AL-3466	ACH-000008	0.9975854033153657
KIRP-AL-3466	ACH-000115	0.9976009761950697
KIRP-AL-3466	ACH-001016	0.9976230298803354
KIRP-AL-3466	ACH-000341	0.9976252087582371
KIRP-AL-3466	ACH-000111	0.997638775436885
KIRP-AL-3466	ACH-000669	0.9976420580505877
KIRP-AL-3466	ACH-000242	0.9976643763512586
KIRP-AL-3466	ACH-000181	0.997672059368474
KIRP-AL-3466	ACH-000665	0.9976789399982481
KIRP-AL-3466	ACH-001023	0.9976854370630206
KIRP-AL-3466	ACH-000730	0.9976989944998055
KIRP-AL-3466	ACH-000099	0.9977193996481708
KIRP-AL-3466	ACH-000480	0.997722561728824
KIRP-AL-3466	ACH-000153	0.9977273019668922
KIRP-AL-3466	ACH-000343	0.9977274249936267
KIRP-AL-3466	ACH-000207	0.9977424053254105
KIRP-AL-3466	ACH-000429	0.9977639119215144
KIRP-AL-3466	ACH-000910	0.997768901767105
KIRP-AL-3466	ACH-000047	0.9977723661493455
KIRP-AL-3466	ACH-000107	0.9977789728707845
KIRP-AL-3466	ACH-000354	0.9977902112015116
KIRP-AL-3466	ACH-000007	0.9977981465888293
KIRP-AL-3466	ACH-000691	0.9977991215335353
KIRP-AL-3466	ACH-000510	0.997817188373823
KIRP-AL-3466	ACH-000451	0.9978174387365244
KIRP-AL-3466	ACH-000219	0.9978207928343763
KIRP-AL-3466	ACH-000391	0.9978401655244051
KIRP-AL-3466	ACH-000361	0.9978701013385064
KIRP-AL-3466	ACH-000787	0.9978704220026275
KIRP-AL-3466	ACH-000347	0.9978751772620069
KIRP-AL-3466	ACH-000484	0.9978759851891544
KIRP-AL-3466	ACH-000353	0.9978760551141331
KIRP-AL-3466	ACH-000881	0.9978767128488331
KIRP-AL-3466	ACH-000192	0.9978785497771713
KIRP-AL-3466	ACH-000569	0.9978808587772763
KIRP-AL-3466	ACH-000915	0.997881227505844
KIRP-AL-3466	ACH-000516	0.997883457726745
KIRP-AL-3466	ACH-000329	0.9978849302374476
KIRP-AL-3466	ACH-000599	0.9978849362403058
KIRP-AL-3466	ACH-000772	0.9978849542049013
KIRP-AL-3466	ACH-000681	0.9978886902114013
KIRP-AL-3466	ACH-000018	0.9978891279572019
KIRP-AL-3466	ACH-000830	0.9978893802430342
KIRP-AL-3466	ACH-000394	0.9978895678363684
KIRP-AL-3466	ACH-000292	0.9978920852579072
KIRP-AL-3466	ACH-000769	0.9978930409769096
KIRP-AL-3466	ACH-000633	0.9978938329946901
KIRP-AL-3466	ACH-000355	0.9978939285262719
KIRP-AL-3466	ACH-000102	0.9978939843201203
KIRP-AL-3466	ACH-000062	0.997894255870643
KIRP-AL-3466	ACH-000810	0.9978944547793605
KIRP-AL-3466	ACH-000589	0.9978949539846774
KIRP-AL-3466	ACH-001089	0.9978954016915305
KIRP-AL-3466	ACH-000528	0.9978955790129064
KIRP-AL-3466	ACH-000155	0.9978955873921722
KIRP-AL-3466	ACH-000441	0.9978956782199387
KIRP-AL-3466	ACH-000858	0.9978958262338277
KIRP-AL-3466	ACH-000159	0.9978960454422174
KIRP-AL-3466	ACH-000496	0.9978963192765523
KIRP-AL-3466	ACH-000866	0.9978976663369999
KIRP-AL-3466	ACH-000201	0.9978978923618048
KIRP-AL-3466	ACH-000335	0.997897957548919
KIRP-AL-3466	ACH-000055	0.9978981854805582
KIRP-AL-3466	ACH-000574	0.9978994216114687
KIRP-AL-3466	ACH-000544	0.997899592401933
KIRP-AL-3466	ACH-000457	0.9978997943405571
KIRP-AL-3466	ACH-000670	0.9978998524772889
KIRP-AL-3466	ACH-000378	0.9978999981712151
KIRP-AL-3466	ACH-000423	0.9979002916950774
KIRP-AL-3466	ACH-000305	0.9979003586294024
KIRP-AL-3466	ACH-000861	0.9979003691117722
KIRP-AL-3466	ACH-000139	0.9979008827769851
KIRP-AL-3466	ACH-000486	0.9979014941267236
KIRP-AL-3466	ACH-000222	0.9979015305147872
KIRP-AL-3466	ACH-000403	0.9979020900657857
KIRP-AL-3466	ACH-000094	0.9979022201988135
KIRP-AL-3466	ACH-000648	0.9979022267913757
KIRP-AL-3466	ACH-000698	0.9979024460612527
KIRP-AL-3466	ACH-000826	0.9979026245215454
KIRP-AL-3466	ACH-000450	0.9979029957779938
KIRP-AL-3466	ACH-000103	0.997903097615983
KIRP-AL-3466	ACH-000610	0.9979037201964885
KIRP-AL-3466	ACH-000223	0.9979039610033014
KIRP-AL-3466	ACH-000535	0.9979044268788084
KIRP-AL-3466	ACH-000930	0.9979044356505639
KIRP-AL-3466	ACH-000835	0.9979047245715073
KIRP-AL-3466	ACH-000863	0.997904804269576
KIRP-AL-3466	ACH-000530	0.9979048430156718
KIRP-AL-3466	ACH-000716	0.9979050442883318
KIRP-AL-3466	ACH-000501	0.9979055103647395
KIRP-AL-3466	ACH-000420	0.9979055902062293
KIRP-AL-3466	ACH-000951	0.9979058271370711
KIRP-AL-3466	ACH-000781	0.9979061150194215
KIRP-AL-3466	ACH-000524	0.9979062240729005
KIRP-AL-3466	ACH-000114	0.9979063524123848
KIRP-AL-3466	ACH-000668	0.9979066209135894
KIRP-AL-3466	ACH-000800	0.9979066329023534
KIRP-AL-3466	ACH-000778	0.997906661458912
KIRP-AL-3466	ACH-000188	0.9979067447336989
KIRP-AL-3466	ACH-000857	0.9979077046238596
KIRP-AL-3466	ACH-000717	0.9979081165593972
KIRP-AL-3466	ACH-000408	0.9979083313989079
KIRP-AL-3466	ACH-000755	0.9979084924764116
KIRP-AL-3466	ACH-000672	0.997908765982823
KIRP-AL-3466	ACH-000666	0.9979091280848189
KIRP-AL-3466	ACH-000886	0.9979092063920073
KIRP-AL-3466	ACH-000252	0.9979097403134125
KIRP-AL-3466	ACH-000129	0.9979101617248924
KIRP-AL-3466	ACH-000225	0.9979107562756184
KIRP-AL-3466	ACH-000740	0.9979109943646326
KIRP-AL-3466	ACH-000747	0.9979111751875883
KIRP-AL-3466	ACH-000522	0.997911213488983
KIRP-AL-3466	ACH-000176	0.9979113735046761
KIRP-AL-3466	ACH-000288	0.9979115051595379
KIRP-AL-3466	ACH-001125	0.9979116527960488
KIRP-AL-3466	ACH-001049	0.9979117160161398
KIRP-AL-3466	ACH-000231	0.9979117756515999
KIRP-AL-3466	ACH-000470	0.9979118407661326
KIRP-AL-3466	ACH-001065	0.9979134917391322
KIRP-AL-3466	ACH-000902	0.9979138057825685
KIRP-AL-3466	ACH-000780	0.9979139406055965
KIRP-AL-3466	ACH-000258	0.9979142744322984
KIRP-AL-3466	ACH-000421	0.9979148728665611
KIRP-AL-3466	ACH-000417	0.9979150070307651
KIRP-AL-3466	ACH-000688	0.9979150228380355
KIRP-AL-3466	ACH-000401	0.9979154083967645
KIRP-AL-3466	ACH-000696	0.9979155421445424
KIRP-AL-3466	ACH-000442	0.9979156462725153
KIRP-AL-3466	ACH-000617	0.9979157733000579
KIRP-AL-3466	ACH-001233	0.9979159206976148
KIRP-AL-3466	ACH-000396	0.9979161695001132
KIRP-AL-3466	ACH-000293	0.9979162710657208
KIRP-AL-3466	ACH-000067	0.9979162876989416
KIRP-AL-3466	ACH-000178	0.9979165483009255
KIRP-AL-3466	ACH-000075	0.9979166156624201
KIRP-AL-3466	ACH-000476	0.9979171469653207
KIRP-AL-3466	ACH-000816	0.9979173205003283
KIRP-AL-3466	ACH-000609	0.9979175650615049
KIRP-AL-3466	ACH-000652	0.9979178142173628
KIRP-AL-3466	ACH-000825	0.9979180686983046
KIRP-AL-3466	ACH-000852	0.9979183802063506
KIRP-AL-3466	ACH-000864	0.9979188043166735
KIRP-AL-3466	ACH-000489	0.9979190762777018
KIRP-AL-3466	ACH-000376	0.9979191214772509
KIRP-AL-3466	ACH-000506	0.997919130758371
KIRP-AL-3466	ACH-000425	0.9979193442145947
KIRP-AL-3466	ACH-000400	0.9979195550378885
KIRP-AL-3466	ACH-000463	0.9979195755225129
KIRP-AL-3466	ACH-000132	0.9979195917782574
KIRP-AL-3466	ACH-000803	0.9979202597598301
KIRP-AL-3466	ACH-000142	0.9979203524037252
KIRP-AL-3466	ACH-000452	0.9979206260911754
KIRP-AL-3466	ACH-000840	0.9979209050139333
KIRP-AL-3466	ACH-000767	0.9979211729870935
KIRP-AL-3466	ACH-000482	0.9979212058157744
KIRP-AL-3466	ACH-000894	0.9979213664599612
KIRP-AL-3466	ACH-000546	0.9979213748857939
KIRP-AL-3466	ACH-000775	0.997921715152237
KIRP-AL-3466	ACH-000309	0.9979218699817509
KIRP-AL-3466	ACH-000638	0.9979223349738672
KIRP-AL-3466	ACH-000968	0.9979223775097387
KIRP-AL-3466	ACH-000675	0.9979228086780311
KIRP-AL-3466	ACH-000733	0.9979231862633577
KIRP-AL-3466	ACH-000430	0.9979234198115886
KIRP-AL-3466	ACH-000532	0.9979236826231286
KIRP-AL-3466	ACH-000235	0.9979237067688281
KIRP-AL-3466	ACH-000311	0.9979243166345497
KIRP-AL-3466	ACH-000109	0.9979246968302484
KIRP-AL-3466	ACH-000911	0.9979247805158156
KIRP-AL-3466	ACH-000880	0.997925466449402
KIRP-AL-3466	ACH-000674	0.9979268648952582
KIRP-AL-3466	ACH-000841	0.9979271615665927
KIRP-AL-3466	ACH-000348	0.997927497059385
KIRP-AL-3466	ACH-000790	0.9979276157154949
KIRP-AL-3466	ACH-000322	0.9979288595893904
KIRP-AL-3466	ACH-000587	0.997928869127804
KIRP-AL-3466	ACH-000743	0.9979296607838442
KIRP-AL-3466	ACH-000924	0.997930109450277
KIRP-AL-3466	ACH-000552	0.9979301619817673
KIRP-AL-3466	ACH-000620	0.9979313101328888
KIRP-AL-3466	ACH-000798	0.9979317354281072
KIRP-AL-3466	ACH-000824	0.9979317763913739
KIRP-AL-3466	ACH-000352	0.9979318010570031
KIRP-AL-3466	ACH-000448	0.9979318051987182
KIRP-AL-3466	ACH-000581	0.9979324990335033
KIRP-AL-3466	ACH-000030	0.997932983516903
KIRP-AL-3466	ACH-000869	0.9979332536794108
KIRP-AL-3466	ACH-000970	0.9979336194927302
KIRP-AL-3466	ACH-000853	0.9979343001537851
KIRP-AL-3466	ACH-000919	0.9979357062177745
KIRP-AL-3466	ACH-000749	0.997935777401128
KIRP-AL-3466	ACH-000384	0.9979362578579678
KIRP-AL-3466	ACH-000955	0.9979396213448354
KIRP-AL-3466	ACH-000491	0.9979452840840614
KIRP-AL-3466	ACH-000989	0.9979458522690836
KIRP-AL-3466	ACH-000949	0.9979469192024243
KIRP-AL-3466	ACH-000827	0.9979484108896683
KIRP-AL-3466	ACH-000021	0.9979501916412198
KIRP-AL-3466	ACH-000998	0.9979503589208293
KIRP-AL-3466	ACH-000962	0.9979509069192799
KIRP-AL-3466	ACH-000171	0.9979518201922891
KIRP-AL-3466	ACH-000711	0.9979537613784292
KIRP-AL-3466	ACH-000308	0.9979540451925689
KIRP-AL-3466	ACH-000228	0.997955046205743
KIRP-AL-3466	ACH-000290	0.9979555748496753
KIRP-AL-3466	ACH-000966	0.997956362937479
KIRP-AL-3466	ACH-000211	0.9979564058032208
KIRP-AL-3466	ACH-000395	0.9979565929099011
KIRP-AL-3466	ACH-000991	0.997957798680965
KIRP-AL-3466	ACH-000200	0.99795821869373
KIRP-AL-3466	ACH-000434	0.9979583298238126
KIRP-AL-3466	ACH-000359	0.9979586208675536
KIRP-AL-3466	ACH-000428	0.9979589726623
KIRP-AL-3466	ACH-000001	0.9979596324219585
KIRP-AL-3466	ACH-000859	0.997960718819023
KIRP-AL-3466	ACH-000358	0.9979611451979256
KIRP-AL-3466	ACH-000727	0.9979612275207077
KIRP-AL-3466	ACH-000639	0.9979613181131867
KIRP-AL-3466	ACH-000631	0.9979620830687456
KIRP-AL-3466	ACH-000298	0.9979629097148587
KIRP-AL-3466	ACH-000828	0.9979630431474902
KIRP-AL-3466	ACH-000650	0.9979632961050504
KIRP-AL-3466	ACH-000558	0.9979636556921438
KIRP-AL-3466	ACH-000971	0.9979638416693777
KIRP-AL-3466	ACH-000616	0.9979639890103403
KIRP-AL-3466	ACH-000561	0.9979641899818412
KIRP-AL-3466	ACH-000364	0.9979647221323636
KIRP-AL-3466	ACH-000776	0.9979653678191654
KIRP-AL-3466	ACH-000098	0.9979658008582669
KIRP-AL-3466	ACH-000249	0.9979659638217935
KIRP-AL-3466	ACH-000848	0.9979662561718832
KIRP-AL-3466	ACH-000265	0.9979664071020037
KIRP-AL-3466	ACH-000892	0.9979667057658963
KIRP-AL-3466	ACH-000577	0.9979667808790653
KIRP-AL-3466	ACH-000121	0.997967337905104
KIRP-AL-3466	ACH-000488	0.9979674673779537
KIRP-AL-3466	ACH-000356	0.9979680598135043
KIRP-AL-3466	ACH-000703	0.9979688101862749
KIRP-AL-3466	ACH-000515	0.9979689006153855
KIRP-AL-3466	ACH-000570	0.9979700878904109
KIRP-AL-3466	ACH-000189	0.9979703845078176
KIRP-AL-3466	ACH-000625	0.9979706269710568
KIRP-AL-3466	ACH-000729	0.9979711602275373
KIRP-AL-3466	ACH-000276	0.9979714769855857
KIRP-AL-3466	ACH-000756	0.9979715346919629
KIRP-AL-3466	ACH-000210	0.997971918866574
KIRP-AL-3466	ACH-000527	0.9979719789192787
KIRP-AL-3466	ACH-000437	0.9979727481988458
KIRP-AL-3466	ACH-000012	0.9979730286519893
KIRP-AL-3466	ACH-000759	0.9979736214015692
KIRP-AL-3466	ACH-000118	0.9979742049372271
KIRP-AL-3466	ACH-000722	0.9979742855898913
KIRP-AL-3466	ACH-001189	0.9979744678065094
KIRP-AL-3466	ACH-001126	0.9979746479698127
KIRP-AL-3466	ACH-000927	0.9979750327603513
KIRP-AL-3466	ACH-000555	0.9979759684959092
KIRP-AL-3466	ACH-000571	0.9979760253844654
KIRP-AL-3466	ACH-000789	0.9979764316094404
KIRP-AL-3466	ACH-000443	0.9979765218608294
KIRP-AL-3466	ACH-000677	0.9979765294103727
KIRP-AL-3466	ACH-000092	0.9979768824886518
KIRP-AL-3466	ACH-000792	0.9979770720989375
KIRP-AL-3466	ACH-000818	0.9979778339847805
KIRP-AL-3466	ACH-000655	0.9979778627986493
KIRP-AL-3466	ACH-000475	0.9979782277603045
KIRP-AL-3466	ACH-000248	0.9979782647693446
KIRP-AL-3466	ACH-000116	0.9979784770272264
KIRP-AL-3466	ACH-001039	0.9979792978521557
KIRP-AL-3466	ACH-000254	0.997979506243515
KIRP-AL-3466	ACH-000724	0.997979517329497
KIRP-AL-3466	ACH-000351	0.9979795611633316
KIRP-AL-3466	ACH-000693	0.9979796790478136
KIRP-AL-3466	ACH-000788	0.99797969512987
KIRP-AL-3466	ACH-000389	0.9979797091401743
KIRP-AL-3466	ACH-001021	0.9979797949649096
KIRP-AL-3466	ACH-000823	0.9979799337160395
KIRP-AL-3466	ACH-000846	0.9979800779418357
KIRP-AL-3466	ACH-001151	0.9979803250352016
KIRP-AL-3466	ACH-000748	0.9979807569058009
KIRP-AL-3466	ACH-000647	0.9979809064170335
KIRP-AL-3466	ACH-000100	0.9979810589765719
KIRP-AL-3466	ACH-000613	0.9979810679047648
KIRP-AL-3466	ACH-000374	0.9979813674530674
KIRP-AL-3466	ACH-000678	0.9979813729433651
KIRP-AL-3466	ACH-000148	0.9979822406921203
KIRP-AL-3466	ACH-000809	0.9979824418473128
KIRP-AL-3466	ACH-000483	0.997983059956075
KIRP-AL-3466	ACH-000713	0.9979830918362093
KIRP-AL-3466	ACH-000906	0.9979831199156773
KIRP-AL-3466	ACH-000752	0.9979833879325051
KIRP-AL-3466	ACH-000860	0.9979834998460931
KIRP-AL-3466	ACH-000706	0.9979835072739721
KIRP-AL-3466	ACH-000269	0.997983565269168
KIRP-AL-3466	ACH-000145	0.9979845133159958
KIRP-AL-3466	ACH-000621	0.9979845349009037
KIRP-AL-3466	ACH-000147	0.9979846159657244
KIRP-AL-3466	ACH-000318	0.9979848817090666
KIRP-AL-3466	ACH-000212	0.9979849513517202
KIRP-AL-3466	ACH-000595	0.9979851819888832
KIRP-AL-3466	ACH-000548	0.9979854682994838
KIRP-AL-3466	ACH-000332	0.9979856073052897
KIRP-AL-3466	ACH-000811	0.9979859632643627
KIRP-AL-3466	ACH-000042	0.997986052201391
KIRP-AL-3466	ACH-000447	0.9979862528744042
KIRP-AL-3466	ACH-000504	0.997986444642024
KIRP-AL-3466	ACH-000689	0.9979870817226485
KIRP-AL-3466	ACH-000596	0.9979871006066117
KIRP-AL-3466	ACH-000585	0.9979872716527086
KIRP-AL-3466	ACH-000040	0.9979875104127363
KIRP-AL-3466	ACH-000259	0.997987532933597
KIRP-AL-3466	ACH-000108	0.997987866078336
KIRP-AL-3466	ACH-000023	0.9979882338169108
KIRP-AL-3466	ACH-000663	0.9979884463732052
KIRP-AL-3466	ACH-000282	0.9979887010307329
KIRP-AL-3466	ACH-000257	0.9979887396778325
KIRP-AL-3466	ACH-000431	0.9979888835890361
KIRP-AL-3466	ACH-000725	0.997989178534738
KIRP-AL-3466	ACH-000303	0.9979893231805275
KIRP-AL-3466	ACH-000565	0.997989457885867
KIRP-AL-3466	ACH-000379	0.997989507172595
KIRP-AL-3466	ACH-000586	0.9979896235869022
KIRP-AL-3466	ACH-000651	0.9979896582852454
KIRP-AL-3466	ACH-000217	0.9979899325539686
KIRP-AL-3466	ACH-000793	0.9979906373804741
KIRP-AL-3466	ACH-000366	0.9979908389376494
KIRP-AL-3466	ACH-000871	0.9979910153098851
KIRP-AL-3466	ACH-000615	0.9979912149547159
KIRP-AL-3466	ACH-000243	0.9979912692886103
KIRP-AL-3466	ACH-000883	0.9979912995121076
KIRP-AL-3466	ACH-000603	0.9979914994146329
KIRP-AL-3466	ACH-000873	0.9979916733160428
KIRP-AL-3466	ACH-000560	0.9979918255956267
KIRP-AL-3466	ACH-000381	0.997991835214134
KIRP-AL-3466	ACH-000238	0.9979920415374745
KIRP-AL-3466	ACH-000438	0.9979920753225487
KIRP-AL-3466	ACH-000270	0.9979923039043784
KIRP-AL-3466	ACH-000657	0.9979923317229682
KIRP-AL-3466	ACH-000236	0.9979923333893492
KIRP-AL-3466	ACH-000917	0.9979924655429669
KIRP-AL-3466	ACH-000867	0.9979926118353091
KIRP-AL-3466	ACH-000562	0.9979929203948823
KIRP-AL-3466	ACH-000738	0.9979929414447006
KIRP-AL-3466	ACH-000566	0.997993024030896
KIRP-AL-3466	ACH-000469	0.9979931412854385
KIRP-AL-3466	ACH-001024	0.9979936984603214
KIRP-AL-3466	ACH-000144	0.9979938224686263
KIRP-AL-3466	ACH-000264	0.997994045968992
KIRP-AL-3466	ACH-000330	0.997994143814936
KIRP-AL-3466	ACH-000304	0.9979943601053521
KIRP-AL-3466	ACH-000802	0.9979950527570696
KIRP-AL-3466	ACH-000704	0.9979955632359413
KIRP-AL-3466	ACH-000627	0.9979958512365039
KIRP-AL-3466	ACH-000667	0.9979959301830403
KIRP-AL-3466	ACH-000878	0.9979963951288894
KIRP-AL-3466	ACH-000903	0.9979964090540199
KIRP-AL-3466	ACH-000643	0.9979964167569242
KIRP-AL-3466	ACH-000640	0.9979965303345465
KIRP-AL-3466	ACH-000624	0.9979967287266017
KIRP-AL-3466	ACH-000584	0.9979971335391583
KIRP-AL-3466	ACH-000847	0.9979973728625656
KIRP-AL-3466	ACH-001190	0.9979974706949264
KIRP-AL-3466	ACH-000783	0.997997474967725
KIRP-AL-3466	ACH-000547	0.997997575096648
KIRP-AL-3466	ACH-000525	0.9979976423330456
KIRP-AL-3466	ACH-000718	0.9979977487855152
KIRP-AL-3466	ACH-000637	0.9979978221954191
KIRP-AL-3466	ACH-000536	0.9979979773111339
KIRP-AL-3466	ACH-000449	0.997998043006413
KIRP-AL-3466	ACH-000545	0.997998075569817
KIRP-AL-3466	ACH-000196	0.997998321117492
KIRP-AL-3466	ACH-000601	0.9979985225352266
KIRP-AL-3466	ACH-000174	0.9979987887808836
KIRP-AL-3466	ACH-000680	0.9979991244001832
KIRP-AL-3466	ACH-000559	0.9979992374773088
KIRP-AL-3466	ACH-000009	0.9979995436166983
KIRP-AL-3466	ACH-000186	0.9979995566181842
KIRP-AL-3466	ACH-000514	0.9979995952919698
KIRP-AL-3466	ACH-000580	0.9979997608651189
KIRP-AL-3466	ACH-000169	0.9980002475800277
