case	comparison	SNF: FDA & CGC
KIRP-AL-A5DJ	case-profile	0.45671177994146317
KIRP-AL-A5DJ	ACH-000457	0.9974203301261064
KIRP-AL-A5DJ	ACH-000361	0.9974608255701293
KIRP-AL-A5DJ	ACH-000341	0.9974637996626726
KIRP-AL-A5DJ	ACH-000098	0.997472277480343
KIRP-AL-A5DJ	ACH-000149	0.9974955016795718
KIRP-AL-A5DJ	ACH-000569	0.9975079951026218
KIRP-AL-A5DJ	ACH-000949	0.997558620827192
KIRP-AL-A5DJ	ACH-000555	0.9975615201683923
KIRP-AL-A5DJ	ACH-000433	0.9975663114640974
KIRP-AL-A5DJ	ACH-000188	0.9975827258370418
KIRP-AL-A5DJ	ACH-000396	0.9976063366708086
KIRP-AL-A5DJ	ACH-000688	0.9976072256711169
KIRP-AL-A5DJ	ACH-000201	0.9976088058562058
KIRP-AL-A5DJ	ACH-000989	0.9976103610661164
KIRP-AL-A5DJ	ACH-000781	0.9976286415574417
KIRP-AL-A5DJ	ACH-000292	0.9976326636114761
KIRP-AL-A5DJ	ACH-000689	0.9976423377705019
KIRP-AL-A5DJ	ACH-000087	0.997648337111841
KIRP-AL-A5DJ	ACH-000428	0.9976522433935527
KIRP-AL-A5DJ	ACH-000704	0.9976584588881577
KIRP-AL-A5DJ	ACH-000452	0.9976587723235435
KIRP-AL-A5DJ	ACH-000102	0.9976594548722205
KIRP-AL-A5DJ	ACH-000349	0.997679680675767
KIRP-AL-A5DJ	ACH-000849	0.997682443613277
KIRP-AL-A5DJ	ACH-000991	0.997721942885133
KIRP-AL-A5DJ	ACH-000926	0.9977270221801956
KIRP-AL-A5DJ	ACH-000835	0.9977312367102197
KIRP-AL-A5DJ	ACH-000911	0.9977342299993196
KIRP-AL-A5DJ	ACH-000571	0.9977394045497711
KIRP-AL-A5DJ	ACH-000298	0.9977511712631935
KIRP-AL-A5DJ	ACH-000355	0.997755975004479
KIRP-AL-A5DJ	ACH-000585	0.9977894474053747
KIRP-AL-A5DJ	ACH-000335	0.9977932127221417
KIRP-AL-A5DJ	ACH-000719	0.9977933505127284
KIRP-AL-A5DJ	ACH-000078	0.9977938141851305
KIRP-AL-A5DJ	ACH-000681	0.9977953063773829
KIRP-AL-A5DJ	ACH-000800	0.9977974255362307
KIRP-AL-A5DJ	ACH-000114	0.9977978763520587
KIRP-AL-A5DJ	ACH-000535	0.9978033269530011
KIRP-AL-A5DJ	ACH-000947	0.9978045709822667
KIRP-AL-A5DJ	ACH-000018	0.9978087970907694
KIRP-AL-A5DJ	ACH-000376	0.9978102283893028
KIRP-AL-A5DJ	ACH-000769	0.9978102893201697
KIRP-AL-A5DJ	ACH-000223	0.9978105624403123
KIRP-AL-A5DJ	ACH-000633	0.9978115216796472
KIRP-AL-A5DJ	ACH-000075	0.9978130398245343
KIRP-AL-A5DJ	ACH-000772	0.9978141313096015
KIRP-AL-A5DJ	ACH-000486	0.9978143106418567
KIRP-AL-A5DJ	ACH-000574	0.9978145020658648
KIRP-AL-A5DJ	ACH-000132	0.9978147051417933
KIRP-AL-A5DJ	ACH-000231	0.9978148737852943
KIRP-AL-A5DJ	ACH-000544	0.9978148915126336
KIRP-AL-A5DJ	ACH-000103	0.9978163077791651
KIRP-AL-A5DJ	ACH-000530	0.9978166403438301
KIRP-AL-A5DJ	ACH-000528	0.9978180401682601
KIRP-AL-A5DJ	ACH-000222	0.9978191675894656
KIRP-AL-A5DJ	ACH-000094	0.9978198951359802
KIRP-AL-A5DJ	ACH-001125	0.9978212570831118
KIRP-AL-A5DJ	ACH-000489	0.9978214789118787
KIRP-AL-A5DJ	ACH-000329	0.99782249277933
KIRP-AL-A5DJ	ACH-000609	0.9978243004915083
KIRP-AL-A5DJ	ACH-000482	0.9978250870118076
KIRP-AL-A5DJ	ACH-000668	0.997825607828001
KIRP-AL-A5DJ	ACH-000200	0.9978260692134048
KIRP-AL-A5DJ	ACH-000153	0.9978263224602242
KIRP-AL-A5DJ	ACH-000480	0.9978268166095811
KIRP-AL-A5DJ	ACH-000219	0.9978271445894736
KIRP-AL-A5DJ	ACH-000826	0.9978285207449072
KIRP-AL-A5DJ	ACH-000589	0.9978291320105521
KIRP-AL-A5DJ	ACH-000484	0.9978296639134445
KIRP-AL-A5DJ	ACH-000430	0.997830701389099
KIRP-AL-A5DJ	ACH-000767	0.9978310291791157
KIRP-AL-A5DJ	ACH-000476	0.9978327258445221
KIRP-AL-A5DJ	ACH-000610	0.9978339334925639
KIRP-AL-A5DJ	ACH-000159	0.9978353331792774
KIRP-AL-A5DJ	ACH-000599	0.9978353957616091
KIRP-AL-A5DJ	ACH-000940	0.9978354248902105
KIRP-AL-A5DJ	ACH-000420	0.99783586021379
KIRP-AL-A5DJ	ACH-000187	0.9978361527460241
KIRP-AL-A5DJ	ACH-000378	0.9978374316941236
KIRP-AL-A5DJ	ACH-000778	0.9978375515796244
KIRP-AL-A5DJ	ACH-000830	0.9978376925862974
KIRP-AL-A5DJ	ACH-000652	0.9978381759417969
KIRP-AL-A5DJ	ACH-000864	0.9978385584697317
KIRP-AL-A5DJ	ACH-000178	0.9978389932412903
KIRP-AL-A5DJ	ACH-000353	0.997839171182989
KIRP-AL-A5DJ	ACH-000501	0.9978396665745061
KIRP-AL-A5DJ	ACH-000155	0.997840068591092
KIRP-AL-A5DJ	ACH-000496	0.9978400833625353
KIRP-AL-A5DJ	ACH-000250	0.9978401052247337
KIRP-AL-A5DJ	ACH-000252	0.9978406089556277
KIRP-AL-A5DJ	ACH-000107	0.9978410455992576
KIRP-AL-A5DJ	ACH-000470	0.9978415808998168
KIRP-AL-A5DJ	ACH-000424	0.9978426094484367
KIRP-AL-A5DJ	ACH-000743	0.9978440007391649
KIRP-AL-A5DJ	ACH-000740	0.9978440422503426
KIRP-AL-A5DJ	ACH-000309	0.9978447828816586
KIRP-AL-A5DJ	ACH-000858	0.9978464155664605
KIRP-AL-A5DJ	ACH-000857	0.9978479030497603
KIRP-AL-A5DJ	ACH-000570	0.9978481641243692
KIRP-AL-A5DJ	ACH-000966	0.9978484534911339
KIRP-AL-A5DJ	ACH-000067	0.9978536129156225
KIRP-AL-A5DJ	ACH-000663	0.9978559788735473
KIRP-AL-A5DJ	ACH-001016	0.9978701161682368
KIRP-AL-A5DJ	ACH-000099	0.9978720854740133
KIRP-AL-A5DJ	ACH-000670	0.9978733686743381
KIRP-AL-A5DJ	ACH-000651	0.997874071628792
KIRP-AL-A5DJ	ACH-000998	0.9978757100143555
KIRP-AL-A5DJ	ACH-000144	0.9978768392022046
KIRP-AL-A5DJ	ACH-000212	0.9978770196591248
KIRP-AL-A5DJ	ACH-000437	0.9978771310668609
KIRP-AL-A5DJ	ACH-000311	0.9978778070498203
KIRP-AL-A5DJ	ACH-000878	0.9978790790098079
KIRP-AL-A5DJ	ACH-000359	0.9978803205597658
KIRP-AL-A5DJ	ACH-000391	0.9978811932303264
KIRP-AL-A5DJ	ACH-000403	0.9978826496924963
KIRP-AL-A5DJ	ACH-000798	0.9978843633692964
KIRP-AL-A5DJ	ACH-000620	0.9978846147607638
KIRP-AL-A5DJ	ACH-000092	0.9978854050232548
KIRP-AL-A5DJ	ACH-000749	0.9978854407237756
KIRP-AL-A5DJ	ACH-000962	0.997885580434205
KIRP-AL-A5DJ	ACH-000062	0.9978855875457864
KIRP-AL-A5DJ	ACH-000617	0.9978876388466057
KIRP-AL-A5DJ	ACH-001126	0.9978880022519282
KIRP-AL-A5DJ	ACH-000108	0.997889388577484
KIRP-AL-A5DJ	ACH-000111	0.9978894543865291
KIRP-AL-A5DJ	ACH-000148	0.9978897779285877
KIRP-AL-A5DJ	ACH-000546	0.9978902287298925
KIRP-AL-A5DJ	ACH-000161	0.9978906801042315
KIRP-AL-A5DJ	ACH-000561	0.9978906967605219
KIRP-AL-A5DJ	ACH-000423	0.9978913034678488
KIRP-AL-A5DJ	ACH-000451	0.997891683061823
