case	comparison	SNF: FDA & CGC
KIRP-AT-A5NU	case-profile	0.45658464859499204
KIRP-AT-A5NU	ACH-000866	0.9972308787646402
KIRP-AT-A5NU	ACH-000129	0.997443258730385
KIRP-AT-A5NU	ACH-000115	0.9974524598391717
KIRP-AT-A5NU	ACH-000335	0.9974832237259409
KIRP-AT-A5NU	ACH-000442	0.9975652521051432
KIRP-AT-A5NU	ACH-000688	0.9975701374329892
KIRP-AT-A5NU	ACH-000651	0.9975892158900058
KIRP-AT-A5NU	ACH-000716	0.9976057944883986
KIRP-AT-A5NU	ACH-000902	0.9976598560040082
KIRP-AT-A5NU	ACH-000212	0.9976644907668332
KIRP-AT-A5NU	ACH-000599	0.997664729592321
KIRP-AT-A5NU	ACH-000569	0.9976799688466664
KIRP-AT-A5NU	ACH-000610	0.9976835575183128
KIRP-AT-A5NU	ACH-000075	0.9976885883414894
KIRP-AT-A5NU	ACH-000476	0.9976955471071682
KIRP-AT-A5NU	ACH-000633	0.9977002591783545
KIRP-AT-A5NU	ACH-001151	0.9977065944584347
KIRP-AT-A5NU	ACH-000888	0.9977156243077739
KIRP-AT-A5NU	ACH-000986	0.997721259014945
KIRP-AT-A5NU	ACH-000819	0.9977311056103813
KIRP-AT-A5NU	ACH-001089	0.9977473866505582
KIRP-AT-A5NU	ACH-000361	0.9977609940729878
KIRP-AT-A5NU	ACH-000394	0.997762598487564
KIRP-AT-A5NU	ACH-000968	0.997767265811319
KIRP-AT-A5NU	ACH-000099	0.997774252414697
KIRP-AT-A5NU	ACH-000322	0.9977803043096153
KIRP-AT-A5NU	ACH-000724	0.9977863126008204
KIRP-AT-A5NU	ACH-000265	0.9977869901055058
KIRP-AT-A5NU	ACH-000416	0.9977919397578935
KIRP-AT-A5NU	ACH-000114	0.9977928277434222
KIRP-AT-A5NU	ACH-000433	0.997794261691276
KIRP-AT-A5NU	ACH-000609	0.9977947233148026
KIRP-AT-A5NU	ACH-000489	0.9977955176850165
KIRP-AT-A5NU	ACH-000252	0.9977968620560458
KIRP-AT-A5NU	ACH-000625	0.9977989106512682
KIRP-AT-A5NU	ACH-001233	0.9977992643703886
KIRP-AT-A5NU	ACH-000355	0.9978005449309405
KIRP-AT-A5NU	ACH-000353	0.9978036069919392
