case	comparison	SNF: FDA & CGC
KIRP-B1-A47O	case-profile	0.45639514756138555
KIRP-B1-A47O	ACH-000361	0.9975183929101777
KIRP-B1-A47O	ACH-000201	0.9975803644642468
KIRP-B1-A47O	ACH-000078	0.9975874217526718
KIRP-B1-A47O	ACH-000970	0.9975899659955342
KIRP-B1-A47O	ACH-000989	0.9976137454315501
KIRP-B1-A47O	ACH-000569	0.9976320150616121
KIRP-B1-A47O	ACH-000396	0.9976334034536147
KIRP-B1-A47O	ACH-000428	0.9976515361925963
KIRP-B1-A47O	ACH-000075	0.9976708039426351
KIRP-B1-A47O	ACH-000102	0.9976742312830976
KIRP-B1-A47O	ACH-000159	0.9976760904777969
KIRP-B1-A47O	ACH-000433	0.9976819179891534
KIRP-B1-A47O	ACH-000178	0.9976883168984659
KIRP-B1-A47O	ACH-000991	0.997696108080825
KIRP-B1-A47O	ACH-000476	0.9977030862989787
KIRP-B1-A47O	ACH-000911	0.9977186119732468
KIRP-B1-A47O	ACH-000355	0.9977255666788039
KIRP-B1-A47O	ACH-000835	0.9977284334570795
KIRP-B1-A47O	ACH-000149	0.9977331649131911
KIRP-B1-A47O	ACH-000570	0.9977348649865475
KIRP-B1-A47O	ACH-000129	0.9977409537486752
KIRP-B1-A47O	ACH-000442	0.9977415424209404
KIRP-B1-A47O	ACH-000571	0.9977469873687775
KIRP-B1-A47O	ACH-000625	0.9977525678515764
KIRP-B1-A47O	ACH-000322	0.9977583668777674
KIRP-B1-A47O	ACH-000099	0.9977673648631217
KIRP-B1-A47O	ACH-000947	0.9977725818402642
KIRP-B1-A47O	ACH-000558	0.9977755998225908
KIRP-B1-A47O	ACH-000609	0.9977768719910481
KIRP-B1-A47O	ACH-000457	0.9977776364006768
KIRP-B1-A47O	ACH-000483	0.9977873239252731
KIRP-B1-A47O	ACH-000486	0.9977874002120873
KIRP-B1-A47O	ACH-000265	0.997789480608339
KIRP-B1-A47O	ACH-000018	0.99779146588157
KIRP-B1-A47O	ACH-000781	0.9977921320564496
KIRP-B1-A47O	ACH-000681	0.997796218042033
KIRP-B1-A47O	ACH-000555	0.9977966446456016
KIRP-B1-A47O	ACH-000535	0.9977981795053287
KIRP-B1-A47O	ACH-000250	0.9977999564584809
KIRP-B1-A47O	ACH-000189	0.9978000384764245
KIRP-B1-A47O	ACH-000219	0.9978024362108907
KIRP-B1-A47O	ACH-000940	0.9978055841686068
KIRP-B1-A47O	ACH-000329	0.9978057427528884
KIRP-B1-A47O	ACH-000544	0.9978083410571889
KIRP-B1-A47O	ACH-000335	0.9978084684279374
KIRP-B1-A47O	ACH-001125	0.9978086517115355
KIRP-B1-A47O	ACH-000231	0.9978120580154641
KIRP-B1-A47O	ACH-000470	0.9978138041562529
KIRP-B1-A47O	ACH-000562	0.9978155732232646
KIRP-B1-A47O	ACH-000610	0.9978201876131056
KIRP-B1-A47O	ACH-000864	0.9978213478862292
KIRP-B1-A47O	ACH-000132	0.9978216843442186
KIRP-B1-A47O	ACH-000114	0.9978226859663999
KIRP-B1-A47O	ACH-000376	0.9978232640703546
KIRP-B1-A47O	ACH-000244	0.9978234914004115
KIRP-B1-A47O	ACH-000480	0.9978235585411954
KIRP-B1-A47O	ACH-000484	0.9978237268291322
KIRP-B1-A47O	ACH-000719	0.9978238988046191
KIRP-B1-A47O	ACH-000501	0.9978243548187706
KIRP-B1-A47O	ACH-000420	0.9978247835200214
KIRP-B1-A47O	ACH-000482	0.9978259127323403
KIRP-B1-A47O	ACH-000496	0.9978267335740888
KIRP-B1-A47O	ACH-000222	0.9978271991949924
KIRP-B1-A47O	ACH-000743	0.997829209766109
KIRP-B1-A47O	ACH-000153	0.997830952757632
KIRP-B1-A47O	ACH-000530	0.9978312113202155
KIRP-B1-A47O	ACH-000378	0.9978317074878728
KIRP-B1-A47O	ACH-000574	0.9978319172759295
KIRP-B1-A47O	ACH-000489	0.9978322532122086
KIRP-B1-A47O	ACH-000103	0.997832962876712
KIRP-B1-A47O	ACH-000107	0.9978332970021575
KIRP-B1-A47O	ACH-000800	0.9978336172456852
KIRP-B1-A47O	ACH-000155	0.9978336301222664
KIRP-B1-A47O	ACH-000830	0.9978340296562239
KIRP-B1-A47O	ACH-000252	0.9978344225503949
KIRP-B1-A47O	ACH-000769	0.997834481157765
KIRP-B1-A47O	ACH-000767	0.9978346320125314
KIRP-B1-A47O	ACH-000652	0.9978347441140265
KIRP-B1-A47O	ACH-000430	0.9978347726668714
KIRP-B1-A47O	ACH-000353	0.9978353267904779
KIRP-B1-A47O	ACH-000668	0.9978353514288711
KIRP-B1-A47O	ACH-000633	0.9978354816708961
KIRP-B1-A47O	ACH-000826	0.9978354939557798
KIRP-B1-A47O	ACH-000778	0.9978356173314467
KIRP-B1-A47O	ACH-000223	0.9978362563919376
KIRP-B1-A47O	ACH-000599	0.997836911214351
KIRP-B1-A47O	ACH-000188	0.9978371926209831
KIRP-B1-A47O	ACH-000528	0.9978373254608339
KIRP-B1-A47O	ACH-000772	0.9978374713634783
KIRP-B1-A47O	ACH-000589	0.9978376739513471
KIRP-B1-A47O	ACH-000094	0.9978377504695265
KIRP-B1-A47O	ACH-000740	0.9978405233289462
KIRP-B1-A47O	ACH-000309	0.9978406411162292
KIRP-B1-A47O	ACH-000858	0.997842349319626
KIRP-B1-A47O	ACH-000341	0.9978430887646048
KIRP-B1-A47O	ACH-000966	0.997844659107582
KIRP-B1-A47O	ACH-000949	0.9978552841786629
KIRP-B1-A47O	ACH-000311	0.9978618557892593
KIRP-B1-A47O	ACH-000998	0.9978634848895905
KIRP-B1-A47O	ACH-000389	0.9978664681442821
KIRP-B1-A47O	ACH-000596	0.9978694667220714
KIRP-B1-A47O	ACH-000463	0.9978757863887368
KIRP-B1-A47O	ACH-000108	0.9978763119645301
KIRP-B1-A47O	ACH-000663	0.997876367412438
KIRP-B1-A47O	ACH-000211	0.9978779057673005
KIRP-B1-A47O	ACH-000092	0.9978781622055649
KIRP-B1-A47O	ACH-000258	0.99787826647564
KIRP-B1-A47O	ACH-000181	0.9978834896396623
KIRP-B1-A47O	ACH-001016	0.9978839127634956
KIRP-B1-A47O	ACH-000962	0.9978843691569419
KIRP-B1-A47O	ACH-000098	0.9978844787789155
KIRP-B1-A47O	ACH-000926	0.9978858986701549
KIRP-B1-A47O	ACH-000857	0.9978859550285225
KIRP-B1-A47O	ACH-000062	0.9978884768031775
KIRP-B1-A47O	ACH-000776	0.9978889026190065
KIRP-B1-A47O	ACH-000187	0.9978903544154778
KIRP-B1-A47O	ACH-000971	0.9978905921229755
KIRP-B1-A47O	ACH-000348	0.9978911228456646
KIRP-B1-A47O	ACH-000689	0.9978911772924313
KIRP-B1-A47O	ACH-000007	0.9978913278992301
KIRP-B1-A47O	ACH-000249	0.9978916350790766
KIRP-B1-A47O	ACH-000878	0.997892779812646
KIRP-B1-A47O	ACH-000670	0.9978928072298472
KIRP-B1-A47O	ACH-000798	0.9978944029404688
KIRP-B1-A47O	ACH-000706	0.9978944537083776
KIRP-B1-A47O	ACH-000391	0.9978948949541205
KIRP-B1-A47O	ACH-000400	0.9978961905761498
KIRP-B1-A47O	ACH-000040	0.9978970482094497
KIRP-B1-A47O	ACH-000546	0.9978982794890143
KIRP-B1-A47O	ACH-000648	0.9978984708633314
KIRP-B1-A47O	ACH-000359	0.997899021129226
KIRP-B1-A47O	ACH-000560	0.99789922852207
KIRP-B1-A47O	ACH-000235	0.9978997914107911
KIRP-B1-A47O	ACH-000366	0.9979003564181731
KIRP-B1-A47O	ACH-000008	0.9979004455383408
KIRP-B1-A47O	ACH-000401	0.9979004822682122
KIRP-B1-A47O	ACH-000667	0.9979005273372819
KIRP-B1-A47O	ACH-000392	0.9979005677796265
KIRP-B1-A47O	ACH-000067	0.9979015174738473
KIRP-B1-A47O	ACH-000437	0.9979015459270965
KIRP-B1-A47O	ACH-000759	0.9979016670595922
KIRP-B1-A47O	ACH-000647	0.9979016783341187
KIRP-B1-A47O	ACH-000919	0.997901791018275
KIRP-B1-A47O	ACH-001090	0.9979023023783337
KIRP-B1-A47O	ACH-000293	0.9979024644313986
KIRP-B1-A47O	ACH-000688	0.9979024660829489
KIRP-B1-A47O	ACH-000880	0.9979026660790347
KIRP-B1-A47O	ACH-000142	0.997902751828061
KIRP-B1-A47O	ACH-000138	0.997903256820023
KIRP-B1-A47O	ACH-000364	0.99790333297609
KIRP-B1-A47O	ACH-000881	0.9979036749583062
KIRP-B1-A47O	ACH-000429	0.9979037600109172
KIRP-B1-A47O	ACH-000423	0.9979038890233536
KIRP-B1-A47O	ACH-000217	0.9979041747606534
KIRP-B1-A47O	ACH-000292	0.9979045193182952
KIRP-B1-A47O	ACH-000305	0.9979048409123352
KIRP-B1-A47O	ACH-000775	0.9979051120837558
KIRP-B1-A47O	ACH-000968	0.9979053862153551
KIRP-B1-A47O	ACH-000717	0.9979057732264598
KIRP-B1-A47O	ACH-000161	0.9979058752549548
KIRP-B1-A47O	ACH-000441	0.9979058959299077
KIRP-B1-A47O	ACH-000748	0.9979059905019158
KIRP-B1-A47O	ACH-000394	0.9979062995972187
KIRP-B1-A47O	ACH-000238	0.9979063100426816
KIRP-B1-A47O	ACH-000450	0.9979073665063274
KIRP-B1-A47O	ACH-001233	0.9979076353741304
KIRP-B1-A47O	ACH-000617	0.9979076829982364
KIRP-B1-A47O	ACH-000624	0.9979079402939736
KIRP-B1-A47O	ACH-000902	0.997908076296885
KIRP-B1-A47O	ACH-000756	0.9979082114187114
KIRP-B1-A47O	ACH-000408	0.9979082966886954
KIRP-B1-A47O	ACH-000425	0.9979083038503911
KIRP-B1-A47O	ACH-001126	0.9979083524541613
KIRP-B1-A47O	ACH-000955	0.9979089672393059
KIRP-B1-A47O	ACH-000841	0.9979091004178365
KIRP-B1-A47O	ACH-000605	0.9979091249133838
KIRP-B1-A47O	ACH-000595	0.9979093204788819
KIRP-B1-A47O	ACH-000866	0.9979094959415811
KIRP-B1-A47O	ACH-000087	0.9979095971209473
KIRP-B1-A47O	ACH-000516	0.997909607195569
KIRP-B1-A47O	ACH-000747	0.9979096347480649
KIRP-B1-A47O	ACH-000744	0.9979101885414857
KIRP-B1-A47O	ACH-000111	0.997910457890007
KIRP-B1-A47O	ACH-000350	0.9979105736008423
KIRP-B1-A47O	ACH-000121	0.9979105910404912
KIRP-B1-A47O	ACH-000585	0.9979107483191193
KIRP-B1-A47O	ACH-000861	0.9979107586452616
KIRP-B1-A47O	ACH-000349	0.9979107904775606
KIRP-B1-A47O	ACH-000291	0.9979110928135458
KIRP-B1-A47O	ACH-000565	0.9979111553017254
KIRP-B1-A47O	ACH-000894	0.9979112671646406
KIRP-B1-A47O	ACH-000787	0.997911433243591
KIRP-B1-A47O	ACH-001190	0.9979117634540754
KIRP-B1-A47O	ACH-000174	0.997911998324127
KIRP-B1-A47O	ACH-000115	0.997912164902017
KIRP-B1-A47O	ACH-000883	0.9979122556300323
KIRP-B1-A47O	ACH-001189	0.9979123014570154
KIRP-B1-A47O	ACH-000810	0.9979125666387317
KIRP-B1-A47O	ACH-000343	0.9979126115110014
KIRP-B1-A47O	ACH-000666	0.9979130181133009
KIRP-B1-A47O	ACH-000669	0.9979130957331808
KIRP-B1-A47O	ACH-000716	0.9979132134054446
KIRP-B1-A47O	ACH-000651	0.9979132783907988
KIRP-B1-A47O	ACH-000638	0.9979132861147799
KIRP-B1-A47O	ACH-000643	0.9979133894518996
KIRP-B1-A47O	ACH-000475	0.9979135032548108
KIRP-B1-A47O	ACH-000451	0.9979135806790199
KIRP-B1-A47O	ACH-000863	0.9979135894904593
KIRP-B1-A47O	ACH-000816	0.9979139169230746
KIRP-B1-A47O	ACH-000379	0.9979139405756204
KIRP-B1-A47O	ACH-000724	0.9979139956223102
KIRP-B1-A47O	ACH-000015	0.9979144537977152
KIRP-B1-A47O	ACH-000510	0.9979145061971163
KIRP-B1-A47O	ACH-000522	0.9979145691878694
KIRP-B1-A47O	ACH-000621	0.9979145747759395
KIRP-B1-A47O	ACH-000693	0.9979148596845165
KIRP-B1-A47O	ACH-000749	0.9979148638427092
KIRP-B1-A47O	ACH-000192	0.9979151527232883
KIRP-B1-A47O	ACH-000290	0.997915519946761
KIRP-B1-A47O	ACH-000288	0.9979155422179037
KIRP-B1-A47O	ACH-000566	0.9979155798937781
KIRP-B1-A47O	ACH-000116	0.997915617383064
KIRP-B1-A47O	ACH-000212	0.9979156497383139
KIRP-B1-A47O	ACH-000448	0.997915656303994
KIRP-B1-A47O	ACH-000186	0.9979158454381917
KIRP-B1-A47O	ACH-000148	0.9979159216507508
KIRP-B1-A47O	ACH-000886	0.9979160029497567
KIRP-B1-A47O	ACH-000100	0.9979160867624538
KIRP-B1-A47O	ACH-000332	0.9979161037753543
KIRP-B1-A47O	ACH-000752	0.9979161388232007
KIRP-B1-A47O	ACH-000976	0.9979163788245152
KIRP-B1-A47O	ACH-001049	0.9979164574462672
KIRP-B1-A47O	ACH-000298	0.997916586123869
KIRP-B1-A47O	ACH-000951	0.9979166196016609
KIRP-B1-A47O	ACH-000672	0.9979167724188504
KIRP-B1-A47O	ACH-000055	0.9979170393238799
KIRP-B1-A47O	ACH-000525	0.9979173021612031
KIRP-B1-A47O	ACH-000930	0.9979176746086741
KIRP-B1-A47O	ACH-000431	0.9979177224018874
KIRP-B1-A47O	ACH-000586	0.9979185707532905
KIRP-B1-A47O	ACH-000225	0.9979189150398682
KIRP-B1-A47O	ACH-000117	0.997918983895423
KIRP-B1-A47O	ACH-000139	0.9979189849590578
KIRP-B1-A47O	ACH-000374	0.9979190855373045
KIRP-B1-A47O	ACH-000790	0.9979191866583884
KIRP-B1-A47O	ACH-000254	0.9979194168550594
KIRP-B1-A47O	ACH-000403	0.9979197887960949
KIRP-B1-A47O	ACH-000243	0.9979203626328922
KIRP-B1-A47O	ACH-000257	0.997920427075966
KIRP-B1-A47O	ACH-000561	0.9979205825256661
KIRP-B1-A47O	ACH-000552	0.9979209389606023
KIRP-B1-A47O	ACH-000853	0.9979209539785991
KIRP-B1-A47O	ACH-000145	0.997920985023412
KIRP-B1-A47O	ACH-000783	0.9979216827573011
KIRP-B1-A47O	ACH-000824	0.9979218116758003
KIRP-B1-A47O	ACH-000840	0.9979225126828036
KIRP-B1-A47O	ACH-000620	0.9979237988491887
KIRP-B1-A47O	ACH-000587	0.9979238582167015
KIRP-B1-A47O	ACH-000109	0.9979240693842371
KIRP-B1-A47O	ACH-000698	0.9979244735979331
KIRP-B1-A47O	ACH-000733	0.997924680236883
