case	comparison	SNF: FDA & CGC
KIRP-B1-A655	case-profile	0.4568129970643501
KIRP-B1-A655	ACH-000102	0.997529109669677
KIRP-B1-A655	ACH-000376	0.9975498828718998
KIRP-B1-A655	ACH-000062	0.9975873245491195
KIRP-B1-A655	ACH-000187	0.9976044248531836
KIRP-B1-A655	ACH-000201	0.9976120569325606
KIRP-B1-A655	ACH-000989	0.997619067403467
KIRP-B1-A655	ACH-000624	0.9976242174769266
KIRP-B1-A655	ACH-000584	0.9976260394920282
KIRP-B1-A655	ACH-000082	0.9976261191319699
KIRP-B1-A655	ACH-000171	0.9976358339125849
KIRP-B1-A655	ACH-000109	0.9976418423261262
KIRP-B1-A655	ACH-001189	0.997654339026871
KIRP-B1-A655	ACH-000486	0.9976709517131055
KIRP-B1-A655	ACH-000188	0.9976736531760997
KIRP-B1-A655	ACH-000469	0.9976800012709692
KIRP-B1-A655	ACH-000231	0.9976846023316335
KIRP-B1-A655	ACH-000457	0.9976857387203407
KIRP-B1-A655	ACH-001125	0.9976871760575887
KIRP-B1-A655	ACH-000571	0.9976915087896486
KIRP-B1-A655	ACH-000361	0.9976928555825323
KIRP-B1-A655	ACH-000991	0.9977009898083644
KIRP-B1-A655	ACH-000303	0.997716890248998
KIRP-B1-A655	ACH-001126	0.9977282894956294
KIRP-B1-A655	ACH-000570	0.9977286188917701
KIRP-B1-A655	ACH-000835	0.9977315681818181
KIRP-B1-A655	ACH-000078	0.9977342174051403
KIRP-B1-A655	ACH-000911	0.9977343903381389
KIRP-B1-A655	ACH-000355	0.9977422825000072
KIRP-B1-A655	ACH-000138	0.997762188117462
KIRP-B1-A655	ACH-000668	0.9977677492263762
KIRP-B1-A655	ACH-000947	0.9977729047203225
KIRP-B1-A655	ACH-000250	0.9977773118113354
KIRP-B1-A655	ACH-000145	0.9977803331234191
KIRP-B1-A655	ACH-000115	0.9977824588667562
KIRP-B1-A655	ACH-000569	0.997782860001582
KIRP-B1-A655	ACH-000018	0.9977846756037825
KIRP-B1-A655	ACH-000574	0.9977892994837615
KIRP-B1-A655	ACH-000219	0.9977920500928523
KIRP-B1-A655	ACH-000633	0.9977922977452999
KIRP-B1-A655	ACH-000940	0.9977936457428753
KIRP-B1-A655	ACH-000681	0.9977997716169852
KIRP-B1-A655	ACH-000781	0.9978000392386394
KIRP-B1-A655	ACH-000103	0.997801412997503
KIRP-B1-A655	ACH-000476	0.9978020129800159
KIRP-B1-A655	ACH-000094	0.9978073302850186
KIRP-B1-A655	ACH-000535	0.997808737094506
KIRP-B1-A655	ACH-000132	0.9978103298143419
KIRP-B1-A655	ACH-000544	0.9978106036941444
KIRP-B1-A655	ACH-000428	0.9978110413350828
KIRP-B1-A655	ACH-000335	0.9978112721127252
KIRP-B1-A655	ACH-000484	0.9978112843933786
KIRP-B1-A655	ACH-000609	0.9978121595340426
KIRP-B1-A655	ACH-000482	0.9978122924581178
KIRP-B1-A655	ACH-000769	0.9978143221938417
KIRP-B1-A655	ACH-000652	0.9978149059445941
KIRP-B1-A655	ACH-000480	0.9978159000099754
KIRP-B1-A655	ACH-000430	0.9978167318782062
KIRP-B1-A655	ACH-000433	0.9978167670111672
KIRP-B1-A655	ACH-000778	0.9978170258302644
KIRP-B1-A655	ACH-000075	0.997817629336827
KIRP-B1-A655	ACH-000378	0.997819798592361
KIRP-B1-A655	ACH-000530	0.997820650331111
KIRP-B1-A655	ACH-000155	0.997822829870535
KIRP-B1-A655	ACH-000610	0.9978235591212955
KIRP-B1-A655	ACH-000353	0.9978236906062234
KIRP-B1-A655	ACH-000223	0.997825043470263
KIRP-B1-A655	ACH-000501	0.99782554182681
KIRP-B1-A655	ACH-000496	0.99782636887021
KIRP-B1-A655	ACH-000528	0.997826429375791
KIRP-B1-A655	ACH-000114	0.9978265228576833
KIRP-B1-A655	ACH-000252	0.9978266408343114
KIRP-B1-A655	ACH-000957	0.9978266564745503
KIRP-B1-A655	ACH-000107	0.9978269841104874
KIRP-B1-A655	ACH-000562	0.997827036648711
KIRP-B1-A655	ACH-000178	0.9978270635859396
KIRP-B1-A655	ACH-000772	0.9978280965339219
KIRP-B1-A655	ACH-000159	0.9978287823222071
KIRP-B1-A655	ACH-000743	0.9978313895030582
KIRP-B1-A655	ACH-000329	0.9978318389094697
KIRP-B1-A655	ACH-000222	0.9978319871689274
KIRP-B1-A655	ACH-000153	0.9978326162892904
KIRP-B1-A655	ACH-000864	0.9978342926055019
KIRP-B1-A655	ACH-000589	0.9978350536544861
KIRP-B1-A655	ACH-000800	0.9978359712361469
KIRP-B1-A655	ACH-000420	0.9978367366300056
KIRP-B1-A655	ACH-000830	0.9978369813612253
KIRP-B1-A655	ACH-000859	0.9978371398343687
KIRP-B1-A655	ACH-000767	0.9978372478966117
KIRP-B1-A655	ACH-000341	0.9978372926494573
