case	comparison	SNF: FDA & CGC
KIRP-B9-A5W7	case-profile	0.45733070783122265
KIRP-B9-A5W7	ACH-000572	0.9967814611649021
KIRP-B9-A5W7	ACH-000200	0.9969111441082078
KIRP-B9-A5W7	ACH-000437	0.9970441369101741
KIRP-B9-A5W7	ACH-000640	0.9972387206950455
KIRP-B9-A5W7	ACH-000457	0.997300473619352
KIRP-B9-A5W7	ACH-000055	0.9973642030420705
KIRP-B9-A5W7	ACH-000186	0.9973894632585684
KIRP-B9-A5W7	ACH-000450	0.9974201517399043
KIRP-B9-A5W7	ACH-001125	0.9974226467521642
KIRP-B9-A5W7	ACH-000176	0.9974267298425659
KIRP-B9-A5W7	ACH-000903	0.9974522985059218
KIRP-B9-A5W7	ACH-001151	0.9974974737313844
KIRP-B9-A5W7	ACH-000825	0.9975045796863048
KIRP-B9-A5W7	ACH-000211	0.9975160409458416
KIRP-B9-A5W7	ACH-000423	0.997542901478088
KIRP-B9-A5W7	ACH-000376	0.9975452694487075
KIRP-B9-A5W7	ACH-000389	0.9975523185072495
KIRP-B9-A5W7	ACH-000625	0.9976019052410507
KIRP-B9-A5W7	ACH-000811	0.9976075394425933
KIRP-B9-A5W7	ACH-000008	0.9976186538522032
KIRP-B9-A5W7	ACH-000109	0.9976425987921217
KIRP-B9-A5W7	ACH-000776	0.9976436603904214
KIRP-B9-A5W7	ACH-000469	0.9976588992226276
KIRP-B9-A5W7	ACH-000249	0.9976807709598404
KIRP-B9-A5W7	ACH-000569	0.9976817172249329
KIRP-B9-A5W7	ACH-000689	0.9976841667221606
KIRP-B9-A5W7	ACH-000223	0.9976875204302827
KIRP-B9-A5W7	ACH-000528	0.9976981184606508
KIRP-B9-A5W7	ACH-000361	0.9977001458031959
KIRP-B9-A5W7	ACH-000075	0.9977021396683794
KIRP-B9-A5W7	ACH-000827	0.997748395076803
KIRP-B9-A5W7	ACH-000257	0.9977602578053202
KIRP-B9-A5W7	ACH-000544	0.9977718564723602
KIRP-B9-A5W7	ACH-000129	0.9977781754841151
KIRP-B9-A5W7	ACH-000322	0.9977785748568911
KIRP-B9-A5W7	ACH-000787	0.9977813784133218
KIRP-B9-A5W7	ACH-000449	0.9977861233683037
KIRP-B9-A5W7	ACH-000099	0.9977885045408964
KIRP-B9-A5W7	ACH-000585	0.9977921933655458
KIRP-B9-A5W7	ACH-000717	0.997796689496185
KIRP-B9-A5W7	ACH-000159	0.9978002081347352
KIRP-B9-A5W7	ACH-000265	0.9978005014073598
KIRP-B9-A5W7	ACH-000738	0.997805550422363
KIRP-B9-A5W7	ACH-000329	0.9978082646195974
KIRP-B9-A5W7	ACH-000430	0.9978108735081948
KIRP-B9-A5W7	ACH-000609	0.9978139553497776
KIRP-B9-A5W7	ACH-000114	0.9978179736919145
KIRP-B9-A5W7	ACH-000433	0.9978203867560764
KIRP-B9-A5W7	ACH-000132	0.9978206635391815
KIRP-B9-A5W7	ACH-000535	0.9978208004513479
KIRP-B9-A5W7	ACH-000201	0.9978209542082482
KIRP-B9-A5W7	ACH-000018	0.9978227241670601
KIRP-B9-A5W7	ACH-000743	0.9978230442145565
KIRP-B9-A5W7	ACH-000149	0.9978241582093282
KIRP-B9-A5W7	ACH-000486	0.9978253594967198
KIRP-B9-A5W7	ACH-000610	0.9978258375204414
KIRP-B9-A5W7	ACH-000153	0.9978277683907109
KIRP-B9-A5W7	ACH-000355	0.9978278632515785
KIRP-B9-A5W7	ACH-000482	0.99782796709549
KIRP-B9-A5W7	ACH-000103	0.9978280415770783
KIRP-B9-A5W7	ACH-000250	0.997829057917455
KIRP-B9-A5W7	ACH-000252	0.9978295044983383
KIRP-B9-A5W7	ACH-000178	0.9978311033957691
KIRP-B9-A5W7	ACH-000480	0.9978311991385959
KIRP-B9-A5W7	ACH-000830	0.997831886983639
KIRP-B9-A5W7	ACH-000102	0.9978321071342919
KIRP-B9-A5W7	ACH-000353	0.997834424481112
KIRP-B9-A5W7	ACH-000378	0.9978344892792718
KIRP-B9-A5W7	ACH-000476	0.9978348812689598
KIRP-B9-A5W7	ACH-000589	0.9978353410463694
KIRP-B9-A5W7	ACH-000599	0.997836227224656
KIRP-B9-A5W7	ACH-000094	0.9978363306397882
KIRP-B9-A5W7	ACH-000078	0.997836352538217
KIRP-B9-A5W7	ACH-000800	0.9978366348237406
KIRP-B9-A5W7	ACH-000335	0.9978367883002166
KIRP-B9-A5W7	ACH-000681	0.9978371500801204
KIRP-B9-A5W7	ACH-000530	0.9978374678787009
KIRP-B9-A5W7	ACH-000484	0.9978388270357903
KIRP-B9-A5W7	ACH-000107	0.997839005445724
KIRP-B9-A5W7	ACH-000668	0.9978391200306151
KIRP-B9-A5W7	ACH-000501	0.997839129353112
KIRP-B9-A5W7	ACH-000420	0.9978392270913389
KIRP-B9-A5W7	ACH-000489	0.9978395029468556
KIRP-B9-A5W7	ACH-000633	0.9978400483737342
KIRP-B9-A5W7	ACH-000309	0.9978402736731993
KIRP-B9-A5W7	ACH-000574	0.9978414148092188
KIRP-B9-A5W7	ACH-000767	0.9978418984127048
KIRP-B9-A5W7	ACH-000231	0.997842022884897
KIRP-B9-A5W7	ACH-000098	0.9978423555858328
KIRP-B9-A5W7	ACH-000769	0.9978438650000756
KIRP-B9-A5W7	ACH-000470	0.9978444215599105
KIRP-B9-A5W7	ACH-000781	0.9978444449545142
KIRP-B9-A5W7	ACH-000222	0.9978450058378217
KIRP-B9-A5W7	ACH-000244	0.9978460879235062
KIRP-B9-A5W7	ACH-000740	0.9978466665032518
KIRP-B9-A5W7	ACH-000188	0.9978467258147653
KIRP-B9-A5W7	ACH-000155	0.9978467682882349
KIRP-B9-A5W7	ACH-000496	0.9978471650795329
KIRP-B9-A5W7	ACH-000826	0.9978473759461892
KIRP-B9-A5W7	ACH-000772	0.9978478296070035
KIRP-B9-A5W7	ACH-000778	0.9978481714376853
KIRP-B9-A5W7	ACH-000652	0.9978488875948556
KIRP-B9-A5W7	ACH-000864	0.9978506360380276
KIRP-B9-A5W7	ACH-000858	0.997851306136807
KIRP-B9-A5W7	ACH-000443	0.9978524987425968
KIRP-B9-A5W7	ACH-000818	0.9978560161082668
KIRP-B9-A5W7	ACH-000580	0.9978597599638336
KIRP-B9-A5W7	ACH-000400	0.9978629027932728
KIRP-B9-A5W7	ACH-000035	0.9978631665724559
KIRP-B9-A5W7	ACH-000401	0.997868929958625
KIRP-B9-A5W7	ACH-001090	0.9978701836677599
KIRP-B9-A5W7	ACH-000217	0.9978729891413044
KIRP-B9-A5W7	ACH-000238	0.9978742197617406
KIRP-B9-A5W7	ACH-000181	0.997876553273889
KIRP-B9-A5W7	ACH-000587	0.9978774072789277
KIRP-B9-A5W7	ACH-000391	0.9978779178431607
KIRP-B9-A5W7	ACH-000015	0.997879256355534
KIRP-B9-A5W7	ACH-000555	0.997880786852728
KIRP-B9-A5W7	ACH-000092	0.9978813143342226
KIRP-B9-A5W7	ACH-000560	0.9978829990371476
KIRP-B9-A5W7	ACH-000009	0.9978838831962937
KIRP-B9-A5W7	ACH-000571	0.9978847963681996
KIRP-B9-A5W7	ACH-000441	0.9978859731911042
KIRP-B9-A5W7	ACH-001065	0.997887368144662
KIRP-B9-A5W7	ACH-000647	0.9978899035091143
KIRP-B9-A5W7	ACH-000425	0.9978908731070776
KIRP-B9-A5W7	ACH-000881	0.9978913386275491
KIRP-B9-A5W7	ACH-000350	0.9978914709024218
KIRP-B9-A5W7	ACH-000341	0.9978917700018738
KIRP-B9-A5W7	ACH-000442	0.9978919838919532
KIRP-B9-A5W7	ACH-000067	0.9978927248674444
KIRP-B9-A5W7	ACH-000595	0.9978929495905721
KIRP-B9-A5W7	ACH-000343	0.9978942135806498
KIRP-B9-A5W7	ACH-000187	0.9978947670755713
KIRP-B9-A5W7	ACH-000510	0.9978951987287594
KIRP-B9-A5W7	ACH-000706	0.9978952218703856
KIRP-B9-A5W7	ACH-000624	0.9978958749782335
KIRP-B9-A5W7	ACH-000142	0.997895999137137
KIRP-B9-A5W7	ACH-000835	0.9978961035050661
KIRP-B9-A5W7	ACH-000007	0.9978964200797413
KIRP-B9-A5W7	ACH-000258	0.9978967283836403
KIRP-B9-A5W7	ACH-000748	0.9978969546262355
KIRP-B9-A5W7	ACH-000332	0.9978971814719622
KIRP-B9-A5W7	ACH-000756	0.9978998007563865
KIRP-B9-A5W7	ACH-000138	0.9979000655688467
KIRP-B9-A5W7	ACH-000617	0.9979003838955586
KIRP-B9-A5W7	ACH-000744	0.9979007937894363
KIRP-B9-A5W7	ACH-000516	0.997902740210436
KIRP-B9-A5W7	ACH-000108	0.9979028767687544
KIRP-B9-A5W7	ACH-000463	0.9979038308338523
KIRP-B9-A5W7	ACH-000688	0.9979038581011341
KIRP-B9-A5W7	ACH-000816	0.9979045370279134
KIRP-B9-A5W7	ACH-000366	0.997904552549915
KIRP-B9-A5W7	ACH-000863	0.9979051078078847
KIRP-B9-A5W7	ACH-000311	0.9979056575226924
KIRP-B9-A5W7	ACH-000790	0.9979057803532281
KIRP-B9-A5W7	ACH-000111	0.9979061428521283
KIRP-B9-A5W7	ACH-000359	0.9979063370092925
KIRP-B9-A5W7	ACH-000087	0.9979066134384103
KIRP-B9-A5W7	ACH-001189	0.9979068388221256
KIRP-B9-A5W7	ACH-000670	0.9979075578209652
KIRP-B9-A5W7	ACH-000364	0.9979078749776952
KIRP-B9-A5W7	ACH-000561	0.9979087078456734
KIRP-B9-A5W7	ACH-000212	0.9979090266109636
KIRP-B9-A5W7	ACH-000546	0.997909063087787
KIRP-B9-A5W7	ACH-000349	0.9979091746610781
KIRP-B9-A5W7	ACH-000883	0.9979093629074868
KIRP-B9-A5W7	ACH-001016	0.9979102797861845
KIRP-B9-A5W7	ACH-000379	0.9979104808154454
KIRP-B9-A5W7	ACH-000532	0.9979116961849337
KIRP-B9-A5W7	ACH-000448	0.9979118996103892
KIRP-B9-A5W7	ACH-000293	0.9979123998211028
KIRP-B9-A5W7	ACH-000749	0.9979127320933233
KIRP-B9-A5W7	ACH-000524	0.997913138109639
KIRP-B9-A5W7	ACH-000552	0.9979131494478032
KIRP-B9-A5W7	ACH-000878	0.9979135226861907
KIRP-B9-A5W7	ACH-000292	0.9979137222178524
KIRP-B9-A5W7	ACH-001233	0.9979139121851035
KIRP-B9-A5W7	ACH-000421	0.9979139399681572
KIRP-B9-A5W7	ACH-000638	0.9979139517248312
KIRP-B9-A5W7	ACH-000305	0.9979139959248999
KIRP-B9-A5W7	ACH-000605	0.9979140113768035
KIRP-B9-A5W7	ACH-000663	0.997914673526591
KIRP-B9-A5W7	ACH-000716	0.9979149843640565
KIRP-B9-A5W7	ACH-000651	0.9979150783960986
KIRP-B9-A5W7	ACH-001126	0.9979151821879889
KIRP-B9-A5W7	ACH-000648	0.9979155792594963
KIRP-B9-A5W7	ACH-000121	0.9979156720273988
KIRP-B9-A5W7	ACH-000894	0.99791570629015
KIRP-B9-A5W7	ACH-000451	0.9979160292492021
KIRP-B9-A5W7	ACH-000429	0.9979162604423024
KIRP-B9-A5W7	ACH-000643	0.997916275030665
KIRP-B9-A5W7	ACH-000565	0.9979166645310248
KIRP-B9-A5W7	ACH-000392	0.9979167469097548
KIRP-B9-A5W7	ACH-000396	0.9979167995003855
KIRP-B9-A5W7	ACH-000621	0.9979168534022159
KIRP-B9-A5W7	ACH-000669	0.9979168983628767
KIRP-B9-A5W7	ACH-000145	0.9979169527813658
KIRP-B9-A5W7	ACH-000475	0.997917122301416
KIRP-B9-A5W7	ACH-000724	0.9979171696257807
KIRP-B9-A5W7	ACH-000696	0.9979171731302754
KIRP-B9-A5W7	ACH-000841	0.997917570878322
KIRP-B9-A5W7	ACH-000290	0.997917721324881
KIRP-B9-A5W7	ACH-000522	0.9979177551110244
KIRP-B9-A5W7	ACH-000857	0.9979182363926585
KIRP-B9-A5W7	ACH-000431	0.9979182664844773
KIRP-B9-A5W7	ACH-000558	0.9979183572392719
KIRP-B9-A5W7	ACH-000408	0.9979184210150759
KIRP-B9-A5W7	ACH-000783	0.9979188194249311
KIRP-B9-A5W7	ACH-000525	0.9979188448595173
KIRP-B9-A5W7	ACH-000100	0.9979193355923156
KIRP-B9-A5W7	ACH-000417	0.9979195429929028
KIRP-B9-A5W7	ACH-000693	0.997919599899561
KIRP-B9-A5W7	ACH-000161	0.9979196560665206
KIRP-B9-A5W7	ACH-000115	0.9979197005506887
KIRP-B9-A5W7	ACH-000667	0.9979197499761693
KIRP-B9-A5W7	ACH-000566	0.9979200844367864
KIRP-B9-A5W7	ACH-000747	0.9979204717757677
KIRP-B9-A5W7	ACH-000725	0.9979207797472226
KIRP-B9-A5W7	ACH-000775	0.9979208004291028
KIRP-B9-A5W7	ACH-000374	0.9979208188768544
KIRP-B9-A5W7	ACH-000483	0.9979209618552497
KIRP-B9-A5W7	ACH-000116	0.997921024477786
KIRP-B9-A5W7	ACH-000174	0.9979213811177188
KIRP-B9-A5W7	ACH-000752	0.9979218351023642
KIRP-B9-A5W7	ACH-000243	0.9979220462523323
KIRP-B9-A5W7	ACH-000596	0.9979223746728775
KIRP-B9-A5W7	ACH-000620	0.9979228458418079
KIRP-B9-A5W7	ACH-000840	0.9979230946094765
KIRP-B9-A5W7	ACH-000348	0.9979231009742267
KIRP-B9-A5W7	ACH-000902	0.9979231646100514
KIRP-B9-A5W7	ACH-000586	0.9979233694669459
KIRP-B9-A5W7	ACH-000759	0.9979237456613046
KIRP-B9-A5W7	ACH-000139	0.9979237583033508
KIRP-B9-A5W7	ACH-000288	0.9979238478984056
KIRP-B9-A5W7	ACH-000254	0.9979240915148445
KIRP-B9-A5W7	ACH-000148	0.9979244292674041
KIRP-B9-A5W7	ACH-000915	0.9979244307279143
KIRP-B9-A5W7	ACH-000235	0.9979251570225339
KIRP-B9-A5W7	ACH-000117	0.9979252297366212
KIRP-B9-A5W7	ACH-000298	0.9979253082037303
KIRP-B9-A5W7	ACH-000291	0.997926348789321
KIRP-B9-A5W7	ACH-001049	0.9979265938054298
KIRP-B9-A5W7	ACH-000810	0.9979266303653768
KIRP-B9-A5W7	ACH-001190	0.9979266572573552
KIRP-B9-A5W7	ACH-000823	0.9979267118141569
KIRP-B9-A5W7	ACH-000968	0.9979269155528556
KIRP-B9-A5W7	ACH-000780	0.9979281323456277
KIRP-B9-A5W7	ACH-000434	0.9979282117936317
KIRP-B9-A5W7	ACH-000030	0.9979284920231619
KIRP-B9-A5W7	ACH-000394	0.9979287982773174
KIRP-B9-A5W7	ACH-000880	0.9979289249552121
KIRP-B9-A5W7	ACH-000886	0.9979295851902319
KIRP-B9-A5W7	ACH-000672	0.9979297612343826
KIRP-B9-A5W7	ACH-000666	0.9979298679185993
KIRP-B9-A5W7	ACH-000861	0.9979299229743993
KIRP-B9-A5W7	ACH-000236	0.9979299384399204
KIRP-B9-A5W7	ACH-000570	0.9979314419138355
KIRP-B9-A5W7	ACH-000824	0.9979314709779151
KIRP-B9-A5W7	ACH-000798	0.9979315005253195
KIRP-B9-A5W7	ACH-000989	0.9979315577460939
KIRP-B9-A5W7	ACH-000354	0.9979316856625471
KIRP-B9-A5W7	ACH-000926	0.9979322101695334
KIRP-B9-A5W7	ACH-000352	0.9979324245897251
KIRP-B9-A5W7	ACH-000803	0.9979324743333134
KIRP-B9-A5W7	ACH-000698	0.9979325455559913
KIRP-B9-A5W7	ACH-000675	0.9979327123175454
KIRP-B9-A5W7	ACH-000866	0.9979327599597037
KIRP-B9-A5W7	ACH-000416	0.9979336288922642
KIRP-B9-A5W7	ACH-000225	0.9979338134781087
KIRP-B9-A5W7	ACH-000853	0.9979342142672502
KIRP-B9-A5W7	ACH-000062	0.99793479637721
KIRP-B9-A5W7	ACH-000733	0.997935025728751
KIRP-B9-A5W7	ACH-000506	0.9979351726098993
KIRP-B9-A5W7	ACH-000248	0.9979356692923023
KIRP-B9-A5W7	ACH-000852	0.9979357219734232
KIRP-B9-A5W7	ACH-000192	0.9979360047656884
KIRP-B9-A5W7	ACH-000303	0.997936681369326
KIRP-B9-A5W7	ACH-000403	0.9979368013745795
KIRP-B9-A5W7	ACH-000304	0.9979381166801494
KIRP-B9-A5W7	ACH-000869	0.9979382921506299
KIRP-B9-A5W7	ACH-000991	0.9979389709840757
KIRP-B9-A5W7	ACH-000452	0.9979395847902885
KIRP-B9-A5W7	ACH-000911	0.997939813185907
KIRP-B9-A5W7	ACH-000955	0.9979398241830579
KIRP-B9-A5W7	ACH-000919	0.9979416932912318
KIRP-B9-A5W7	ACH-000949	0.9979418146137777
KIRP-B9-A5W7	ACH-000719	0.9979427950020331
KIRP-B9-A5W7	ACH-000428	0.997944724849127
KIRP-B9-A5W7	ACH-000906	0.9979451835761379
KIRP-B9-A5W7	ACH-000219	0.9979455522294444
KIRP-B9-A5W7	ACH-000951	0.9979458148315721
KIRP-B9-A5W7	ACH-000924	0.9979461795773706
KIRP-B9-A5W7	ACH-000962	0.9979468269481638
KIRP-B9-A5W7	ACH-000665	0.9979482277883476
KIRP-B9-A5W7	ACH-000930	0.9979494019458935
KIRP-B9-A5W7	ACH-000970	0.9979508717294993
KIRP-B9-A5W7	ACH-000052	0.9979511320384278
KIRP-B9-A5W7	ACH-000966	0.997954141033743
KIRP-B9-A5W7	ACH-000662	0.9979562350022256
KIRP-B9-A5W7	ACH-000998	0.9979570764576179
KIRP-B9-A5W7	ACH-000971	0.9979575631719241
KIRP-B9-A5W7	ACH-000655	0.9979593595735543
KIRP-B9-A5W7	ACH-000628	0.9979596639233341
KIRP-B9-A5W7	ACH-000491	0.9979599369481966
KIRP-B9-A5W7	ACH-000730	0.997960824182896
KIRP-B9-A5W7	ACH-000788	0.9979620724256454
KIRP-B9-A5W7	ACH-000424	0.9979627198677686
KIRP-B9-A5W7	ACH-000892	0.997962800344022
KIRP-B9-A5W7	ACH-001039	0.9979641953022974
KIRP-B9-A5W7	ACH-000581	0.9979648060187087
KIRP-B9-A5W7	ACH-000650	0.9979688933636568
KIRP-B9-A5W7	ACH-000269	0.9979694336299401
KIRP-B9-A5W7	ACH-000699	0.9979700894891614
KIRP-B9-A5W7	ACH-000577	0.9979710657479414
KIRP-B9-A5W7	ACH-000207	0.9979710921760554
KIRP-B9-A5W7	ACH-000637	0.9979712002379775
KIRP-B9-A5W7	ACH-000189	0.997971533372076
KIRP-B9-A5W7	ACH-000438	0.9979726030708195
KIRP-B9-A5W7	ACH-000488	0.9979739847786898
KIRP-B9-A5W7	ACH-000171	0.9979740081823383
KIRP-B9-A5W7	ACH-000259	0.9979745154593047
KIRP-B9-A5W7	ACH-000082	0.9979748039422598
KIRP-B9-A5W7	ACH-000865	0.9979767123986686
KIRP-B9-A5W7	ACH-000639	0.9979769783597311
KIRP-B9-A5W7	ACH-000504	0.9979770163414845
KIRP-B9-A5W7	ACH-000627	0.9979770207354555
KIRP-B9-A5W7	ACH-001023	0.9979770952257966
KIRP-B9-A5W7	ACH-000264	0.9979780738493098
KIRP-B9-A5W7	ACH-000722	0.9979782234420026
KIRP-B9-A5W7	ACH-000427	0.9979782445560931
KIRP-B9-A5W7	ACH-000755	0.9979788143871681
KIRP-B9-A5W7	ACH-000976	0.9979790615878854
KIRP-B9-A5W7	ACH-000040	0.9979799201141575
KIRP-B9-A5W7	ACH-000812	0.9979799441591517
KIRP-B9-A5W7	ACH-000718	0.9979801405632251
KIRP-B9-A5W7	ACH-000548	0.9979805954531947
KIRP-B9-A5W7	ACH-000001	0.9979808956593385
KIRP-B9-A5W7	ACH-000351	0.9979826109699137
KIRP-B9-A5W7	ACH-000847	0.9979826518770927
KIRP-B9-A5W7	ACH-000828	0.9979827475691281
KIRP-B9-A5W7	ACH-000021	0.9979828966800288
KIRP-B9-A5W7	ACH-001089	0.9979831122440433
KIRP-B9-A5W7	ACH-000277	0.9979832279039451
KIRP-B9-A5W7	ACH-000631	0.9979840035690561
KIRP-B9-A5W7	ACH-000674	0.9979843955518851
KIRP-B9-A5W7	ACH-000447	0.9979845677445685
KIRP-B9-A5W7	ACH-000727	0.9979847275272207
KIRP-B9-A5W7	ACH-000381	0.9979847707435984
KIRP-B9-A5W7	ACH-000282	0.9979851311109703
KIRP-B9-A5W7	ACH-000657	0.9979861491091181
KIRP-B9-A5W7	ACH-000384	0.9979863866555573
KIRP-B9-A5W7	ACH-000849	0.9979864220788236
KIRP-B9-A5W7	ACH-000613	0.9979871374133717
KIRP-B9-A5W7	ACH-000846	0.9979873052346134
KIRP-B9-A5W7	ACH-000563	0.9979875953926197
KIRP-B9-A5W7	ACH-000228	0.997988545629994
KIRP-B9-A5W7	ACH-000360	0.9979888146587925
KIRP-B9-A5W7	ACH-000318	0.9979888983330006
KIRP-B9-A5W7	ACH-000330	0.997989284694451
KIRP-B9-A5W7	ACH-000614	0.9979905310931323
KIRP-B9-A5W7	ACH-000679	0.9979906991989835
KIRP-B9-A5W7	ACH-000784	0.9979908512951715
KIRP-B9-A5W7	ACH-000144	0.9979909920940176
KIRP-B9-A5W7	ACH-000242	0.9979915593395302
KIRP-B9-A5W7	ACH-000677	0.9979917625767437
