case	comparison	SNF: FDA & CGC
KIRP-DW-7842	case-profile	0.45791588807351336
KIRP-DW-7842	ACH-000625	0.9973627660208831
KIRP-DW-7842	ACH-000389	0.9974607843461425
KIRP-DW-7842	ACH-000457	0.9974830898147443
KIRP-DW-7842	ACH-001125	0.9975135111248219
KIRP-DW-7842	ACH-000738	0.9975357047963227
KIRP-DW-7842	ACH-000149	0.9976045103266726
KIRP-DW-7842	ACH-000428	0.9976082003785558
KIRP-DW-7842	ACH-000756	0.9976111769104459
KIRP-DW-7842	ACH-000665	0.9976198806611878
KIRP-DW-7842	ACH-000787	0.9976201035314916
KIRP-DW-7842	ACH-000244	0.9976266956283552
KIRP-DW-7842	ACH-000265	0.9976334527730228
KIRP-DW-7842	ACH-000558	0.9976345070503928
KIRP-DW-7842	ACH-000823	0.9976357565326078
KIRP-DW-7842	ACH-001023	0.9976407406596511
KIRP-DW-7842	ACH-000282	0.9976451090489059
KIRP-DW-7842	ACH-000827	0.9976457949043605
KIRP-DW-7842	ACH-000663	0.9976592310423945
KIRP-DW-7842	ACH-000585	0.997685157792149
KIRP-DW-7842	ACH-000555	0.9976905121815588
KIRP-DW-7842	ACH-000098	0.9976911655864268
KIRP-DW-7842	ACH-000759	0.9976954060788217
KIRP-DW-7842	ACH-000596	0.9976976987554356
KIRP-DW-7842	ACH-001090	0.9977010394523715
KIRP-DW-7842	ACH-000186	0.9977010534480674
KIRP-DW-7842	ACH-000883	0.997706047153498
KIRP-DW-7842	ACH-000783	0.9977073070375849
KIRP-DW-7842	ACH-000878	0.9977113135999678
KIRP-DW-7842	ACH-000015	0.997711790691115
KIRP-DW-7842	ACH-000483	0.9977131155836655
KIRP-DW-7842	ACH-000926	0.9977134221597094
KIRP-DW-7842	ACH-000437	0.9977158630802785
KIRP-DW-7842	ACH-000009	0.9977162762991119
KIRP-DW-7842	ACH-000352	0.9977218034109356
KIRP-DW-7842	ACH-000416	0.9977238854917664
KIRP-DW-7842	ACH-000434	0.997724526470384
KIRP-DW-7842	ACH-000189	0.9977247517184066
KIRP-DW-7842	ACH-000108	0.9977253985799026
KIRP-DW-7842	ACH-000145	0.9977255069135785
KIRP-DW-7842	ACH-000298	0.997725740581069
KIRP-DW-7842	ACH-000092	0.9977262337132121
KIRP-DW-7842	ACH-000719	0.9977265683745407
KIRP-DW-7842	ACH-000078	0.9977294773231056
KIRP-DW-7842	ACH-000181	0.9977362194423407
KIRP-DW-7842	ACH-000187	0.9977371724534679
KIRP-DW-7842	ACH-000381	0.9977383160401012
KIRP-DW-7842	ACH-000706	0.9977386755132849
KIRP-DW-7842	ACH-000569	0.9977464709085522
KIRP-DW-7842	ACH-000438	0.997746805643166
KIRP-DW-7842	ACH-000100	0.9977494271440992
KIRP-DW-7842	ACH-000243	0.9977501809182502
KIRP-DW-7842	ACH-001190	0.997751621378434
KIRP-DW-7842	ACH-000776	0.9977528547217072
KIRP-DW-7842	ACH-000475	0.9977540841176735
KIRP-DW-7842	ACH-000075	0.9977555285946939
KIRP-DW-7842	ACH-000572	0.9977556389338201
KIRP-DW-7842	ACH-000212	0.9977558202867155
KIRP-DW-7842	ACH-000359	0.9977568854112554
KIRP-DW-7842	ACH-000257	0.997758623463176
KIRP-DW-7842	ACH-000651	0.9977591239303254
KIRP-DW-7842	ACH-000525	0.9977592631643103
KIRP-DW-7842	ACH-000374	0.9977608970447178
KIRP-DW-7842	ACH-000433	0.9977621361794994
