case	comparison	SNF: FDA & CGC
KIRP-SX-A7SL	case-profile	0.45691302600107797
KIRP-SX-A7SL	ACH-000103	0.9972530310472085
KIRP-SX-A7SL	ACH-000430	0.9972819914188539
KIRP-SX-A7SL	ACH-000657	0.9973154216509634
KIRP-SX-A7SL	ACH-000309	0.9973681958338221
KIRP-SX-A7SL	ACH-000441	0.9973885959580411
KIRP-SX-A7SL	ACH-000968	0.9974607911963059
KIRP-SX-A7SL	ACH-000188	0.9974714169700427
KIRP-SX-A7SL	ACH-000595	0.9974797275812294
KIRP-SX-A7SL	ACH-000894	0.9974835822363544
KIRP-SX-A7SL	ACH-000574	0.9975078630548371
KIRP-SX-A7SL	ACH-000361	0.9975105912241586
KIRP-SX-A7SL	ACH-000249	0.9975598574966844
KIRP-SX-A7SL	ACH-000449	0.9975642083644768
KIRP-SX-A7SL	ACH-000138	0.9975666212048401
KIRP-SX-A7SL	ACH-000075	0.9975807562912118
KIRP-SX-A7SL	ACH-000265	0.9976040815137514
KIRP-SX-A7SL	ACH-000145	0.9976051839317197
KIRP-SX-A7SL	ACH-000926	0.9976105099489244
KIRP-SX-A7SL	ACH-000359	0.9976112407045442
KIRP-SX-A7SL	ACH-000319	0.9976165637404468
KIRP-SX-A7SL	ACH-000352	0.9976429596471084
KIRP-SX-A7SL	ACH-000783	0.9976464753565597
KIRP-SX-A7SL	ACH-000396	0.9976559701120439
KIRP-SX-A7SL	ACH-000668	0.9976614207488134
KIRP-SX-A7SL	ACH-000848	0.997677219611306
KIRP-SX-A7SL	ACH-000949	0.9976783779521581
KIRP-SX-A7SL	ACH-000094	0.9976869503237067
KIRP-SX-A7SL	ACH-000200	0.997691171276052
KIRP-SX-A7SL	ACH-000506	0.997712008650218
KIRP-SX-A7SL	ACH-000153	0.9977190753742796
KIRP-SX-A7SL	ACH-000744	0.9977282061199865
KIRP-SX-A7SL	ACH-000566	0.9977504185019113
KIRP-SX-A7SL	ACH-000355	0.9977828786450387
KIRP-SX-A7SL	ACH-000376	0.9977940118904263
KIRP-SX-A7SL	ACH-000107	0.9977954406295919
KIRP-SX-A7SL	ACH-000114	0.997796979472945
KIRP-SX-A7SL	ACH-000231	0.9977975916847783
KIRP-SX-A7SL	ACH-001125	0.9977989852209531
KIRP-SX-A7SL	ACH-000496	0.9978043747565717
KIRP-SX-A7SL	ACH-000535	0.9978048546006663
KIRP-SX-A7SL	ACH-000222	0.9978052811385456
KIRP-SX-A7SL	ACH-000781	0.9978061472817724
KIRP-SX-A7SL	ACH-000457	0.9978064668943347
KIRP-SX-A7SL	ACH-000528	0.997806813865519
KIRP-SX-A7SL	ACH-000176	0.9978085687481305
KIRP-SX-A7SL	ACH-000767	0.9978089249845953
KIRP-SX-A7SL	ACH-000569	0.9978115549842883
KIRP-SX-A7SL	ACH-000159	0.9978124207265413
KIRP-SX-A7SL	ACH-000772	0.997812793789762
KIRP-SX-A7SL	ACH-000633	0.9978143610132943
KIRP-SX-A7SL	ACH-000329	0.9978145458337442
KIRP-SX-A7SL	ACH-000201	0.9978146282340702
KIRP-SX-A7SL	ACH-000586	0.9978149255025223
KIRP-SX-A7SL	ACH-000378	0.9978152950756332
KIRP-SX-A7SL	ACH-000778	0.9978160208494462
KIRP-SX-A7SL	ACH-000102	0.9978162225864523
KIRP-SX-A7SL	ACH-000169	0.9978165626569796
KIRP-SX-A7SL	ACH-000178	0.9978171830114688
KIRP-SX-A7SL	ACH-000335	0.9978174779679121
KIRP-SX-A7SL	ACH-000963	0.9978179514170489
KIRP-SX-A7SL	ACH-000132	0.997820314186042
KIRP-SX-A7SL	ACH-000480	0.9978216735419619
KIRP-SX-A7SL	ACH-000486	0.9978217430558346
KIRP-SX-A7SL	ACH-000353	0.9978236232687331
KIRP-SX-A7SL	ACH-000223	0.9978257810183745
KIRP-SX-A7SL	ACH-001039	0.9978266578144017
